Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,12.20,12.37,12.20,12.22,31400,12.22
2016-06-09,12.20,12.25,12.19,12.23,7700,12.23
2016-06-08,12.25,12.33,12.17,12.25,15600,12.25
2016-06-07,12.37,12.38,12.15,12.25,22700,12.25
2016-06-06,12.26,12.40,12.237,12.25,30800,12.25
2016-06-03,12.29,12.35,12.23,12.25,18900,12.25
2016-06-02,12.40,12.46,12.25,12.30,38100,12.30
2016-06-01,12.22,12.49,12.22,12.40,14100,12.40
2016-05-31,12.43,12.43,12.21,12.22,27600,12.22
2016-05-27,12.09,12.49,11.86,12.38,44700,12.38
2016-05-26,12.10,12.22,11.835,12.22,24700,12.22
2016-05-25,12.02,12.10,11.93,12.05,16900,12.05
2016-05-24,12.18,12.33,11.737,12.08,29600,12.08
2016-05-23,11.84,12.14,11.84,12.07,19600,12.07
2016-05-20,12.00,12.00,11.78,11.89,28500,11.89
2016-05-19,11.82,12.09,11.74,12.00,35800,12.00
2016-05-18,12.00,12.06,11.551,11.88,11000,11.88
2016-05-17,11.90,12.08,11.69,11.965,24600,11.965
2016-05-16,11.65,12.085,11.65,11.97,40200,11.97
2016-05-13,11.31,11.89,11.31,11.65,27100,11.65
2016-05-12,11.54,11.60,11.40,11.53,44000,11.53
2016-05-11,11.06,11.57,11.054,11.51,53100,11.51
2016-05-10,11.10,11.35,11.00,11.08,77700,11.08
2016-05-09,11.50,11.60,11.00,11.07,55600,11.07
2016-05-06,11.30,11.83,11.30,11.55,40500,11.55
2016-05-05,11.87,11.89,11.39,11.84,23400,11.84
2016-05-04,11.30,11.78,11.30,11.78,59500,11.78
2016-05-03,11.47,11.47,11.362,11.38,14900,11.38
2016-05-02,11.73,11.89,11.45,11.55,22100,11.55
2016-04-29,11.82,11.95,11.51,11.77,15400,11.77
2016-04-28,11.65,11.85,11.55,11.81,33300,11.81
2016-04-27,11.53,12.11,11.461,11.78,60900,11.78
2016-04-26,11.68,11.68,11.38,11.43,22100,11.43
2016-04-25,11.75,11.75,11.50,11.52,29800,11.52
2016-04-22,11.80,11.80,11.51,11.79,9800,11.79
2016-04-21,11.59,11.79,11.59,11.78,19300,11.78
2016-04-20,11.69,11.80,11.64,11.64,18900,11.64
2016-04-19,11.70,11.79,11.605,11.64,22300,11.64
