Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,3.13,3.23,3.06,3.11,52100,3.11
2016-06-09,3.11,3.18,3.11,3.16,46000,3.16
2016-06-08,3.08,3.18,3.01,3.16,39400,3.16
2016-06-07,3.13,3.20,3.00,3.08,37300,3.08
2016-06-06,3.02,3.15,2.99,3.14,50700,3.14
2016-06-03,3.05,3.09,3.00,3.03,68200,3.03
2016-06-02,3.10,3.11,2.94,3.04,48300,3.04
2016-06-01,2.86,3.04,2.86,2.99,58500,2.99
2016-05-31,3.32,3.35,2.91,2.92,209800,2.92
2016-05-27,3.25,3.36,3.21,3.26,141200,3.26
2016-05-26,3.07,3.29,3.00,3.22,205900,3.22
2016-05-25,2.65,3.12,2.65,3.04,208000,3.04
2016-05-24,2.57,2.73,2.50,2.67,86600,2.67
2016-05-23,2.51,2.56,2.50,2.52,44100,2.52
2016-05-20,2.48,2.53,2.41,2.49,30400,2.49
2016-05-19,2.46,2.59,2.44,2.45,20400,2.45
2016-05-18,2.43,2.52,2.41,2.51,38500,2.51
2016-05-17,2.41,2.46,2.37,2.42,65800,2.42
2016-05-16,2.30,2.41,2.30,2.41,46400,2.41
2016-05-13,2.28,2.40,2.28,2.35,47700,2.35
2016-05-12,2.35,2.38,2.27,2.27,42600,2.27
2016-05-11,2.45,2.48,2.41,2.44,22100,2.44
2016-05-10,2.52,2.52,2.42,2.48,14200,2.48
2016-05-09,2.40,2.52,2.40,2.48,27600,2.48
2016-05-06,2.41,2.45,2.32,2.41,49500,2.41
2016-05-05,2.42,2.49,2.29,2.42,129400,2.42
2016-05-04,2.60,2.61,2.41,2.44,100000,2.44
2016-05-03,2.66,2.66,2.53,2.62,34100,2.62
2016-05-02,2.72,2.72,2.51,2.69,58700,2.69
2016-04-29,2.78,2.78,2.65,2.72,56200,2.72
2016-04-28,2.72,2.82,2.71,2.78,37000,2.78
2016-04-27,2.74,2.81,2.65,2.75,29100,2.75
2016-04-26,2.76,2.76,2.60,2.73,57900,2.73
2016-04-25,2.78,2.79,2.72,2.74,34400,2.74
2016-04-22,2.75,2.80,2.70,2.77,39000,2.77
2016-04-21,2.70,2.78,2.66,2.74,26500,2.74
2016-04-20,2.86,2.86,2.65,2.69,53900,2.69
2016-04-19,2.85,2.85,2.67,2.73,44500,2.73
2016-04-18,2.79,2.86,2.72,2.81,52000,2.81
2016-04-15,2.75,2.86,2.75,2.78,45000,2.78
2016-04-14,2.68,2.82,2.67,2.75,58200,2.75
2016-04-13,2.57,2.71,2.54,2.66,76400,2.66
2016-04-12,2.60,2.68,2.50,2.57,57100,2.57
2016-04-11,2.70,2.72,2.60,2.61,60500,2.61
2016-04-08,2.78,2.81,2.61,2.64,59700,2.64
2016-04-07,2.96,2.96,2.74,2.75,128900,2.75
2016-04-06,3.05,3.13,2.90,2.96,106000,2.96
2016-04-05,3.00,3.16,2.67,3.03,149300,3.03
2016-04-04,2.88,3.19,2.85,3.01,313400,3.01
2016-04-01,2.55,2.90,2.53,2.83,70300,2.83
2016-03-31,2.67,2.78,2.55,2.56,47100,2.56
2016-03-30,2.89,2.95,2.58,2.66,50700,2.66
2016-03-29,2.61,2.87,2.58,2.86,41300,2.86
