Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,18.93,19.10,18.73,18.83,288400,18.83
2016-06-09,19.09,19.209999,18.84,18.99,501300,18.99
2016-06-08,19.200001,19.26,19.09,19.10,546600,19.10
2016-06-07,19.459999,19.51,19.030001,19.219999,490400,19.219999
2016-06-06,19.40,19.60,19.379999,19.469999,269200,19.469999
2016-06-03,19.290001,19.639999,19.15,19.34,300100,19.34
2016-06-02,19.549999,19.610001,19.280001,19.299999,273600,19.299999
2016-06-01,19.43,19.540001,19.26,19.50,178300,19.50
2016-05-31,19.27,19.48,19.15,19.450001,226600,19.450001
2016-05-27,19.09,19.26,19.02,19.209999,136100,19.209999
2016-05-26,18.99,19.26,18.950001,19.16,128500,19.16
2016-05-25,19.139999,19.139999,18.92,18.99,116700,18.99
2016-05-24,18.83,19.299999,18.73,19.07,409100,19.07
2016-05-23,18.50,18.82,18.41,18.709999,316300,18.709999
2016-05-20,18.389999,18.57,18.26,18.52,357300,18.52
2016-05-19,18.459999,18.639999,18.09,18.280001,328600,18.280001
2016-05-18,18.280001,18.76,18.18,18.459999,417100,18.459999
2016-05-17,18.709999,18.879999,18.16,18.299999,470200,18.299999
2016-05-16,18.469999,18.98,18.41,18.76,227800,18.76
2016-05-13,18.59,18.790001,18.50,18.58,281400,18.58
2016-05-12,18.719999,18.84,18.59,18.65,319700,18.65
2016-05-11,18.82,18.93,18.60,18.639999,229900,18.639999
2016-05-10,18.58,18.85,18.440001,18.83,681900,18.83
2016-05-09,18.82,18.940001,18.66,18.719999,331100,18.719999
2016-05-06,18.75,18.969999,18.469999,18.809999,394400,18.809999
2016-05-05,19.25,19.309999,18.74,18.75,582900,18.75
2016-05-04,19.16,19.379999,19.09,19.15,233100,19.15
2016-05-03,19.440001,19.440001,19.129999,19.18,290500,19.18
2016-05-02,19.40,19.620001,19.18,19.51,375600,19.51
2016-04-29,19.85,19.959999,19.09,19.32,387500,19.32
2016-04-28,19.719999,20.049999,19.68,19.889999,313700,19.889999
2016-04-27,19.77,19.940001,19.51,19.879999,324800,19.879999
2016-04-26,19.35,19.860001,19.299999,19.84,517000,19.84
2016-04-25,19.34,19.58,19.120001,19.41,449100,19.32
2016-04-22,18.620001,19.43,18.620001,19.43,634200,19.339908
2016-04-21,19.01,19.27,18.58,18.60,651900,18.513757
2016-04-20,19.280001,19.280001,18.66,19.040001,563700,18.951717
2016-04-19,19.75,20.02,18.41,18.85,1789100,18.762597
2016-04-18,20.209999,20.549999,20.129999,20.43,438400,20.335271
2016-04-15,20.120001,20.33,19.799999,20.299999,400600,20.205873
2016-04-14,20.00,20.43,19.85,20.23,785700,20.136198
2016-04-13,19.15,20.190001,18.74,19.82,2223500,19.728099
2016-04-12,19.120001,19.25,18.610001,19.049999,836900,18.961669
2016-04-11,19.75,19.93,19.52,19.610001,280000,19.519074
2016-04-08,19.93,20.27,19.57,19.73,474800,19.638516
2016-04-07,19.65,19.790001,19.559999,19.68,279400,19.588749
2016-04-06,19.950001,20.129999,19.549999,19.780001,321000,19.688285
2016-04-05,20.139999,20.139999,19.77,19.91,299000,19.817682
2016-04-04,20.01,20.32,20.01,20.27,401100,20.176013
2016-04-01,20.129999,20.25,19.91,20.09,564600,19.996848
2016-03-31,20.41,20.639999,20.219999,20.219999,325000,20.126244
2016-03-30,20.01,20.799999,19.90,20.469999,866300,20.375085
2016-03-29,19.469999,19.73,19.09,19.700001,571600,19.608656
2016-03-28,19.440001,19.610001,19.209999,19.459999,415700,19.369768
2016-03-24,19.469999,19.700001,19.23,19.40,412200,19.310046
2016-03-23,19.639999,19.809999,19.309999,19.549999,346300,19.45935
2016-03-22,19.73,20.00,19.629999,19.719999,264400,19.628562
2016-03-21,19.540001,19.93,19.540001,19.889999,282800,19.797774
2016-03-18,19.77,19.77,19.43,19.60,422800,19.50912
2016-03-17,19.23,19.799999,18.98,19.65,341400,19.558887
2016-03-16,18.98,19.32,18.91,19.190001,189100,19.101021
2016-03-15,18.93,19.27,18.85,19.10,371100,19.011438
2016-03-14,19.129999,19.24,18.940001,19.00,151100,18.911901
2016-03-11,18.82,19.33,18.700001,19.24,361400,19.150788
2016-03-10,18.76,18.969999,18.639999,18.690001,363700,18.603339
2016-03-09,18.73,18.93,18.549999,18.709999,244700,18.623245
2016-03-08,18.49,18.77,18.440001,18.67,364800,18.583432
2016-03-07,18.309999,18.75,18.27,18.620001,283600,18.533664
2016-03-04,18.34,18.610001,18.00,18.379999,605900,18.294775
2016-03-03,18.809999,19.049999,18.08,18.219999,497100,18.135517
2016-03-02,18.469999,19.09,18.389999,18.93,631700,18.842226
2016-03-01,18.809999,18.950001,18.34,18.540001,709800,18.454035
2016-02-29,18.860001,19.00,18.549999,18.709999,486000,18.623245
2016-02-26,18.709999,18.92,18.639999,18.790001,313200,18.702876
2016-02-25,18.809999,18.959999,18.57,18.709999,393500,18.623245
2016-02-24,18.540001,18.809999,18.50,18.75,754500,18.663061
2016-02-23,18.530001,18.90,18.450001,18.68,483500,18.593386
2016-02-22,18.59,18.68,18.35,18.59,350200,18.503803
2016-02-19,18.280001,18.700001,17.83,18.450001,371300,18.364452
2016-02-18,18.48,18.629999,18.25,18.299999,512800,18.215146
2016-02-17,18.26,18.639999,18.24,18.43,576500,18.344545
