Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,5.33,5.35,5.14,5.14,6100,5.14
2016-06-09,5.58,5.63,5.22,5.42,17400,5.42
2016-06-08,5.99,5.99,5.22,5.71,52600,5.71
2016-06-07,6.16,6.89,5.75,5.94,88700,5.94
2016-06-06,5.56,6.24,5.56,6.06,50600,6.06
2016-06-03,5.46,5.60,5.21,5.60,29800,5.60
2016-06-02,5.29,5.65,5.29,5.43,21100,5.43
2016-06-01,5.10,5.30,4.91,5.30,22800,5.30
2016-05-31,5.08,5.09,4.76,5.08,15800,5.08
2016-05-27,4.78,5.07,4.78,5.05,18000,5.05
2016-05-26,4.90,4.90,4.77,4.78,3600,4.78
2016-05-25,4.78,4.94,4.67,4.94,26100,4.94
2016-05-24,4.71,4.88,4.71,4.73,6700,4.73
2016-05-23,4.76,4.79,4.65,4.76,16400,4.76
2016-05-20,4.73,4.90,4.59,4.71,21200,4.71
2016-05-19,4.75,4.75,4.55,4.72,5200,4.72
2016-05-18,4.67,4.86,4.67,4.71,20200,4.71
2016-05-17,4.76,4.77,4.57,4.64,43700,4.64
2016-05-16,4.84,5.09,4.61,4.72,27200,4.72
2016-05-13,5.01,5.05,4.86,4.87,24300,4.87
2016-05-12,4.95,5.05,4.93,4.93,22800,4.93
2016-05-11,5.06,5.11,4.95,4.95,27600,4.95
2016-05-10,5.00,5.33,4.93,5.09,31700,5.09
2016-05-09,4.96,5.12,4.96,5.05,16500,5.05
2016-05-06,4.98,4.98,4.92,4.96,7300,4.96
2016-05-05,5.04,5.09,4.87,4.93,24500,4.93
2016-05-04,5.20,5.39,5.00,5.07,21900,5.07
2016-05-03,5.19,5.28,5.00,5.10,6400,5.10
2016-05-02,4.77,5.66,4.75,5.16,93200,5.16
2016-04-29,4.89,5.34,4.81,4.86,27300,4.86
2016-04-28,5.51,5.65,4.81,4.82,39200,4.82
2016-04-27,5.55,5.72,5.49,5.51,6200,5.51
2016-04-26,5.89,5.89,5.50,5.61,13900,5.61
2016-04-25,5.49,5.74,5.49,5.65,9100,5.65
2016-04-22,5.58,5.60,5.49,5.49,16900,5.49
2016-04-21,5.56,5.59,5.50,5.54,18500,5.54
2016-04-20,5.51,5.79,5.51,5.60,14500,5.60
2016-04-19,5.90,5.90,5.59,5.60,11900,5.60
2016-04-18,5.51,5.92,5.51,5.56,15600,5.56
2016-04-15,5.52,5.62,5.50,5.50,14200,5.50
2016-04-14,5.59,5.59,5.51,5.54,21600,5.54
2016-04-13,5.51,5.69,5.51,5.60,7500,5.60
2016-04-12,5.55,5.88,5.50,5.64,24500,5.64
2016-04-11,5.76,5.90,5.76,5.80,18200,5.80
2016-04-08,5.75,5.93,5.62,5.83,16400,5.83
2016-04-07,5.53,5.98,5.53,5.92,31800,5.92
2016-04-06,5.83,6.00,5.39,5.58,18400,5.58
2016-04-05,5.91,6.23,5.71,5.71,24300,5.71
2016-04-04,5.70,5.99,5.70,5.89,26300,5.89
2016-04-01,5.46,5.80,5.46,5.66,20300,5.66
2016-03-31,5.69,5.69,5.35,5.36,9500,5.36
2016-03-30,5.13,5.69,5.13,5.32,36900,5.32
2016-03-29,5.19,5.24,5.01,5.06,17500,5.06
2016-03-28,5.24,5.26,5.15,5.24,4300,5.24
2016-03-24,5.37,5.37,5.18,5.27,7400,5.27
2016-03-23,5.15,5.45,5.12,5.41,9000,5.41
2016-03-22,5.12,5.30,5.09,5.11,2500,5.11
2016-03-21,5.04,5.33,5.04,5.07,9800,5.07
2016-03-18,5.02,5.54,4.90,4.99,31100,4.99
2016-03-17,5.17,5.23,4.97,4.97,25700,4.97
2016-03-16,5.54,5.54,5.09,5.48,4400,5.48
2016-03-15,5.34,5.74,5.34,5.37,13500,5.37
2016-03-14,5.55,5.65,5.36,5.36,39600,5.36
2016-03-11,5.75,5.75,5.15,5.59,70000,5.59
2016-03-10,5.90,5.90,5.60,5.77,41900,5.77
2016-03-09,5.64,5.80,5.51,5.65,10600,5.65
2016-03-08,5.59,5.89,5.37,5.55,81400,5.55
2016-03-07,5.52,5.85,5.44,5.62,44800,5.62
2016-03-04,5.76,5.83,5.51,5.52,45400,5.52
2016-03-03,5.89,5.89,5.51,5.51,45000,5.51
2016-03-02,5.49,5.89,5.41,5.89,52000,5.89
2016-03-01,4.76,5.50,4.76,5.37,29300,5.37
2016-02-29,4.89,4.90,4.81,4.81,8200,4.81
2016-02-26,4.92,5.00,4.65,4.91,15500,4.91
2016-02-25,4.98,4.98,4.50,4.76,21500,4.76
2016-02-24,4.69,4.99,4.63,4.81,13800,4.81
2016-02-23,4.53,4.69,4.53,4.68,2600,4.68
2016-02-22,4.52,4.94,4.52,4.89,36900,4.89
2016-02-19,4.60,4.87,4.58,4.63,43000,4.63
2016-02-18,4.69,4.93,4.50,4.72,36400,4.72
2016-02-17,4.93,4.93,4.50,4.88,7600,4.88
2016-02-16,4.57,4.74,4.29,4.68,20100,4.68
2016-02-12,5.27,5.27,4.83,4.84,14500,4.84
2016-02-11,4.59,6.00,4.55,5.40,91200,5.40
2016-02-10,4.34,4.93,4.25,4.59,44600,4.59
2016-02-09,4.41,4.48,4.02,4.34,36000,4.34
2016-02-08,4.90,5.00,4.50,4.65,20600,4.65
2016-02-05,6.00,6.06,4.27,4.90,84200,4.90
2016-02-04,6.38,6.38,6.00,6.00,18000,6.00
2016-02-03,6.36,6.44,6.05,6.15,32100,6.15
2016-02-02,6.42,6.42,5.99,6.30,29200,6.30
2016-02-01,6.30,6.49,6.26,6.49,8000,6.49
2016-01-29,6.35,6.63,6.21,6.29,9200,6.29
2016-01-28,6.50,6.50,6.27,6.44,6000,6.44
2016-01-27,6.25,6.49,6.15,6.47,14100,6.47
2016-01-26,6.30,6.41,6.15,6.21,8500,6.21
2016-01-25,6.38,6.41,6.25,6.27,12500,6.27
2016-01-22,6.25,6.39,6.25,6.37,14500,6.37
2016-01-21,6.25,6.45,6.25,6.30,7200,6.30
2016-01-20,6.28,6.43,6.25,6.34,7100,6.34
2016-01-19,6.51,6.97,6.25,6.34,10200,6.34
2016-01-15,6.26,6.68,6.26,6.50,11300,6.50
2016-01-14,6.45,6.50,6.28,6.32,13900,6.32
2016-01-13,6.88,6.88,6.27,6.41,16300,6.41
2016-01-12,6.59,6.90,6.25,6.87,21200,6.87
2016-01-11,6.45,6.67,6.41,6.56,10700,6.56
2016-01-08,6.80,7.25,6.34,6.62,21500,6.62
2016-01-07,6.61,6.98,6.60,6.74,13000,6.74
2016-01-06,6.87,7.29,6.48,6.75,31200,6.75
2016-01-05,6.42,7.21,6.42,7.01,20900,7.01
2016-01-04,6.92,6.92,6.22,6.30,17200,6.30
2015-12-31,6.46,6.82,6.29,6.79,13700,6.79
2015-12-30,6.80,7.09,6.23,6.46,18600,6.46
2015-12-29,7.14,7.14,6.62,6.77,18900,6.77
2015-12-28,7.10,7.39,6.87,7.08,24500,7.08
2015-12-24,7.02,7.19,7.02,7.19,2100,7.19
2015-12-23,7.20,7.50,7.11,7.17,9200,7.17
