Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,25.549999,25.549999,25.32,25.450001,377000,25.450001
2016-06-09,25.42,25.50,25.15,25.49,18900,25.49
2016-06-08,25.41,25.41,25.17,25.389999,16200,25.389999
2016-06-07,25.50,25.50,25.319,25.50,14800,25.50
2016-06-06,25.48,25.49,25.35,25.49,25700,25.49
2016-06-03,25.34,25.450001,25.200001,25.389999,18900,25.389999
2016-06-02,25.15,25.290001,25.09,25.290001,21800,25.290001
2016-06-01,25.16,25.290001,25.15,25.16,91800,25.16
2016-05-31,25.16,25.25,25.143999,25.190001,30600,25.190001
2016-05-27,25.139999,25.177,25.139999,25.156,10300,25.156
2016-05-26,25.139999,25.18,25.139999,25.17,4700,25.17
2016-05-25,25.15,25.200001,25.110001,25.139999,30500,25.139999
2016-05-24,25.190001,25.209999,25.10,25.18,30400,25.18
2016-05-23,25.059999,25.15,25.059999,25.115,51200,25.115
2016-05-20,25.09,25.10,25.030001,25.059999,65900,25.059999
2016-05-19,25.00,25.07,24.85,25.040001,84900,25.040001
2016-05-18,25.049999,25.09,24.950001,25.00,12500,25.00
2016-05-17,25.049999,25.069,24.99,25.049999,11000,25.049999
2016-05-16,25.08,25.08,24.969999,25.02,14900,25.02
2016-05-13,25.07,25.10,25.014,25.09,10100,25.09
2016-05-12,24.99,25.08,24.99,25.049999,4600,25.049999
2016-05-11,24.99,25.00,24.959999,24.959999,9400,24.959999
2016-05-10,25.00,25.049999,24.879999,24.969999,20200,24.969999
2016-05-09,24.93,25.00,24.93,24.99,50800,24.99
2016-05-06,24.75,24.809999,24.75,24.805,7900,24.805
2016-05-05,24.90,24.945,24.76,24.76,16400,24.76
2016-05-04,24.90,24.90,24.856001,24.90,18100,24.90
2016-05-03,24.889,24.90,24.85,24.90,13700,24.90
2016-05-02,24.874001,24.90,24.860001,24.90,19500,24.90
2016-04-29,24.85,24.896,24.85,24.879999,6900,24.879999
2016-04-28,24.85,24.950001,24.85,24.90,7500,24.90
2016-04-27,24.93,24.950001,24.843,24.905001,5900,24.905001
2016-04-26,24.75,24.938999,24.75,24.91,24900,24.91
2016-04-25,24.844999,24.879999,24.750999,24.851999,15900,24.851999
2016-04-22,24.77,24.879999,24.77,24.879999,10300,24.879999
2016-04-21,24.834999,24.879999,24.764999,24.85,9600,24.85
2016-04-20,24.75,24.85,24.559999,24.83,15600,24.83
2016-04-19,24.82,24.85,24.799999,24.829,26100,24.829
2016-04-18,24.85,24.85,24.799999,24.84,24900,24.84
2016-04-15,24.700001,24.85,24.700001,24.799999,31300,24.799999
2016-04-14,24.73,24.75,24.572001,24.620001,10900,24.620001
2016-04-13,24.549999,24.709999,24.459999,24.709999,15600,24.709999
2016-04-12,24.360001,24.549999,24.360001,24.48,17300,24.48
2016-04-11,24.51,24.549999,24.42,24.50,28400,24.50
2016-04-08,24.299999,24.488001,24.25,24.360001,12700,24.360001
2016-04-07,24.299999,24.42,24.200001,24.25,27400,24.25
2016-04-06,24.33,24.41,24.299999,24.40,9000,24.40
2016-04-05,24.25,24.35,24.25,24.35,9700,24.35
2016-04-04,24.209999,24.396999,24.200001,24.33,14300,24.33
2016-04-01,24.360001,24.450001,24.360001,24.40,10800,24.40
2016-03-31,24.40,24.530001,24.370001,24.469999,14700,24.469999
2016-03-30,24.549999,24.629999,24.334999,24.468,9800,24.468
2016-03-29,24.85,24.940001,24.799999,24.91,25000,24.426
2016-03-28,24.950001,24.950001,24.870001,24.93,8000,24.445612
2016-03-24,24.65,24.90,24.65,24.889999,13300,24.406389
2016-03-23,24.700001,24.84,24.68,24.75,9100,24.269109
2016-03-22,24.82,24.889999,24.76,24.84,74600,24.357361
2016-03-21,24.65,24.90,24.459999,24.889999,186300,24.406389
2016-03-18,24.60,24.74,24.552999,24.690001,13800,24.210276
2016-03-17,24.34,24.676001,24.15,24.51,17500,24.033773
2016-03-16,24.434999,24.50,24.370001,24.48,15900,24.004355
2016-03-15,24.440001,24.440001,24.219999,24.386,7600,23.912182
2016-03-14,24.469999,24.469999,24.26,24.34,9900,23.867076
2016-03-11,24.32,24.451,24.32,24.434999,12200,23.960229
2016-03-10,24.23,24.35,24.23,24.333,7700,23.860212
2016-03-09,24.120001,24.34,24.110001,24.299999,5600,23.827852
2016-03-08,24.114,24.32,24.110001,24.110001,18500,23.641545
2016-03-07,24.00,24.25,24.00,24.25,9300,23.778824
2016-03-04,23.940001,24.00,23.90,24.00,8900,23.533682
