Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,22.18,22.530001,22.01,22.42,231200,22.42
2016-06-09,22.08,22.540001,21.700001,22.51,281500,22.51
2016-06-08,22.07,22.540001,22.011999,22.24,80500,22.24
2016-06-07,21.889999,22.167999,21.700001,22.10,96200,22.10
2016-06-06,21.459999,22.004999,21.459999,21.83,84300,21.83
2016-06-03,21.60,21.60,21.35,21.52,47300,21.52
2016-06-02,21.559999,21.85,21.024,21.709999,119100,21.709999
2016-06-01,21.23,21.82,21.16,21.67,152200,21.67
2016-05-31,20.950001,21.41,20.860001,21.200001,237300,21.200001
2016-05-27,21.549999,21.77,20.440001,21.00,219500,21.00
2016-05-26,21.610001,21.799999,21.370001,21.459999,120200,21.459999
2016-05-25,21.559999,21.950001,21.559999,21.610001,84100,21.610001
2016-05-24,21.68,22.030001,21.59,21.719999,113800,21.719999
2016-05-23,21.42,21.75,21.16,21.50,149300,21.50
2016-05-20,21.17,21.73,21.091999,21.49,158300,21.49
2016-05-19,21.60,21.674999,21.059999,21.10,97400,21.10
2016-05-18,21.49,22.049999,21.469999,21.68,176400,21.68
2016-05-17,22.01,22.040001,21.40,21.700001,101800,21.700001
2016-05-16,21.67,22.16,21.639999,22.00,92400,22.00
2016-05-13,21.91,22.41,21.690001,21.700001,106600,21.700001
2016-05-12,21.52,22.50,21.10,21.91,366800,21.91
2016-05-11,21.969999,21.98,19.91,21.530001,778300,21.530001
2016-05-10,21.90,22.82,21.459999,22.60,270300,22.60
2016-05-09,21.620001,22.24,21.200001,21.90,134700,21.90
2016-05-06,21.379999,22.07,21.049999,21.790001,131700,21.790001
2016-05-05,22.00,22.07,21.469999,21.50,88400,21.50
2016-05-04,22.09,22.315001,21.690001,21.719999,85700,21.719999
2016-05-03,23.290001,23.290001,22.389999,22.389999,122000,22.389999
2016-05-02,22.85,23.59,22.639999,23.469999,213700,23.469999
2016-04-29,23.10,23.10,22.23,22.809999,198200,22.809999
2016-04-28,23.25,23.969999,22.77,22.959999,220300,22.959999
2016-04-27,23.049999,23.440001,23.049999,23.26,72900,23.26
2016-04-26,23.379999,23.530001,22.969999,23.09,101200,23.09
2016-04-25,22.809999,23.17,22.459999,23.15,291400,23.15
2016-04-22,22.32,22.93,22.32,22.77,99800,22.77
2016-04-21,23.030001,23.145,22.309999,22.42,225500,22.42
2016-04-20,22.629999,23.17,22.40,23.049999,102900,23.049999
2016-04-19,22.709999,23.059999,22.42,22.73,158200,22.73
2016-04-18,22.35,22.563999,22.059999,22.49,87700,22.49
2016-04-15,22.25,22.469999,22.200001,22.35,54700,22.35
2016-04-14,22.34,22.59,22.01,22.379999,103800,22.379999
2016-04-13,21.68,22.52,21.639999,22.35,158600,22.35
2016-04-12,22.450001,22.465,21.15,21.639999,193100,21.639999
2016-04-11,22.559999,23.02,22.280001,22.360001,114900,22.360001
2016-04-08,22.59,23.110001,22.33,22.50,131000,22.50
2016-04-07,22.60,22.969999,22.09,22.49,236600,22.49
2016-04-06,22.73,23.18,22.50,22.82,202500,22.82
2016-04-05,22.75,23.07,22.51,22.75,210900,22.75
2016-04-04,23.09,23.535999,22.85,23.030001,149500,23.030001
2016-04-01,22.92,23.440001,21.83,23.219999,415700,23.219999
2016-03-31,23.92,24.219999,22.68,23.700001,285200,23.700001
2016-03-30,23.00,23.870001,22.700001,23.780001,450900,23.780001
2016-03-29,22.10,23.049,21.639999,22.690001,367600,22.690001
2016-03-28,22.18,22.475,21.58,22.07,168300,22.07
2016-03-24,21.68,22.049999,21.379999,22.030001,123200,22.030001
2016-03-23,21.620001,22.280001,21.200001,21.85,190500,21.85
2016-03-22,21.530001,22.049999,21.43,21.719999,154800,21.719999
2016-03-21,21.809999,22.25,21.091,21.73,195100,21.73
2016-03-18,21.860001,22.16,21.52,21.75,194400,21.75
2016-03-17,21.530001,22.264,21.34,21.73,203900,21.73
2016-03-16,21.309999,21.66,21.01,21.58,76600,21.58
2016-03-15,21.299999,21.940001,20.511,21.469999,108600,21.469999
2016-03-14,21.200001,21.620001,20.940001,21.35,242300,21.35
2016-03-11,21.65,21.77,21.15,21.41,219300,21.41
2016-03-10,22.139999,22.440001,21.190001,21.35,293200,21.35
2016-03-09,21.83,22.629999,21.16,22.120001,215400,22.120001
2016-03-08,22.440001,22.459999,21.280001,21.65,350900,21.65
2016-03-07,20.719999,23.27,20.465,22.700001,840800,22.700001
2016-03-04,22.389999,22.459999,20.75,21.00,390400,21.00
2016-03-03,21.26,22.690001,21.16,22.41,458500,22.41
2016-03-02,20.65,21.75,20.16,21.43,313800,21.43
2016-03-01,19.950001,20.85,19.76,20.58,505700,20.58
2016-02-29,19.93,20.98,19.16,19.950001,693100,19.950001
2016-02-26,20.549999,22.67,19.93,19.99,2540000,19.99
2016-02-25,17.25,17.940001,16.91,17.719999,217300,17.719999
2016-02-24,16.68,17.25,16.51,17.190001,87400,17.190001
2016-02-23,16.93,16.99,16.549999,16.870001,125600,16.870001
2016-02-22,16.84,17.25,16.51,16.940001,331400,16.940001
2016-02-19,16.15,16.889999,16.00,16.709999,283300,16.709999
2016-02-18,16.049999,16.308001,15.43,16.18,125500,16.18
2016-02-17,15.90,16.290001,15.77,16.040001,83000,16.040001
2016-02-16,15.15,15.87,15.12,15.78,181900,15.78
2016-02-12,14.56,15.18,14.36,15.02,171800,15.02
2016-02-11,14.17,14.42,14.00,14.36,109700,14.36
2016-02-10,14.97,15.03,14.37,14.44,95300,14.44
2016-02-09,14.35,15.11,14.35,14.77,289000,14.77
2016-02-08,15.67,15.67,14.269,14.46,144000,14.46
2016-02-05,15.92,16.26,15.76,15.88,374900,15.88
2016-02-04,15.68,16.15,15.68,16.040001,154100,16.040001
2016-02-03,15.67,16.07,15.40,15.79,228800,15.79
2016-02-02,16.16,16.219999,15.36,15.51,296300,15.51
2016-02-01,16.02,16.450001,15.88,16.280001,238400,16.280001
2016-01-29,16.00,16.67,15.89,16.15,324100,16.15
2016-01-28,16.280001,16.280001,15.89,16.02,121600,16.02
2016-01-27,16.42,16.610001,15.81,16.00,266200,16.00
2016-01-26,16.129999,16.65,15.97,16.52,158900,16.52
2016-01-25,16.58,16.76,15.93,16.00,198400,16.00
2016-01-22,16.68,17.049999,16.360001,16.719999,103400,16.719999
2016-01-21,16.059999,17.069,15.81,16.389999,198800,16.389999
2016-01-20,15.35,16.10,15.04,15.92,611700,15.92
2016-01-19,16.139999,16.27,15.50,15.62,136300,15.62
2016-01-15,15.48,16.27,15.44,16.01,199400,16.01
2016-01-14,15.98,16.48,15.75,15.94,279300,15.94
2016-01-13,16.049999,16.370001,15.77,15.92,458200,15.92
2016-01-12,16.18,16.33,15.80,16.01,251100,16.01
2016-01-11,16.09,16.27,15.62,16.00,475700,16.00
2016-01-08,16.040001,16.139999,15.90,16.01,138900,16.01
2016-01-07,15.97,16.299999,15.50,16.00,268500,16.00
2016-01-06,15.60,16.58,15.55,16.290001,345900,16.290001
2016-01-05,16.200001,16.459999,15.605,15.93,240000,15.93
2016-01-04,16.43,16.690001,15.52,16.200001,220600,16.200001
2015-12-31,16.75,16.99,16.50,16.68,211100,16.68
2015-12-30,17.00,17.440001,16.620001,16.76,212500,16.76
2015-12-29,17.18,17.59,17.02,17.49,66100,17.49
2015-12-28,16.59,17.48,16.200001,17.08,309000,17.08
2015-12-24,17.65,17.93,17.51,17.700001,28800,17.700001
2015-12-23,17.91,18.34,17.540001,17.709999,143800,17.709999
2015-12-22,17.129999,17.950001,16.98,17.76,180100,17.76
2015-12-21,16.969999,17.200001,16.75,17.139999,133400,17.139999
2015-12-18,16.82,17.10,16.469999,16.719999,182600,16.719999
2015-12-17,17.044001,17.50,16.75,16.790001,122500,16.790001
