Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,20.76,20.76,20.440001,20.440001,15500,20.440001
2016-06-09,20.860001,20.889999,20.51,20.83,6900,20.83
2016-06-08,21.030001,21.200001,20.85,20.90,11400,20.90
2016-06-07,20.98,21.00,20.83,20.860001,7000,20.860001
2016-06-06,20.799999,21.209999,20.73,20.91,19600,20.91
2016-06-03,20.59,21.18,20.459999,20.75,52500,20.75
2016-06-02,20.549999,20.780001,20.50,20.74,13600,20.74
2016-06-01,20.35,20.73,20.10,20.60,11700,20.60
2016-05-31,20.40,20.66,20.360001,20.530001,10500,20.530001
2016-05-27,19.66,20.41,19.43,20.41,8200,20.41
2016-05-26,19.90,20.389999,19.719999,20.299999,10700,20.299999
2016-05-25,19.85,19.99,19.83,19.959999,10100,19.959999
2016-05-24,19.50,19.969999,19.48,19.85,12800,19.85
2016-05-23,19.299999,19.49,19.15,19.40,6900,19.40
2016-05-20,19.059999,19.42,19.02,19.299999,14100,19.299999
2016-05-19,19.00,19.030001,18.709999,18.92,5400,18.92
2016-05-18,18.49,19.219999,18.49,19.219999,9100,19.219999
2016-05-17,19.200001,19.23,18.59,18.610001,14900,18.610001
2016-05-16,18.84,19.33,18.84,19.24,10700,19.24
2016-05-13,19.110001,19.110001,18.76,18.809999,4900,18.809999
2016-05-12,19.16,19.219999,18.83,18.940001,11600,18.940001
2016-05-11,19.00,19.35,18.780001,19.110001,20300,19.110001
2016-05-10,18.809999,19.24,18.809999,19.00,8900,19.00
2016-05-09,19.02,19.41,18.110001,18.940001,11500,18.940001
2016-05-06,18.709999,19.049999,18.709999,18.950001,13100,18.950001
2016-05-05,19.030001,19.200001,18.85,18.889999,17200,18.889999
2016-05-04,19.190001,19.200001,18.940001,19.09,17700,19.09
2016-05-03,19.75,19.889999,19.139999,19.200001,49100,19.200001
2016-05-02,19.66,20.25,19.66,19.950001,15400,19.950001
2016-04-29,19.91,20.040001,19.540001,19.66,14800,19.66
2016-04-28,20.379999,20.379999,20.110001,20.129999,18600,20.129999
2016-04-27,20.50,20.73,20.49,20.51,12300,20.360001
2016-04-26,20.50,20.76,20.32,20.700001,10000,20.548612
2016-04-25,20.57,20.57,20.200001,20.49,9600,20.340146
2016-04-22,20.99,20.99,20.559999,20.690001,9000,20.538684
2016-04-21,21.15,21.190001,20.84,20.84,18700,20.687587
2016-04-20,20.76,21.24,20.76,21.059999,20800,20.905977
2016-04-19,20.299999,20.93,20.299999,20.85,34600,20.697514
2016-04-18,20.18,20.540001,19.01,20.299999,24800,20.151535
2016-04-15,20.10,20.82,20.10,20.34,16700,20.191244
2016-04-14,19.24,19.799999,19.24,19.620001,9300,19.47651
2016-04-13,18.98,19.60,18.50,19.41,11000,19.268045
2016-04-12,18.799999,19.00,18.76,19.00,10800,18.861044
2016-04-11,18.940001,19.139999,18.82,18.870001,5100,18.731995
2016-04-08,19.129999,19.129999,18.879999,18.879999,3900,18.74192
2016-04-07,18.35,18.93,18.35,18.809999,13500,18.672433
2016-04-06,18.799999,18.92,18.49,18.59,8000,18.454042
2016-04-05,19.030001,19.18,18.73,18.84,17900,18.702214
2016-04-04,19.610001,19.66,19.18,19.23,5400,19.089361
2016-04-01,19.620001,20.02,19.620001,19.66,8700,19.516217
2016-03-31,19.02,20.10,18.52,19.83,26800,19.684973
2016-03-30,18.629999,19.27,18.610001,19.200001,11500,19.059582
2016-03-29,18.110001,18.629999,18.00,18.610001,13800,18.473897
2016-03-28,18.219999,18.360001,18.17,18.23,5400,18.096675
2016-03-24,18.280001,18.280001,18.120001,18.200001,8500,18.066895
2016-03-23,18.030001,18.360001,18.030001,18.120001,16900,17.98748
2016-03-22,18.66,18.690001,18.08,18.15,11800,18.01726
2016-03-21,19.10,19.52,18.870001,18.959999,10300,18.821335
2016-03-18,19.059999,19.48,18.639999,19.219999,24900,19.079434
2016-03-17,18.549999,19.00,18.440001,18.959999,7400,18.821335
2016-03-16,18.610001,18.620001,18.360001,18.549999,9000,18.414334
