Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,10.72,11.24,10.51,10.55,123100,10.55
2016-06-09,11.20,11.33,10.70,10.96,75800,10.96
2016-06-08,11.46,11.72,11.21,11.22,81500,11.22
2016-06-07,11.66,11.72,11.00,11.51,89900,11.51
2016-06-06,12.34,12.39,11.27,11.58,152200,11.58
2016-06-03,12.48,12.644,12.05,12.27,124200,12.27
2016-06-02,13.07,13.07,12.108,12.55,173400,12.55
2016-06-01,11.41,12.97,11.36,12.92,373100,12.92
2016-05-31,11.65,11.68,10.83,11.50,112200,11.50
2016-05-27,11.27,11.74,11.00,11.60,163400,11.60
2016-05-26,11.50,11.60,11.15,11.18,106400,11.18
2016-05-25,11.73,11.84,11.40,11.44,128000,11.44
2016-05-24,11.35,11.61,10.40,11.39,232900,11.39
2016-05-23,10.46,12.35,10.46,11.64,727200,11.64
2016-05-20,10.01,10.74,9.898,10.50,485800,10.50
2016-05-19,8.80,10.30,8.80,10.06,895300,10.06
2016-05-18,7.82,7.95,7.65,7.80,53600,7.80
2016-05-17,7.97,7.995,7.757,7.83,70800,7.83
2016-05-16,8.05,8.23,7.81,7.91,49000,7.91
2016-05-13,7.95,8.59,7.95,8.06,45600,8.06
2016-05-12,8.23,8.25,7.90,7.96,45300,7.96
2016-05-11,8.35,8.406,8.05,8.08,21900,8.08
2016-05-10,8.43,8.43,7.89,8.32,29800,8.32
2016-05-09,7.85,8.39,7.71,8.25,47000,8.25
2016-05-06,7.60,7.85,7.56,7.83,72400,7.83
2016-05-05,7.96,8.01,7.54,7.54,61200,7.54
2016-05-04,8.05,8.11,7.86,8.00,68200,8.00
2016-05-03,7.95,8.10,7.95,8.05,24000,8.05
2016-05-02,8.35,8.36,7.95,8.15,29900,8.15
2016-04-29,8.30,8.38,8.006,8.37,57700,8.37
2016-04-28,8.20,8.45,8.19,8.23,36300,8.23
2016-04-27,8.12,8.27,7.816,8.22,18500,8.22
2016-04-26,8.02,8.25,7.90,8.04,48100,8.04
2016-04-25,8.00,8.64,7.98,8.14,45800,8.14
2016-04-22,8.16,8.25,7.80,8.00,60500,8.00
2016-04-21,8.24,8.59,8.02,8.11,53900,8.11
2016-04-20,8.11,8.40,7.54,8.32,34100,8.32
2016-04-19,7.86,8.513,7.86,8.08,43100,8.08
2016-04-18,8.04,8.20,7.82,7.82,69600,7.82
2016-04-15,8.71,8.848,8.28,8.28,41000,8.28
2016-04-14,9.00,9.00,8.67,8.69,29800,8.69
2016-04-13,8.70,9.12,8.70,9.01,78500,9.01
2016-04-12,8.50,8.893,8.40,8.69,39000,8.69
2016-04-11,8.05,8.49,8.03,8.45,66700,8.45
2016-04-08,8.11,8.11,7.75,7.98,13900,7.98
2016-04-07,8.20,8.21,7.902,8.10,59700,8.10
2016-04-06,8.32,8.49,8.05,8.16,119300,8.16
2016-04-05,8.00,8.40,7.69,8.25,120500,8.25
2016-04-04,7.20,8.23,7.15,7.93,194200,7.93
2016-04-01,6.77,7.905,6.63,7.15,223600,7.15
2016-03-31,6.60,6.86,6.451,6.65,44500,6.65
2016-03-30,6.45,6.73,6.45,6.59,22400,6.59
2016-03-29,6.34,6.76,6.26,6.45,101100,6.45
2016-03-28,6.20,6.34,6.12,6.25,28500,6.25
2016-03-24,6.25,6.33,6.05,6.18,21200,6.18
2016-03-23,6.15,6.40,6.15,6.23,30100,6.23
2016-03-22,6.06,6.25,6.02,6.14,21000,6.14
2016-03-21,6.14,6.26,5.98,6.01,30400,6.01
2016-03-18,6.10,6.26,5.95,6.09,125100,6.09
2016-03-17,6.03,6.16,6.01,6.08,29700,6.08
2016-03-16,6.22,6.24,6.03,6.10,21300,6.10
2016-03-15,6.16,6.22,5.96,5.98,29200,5.98
2016-03-14,6.17,6.31,6.01,6.14,30300,6.14
2016-03-11,5.99,6.16,5.88,6.16,27200,6.16
2016-03-10,6.49,6.49,5.87,5.94,25300,5.94
2016-03-09,6.39,6.65,6.39,6.42,23900,6.42
2016-03-08,6.20,6.739,6.20,6.55,43600,6.55
2016-03-07,6.34,7.00,5.83,6.20,140600,6.20
2016-03-04,6.34,6.34,5.95,5.99,26700,5.99
2016-03-03,5.80,6.41,5.80,6.15,35400,6.15
2016-03-02,5.79,5.90,5.73,5.90,20900,5.90
2016-03-01,5.71,5.78,5.562,5.77,26700,5.77
2016-02-29,5.50,5.90,5.492,5.80,66600,5.80
2016-02-26,4.98,5.42,4.959,5.42,41500,5.42
2016-02-25,5.11,5.11,4.82,4.83,25300,4.83
2016-02-24,5.19,5.20,5.01,5.03,15500,5.03
2016-02-23,5.08,5.20,5.00,5.06,20700,5.06
2016-02-22,5.09,5.09,5.01,5.08,21300,5.08
2016-02-19,5.021,5.021,5.021,5.021,000,5.021
2016-02-18,5.17,5.18,5.00,5.021,5100,5.021
2016-02-17,4.87,5.02,4.86,4.94,8000,4.94
2016-02-16,4.90,4.90,4.766,4.90,5600,4.90
2016-02-12,4.78,4.81,4.78,4.801,3100,4.801
2016-02-11,4.73,4.74,4.68,4.70,10900,4.70
2016-02-10,4.82,4.82,4.60,4.671,54700,4.671
2016-02-09,4.87,4.92,4.71,4.71,14600,4.71
2016-02-08,4.94,4.94,4.92,4.94,3700,4.94
2016-02-05,4.837,4.92,4.837,4.89,900,4.89
2016-02-04,4.849,4.93,4.76,4.93,5700,4.93
2016-02-03,4.77,4.91,4.77,4.89,17100,4.89
2016-02-02,4.85,4.89,4.678,4.81,15100,4.81
2016-02-01,5.35,5.35,4.71,4.85,11000,4.85
2016-01-29,4.70,4.75,4.63,4.63,7400,4.63
2016-01-28,4.72,4.72,4.655,4.655,300,4.655
2016-01-27,4.65,4.75,4.60,4.676,1500,4.676
2016-01-26,4.67,4.75,4.51,4.74,37500,4.74
2016-01-25,4.55,4.66,4.55,4.65,6900,4.65
2016-01-22,4.65,4.656,4.50,4.55,14200,4.55
2016-01-21,4.85,4.86,4.50,4.51,37200,4.51
2016-01-20,4.958,4.96,4.74,4.80,12300,4.80
2016-01-19,5.01,5.01,4.91,4.93,6300,4.93
2016-01-15,5.00,5.07,5.00,5.00,9100,5.00
2016-01-14,5.00,5.10,5.00,5.07,3300,5.07
2016-01-13,5.08,5.08,5.00,5.00,5400,5.00
2016-01-12,5.089,5.09,5.00,5.04,14000,5.04
2016-01-11,5.31,5.31,5.00,5.09,25200,5.09
2016-01-08,5.23,5.24,5.083,5.20,24800,5.20
2016-01-07,5.20,5.303,5.154,5.16,8300,5.16
2016-01-06,5.34,5.34,5.25,5.25,1600,5.25
2016-01-05,5.18,5.39,5.097,5.39,14700,5.39
2016-01-04,5.29,5.48,5.17,5.17,19100,5.17
2015-12-31,5.40,5.49,5.25,5.33,53100,5.33
2015-12-30,5.256,5.40,5.18,5.38,15000,5.38
2015-12-29,5.17,5.35,5.11,5.27,26600,5.27
2015-12-28,5.08,5.15,5.07,5.12,13600,5.12
2015-12-24,5.14,5.14,5.06,5.07,1300,5.07
2015-12-23,5.13,5.17,5.09,5.12,6300,5.12
2015-12-22,5.15,5.16,5.028,5.08,4300,5.08
2015-12-21,5.18,5.19,5.05,5.10,11100,5.10
2015-12-18,5.19,5.19,5.05,5.05,54300,5.05
2015-12-17,5.093,5.15,5.06,5.07,5100,5.07
2015-12-16,5.19,5.19,5.06,5.06,3300,5.06
2015-12-15,5.15,5.19,5.07,5.19,13900,5.19
2015-12-14,5.12,5.20,5.11,5.12,9700,5.12
2015-12-11,5.12,5.14,5.10,5.12,11000,5.12
2015-12-10,5.06,5.10,5.06,5.09,9800,5.09
2015-12-09,5.11,5.11,5.00,5.03,4500,5.03
2015-12-08,5.11,5.14,5.07,5.07,5700,5.07
2015-12-07,5.17,5.20,5.02,5.11,86200,5.11
2015-12-04,5.17,5.17,5.121,5.15,13600,5.15
2015-12-03,5.171,5.18,5.161,5.17,10000,5.17
2015-12-02,5.16,5.18,5.14,5.17,3500,5.17
2015-12-01,5.10,5.20,5.10,5.16,23400,5.16
2015-11-30,5.12,5.12,5.00,5.05,7600,5.05
2015-11-27,5.11,5.17,5.109,5.17,8000,5.17
2015-11-25,5.186,5.186,5.08,5.08,6900,5.08
2015-11-24,5.10,5.13,5.02,5.13,14100,5.13
2015-11-23,4.99,5.10,4.99,5.06,8000,5.06
2015-11-20,5.028,5.09,4.90,4.99,12600,4.99
2015-11-19,5.049,5.05,5.01,5.04,4800,5.04
2015-11-18,5.05,5.06,5.00,5.00,9300,5.00
2015-11-17,5.20,5.20,5.00,5.18,21900,5.18
2015-11-16,5.34,5.34,5.15,5.16,15000,5.16
2015-11-13,5.349,5.349,5.13,5.145,14800,5.145
