Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,14.56,14.61,14.43,14.49,2526500,14.49
2016-06-09,14.63,14.68,14.53,14.58,2419000,14.58
2016-06-08,14.81,14.83,14.57,14.63,3600900,14.63
2016-06-07,14.80,14.82,14.69,14.76,2293600,14.76
2016-06-06,14.81,14.85,14.72,14.76,2252700,14.76
2016-06-03,14.80,14.86,14.74,14.77,2374400,14.77
2016-06-02,14.87,14.91,14.78,14.85,2147000,14.85
2016-06-01,14.84,14.97,14.81,14.90,2230800,14.90
2016-05-31,14.95,14.96,14.79,14.84,2178900,14.84
2016-05-27,14.82,14.92,14.77,14.89,2360000,14.89
2016-05-26,15.01,15.04,14.77,14.82,4424900,14.82
2016-05-25,15.11,15.19,14.93,14.97,2152700,14.97
2016-05-24,14.96,15.07,14.82,15.01,4000700,15.01
2016-05-23,14.80,14.99,14.52,14.83,8842700,14.83
2016-05-20,15.12,15.30,15.05,15.19,1209600,15.19
2016-05-19,15.15,15.21,14.96,15.02,1429000,15.02
2016-05-18,15.32,15.36,15.15,15.24,890200,15.24
2016-05-17,15.28,15.36,15.22,15.31,903600,15.31
2016-05-16,15.29,15.39,15.26,15.28,964000,15.28
2016-05-13,15.31,15.38,15.23,15.26,701200,15.26
2016-05-12,15.33,15.40,15.22,15.31,754400,15.31
2016-05-11,15.22,15.35,15.18,15.24,765200,15.24
2016-05-10,15.15,15.32,15.15,15.31,913000,15.31
2016-05-09,15.20,15.30,15.03,15.12,1107100,15.12
2016-05-06,15.03,15.22,15.01,15.17,661800,15.17
2016-05-05,15.28,15.32,15.08,15.09,834200,15.09
2016-05-04,15.01,15.32,14.98,15.26,1051300,15.26
2016-05-03,15.19,15.19,14.96,15.08,1027100,15.08
2016-05-02,15.18,15.30,15.15,15.18,847300,15.18
2016-04-29,15.20,15.24,15.05,15.19,1032400,15.19
2016-04-28,15.28,15.34,15.16,15.20,797300,15.20
2016-04-27,15.28,15.45,15.26,15.38,1038900,15.38
2016-04-26,15.29,15.34,15.24,15.29,842400,15.29
2016-04-25,15.16,15.29,15.00,15.29,2273500,15.29
2016-04-22,14.89,15.24,14.89,15.13,980100,15.13
2016-04-21,15.04,15.11,14.88,14.89,1030500,14.89
2016-04-20,15.05,15.14,14.97,15.07,884300,15.07
2016-04-19,14.96,15.05,14.91,15.03,766400,15.03
2016-04-18,14.89,15.05,14.84,14.88,1468200,14.88
2016-04-15,15.02,15.04,14.88,14.92,813100,14.92
2016-04-14,15.15,15.22,15.03,15.04,975400,15.04
2016-04-13,15.07,15.24,15.07,15.15,919500,15.15
2016-04-12,15.00,15.10,14.93,15.08,807400,15.08
2016-04-11,14.92,15.05,14.89,14.97,1056000,14.97
2016-04-08,14.92,15.05,14.87,14.89,954000,14.89
2016-04-07,14.90,14.97,14.75,14.84,1022400,14.84
2016-04-06,14.81,15.04,14.80,14.99,963000,14.99
2016-04-05,14.83,14.91,14.73,14.81,977700,14.81
2016-04-04,15.08,15.08,14.86,14.95,1415700,14.95
2016-04-01,14.78,15.15,14.67,15.09,2210900,15.09
2016-03-31,14.68,14.86,14.63,14.84,2084800,14.84
2016-03-30,14.64,14.69,14.52,14.59,1354800,14.59
2016-03-29,14.36,14.61,14.33,14.60,743500,14.60
2016-03-28,14.50,14.55,14.31,14.40,1195100,14.40
2016-03-24,14.15,14.53,14.10,14.48,1458200,14.48
2016-03-23,14.36,14.45,14.15,14.18,1140000,14.18
2016-03-22,14.21,14.43,14.20,14.35,1022400,14.35
2016-03-21,14.26,14.43,14.22,14.32,882500,14.32
2016-03-18,14.28,14.44,14.14,14.28,1928200,14.28
