Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.69,15.85,14.93,15.00,334600,15.00
2016-06-09,16.059999,16.25,15.52,15.91,296400,15.91
2016-06-08,16.50,16.790001,16.01,16.25,247300,16.25
2016-06-07,15.91,16.48,15.87,16.41,240700,16.41
2016-06-06,16.00,16.360001,15.81,15.96,308500,15.96
2016-06-03,15.78,16.200001,15.64,15.87,282200,15.87
2016-06-02,15.04,15.75,14.99,15.58,237400,15.58
2016-06-01,14.47,15.22,14.47,15.09,273900,15.09
2016-05-31,14.44,14.87,14.40,14.65,186000,14.65
2016-05-27,14.50,14.79,14.25,14.44,170000,14.44
2016-05-26,14.97,15.02,14.25,14.51,204000,14.51
2016-05-25,14.63,15.04,14.63,14.85,189700,14.85
2016-05-24,14.78,14.97,14.42,14.54,346300,14.54
2016-05-23,14.80,15.00,14.61,14.81,264300,14.81
2016-05-20,14.94,15.00,14.63,14.90,149700,14.90
2016-05-19,14.55,15.04,14.20,14.82,254900,14.82
2016-05-18,15.10,15.12,14.53,14.72,271400,14.72
2016-05-17,14.87,15.12,14.64,15.00,204000,15.00
2016-05-16,15.03,15.10,14.67,14.81,167800,14.81
2016-05-13,15.19,15.24,14.60,14.71,178600,14.71
2016-05-12,15.09,15.25,14.67,15.16,234700,15.16
2016-05-11,14.30,15.08,14.30,14.94,271100,14.94
2016-05-10,14.88,15.24,14.26,14.32,434800,14.32
2016-05-09,15.20,15.34,14.01,14.76,443700,14.76
2016-05-06,14.90,15.58,14.81,15.49,218000,15.49
2016-05-05,14.93,15.38,14.76,14.98,243000,14.98
2016-05-04,14.88,15.63,14.45,14.62,428100,14.62
2016-05-03,15.53,15.60,15.21,15.47,261300,15.032
2016-05-02,15.68,16.09,15.06,15.67,511900,15.226338
2016-04-29,16.469999,16.85,15.63,15.65,1144700,15.206903
2016-04-28,15.92,16.77,15.41,16.370001,541200,15.906519
2016-04-27,15.22,16.200001,15.18,15.83,400600,15.381807
2016-04-26,13.65,15.42,13.20,15.18,859100,14.750211
2016-04-25,14.68,14.87,14.35,14.70,266900,14.283801
2016-04-22,14.45,15.08,14.38,14.64,274300,14.2255
2016-04-21,14.93,14.98,14.47,14.51,306100,14.099181
2016-04-20,14.79,15.15,14.62,14.82,346800,14.400403
2016-04-19,13.70,15.21,13.70,14.78,754700,14.361536
2016-04-18,12.89,13.91,12.80,13.74,327900,13.350981
2016-04-15,12.85,13.30,12.61,13.16,199100,12.787403
2016-04-14,12.94,12.99,12.54,12.95,207300,12.583348
2016-04-13,12.84,13.22,12.67,12.93,214900,12.563915
2016-04-12,12.11,12.85,12.03,12.82,198000,12.457029
2016-04-11,12.09,12.44,11.92,12.22,203800,11.874017
2016-04-08,11.66,12.12,11.61,11.89,171600,11.55336
2016-04-07,11.64,11.90,11.35,11.50,192800,11.174402
2016-04-06,11.60,11.72,11.33,11.65,193700,11.320155
2016-04-05,11.11,11.66,11.00,11.49,160500,11.164685
2016-04-04,11.37,11.59,11.05,11.08,223900,10.766293
2016-04-01,11.52,11.65,11.07,11.19,334100,10.873179
2016-03-31,12.13,12.18,11.42,11.65,223500,11.320155
2016-03-30,12.00,12.25,11.85,12.11,178300,11.767131
2016-03-29,11.37,11.91,11.20,11.85,153200,11.514493
2016-03-28,11.96,12.00,11.43,11.46,167100,11.135535
2016-03-24,11.27,11.76,11.02,11.75,190600,11.417324
2016-03-23,12.30,12.40,11.35,11.43,265100,11.106384
2016-03-22,12.10,12.52,11.98,12.45,144000,12.097505
2016-03-21,12.85,12.92,12.00,12.28,359200,11.932318
2016-03-18,12.61,12.94,12.30,12.88,331900,12.51533
2016-03-17,12.86,13.00,12.44,12.47,258400,12.116939
2016-03-16,12.05,12.83,12.05,12.64,223800,12.282126
2016-03-15,12.50,12.57,12.03,12.28,200500,11.932318
2016-03-14,12.43,12.97,12.15,12.79,194400,12.427878
2016-03-11,12.73,13.07,12.58,12.68,182000,12.320993
2016-03-10,12.60,12.82,12.17,12.79,179800,12.427878
2016-03-09,12.90,13.16,12.43,12.60,168200,12.243258
2016-03-08,13.21,13.28,12.30,12.88,455300,12.51533
2016-03-07,12.58,13.39,12.00,13.29,498400,12.913722
2016-03-04,12.22,12.80,11.91,12.46,403300,12.107222
2016-03-03,11.00,12.06,11.00,11.95,453300,11.611661
2016-03-02,10.93,11.25,10.25,11.06,457800,10.74686
2016-03-01,10.66,11.18,10.46,11.04,410800,10.727426
2016-02-29,10.20,10.60,10.17,10.50,345200,10.202715
2016-02-26,10.20,10.45,10.15,10.22,247500,9.930643
2016-02-25,10.37,10.59,10.05,10.17,338500,9.882058
2016-02-24,10.35,10.64,9.95,10.52,391000,10.222149
2016-02-23,10.77,10.90,10.41,10.54,299800,10.241582
2016-02-22,10.82,11.20,10.71,10.95,425500,10.639974
2016-02-19,10.70,10.85,10.20,10.58,342000,10.28045
