Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,13.60,13.81,12.84,13.46,22300,13.46
2016-06-09,13.98,14.48,13.25,13.59,41900,13.59
2016-06-08,12.54,14.862,12.32,14.24,124400,14.24
2016-06-07,12.50,12.53,11.92,12.25,501000,12.25
2016-06-06,12.92,13.12,12.311,12.53,38800,12.53
2016-06-03,13.80,14.27,12.50,12.54,916900,12.54
2016-06-02,13.70,14.07,13.469,13.62,102000,13.62
2016-06-01,13.86,14.11,13.64,13.88,17900,13.88
2016-05-31,14.00,14.03,13.58,13.74,213000,13.74
2016-05-27,13.76,13.99,13.65,13.99,34600,13.99
2016-05-26,13.96,14.03,13.79,13.81,33700,13.81
2016-05-25,13.96,14.20,13.90,13.92,28200,13.92
2016-05-24,14.06,14.192,13.80,13.91,16800,13.91
2016-05-23,14.00,14.12,13.80,13.89,25900,13.89
2016-05-20,13.96,14.33,13.74,14.11,41600,14.11
2016-05-19,14.87,14.87,13.98,14.03,44900,14.03
2016-05-18,14.67,14.69,13.78,14.15,41200,14.15
2016-05-17,14.57,14.95,14.57,14.725,10300,14.725
2016-05-16,14.83,15.00,14.465,14.87,16900,14.87
2016-05-13,15.20,15.20,14.55,14.82,442500,14.82
2016-05-12,15.72,15.73,14.01,15.00,114400,15.00
2016-05-11,15.86,15.86,15.42,15.79,16300,15.79
2016-05-10,15.80,16.200001,15.45,15.68,14800,15.68
2016-05-09,16.08,16.27,15.403,15.87,22900,15.87
2016-05-06,16.27,16.32,15.28,16.08,5100,16.08
2016-05-05,17.32,17.32,16.040001,16.16,85300,16.16
2016-05-04,16.889999,17.309999,16.639999,17.309999,133200,17.309999
2016-05-03,16.84,17.32,16.799999,16.799999,22700,16.799999
2016-05-02,16.780001,17.309999,16.34,17.17,24500,17.17
2016-04-29,16.959999,17.280001,16.440001,16.870001,4300,16.870001
2016-04-28,17.129999,17.35,16.91,16.99,26200,16.99
2016-04-27,17.41,17.639999,17.02,17.27,13800,17.27
2016-04-26,17.74,17.74,17.344999,17.59,14800,17.59
2016-04-25,17.58,17.74,17.290001,17.700001,13000,17.700001
2016-04-22,18.049999,18.049999,17.389999,17.52,17700,17.52
2016-04-21,17.33,18.209999,17.25,17.73,18100,17.73
2016-04-20,17.799999,17.799999,17.17,17.17,12400,17.17
2016-04-19,17.809999,18.219999,17.514999,17.75,74900,17.75
2016-04-18,17.52,18.222,17.030001,17.73,10500,17.73
2016-04-15,18.190001,18.33,17.08,17.540001,42200,17.540001
2016-04-14,18.190001,18.58,18.01,18.389999,21200,18.389999
2016-04-13,18.49,18.940001,18.17,18.17,14100,18.17
2016-04-12,18.620001,18.809999,18.18,18.41,23600,18.41
2016-04-11,18.450001,18.809999,18.18,18.34,16600,18.34
2016-04-08,18.60,18.799999,18.110001,18.41,20600,18.41
2016-04-07,18.790001,18.799999,17.684999,18.15,40500,18.15
2016-04-06,18.48,18.85,18.280001,18.85,77100,18.85
2016-04-05,18.74,18.84,18.299999,18.43,11300,18.43
2016-04-04,18.700001,19.049999,18.450001,18.629999,21600,18.629999
2016-04-01,18.309999,18.809999,18.309999,18.73,93000,18.73
2016-03-31,18.700001,18.950001,18.10,18.549999,45200,18.549999
2016-03-30,18.17,18.799999,18.17,18.74,17300,18.74
2016-03-29,17.92,18.50,17.860001,18.030001,44000,18.030001
2016-03-28,17.629999,18.02,17.48,18.01,8300,18.01
2016-03-24,17.690001,17.950001,17.57,17.57,6800,17.57
2016-03-23,17.92,18.49,17.24,17.91,86900,17.91
2016-03-22,17.75,18.00,17.610001,18.00,11700,18.00
2016-03-21,17.860001,17.969999,17.74,17.959999,3900,17.959999
2016-03-18,17.389999,18.075001,17.389999,17.66,9000,17.66
2016-03-17,18.559999,18.559999,17.76,17.76,12800,17.76
2016-03-16,18.030001,18.700001,17.379999,18.299999,73000,18.299999
2016-03-15,18.219999,18.59,17.955,18.139999,34100,18.139999
2016-03-14,18.309999,18.76,17.969999,18.41,30000,18.41
2016-03-11,18.049999,18.42,17.940001,18.18,7400,18.18
2016-03-10,17.959999,18.129999,17.82,18.129999,40100,18.129999
2016-03-09,17.93,17.950001,17.440001,17.879999,13000,17.879999
2016-03-08,17.719999,18.00,17.129999,18.00,12800,18.00
2016-03-07,17.75,18.08,17.559999,18.08,55300,18.08
