Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,3.16,3.16,3.16,3.16,400,3.16
2016-06-09,3.13,3.16,3.11,3.16,4300,3.16
2016-06-08,3.18,3.18,3.18,3.18,000,3.18
2016-06-07,3.09,3.19,3.09,3.18,1200,3.18
2016-06-06,3.06,3.19,3.05,3.15,900,3.15
2016-06-03,3.14,3.14,3.08,3.08,12800,3.08
2016-06-02,3.19,3.25,3.17,3.17,9200,3.17
2016-06-01,3.20,3.20,3.20,3.20,400,3.20
2016-05-31,3.15,3.23,3.12,3.21,7200,3.21
2016-05-27,3.28,3.28,3.06,3.12,19900,3.12
2016-05-26,3.08,3.34,3.08,3.27,16700,3.27
2016-05-25,3.12,3.13,3.06,3.10,47600,3.10
2016-05-24,3.14,3.15,3.04,3.10,51300,3.10
2016-05-23,3.06,3.12,3.05,3.12,17300,3.12
2016-05-20,3.09,3.11,3.01,3.02,2800,3.02
2016-05-19,3.07,3.07,3.03,3.03,5100,3.03
2016-05-18,3.03,3.09,3.02,3.04,2000,3.04
2016-05-17,3.09,3.09,3.01,3.02,7400,3.02
2016-05-16,3.05,3.10,3.04,3.04,1100,3.04
2016-05-13,3.02,3.05,3.00,3.04,6200,3.04
2016-05-12,3.01,3.05,3.01,3.01,3800,3.01
2016-05-11,3.01,3.06,3.01,3.03,13000,3.03
2016-05-10,3.06,3.08,3.04,3.04,10500,3.04
2016-05-09,3.03,3.11,3.00,3.00,26800,3.00
2016-05-06,3.06,3.10,3.00,3.07,17700,3.07
2016-05-05,3.16,3.16,3.03,3.10,9400,3.10
2016-05-04,3.05,3.25,3.02,3.25,61700,3.24
2016-05-03,2.99,3.05,2.99,3.05,25800,3.040615
2016-05-02,3.06,3.07,3.01,3.02,15300,3.010708
2016-04-29,3.02,3.05,3.02,3.05,1100,3.040615
2016-04-28,3.02,3.07,3.00,3.07,16700,3.060554
2016-04-27,3.01,3.06,3.01,3.06,12900,3.050585
2016-04-26,2.97,3.04,2.97,3.00,18700,2.990769
2016-04-25,3.00,3.04,2.99,3.01,16800,3.000738
2016-04-22,3.05,3.11,3.00,3.00,8800,2.990769
2016-04-21,3.05,3.05,3.00,3.02,3000,3.010708
2016-04-20,3.02,3.04,3.02,3.04,6400,3.030646
2016-04-19,3.00,3.02,2.91,2.95,103200,2.940923
2016-04-18,3.03,3.04,2.98,2.98,8800,2.970831
2016-04-15,3.01,3.04,3.00,3.00,6800,2.990769
2016-04-14,2.99,3.01,2.99,3.01,3800,3.000738
2016-04-13,2.97,3.03,2.97,3.01,4100,3.000738
2016-04-12,2.96,3.01,2.94,3.00,8900,2.990769
2016-04-11,2.99,3.01,2.96,2.96,19800,2.950892
2016-04-08,2.99,3.05,2.98,3.00,11900,2.990769
2016-04-07,2.98,3.01,2.96,2.98,24400,2.970831
2016-04-06,3.01,3.03,2.95,3.01,26700,3.000738
2016-04-05,3.01,3.02,3.00,3.02,2400,3.010708
2016-04-04,2.96,3.02,2.90,3.01,12800,3.000738
2016-04-01,2.99,3.02,2.94,2.95,32800,2.940923
2016-03-31,3.01,3.04,2.99,2.99,7900,2.9808
2016-03-30,3.03,3.05,3.02,3.02,4500,3.010708
2016-03-29,3.02,3.03,3.00,3.00,9500,2.990769
2016-03-28,3.03,3.06,3.01,3.03,7700,3.020677
2016-03-24,3.02,3.06,3.02,3.06,12100,3.050585
2016-03-23,3.03,3.09,3.02,3.05,15500,3.040615
2016-03-22,3.03,3.04,3.00,3.04,33800,3.030646
2016-03-21,3.03,3.04,3.01,3.03,26500,3.020677
2016-03-18,3.05,3.05,2.96,2.96,60600,2.950892
2016-03-17,3.09,3.15,3.01,3.05,428000,3.040615
2016-03-16,3.14,3.14,3.13,3.14,700,3.130339
2016-03-15,3.13,3.15,3.11,3.11,3000,3.100431
2016-03-14,3.10,3.16,3.07,3.14,9100,3.130339
2016-03-11,3.06,3.13,3.06,3.11,4000,3.100431
2016-03-10,3.09,3.09,3.07,3.07,1400,3.060554
2016-03-09,3.13,3.13,3.09,3.12,2000,3.1104
2016-03-08,3.11,3.11,3.06,3.08,8900,3.070523
2016-03-07,3.06,3.10,3.06,3.07,4600,3.060554
2016-03-04,3.05,3.10,3.05,3.05,9200,3.040615
2016-03-03,3.11,3.13,3.05,3.06,25400,3.050585
2016-03-02,3.09,3.14,3.06,3.07,8600,3.060554
2016-03-01,3.06,3.11,3.05,3.06,4600,3.050585
2016-02-29,3.11,3.11,3.07,3.07,6400,3.060554
2016-02-26,3.05,3.11,3.05,3.11,2200,3.100431
2016-02-25,3.08,3.10,3.06,3.10,6200,3.090461
2016-02-24,3.05,3.10,3.05,3.07,2300,3.060554
2016-02-23,3.14,3.15,3.06,3.06,8300,3.050585
2016-02-22,3.05,3.13,3.05,3.12,14700,3.1104
2016-02-19,3.05,3.10,3.05,3.05,3800,3.040615
2016-02-18,3.05,3.06,3.05,3.05,3000,3.040615
2016-02-17,3.06,3.10,3.06,3.07,4100,3.060554
2016-02-16,3.09,3.14,3.06,3.06,6200,3.050585
2016-02-12,3.07,3.12,3.04,3.06,11900,3.050585
2016-02-11,3.05,3.08,3.00,3.03,12800,3.020677
2016-02-10,3.10,3.16,3.05,3.07,15700,3.060554
2016-02-09,3.05,3.16,3.05,3.10,8100,3.090461
2016-02-08,3.12,3.13,3.08,3.08,19700,3.070523
2016-02-05,3.19,3.19,3.15,3.16,8500,3.150277
2016-02-04,3.18,3.20,3.11,3.15,16200,3.140308
2016-02-03,3.11,3.20,3.11,3.15,12000,3.130339
2016-02-02,3.22,3.22,3.10,3.13,18800,3.110463
2016-02-01,3.25,3.25,3.15,3.18,3900,3.160151
2016-01-29,3.16,3.17,3.12,3.12,15300,3.100526
2016-01-28,3.12,3.18,3.11,3.14,4100,3.120401
2016-01-27,3.17,3.19,3.09,3.12,19700,3.100526
2016-01-26,3.10,3.20,3.06,3.06,19600,3.0409
2016-01-25,3.19,3.24,3.11,3.11,20700,3.090588
2016-01-22,3.09,3.21,3.09,3.16,24400,3.140276
2016-01-21,3.06,3.13,3.04,3.12,30400,3.100526
2016-01-20,3.00,3.10,2.98,3.08,42300,3.060775
2016-01-19,3.33,3.33,3.01,3.01,92700,2.991212
2016-01-15,3.24,3.30,3.02,3.10,115000,3.080651
2016-01-14,3.23,3.28,3.21,3.27,14500,3.249589
2016-01-13,3.24,3.26,3.20,3.21,26700,3.189964
2016-01-12,3.26,3.31,3.14,3.19,72000,3.170089
2016-01-11,3.29,3.37,3.09,3.29,134400,3.269465
2016-01-08,3.31,3.40,3.27,3.30,38000,3.279402
2016-01-07,3.28,3.31,3.26,3.29,33200,3.269465
2016-01-06,3.31,3.36,3.29,3.36,7100,3.339028
2016-01-05,3.29,3.36,3.23,3.30,15200,3.279402
2016-01-04,3.25,3.31,3.21,3.21,63400,3.189964
2015-12-31,3.27,3.29,3.20,3.20,6100,3.180026
2015-12-30,3.29,3.29,3.22,3.22,8400,3.199902
2015-12-29,3.27,3.27,3.24,3.25,3300,3.229714
2015-12-28,3.29,3.29,3.18,3.23,31700,3.209839
2015-12-24,3.26,3.27,3.25,3.25,3400,3.229714
2015-12-23,3.29,3.30,3.25,3.30,700,3.279402
2015-12-22,3.26,3.32,3.25,3.29,6200,3.269465
2015-12-21,3.28,3.31,3.21,3.26,24200,3.239652
2015-12-18,3.25,3.25,3.21,3.21,26300,3.189964
2015-12-17,3.31,3.31,3.22,3.22,3300,3.199902
2015-12-16,3.33,3.35,3.22,3.22,8100,3.199902
2015-12-15,3.25,3.30,3.22,3.30,4100,3.279402
2015-12-14,3.25,3.33,3.23,3.25,11100,3.229714
2015-12-11,3.31,3.35,3.25,3.25,7700,3.229714
2015-12-10,3.36,3.36,3.32,3.36,2300,3.339028
2015-12-09,3.33,3.35,3.25,3.30,9600,3.279402
2015-12-08,3.33,3.34,3.31,3.34,1100,3.319153
2015-12-07,3.29,3.34,3.27,3.27,3700,3.249589
2015-12-04,3.33,3.38,3.29,3.29,5100,3.269465
2015-12-03,3.33,3.37,3.31,3.33,1600,3.309215
2015-12-02,3.38,3.38,3.33,3.35,1100,3.32909
2015-12-01,3.40,3.40,3.29,3.33,22700,3.309215
2015-11-30,3.31,3.35,3.30,3.34,6000,3.319153
2015-11-27,3.29,3.31,3.26,3.30,3400,3.279402
2015-11-25,3.29,3.34,3.28,3.28,7100,3.259527
2015-11-24,3.30,3.30,3.26,3.26,2200,3.239652
2015-11-23,3.27,3.35,3.22,3.24,23500,3.219777
2015-11-20,3.29,3.38,3.29,3.30,2800,3.279402
2015-11-19,3.29,3.34,3.27,3.30,7300,3.279402
2015-11-18,3.27,3.39,3.27,3.29,22300,3.269465
2015-11-17,3.31,3.31,3.26,3.29,2800,3.269465
2015-11-16,3.33,3.33,3.25,3.26,16300,3.239652
2015-11-13,3.25,3.37,3.23,3.32,3800,3.299277
2015-11-12,3.30,3.34,3.30,3.30,3200,3.279402
2015-11-11,3.37,3.37,3.28,3.31,4500,3.28934
2015-11-10,3.31,3.31,3.30,3.31,1800,3.28934
2015-11-09,3.32,3.32,3.22,3.26,19400,3.239652
2015-11-06,3.30,3.39,3.30,3.35,15300,3.32909
2015-11-05,3.30,3.38,3.29,3.36,2400,3.339028
2015-11-04,3.38,3.39,3.30,3.30,8000,3.279402
2015-11-03,3.37,3.37,3.33,3.34,8100,3.319153
2015-11-02,3.38,3.40,3.26,3.37,17100,3.348965
2015-10-30,3.33,3.40,3.29,3.31,8300,3.28934
2015-10-29,3.39,3.39,3.30,3.39,5700,3.368841
2015-10-28,3.39,3.40,3.30,3.38,20200,3.348965
2015-10-27,3.37,3.39,3.31,3.33,9800,3.299424
2015-10-26,3.37,3.39,3.33,3.37,5600,3.339057
2015-10-23,3.33,3.39,3.27,3.28,22000,3.249883
2015-10-22,3.36,3.36,3.28,3.36,2100,3.329149
2015-10-21,3.36,3.36,3.29,3.35,5700,3.319241
2015-10-20,3.25,3.39,3.25,3.35,21300,3.319241
2015-10-19,3.16,3.24,3.16,3.16,12700,3.130985
2015-10-16,3.25,3.31,3.20,3.20,8000,3.170618
2015-10-15,3.25,3.30,3.20,3.28,12900,3.249883
2015-10-14,3.17,3.26,3.17,3.21,1700,3.180526
2015-10-13,3.13,3.27,3.13,3.24,17500,3.210251
2015-10-12,3.30,3.30,3.25,3.25,6400,3.220159
2015-10-09,3.29,3.31,3.23,3.29,6000,3.259792
2015-10-08,3.31,3.32,3.21,3.30,8400,3.2697
2015-10-07,3.18,3.31,3.16,3.19,7500,3.16071
2015-10-06,3.21,3.22,3.15,3.19,10000,3.16071
2015-10-05,3.16,3.21,3.16,3.20,24100,3.170618
2015-10-02,3.19,3.25,3.17,3.19,10600,3.16071
2015-10-01,3.21,3.29,3.18,3.21,23800,3.180526
2015-09-30,3.23,3.25,3.20,3.24,3900,3.210251
2015-09-29,3.20,3.23,3.20,3.21,8000,3.180526
2015-09-28,3.27,3.27,3.20,3.24,3600,3.210251
2015-09-25,3.22,3.28,3.22,3.27,1800,3.239975
2015-09-24,3.24,3.30,3.20,3.21,10900,3.180526
2015-09-23,3.26,3.32,3.22,3.25,7700,3.220159
2015-09-22,3.23,3.32,3.23,3.23,20400,3.200343
2015-09-21,3.31,3.31,3.26,3.30,2700,3.2697
2015-09-18,3.28,3.29,3.23,3.27,7500,3.239975
2015-09-17,3.23,3.33,3.23,3.27,1400,3.239975
2015-09-16,3.23,3.31,3.23,3.23,21300,3.200343
2015-09-15,3.22,3.26,3.21,3.23,15000,3.200343
2015-09-14,3.21,3.32,3.21,3.21,33600,3.180526
2015-09-11,3.26,3.26,3.17,3.20,4900,3.170618
2015-09-10,3.21,3.28,3.18,3.20,21300,3.170618
2015-09-09,3.28,3.28,3.21,3.22,2900,3.190434
2015-09-08,3.21,3.25,3.20,3.21,5200,3.180526
2015-09-04,3.21,3.24,3.21,3.22,2800,3.190434
2015-09-03,3.25,3.29,3.25,3.25,4100,3.220159
2015-09-02,3.21,3.32,3.20,3.20,12300,3.170618
2015-09-01,3.20,3.33,3.20,3.23,11200,3.200343
2015-08-31,3.22,3.31,3.18,3.30,3500,3.2697
2015-08-28,3.29,3.29,3.20,3.22,22500,3.190434
2015-08-27,3.20,3.30,3.20,3.29,2200,3.259792
2015-08-26,3.27,3.27,3.18,3.23,48800,3.200343
2015-08-25,3.21,3.29,3.21,3.24,2400,3.210251
2015-08-24,3.22,3.25,3.22,3.25,1600,3.220159
2015-08-21,3.23,3.28,3.23,3.27,4500,3.239975
2015-08-20,3.30,3.30,3.25,3.27,2000,3.239975
2015-08-19,3.30,3.30,3.27,3.30,7900,3.2697
2015-08-18,3.32,3.33,3.30,3.30,1600,3.2697
2015-08-17,3.30,3.36,3.29,3.29,42100,3.259792
2015-08-14,3.29,3.32,3.28,3.30,3000,3.2697
2015-08-13,3.32,3.32,3.28,3.28,4000,3.249883
2015-08-12,3.29,3.32,3.29,3.32,1800,3.289516
2015-08-11,3.29,3.31,3.29,3.30,8900,3.2697
2015-08-10,3.31,3.34,3.30,3.31,7600,3.279608
2015-08-07,3.31,3.32,3.29,3.29,120900,3.259792
2015-08-06,3.30,3.34,3.30,3.30,28200,3.2697
2015-08-05,3.31,3.33,3.30,3.32,5300,3.289516
2015-08-04,3.38,3.38,3.29,3.33,71000,3.299424
