Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,5.46,5.57,5.46,5.50,242100,5.50
2016-06-09,5.42,5.49,5.41,5.45,131500,5.45
2016-06-08,5.47,5.50,5.41,5.48,109900,5.48
2016-06-07,5.47,5.49,5.46,5.48,27100,5.48
2016-06-06,5.45,5.50,5.43,5.46,98100,5.46
2016-06-03,5.45,5.49,5.36,5.46,70400,5.46
2016-06-02,5.45,5.48,5.41,5.44,61800,5.44
2016-06-01,5.35,5.47,5.32,5.46,85800,5.46
2016-05-31,5.38,5.42,5.34,5.35,77600,5.35
2016-05-27,5.35,5.42,5.35,5.36,117900,5.36
2016-05-26,5.31,5.35,5.27,5.35,313400,5.35
2016-05-25,5.34,5.36,5.30,5.31,174200,5.31
2016-05-24,5.37,5.38,5.31,5.33,184900,5.33
2016-05-23,5.33,5.38,5.30,5.35,156400,5.35
2016-05-20,5.37,5.39,5.32,5.33,76800,5.33
2016-05-19,5.36,5.41,5.35,5.41,134100,5.41
2016-05-18,5.38,5.42,5.35,5.37,73200,5.37
2016-05-17,5.40,5.50,5.36,5.41,166300,5.41
2016-05-16,5.39,5.44,5.34,5.41,93000,5.41
2016-05-13,5.43,5.44,5.35,5.43,104000,5.43
2016-05-12,5.40,5.46,5.33,5.44,163200,5.44
2016-05-11,5.45,5.46,5.32,5.40,154400,5.40
2016-05-10,5.49,5.50,5.41,5.45,69000,5.45
2016-05-09,5.51,5.56,5.41,5.44,128000,5.44
2016-05-06,5.53,5.59,5.46,5.49,114800,5.49
2016-05-05,5.54,5.60,5.51,5.54,188100,5.54
2016-05-04,5.48,5.54,5.47,5.54,168200,5.54
2016-05-03,5.45,5.52,5.44,5.52,68300,5.52
2016-05-02,5.50,5.50,5.40,5.49,130100,5.49
2016-04-29,5.63,5.63,5.43,5.48,437500,5.48
2016-04-28,5.33,5.40,5.32,5.35,119100,5.35
2016-04-27,5.36,5.41,5.26,5.35,52500,5.35
2016-04-26,5.33,5.42,5.32,5.37,200500,5.37
2016-04-25,5.31,5.35,5.30,5.33,44400,5.33
2016-04-22,5.29,5.38,5.29,5.34,83800,5.34
2016-04-21,5.32,5.34,5.28,5.32,62600,5.32
2016-04-20,5.27,5.34,5.27,5.33,69100,5.33
2016-04-19,5.20,5.31,5.19,5.27,116200,5.27
2016-04-18,5.20,5.22,5.12,5.21,77100,5.21
2016-04-15,5.24,5.25,5.19,5.20,27300,5.20
2016-04-14,5.24,5.27,5.17,5.23,96200,5.23
2016-04-13,5.13,5.29,5.13,5.29,132100,5.29
2016-04-12,5.13,5.24,5.13,5.20,130300,5.20
2016-04-11,5.18,5.19,5.12,5.13,80200,5.13
2016-04-08,5.15,5.19,5.13,5.15,118900,5.15
2016-04-07,5.12,5.18,5.10,5.14,86400,5.14
2016-04-06,5.16,5.23,5.10,5.13,196100,5.13
2016-04-05,5.23,5.24,5.11,5.19,112500,5.19
2016-04-04,5.21,5.25,5.14,5.24,127600,5.24
2016-04-01,5.25,5.25,5.21,5.24,54300,5.24
2016-03-31,5.24,5.31,5.22,5.25,64700,5.25
2016-03-30,5.37,5.40,5.16,5.27,158500,5.27
2016-03-29,5.23,5.38,5.16,5.38,102300,5.38
2016-03-28,5.25,5.36,5.25,5.32,133000,5.195
2016-03-24,5.31,5.34,5.24,5.24,86400,5.11688
2016-03-23,5.29,5.35,5.29,5.30,105100,5.17547
2016-03-22,5.23,5.33,5.23,5.30,122600,5.17547
2016-03-21,5.25,5.28,5.22,5.26,161200,5.13641
2016-03-18,5.23,5.25,5.18,5.24,72900,5.11688
2016-03-17,5.20,5.23,5.18,5.23,48500,5.107115
2016-03-16,5.20,5.23,5.16,5.23,64700,5.107115
2016-03-15,5.20,5.20,5.15,5.17,76700,5.048525
2016-03-14,5.20,5.24,5.13,5.21,100000,5.087585
2016-03-11,5.15,5.24,5.15,5.20,98700,5.07782
2016-03-10,5.11,5.20,5.11,5.17,65200,5.048525
2016-03-09,5.19,5.25,5.13,5.21,76700,5.087585
2016-03-08,5.18,5.24,5.10,5.20,184800,5.07782
2016-03-07,5.22,5.23,5.11,5.18,95000,5.058289
2016-03-04,5.06,5.26,5.06,5.26,153300,5.13641
2016-03-03,4.88,5.06,4.87,5.04,145400,4.921579
2016-03-02,4.86,4.92,4.85,4.91,39400,4.794633
2016-03-01,4.85,4.91,4.81,4.90,45900,4.784869
2016-02-29,4.85,4.93,4.76,4.79,46900,4.677453
2016-02-26,4.90,4.92,4.81,4.83,47600,4.716513
2016-02-25,4.93,4.94,4.70,4.90,83200,4.784869
2016-02-24,4.85,4.91,4.76,4.91,65100,4.794633
2016-02-23,4.87,4.92,4.84,4.92,58200,4.804399
2016-02-22,4.90,4.94,4.82,4.91,50000,4.794633
2016-02-19,4.88,4.89,4.81,4.86,25700,4.745809
2016-02-18,4.96,4.96,4.86,4.86,47600,4.745809
2016-02-17,4.89,4.95,4.86,4.91,64800,4.794633
2016-02-16,4.88,4.90,4.80,4.86,30700,4.745809
2016-02-12,4.78,4.85,4.68,4.84,21400,4.726278
2016-02-11,4.80,4.82,4.69,4.78,52800,4.667688
2016-02-10,4.91,4.93,4.81,4.82,73900,4.706748
2016-02-09,4.93,4.99,4.88,4.92,59000,4.804399
2016-02-08,4.98,4.98,4.87,4.95,68700,4.833694
2016-02-05,4.98,5.04,4.96,5.00,76700,4.882519
2016-02-04,5.00,5.03,4.96,5.02,89400,4.902049
2016-02-03,4.99,5.05,4.95,5.00,78900,4.882519
2016-02-02,4.91,4.99,4.86,4.95,113000,4.833694
2016-02-01,5.03,5.06,4.95,4.96,70700,4.843459
2016-01-29,4.86,5.10,4.85,4.98,373800,4.862989
2016-01-28,4.72,4.86,4.69,4.86,90000,4.745809
2016-01-27,4.71,4.76,4.68,4.71,37200,4.599333
2016-01-26,4.63,4.77,4.60,4.75,145500,4.638393
2016-01-25,4.72,4.74,4.52,4.56,117200,4.452857
2016-01-22,4.69,4.75,4.65,4.72,103100,4.609098
2016-01-21,4.53,4.64,4.45,4.60,196400,4.491917
2016-01-20,4.49,4.58,4.27,4.53,574100,4.423562
2016-01-19,4.74,4.77,4.41,4.51,436600,4.404032
2016-01-15,4.66,4.79,4.55,4.71,185200,4.599333
2016-01-14,4.59,4.79,4.47,4.73,362300,4.618863
2016-01-13,4.83,4.84,4.57,4.66,439400,4.550508
2016-01-12,4.92,4.97,4.68,4.82,408200,4.706748
2016-01-11,5.01,5.04,4.88,4.91,325900,4.794633
2016-01-08,5.04,5.07,5.00,5.01,83600,4.892284
2016-01-07,5.02,5.06,4.98,5.00,160200,4.882519
2016-01-06,5.07,5.12,5.02,5.05,109800,4.931344
2016-01-05,5.04,5.15,5.03,5.14,104800,5.019229
2016-01-04,5.02,5.08,5.00,5.07,112800,4.950874
2015-12-31,5.03,5.09,5.01,5.06,254100,4.941109
2015-12-30,5.09,5.12,5.02,5.03,244200,4.911814
2015-12-29,5.20,5.20,5.07,5.12,292400,4.999699
2015-12-28,5.26,5.29,5.22,5.27,233000,5.024112
2015-12-24,5.26,5.29,5.21,5.23,84800,4.985978
2015-12-23,5.24,5.27,5.13,5.24,173500,4.995511
2015-12-22,5.19,5.23,5.17,5.21,61100,4.966911
2015-12-21,5.08,5.22,5.07,5.19,184300,4.947845
2015-12-18,5.10,5.22,5.07,5.08,266300,4.842977
2015-12-17,5.15,5.17,4.98,5.12,558400,4.88111
2015-12-16,5.19,5.20,5.12,5.15,229600,4.909711
2015-12-15,5.12,5.20,5.10,5.17,310100,4.928778
2015-12-14,5.18,5.22,5.11,5.18,324900,4.938311
2015-12-11,5.28,5.28,5.17,5.21,219900,4.966911
2015-12-10,5.30,5.31,5.24,5.27,111600,5.024112
2015-12-09,5.30,5.36,5.27,5.30,139600,5.052712
2015-12-08,5.28,5.36,5.20,5.28,220700,5.033645
2015-12-07,5.33,5.36,5.27,5.29,178900,5.043179
2015-12-04,5.30,5.40,5.30,5.33,145400,5.081312
2015-12-03,5.32,5.39,5.30,5.31,126300,5.062245
2015-12-02,5.44,5.44,5.31,5.32,89400,5.071779
2015-12-01,5.45,5.45,5.39,5.43,97700,5.176646
2015-11-30,5.44,5.46,5.38,5.43,85600,5.176646
2015-11-27,5.39,5.47,5.38,5.42,60000,5.167113
2015-11-25,5.39,5.43,5.35,5.40,101600,5.148046
2015-11-24,5.36,5.41,5.31,5.41,191400,5.15758
2015-11-23,5.41,5.41,5.31,5.37,366200,5.119446
2015-11-20,5.41,5.45,5.36,5.39,113900,5.138513
2015-11-19,5.37,5.41,5.35,5.39,79100,5.138513
2015-11-18,5.41,5.43,5.35,5.38,136700,5.12898
2015-11-17,5.46,5.49,5.41,5.44,53800,5.18618
2015-11-16,5.47,5.47,5.40,5.44,48400,5.18618
2015-11-13,5.39,5.48,5.39,5.45,95400,5.195713
2015-11-12,5.45,5.55,5.41,5.48,128900,5.224314
2015-11-11,5.39,5.47,5.37,5.44,94300,5.18618
2015-11-10,5.36,5.43,5.33,5.35,87400,5.100379
2015-11-09,5.36,5.50,5.36,5.36,113700,5.109913
2015-11-06,5.35,5.42,5.34,5.37,149000,5.119446
2015-11-05,5.45,5.45,5.37,5.37,66300,5.119446
2015-11-04,5.45,5.50,5.45,5.45,33800,5.195713
2015-11-03,5.50,5.51,5.43,5.45,102200,5.195713
2015-11-02,5.46,5.51,5.45,5.48,131500,5.224314
2015-10-30,5.40,5.49,5.39,5.46,156300,5.205247
2015-10-29,5.35,5.39,5.30,5.39,79400,5.138513
2015-10-28,5.34,5.40,5.26,5.32,105300,5.071779
2015-10-27,5.36,5.41,5.32,5.35,126300,5.100379
2015-10-26,5.43,5.46,5.32,5.32,53000,5.071779
2015-10-23,5.41,5.49,5.34,5.41,140600,5.15758
2015-10-22,5.32,5.45,5.27,5.36,108900,5.109913
2015-10-21,5.35,5.40,5.30,5.35,102100,5.100379
2015-10-20,5.38,5.44,5.35,5.43,43700,5.176646
2015-10-19,5.42,5.47,5.36,5.36,81200,5.109913
2015-10-16,5.41,5.44,5.35,5.44,80000,5.18618
2015-10-15,5.34,5.49,5.32,5.45,117600,5.195713
2015-10-14,5.40,5.40,5.32,5.37,68800,5.119446
2015-10-13,5.39,5.45,5.30,5.41,92100,5.15758
2015-10-12,5.37,5.44,5.35,5.38,52600,5.12898
2015-10-09,5.34,5.41,5.34,5.34,92400,5.090846
2015-10-08,5.39,5.41,5.32,5.35,116100,5.100379
2015-10-07,5.35,5.43,5.34,5.37,184500,5.119446
2015-10-06,5.33,5.40,5.27,5.34,54900,5.090846
2015-10-05,5.26,5.38,5.25,5.31,81500,5.062245
2015-10-02,5.14,5.26,5.14,5.25,75100,5.005045
2015-10-01,5.21,5.22,5.14,5.14,97300,4.900177
2015-09-30,5.23,5.24,5.18,5.20,47000,4.957378
2015-09-29,5.25,5.25,5.12,5.18,115600,4.938311
2015-09-28,5.37,5.44,5.16,5.22,167700,4.976445
2015-09-25,5.56,5.56,5.45,5.49,116100,5.114679
2015-09-24,5.51,5.58,5.47,5.52,111000,5.142628
2015-09-23,5.55,5.58,5.52,5.52,81200,5.142628
2015-09-22,5.52,5.57,5.48,5.54,135500,5.161261
2015-09-21,5.52,5.57,5.48,5.52,81100,5.142628
2015-09-18,5.48,5.58,5.44,5.54,94000,5.161261
2015-09-17,5.48,5.55,5.42,5.52,94900,5.142628
2015-09-16,5.46,5.50,5.37,5.48,70100,5.105363
2015-09-15,5.46,5.49,5.38,5.46,58700,5.08673
2015-09-14,5.46,5.51,5.40,5.47,127400,5.096046
2015-09-11,5.29,5.46,5.26,5.46,115100,5.08673
2015-09-10,5.25,5.32,5.23,5.29,88100,4.928352
2015-09-09,5.30,5.32,5.25,5.26,56800,4.900403
2015-09-08,5.34,5.34,5.29,5.29,93600,4.928352
2015-09-04,5.29,5.35,5.29,5.35,31700,4.98425
2015-09-03,5.31,5.33,5.28,5.33,74900,4.965617
2015-09-02,5.36,5.38,5.30,5.33,43100,4.965617
2015-09-01,5.29,5.38,5.29,5.33,72300,4.965617
2015-08-31,5.25,5.40,5.19,5.38,137000,5.012199
2015-08-28,5.20,5.35,5.13,5.27,99000,4.909719
