Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,73.849998,74.529999,73.019997,73.580002,58700,73.580002
2016-06-09,74.099998,74.50,73.470001,74.160004,54300,74.160004
2016-06-08,74.120003,75.139999,73.419998,74.239998,81300,74.239998
2016-06-07,74.019997,75.050003,73.790001,73.980003,47300,73.980003
2016-06-06,73.830002,74.269997,72.75,73.919998,24700,73.919998
2016-06-03,72.879997,74.019997,72.879997,73.540001,38400,73.540001
2016-06-02,72.019997,73.370003,71.919998,73.199997,44800,73.199997
2016-06-01,74.07,74.190002,71.940002,72.57,59600,72.57
2016-05-31,73.849998,74.849998,73.370003,74.489998,72600,74.489998
2016-05-27,73.440002,74.209999,73.00,73.849998,36300,73.849998
2016-05-26,72.639999,73.43,71.82,73.18,21100,73.18
2016-05-25,72.68,72.800003,71.879997,72.32,32700,72.32
2016-05-24,71.059998,72.879997,71.059998,72.779999,47900,72.779999
2016-05-23,71.669998,72.800003,71.199997,71.32,37800,71.32
2016-05-20,71.18,72.389999,71.18,72.080002,50700,72.080002
2016-05-19,71.910004,72.709999,70.559998,70.980003,46400,70.980003
2016-05-18,72.099998,72.989998,71.510002,71.989998,49700,71.989998
2016-05-17,73.32,74.209999,71.940002,72.300003,82700,72.300003
2016-05-16,73.940002,74.839996,73.360001,74.470001,49300,74.470001
2016-05-13,74.00,74.529999,73.529999,73.699997,50900,73.699997
2016-05-12,73.889999,74.580002,73.370003,74.300003,40800,74.300003
2016-05-11,74.419998,75.099998,73.660004,74.00,63800,74.00
2016-05-10,73.970001,75.010002,72.809998,74.699997,50100,74.699997
2016-05-09,72.709999,74.25,72.709999,73.879997,47300,73.879997
2016-05-06,73.00,73.050003,72.300003,73.040001,57200,73.040001
2016-05-05,73.879997,74.129997,73.089996,73.25,67800,73.25
2016-05-04,72.760002,74.25,70.25,73.900002,74700,73.900002
2016-05-03,73.599998,74.07,71.989998,73.010002,89200,73.010002
2016-05-02,71.860001,73.93,70.18,73.769997,88200,73.769997
2016-04-29,72.25,73.00,71.00,71.910004,83700,71.910004
2016-04-28,72.510002,73.580002,71.50,72.00,79100,72.00
2016-04-27,72.559998,73.089996,71.209999,72.57,71100,72.57
2016-04-26,71.809998,72.949997,71.480003,72.360001,78700,72.360001
2016-04-25,71.559998,72.260002,71.360001,71.650002,57500,71.650002
2016-04-22,70.879997,71.830002,70.879997,71.800003,76000,71.800003
2016-04-21,72.00,72.209999,70.940002,70.940002,92800,70.940002
2016-04-20,72.410004,73.120003,71.68,71.940002,63500,71.940002
2016-04-19,72.110001,72.82,71.589996,72.709999,47900,72.709999
2016-04-18,72.00,72.809998,71.879997,72.32,69900,72.32
2016-04-15,71.889999,72.75,71.18,72.50,91500,72.50
2016-04-14,71.870003,72.480003,71.150002,71.790001,56000,71.790001
2016-04-13,71.760002,73.169998,70.970001,71.739998,88400,71.739998
2016-04-12,71.900002,72.809998,69.709999,71.589996,65500,71.589996
2016-04-11,73.720001,74.940002,71.809998,72.080002,107400,72.080002
2016-04-08,73.830002,75.419998,73.150002,73.599998,58000,73.599998
2016-04-07,74.150002,74.25,72.989998,73.400002,115600,73.400002
2016-04-06,74.290001,74.800003,73.269997,74.389999,123700,74.389999
2016-04-05,76.080002,76.400002,74.50,74.790001,141100,74.790001
2016-04-04,77.699997,77.800003,76.269997,76.309998,83900,76.309998
2016-04-01,75.470001,77.800003,74.800003,77.800003,119100,77.800003
2016-03-31,75.879997,76.68,75.07,75.830002,104100,75.830002
2016-03-30,75.309998,77.00,74.720001,76.129997,116500,76.129997
2016-03-29,73.279999,75.489998,73.279999,75.43,64300,75.43
2016-03-28,73.370003,74.470001,73.129997,73.610001,99400,73.289998
2016-03-24,72.040001,73.040001,71.540001,72.900002,126800,72.583086
2016-03-23,71.949997,73.050003,71.519997,72.370003,89800,72.055391
2016-03-22,72.139999,73.489998,71.599998,72.18,66200,71.866215
2016-03-21,72.519997,73.440002,70.949997,72.519997,140200,72.204733
