Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,17.85,17.99,17.76,17.959999,7200,17.959999
2016-06-09,17.90,17.99,17.85,17.950001,8000,17.950001
2016-06-08,17.92,17.950001,17.84,17.950001,7400,17.950001
2016-06-07,17.90,17.950001,17.85,17.870001,22100,17.870001
2016-06-06,17.610001,17.90,17.610001,17.860001,11600,17.860001
2016-06-03,17.719999,17.74,17.50,17.74,13500,17.74
2016-06-02,17.25,17.75,17.25,17.74,24100,17.74
2016-06-01,17.10,17.540001,16.50,17.309999,65200,17.309999
2016-05-31,16.73,17.18,16.700001,16.82,10100,16.82
2016-05-27,16.879999,17.10,16.559999,16.60,21100,16.60
2016-05-26,16.84,17.26,16.50,16.780001,10900,16.780001
2016-05-25,16.799999,17.110001,16.700001,16.879999,6800,16.879999
2016-05-24,16.879999,17.059999,16.75,16.780001,5300,16.780001
2016-05-23,16.959999,17.00,16.620001,16.66,6600,16.66
2016-05-20,16.639999,17.00,16.639999,16.68,4400,16.68
2016-05-19,16.93,17.309999,16.52,16.60,16200,16.60
2016-05-18,16.450001,17.280001,16.110001,17.02,33600,17.02
2016-05-17,16.719999,16.99,16.629999,16.629999,8500,16.629999
2016-05-16,16.92,16.92,16.67,16.67,500,16.67
2016-05-13,16.60,17.32,16.60,16.93,9000,16.93
2016-05-12,17.00,17.00,16.43,16.57,26500,16.57
2016-05-11,17.40,17.620001,16.83,16.93,10800,16.93
2016-05-10,17.50,17.50,17.10,17.16,2800,17.16
2016-05-09,17.75,17.75,17.09,17.190001,9600,17.190001
2016-05-06,17.139999,17.75,16.959999,17.75,13200,17.75
2016-05-05,17.299999,17.74,16.959999,17.190001,8900,17.190001
2016-05-04,17.35,17.58,17.23,17.23,10300,17.23
2016-05-03,17.33,17.450001,17.299999,17.440001,3500,17.440001
2016-05-02,17.639999,17.75,17.299999,17.450001,10800,17.450001
2016-04-29,17.41,17.41,17.299999,17.40,700,17.40
2016-04-28,17.32,17.629999,17.309999,17.42,7000,17.42
2016-04-27,17.459999,17.60,17.299999,17.309999,7100,17.309999
2016-04-26,17.67,17.67,17.299999,17.49,6400,17.49
2016-04-25,17.559999,17.75,17.33,17.33,7300,17.33
2016-04-22,17.629999,17.73,17.35,17.700001,8200,17.700001
2016-04-21,17.700001,17.719999,17.51,17.51,11000,17.51
2016-04-20,17.530001,17.68,17.360001,17.66,12400,17.66
2016-04-19,17.68,17.68,17.360001,17.51,19500,17.51
2016-04-18,17.690001,17.690001,17.40,17.51,10400,17.51
2016-04-15,17.51,17.639999,17.51,17.639999,7100,17.639999
2016-04-14,17.50,17.66,17.42,17.66,5900,17.66
2016-04-13,17.51,17.65,17.51,17.52,5400,17.52
2016-04-12,17.299999,17.65,17.299999,17.50,3600,17.50
2016-04-11,17.59,17.59,17.49,17.57,7100,17.57
2016-04-08,17.41,17.700001,17.41,17.65,10300,17.65
2016-04-07,17.26,17.450001,17.26,17.41,8200,17.41
2016-04-06,17.15,17.459999,17.15,17.42,7100,17.42
2016-04-05,17.15,17.200001,17.01,17.120001,6600,17.120001
2016-04-04,17.32,17.440001,17.059999,17.17,16600,17.17
2016-04-01,17.280001,17.50,17.18,17.18,10200,17.18
2016-03-31,17.50,17.540001,16.450001,17.309999,31300,17.309999
2016-03-30,17.58,17.68,17.42,17.68,14200,17.68
2016-03-29,17.65,17.690001,17.370001,17.549999,22200,17.549999
2016-03-28,17.65,17.65,17.15,17.26,13100,17.26
2016-03-24,17.450001,17.620001,17.35,17.620001,15100,17.620001
2016-03-23,17.58,17.620001,17.41,17.58,10000,17.58
2016-03-22,17.559999,17.639999,17.35,17.60,10500,17.60
2016-03-21,17.59,17.65,17.50,17.65,4400,17.65
2016-03-18,17.610001,17.690001,17.40,17.50,16300,17.50
2016-03-17,17.50,17.57,17.40,17.450001,20000,17.450001
2016-03-16,17.41,17.969999,17.41,17.60,12400,17.25
2016-03-15,17.370001,17.610001,17.299999,17.51,10600,17.16179
2016-03-14,16.85,17.620001,16.85,17.60,21400,17.25
2016-03-11,17.24,17.24,16.66,17.00,26400,16.661932
2016-03-10,17.18,17.24,17.00,17.18,7600,16.838352
2016-03-09,16.620001,17.139999,16.620001,17.139999,20000,16.799147
2016-03-08,16.10,16.620001,16.10,16.620001,4900,16.289489
2016-03-07,16.18,16.40,16.18,16.290001,7000,15.966052
2016-03-04,16.139999,16.280001,16.02,16.110001,4400,15.789631
2016-03-03,15.96,16.120001,15.96,16.120001,4000,15.799432
2016-03-02,15.92,16.139999,15.75,15.96,6100,15.642614
2016-03-01,16.030001,16.030001,15.60,15.99,12300,15.672017
2016-02-29,15.72,16.110001,15.53,16.10,12800,15.77983
2016-02-26,15.35,15.74,15.35,15.46,10400,15.152557
2016-02-25,15.64,15.64,15.35,15.43,6300,15.123154
2016-02-24,15.77,15.77,15.46,15.59,12100,15.279972
2016-02-23,15.65,15.80,15.00,15.70,12300,15.387784
2016-02-22,15.29,15.75,15.29,15.36,7000,15.054545
