Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.91,16.059999,15.75,15.81,378400,15.81
2016-06-09,16.110001,16.18,15.81,16.10,573600,16.10
2016-06-08,16.120001,16.33,16.09,16.24,423800,16.24
2016-06-07,16.200001,16.280001,16.049999,16.129999,254700,16.129999
2016-06-06,16.07,16.379999,16.02,16.24,397400,16.24
2016-06-03,16.110001,16.110001,15.58,16.030001,945700,16.030001
2016-06-02,16.27,16.309999,16.09,16.299999,490500,16.299999
2016-06-01,16.17,16.40,16.049999,16.360001,561700,16.360001
2016-05-31,16.389999,16.40,16.17,16.26,484500,16.26
2016-05-27,16.17,16.26,16.059999,16.26,472100,16.26
2016-05-26,16.280001,16.290001,16.00,16.120001,299200,16.120001
2016-05-25,16.059999,16.360001,16.00,16.280001,401300,16.280001
2016-05-24,15.66,15.99,15.64,15.97,507100,15.97
2016-05-23,15.63,15.69,15.32,15.55,612800,15.55
2016-05-20,15.47,15.72,15.47,15.68,506700,15.68
2016-05-19,15.51,15.78,15.18,15.37,552300,15.37
2016-05-18,15.15,15.69,15.12,15.58,757500,15.58
2016-05-17,15.26,15.69,15.15,15.17,1067200,15.17
2016-05-16,14.97,15.37,14.88,15.24,421800,15.24
2016-05-13,15.02,15.13,14.85,14.98,510000,14.98
2016-05-12,15.15,15.25,14.84,14.99,353000,14.99
2016-05-11,15.23,15.42,15.04,15.05,284300,15.05
2016-05-10,15.17,15.31,15.08,15.29,295500,15.29
2016-05-09,15.03,15.16,14.88,15.03,271900,15.03
2016-05-06,15.29,15.29,14.87,15.11,397300,15.11
2016-05-05,15.22,15.33,15.04,15.06,325500,15.06
2016-05-04,15.22,15.44,14.95,15.21,461600,15.21
2016-05-03,15.53,15.58,15.25,15.36,284400,15.36
2016-05-02,15.70,15.82,15.54,15.73,290400,15.73
2016-04-29,15.69,15.81,15.42,15.62,451600,15.62
2016-04-28,15.88,15.97,15.72,15.74,364200,15.74
2016-04-27,16.059999,16.200001,15.76,15.95,468200,15.95
2016-04-26,16.07,16.25,15.95,16.190001,330600,16.08
2016-04-25,16.139999,16.15,15.93,16.02,318100,15.911155
2016-04-22,16.15,16.309999,16.030001,16.16,534800,16.050203
2016-04-21,16.32,16.42,16.09,16.200001,489300,16.089933
2016-04-20,16.00,16.370001,15.94,16.290001,548400,16.179321
2016-04-19,15.59,16.23,15.56,15.92,629800,15.811834
2016-04-18,15.59,16.01,15.52,15.97,400900,15.861495
2016-04-15,15.76,15.86,15.66,15.74,401800,15.633057
2016-04-14,15.61,16.01,15.51,15.80,437600,15.69265
2016-04-13,15.18,15.64,15.13,15.63,696100,15.523805
2016-04-12,14.71,15.07,14.71,15.03,456300,14.927881
2016-04-11,14.68,14.98,14.66,14.71,440400,14.610055
2016-04-08,14.53,14.77,14.46,14.59,289800,14.490871
2016-04-07,14.61,14.62,14.28,14.36,561500,14.262433
2016-04-06,14.60,14.80,14.40,14.70,417400,14.600123
2016-04-05,14.84,14.92,14.64,14.64,375800,14.540531
2016-04-04,15.04,15.16,14.96,14.98,470900,14.87822
2016-04-01,15.06,15.31,14.96,15.08,527000,14.977541
2016-03-31,15.15,15.47,15.05,15.19,501600,15.086794
2016-03-30,14.82,15.23,14.82,15.15,581500,15.047065
2016-03-29,14.70,14.85,14.34,14.76,983600,14.659716
2016-03-28,14.89,14.92,14.64,14.68,350000,14.580259
2016-03-24,15.03,15.03,14.72,14.81,453200,14.709376
2016-03-23,15.35,15.63,15.17,15.20,326000,15.096726
2016-03-22,15.18,15.46,15.08,15.38,250100,15.275503
2016-03-21,15.44,15.50,15.16,15.34,239700,15.235775
