Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,4.66,4.66,4.56,4.63,2000,4.63
2016-06-09,4.71,4.75,4.57,4.57,3000,4.57
2016-06-08,4.78,4.78,4.78,4.78,000,4.78
2016-06-07,4.81,4.84,4.70,4.78,3600,4.78
2016-06-06,4.81,4.89,4.80,4.89,1600,4.89
2016-06-03,4.48,4.89,4.48,4.71,600,4.71
2016-06-02,4.77,4.77,4.54,4.63,600,4.63
2016-06-01,4.87,4.88,4.75,4.77,2000,4.77
2016-05-31,4.77,4.78,4.66,4.70,7700,4.70
2016-05-27,4.42,4.86,4.42,4.79,1600,4.79
2016-05-26,4.71,4.85,4.51,4.85,4900,4.85
2016-05-25,4.71,4.90,4.71,4.90,300,4.90
2016-05-24,4.96,5.00,4.53,4.80,900,4.80
2016-05-23,4.45,4.76,4.45,4.49,8100,4.49
2016-05-20,4.45,4.45,4.00,4.45,2400,4.45
2016-05-19,4.25,4.44,4.03,4.28,4200,4.28
2016-05-18,4.26,4.26,4.25,4.25,2400,4.25
2016-05-17,4.25,4.43,4.25,4.25,1100,4.25
2016-05-16,4.22,4.22,4.22,4.22,000,4.22
2016-05-13,4.22,4.22,4.22,4.22,000,4.22
2016-05-12,4.25,4.25,4.22,4.22,2100,4.22
2016-05-11,4.21,4.29,4.21,4.29,2600,4.29
2016-05-10,4.26,4.26,4.12,4.25,6500,4.25
2016-05-09,4.25,4.26,4.18,4.25,11400,4.25
2016-05-06,4.04,4.10,4.04,4.10,2800,4.10
2016-05-05,4.10,4.10,3.98,4.03,3900,4.03
2016-05-04,3.85,4.28,3.64,4.17,12800,4.17
2016-05-03,3.73,3.86,3.65,3.65,4600,3.65
2016-05-02,3.70,3.78,3.68,3.69,5100,3.69
2016-04-29,3.84,3.84,3.84,3.84,300,3.84
2016-04-28,3.81,3.82,3.81,3.82,8900,3.82
2016-04-27,3.76,3.82,3.76,3.82,1500,3.82
2016-04-26,3.76,3.76,3.72,3.75,700,3.75
2016-04-25,3.76,3.76,3.71,3.71,1900,3.71
2016-04-22,3.64,3.72,3.64,3.72,400,3.72
2016-04-21,3.65,3.65,3.65,3.65,000,3.65
2016-04-20,3.65,3.69,3.64,3.65,4200,3.65
2016-04-19,3.67,3.72,3.66,3.70,1400,3.70
2016-04-18,3.74,3.74,3.64,3.64,6200,3.64
2016-04-15,3.77,3.79,3.66,3.66,2600,3.66
2016-04-14,3.65,3.65,3.65,3.65,2000,3.65
2016-04-13,3.80,3.80,3.78,3.79,400,3.79
2016-04-12,3.81,3.81,3.70,3.78,900,3.78
2016-04-11,3.64,3.79,3.64,3.70,1600,3.70
2016-04-08,3.64,3.64,3.64,3.64,600,3.64
2016-04-07,3.64,3.64,3.64,3.64,200,3.64
2016-04-06,3.78,3.78,3.78,3.78,2000,3.78
2016-04-05,3.74,3.79,3.73,3.79,3000,3.79
2016-04-04,3.71,3.71,3.64,3.64,1300,3.64
2016-04-01,3.64,3.76,3.64,3.66,2700,3.66
2016-03-31,3.63,3.63,3.51,3.51,6100,3.51
2016-03-30,3.53,3.53,3.53,3.53,000,3.53
2016-03-29,3.57,3.63,3.53,3.53,4900,3.53
2016-03-28,3.80,3.80,3.80,3.80,700,3.755
2016-03-24,3.82,3.82,3.82,3.82,000,3.774763
2016-03-23,3.82,3.82,3.82,3.82,000,3.774763
2016-03-22,3.90,3.90,3.82,3.82,500,3.774763
2016-03-21,3.70,4.01,3.57,3.58,30900,3.537605
2016-03-18,3.70,3.72,3.52,3.52,9700,3.478316
2016-03-17,3.60,3.60,3.60,3.60,400,3.557368
2016-03-16,3.61,3.61,3.61,3.61,000,3.56725
2016-03-15,3.61,3.61,3.61,3.61,000,3.56725
2016-03-14,3.61,3.61,3.61,3.61,300,3.56725
2016-03-11,3.67,3.67,3.67,3.67,000,3.626539
2016-03-10,3.68,3.68,3.67,3.67,300,3.626539
2016-03-09,3.67,3.76,3.67,3.69,4700,3.646303
2016-03-08,3.53,3.79,3.52,3.79,7200,3.745118
2016-03-07,3.54,3.54,3.54,3.54,000,3.498079
2016-03-04,3.70,3.70,3.54,3.54,1600,3.498079
2016-03-03,3.69,3.70,3.68,3.70,1100,3.656184
2016-03-02,3.56,3.56,3.56,3.56,500,3.517842
2016-03-01,3.68,3.68,3.68,3.68,000,3.636421
2016-02-29,3.68,3.68,3.68,3.68,000,3.636421
2016-02-26,3.40,3.68,3.40,3.68,1200,3.636421
2016-02-25,3.40,3.40,3.29,3.29,700,3.251039
2016-02-24,3.23,3.49,3.23,3.49,200,3.448671
2016-02-23,3.17,3.60,3.16,3.36,27400,3.32021
2016-02-22,3.33,3.33,3.33,3.33,4600,3.290566
2016-02-19,3.23,3.23,3.21,3.21,6600,3.171987
