Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,12.55,12.55,12.02,12.12,65900,12.12
2016-06-09,12.80,12.87,12.60,12.77,65000,12.77
2016-06-08,12.92,12.98,12.66,12.85,102300,12.85
2016-06-07,12.66,13.23,12.66,12.79,70700,12.79
2016-06-06,12.40,13.22,12.22,13.11,142700,13.11
2016-06-03,12.83,12.97,12.38,12.39,127700,12.39
2016-06-02,12.86,13.11,12.62,12.86,91600,12.86
2016-06-01,12.41,13.11,12.17,12.97,148500,12.97
2016-05-31,13.34,13.54,12.54,12.55,297600,12.55
2016-05-27,12.73,13.35,12.73,13.26,55300,13.26
2016-05-26,12.93,13.29,12.73,12.76,53500,12.76
2016-05-25,12.69,13.29,12.69,12.88,119000,12.88
2016-05-24,12.27,12.80,12.21,12.69,161500,12.69
2016-05-23,12.46,12.95,12.17,12.25,118200,12.25
2016-05-20,11.92,12.64,11.92,12.60,106900,12.60
2016-05-19,12.25,12.50,11.81,11.84,124100,11.84
2016-05-18,12.03,12.66,12.03,12.45,81200,12.45
2016-05-17,12.05,12.72,12.02,12.23,157000,12.23
2016-05-16,12.05,12.42,12.05,12.18,79200,12.18
2016-05-13,12.08,12.20,11.92,11.99,117200,11.99
2016-05-12,12.39,13.27,11.96,12.10,184900,12.10
2016-05-11,13.13,13.96,12.55,12.58,102300,12.58
2016-05-10,13.95,14.20,13.68,14.11,114600,14.11
2016-05-09,14.24,14.51,13.94,13.96,84800,13.96
2016-05-06,13.94,14.23,13.77,14.15,92800,14.15
2016-05-05,14.63,15.06,13.89,13.94,73900,13.94
2016-05-04,14.08,14.74,13.88,14.56,112900,14.56
2016-05-03,14.46,14.46,13.87,14.17,83400,14.17
2016-05-02,14.58,14.82,14.44,14.62,68000,14.62
2016-04-29,14.73,14.94,14.34,14.62,53700,14.62
2016-04-28,14.95,15.24,14.73,14.84,48700,14.84
2016-04-27,14.90,15.14,14.67,15.10,69200,15.10
2016-04-26,14.26,14.97,14.06,14.87,61600,14.87
2016-04-25,14.42,14.69,13.99,14.23,90300,14.23
2016-04-22,14.03,14.59,14.03,14.43,73800,14.43
2016-04-21,14.50,14.57,13.94,13.96,86400,13.96
2016-04-20,14.00,14.58,13.78,14.44,79300,14.44
2016-04-19,13.74,14.01,13.74,13.93,51100,13.93
2016-04-18,13.90,13.95,13.55,13.70,73200,13.70
2016-04-15,13.71,13.84,13.50,13.70,62700,13.70
2016-04-14,13.83,14.03,13.55,13.80,88900,13.80
2016-04-13,13.26,14.02,13.26,13.78,75700,13.78
2016-04-12,13.47,13.54,13.18,13.22,63800,13.22
2016-04-11,13.32,13.81,13.13,13.40,82500,13.40
2016-04-08,13.34,13.55,13.06,13.30,96600,13.30
2016-04-07,13.74,13.94,13.11,13.20,97700,13.20
2016-04-06,13.39,14.07,13.30,13.96,118300,13.96
2016-04-05,13.30,13.65,12.75,13.46,100700,13.46
2016-04-04,13.50,13.87,13.31,13.44,100900,13.44
2016-04-01,13.39,13.89,13.08,13.59,133000,13.59
2016-03-31,14.05,14.32,13.46,13.47,223700,13.47
2016-03-30,14.38,14.52,13.89,14.05,141100,14.05
2016-03-29,13.58,14.43,12.93,14.35,117500,14.35
2016-03-28,13.98,13.98,13.47,13.73,80700,13.62
2016-03-24,13.57,14.18,13.18,13.89,104600,13.778719
2016-03-23,14.66,14.92,13.69,13.72,192700,13.610081
2016-03-22,14.54,14.95,14.34,14.77,172200,14.651669
2016-03-21,14.30,14.94,14.24,14.71,166700,14.592149
2016-03-18,13.93,14.54,13.55,14.45,284400,14.334232
2016-03-17,13.04,14.00,13.04,13.82,127200,13.709279
2016-03-16,13.09,13.38,13.00,13.12,110400,13.014887
2016-03-15,13.27,13.63,13.00,13.09,128300,12.985128
2016-03-14,13.77,13.85,13.24,13.33,113600,13.223205
2016-03-11,13.34,13.99,13.15,13.86,121800,13.748958
2016-03-10,13.74,13.89,12.99,13.14,242600,13.034727
2016-03-09,13.29,13.91,13.09,13.65,169100,13.540641
2016-03-08,13.57,13.76,13.25,13.27,196800,13.163686
2016-03-07,13.46,14.11,13.18,13.73,176600,13.62
2016-03-04,13.29,13.94,13.16,13.44,116200,13.332323
2016-03-03,13.52,13.80,13.17,13.21,178500,13.104166
2016-03-02,13.15,13.88,13.00,13.52,245000,13.411683
2016-03-01,13.50,13.50,13.01,13.12,169800,13.014887
2016-02-29,13.19,13.85,13.11,13.25,194900,13.143846
2016-02-26,13.42,13.74,13.00,13.06,128800,12.955368
2016-02-25,13.09,13.40,12.95,13.38,175100,13.272804
2016-02-24,12.64,13.32,12.37,13.29,243100,13.183525
2016-02-23,12.26,12.54,12.00,12.41,194100,12.310575
2016-02-22,11.67,12.59,11.23,12.28,219900,12.181617
