Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,10.57,10.58,10.46,10.57,6600,10.57
2016-06-09,10.57,10.59,10.54,10.59,1300,10.59
2016-06-08,10.59,10.60,10.59,10.60,500,10.60
2016-06-07,10.52,10.59,10.52,10.59,600,10.59
2016-06-06,10.47,10.59,10.30,10.59,14700,10.59
2016-06-03,10.48,10.59,10.22,10.44,5300,10.44
2016-06-02,10.37,10.48,10.33,10.33,7400,10.33
2016-06-01,10.48,10.48,10.39,10.43,2500,10.43
2016-05-31,10.53,10.53,10.36,10.48,10300,10.48
2016-05-27,10.50,10.60,10.45,10.46,13200,10.46
2016-05-26,10.49,10.49,10.31,10.48,2100,10.48
2016-05-25,10.32,10.49,10.28,10.46,17700,10.46
2016-05-24,10.30,10.50,10.25,10.46,11200,10.46
2016-05-23,10.21,10.30,10.21,10.27,6600,10.27
2016-05-20,10.25,10.30,10.24,10.25,17600,10.25
2016-05-19,10.18,10.25,10.15,10.24,18700,10.24
2016-05-18,10.06,10.25,10.06,10.24,22000,10.24
2016-05-17,10.15,10.24,10.15,10.19,37100,10.19
2016-05-16,10.05,10.18,10.05,10.10,5400,10.10
2016-05-13,10.10,10.17,10.05,10.05,4600,10.05
2016-05-12,10.05,10.22,10.05,10.07,7100,10.07
2016-05-11,10.06,10.23,10.02,10.05,7700,10.05
2016-05-10,10.06,10.06,10.00,10.03,7000,10.03
2016-05-09,10.08,10.12,10.05,10.05,1900,10.05
2016-05-06,10.06,10.13,9.97,10.08,9500,10.08
2016-05-05,10.01,10.13,10.00,10.07,7400,10.07
2016-05-04,10.02,10.11,9.98,9.98,10100,9.98
2016-05-03,10.06,10.15,9.98,10.08,9500,10.08
2016-05-02,10.06,10.15,10.06,10.09,2900,10.09
2016-04-29,10.09,10.13,10.08,10.12,25000,10.12
2016-04-28,10.06,10.13,10.06,10.10,5700,10.10
2016-04-27,10.09,10.13,10.04,10.10,6000,10.10
2016-04-26,10.03,10.15,10.03,10.13,10900,9.99
2016-04-25,10.13,10.14,10.06,10.07,2300,9.930829
2016-04-22,10.08,10.14,10.00,10.03,12800,9.891382
2016-04-21,10.09,10.15,10.02,10.03,15200,9.891382
2016-04-20,10.07,10.10,10.02,10.03,7300,9.891382
2016-04-19,10.08,10.21,10.02,10.15,11600,10.009723
2016-04-18,10.00,10.09,10.00,10.05,5200,9.911106
2016-04-15,10.08,10.08,10.00,10.02,12600,9.881521
2016-04-14,10.05,10.08,10.01,10.03,3700,9.891382
2016-04-13,10.07,10.07,10.03,10.05,1300,9.911106
2016-04-12,10.08,10.08,10.03,10.03,600,9.891382
2016-04-11,10.10,10.10,10.00,10.04,6100,9.901244
2016-04-08,10.17,10.18,10.06,10.07,9000,9.930829
2016-04-07,10.13,10.18,10.05,10.09,4000,9.950553
2016-04-06,10.00,10.14,10.00,10.13,3700,9.99
2016-04-05,10.20,10.20,10.07,10.14,3100,9.999862
2016-04-04,10.18,10.20,10.08,10.19,7900,10.04917
2016-04-01,10.00,10.16,10.00,10.11,8300,9.970276
2016-03-31,10.10,10.12,10.01,10.01,8700,9.871659
2016-03-30,10.19,10.20,10.10,10.10,2700,9.960415
2016-03-29,10.16,10.25,10.12,10.20,9500,10.059032
2016-03-28,10.15,10.34,10.10,10.24,22900,10.098479
2016-03-24,10.23,10.23,10.11,10.18,3500,10.039309
2016-03-23,9.97,10.21,9.97,10.07,8800,9.930829
2016-03-22,10.06,10.09,10.00,10.01,6600,9.871659
2016-03-21,10.03,10.10,10.00,10.02,11600,9.881521
2016-03-18,10.08,10.10,9.97,9.97,15700,9.832211
2016-03-17,9.99,10.15,9.97,10.08,20100,9.940691
2016-03-16,10.00,10.23,9.98,10.08,8300,9.940691
2016-03-15,9.87,10.00,9.87,9.97,6300,9.832211
2016-03-14,9.95,9.95,9.88,9.91,4900,9.77304
2016-03-11,10.00,10.00,9.89,9.94,22100,9.802625
2016-03-10,9.95,9.99,9.90,9.94,7800,9.802625
2016-03-09,9.95,9.98,9.89,9.93,12900,9.792764
2016-03-08,9.94,9.99,9.85,9.85,14700,9.71387
2016-03-07,9.97,10.00,9.90,9.94,17700,9.802625
2016-03-04,9.96,10.03,9.91,9.92,7300,9.782902
2016-03-03,9.96,10.03,9.88,9.93,13000,9.792764
2016-03-02,9.95,9.98,9.90,9.92,3800,9.782902
2016-03-01,9.83,10.07,9.82,10.07,4000,9.930829
2016-02-29,9.88,9.97,9.81,9.83,24600,9.694146
2016-02-26,9.95,9.96,9.81,9.87,7600,9.733593
2016-02-25,10.00,10.00,9.75,9.82,19900,9.684284
2016-02-24,9.81,9.97,9.76,9.80,9700,9.664561
2016-02-23,9.95,9.97,9.81,9.82,23400,9.684284
2016-02-22,10.17,10.28,9.93,9.95,36100,9.812487
2016-02-19,10.20,10.30,10.16,10.28,13700,10.137927
2016-02-18,10.09,10.13,9.98,10.04,9700,9.901244
2016-02-17,10.15,10.22,10.03,10.19,8600,10.04917
2016-02-16,10.00,10.06,9.83,10.05,14200,9.911106
2016-02-12,9.84,9.90,9.82,9.83,10500,9.694146
2016-02-11,9.94,10.11,9.81,9.85,15700,9.71387
2016-02-10,10.04,10.12,9.94,9.98,5100,9.842072
2016-02-09,9.99,9.99,9.93,9.94,7500,9.802625
2016-02-08,10.08,10.08,9.90,9.98,21900,9.842072
2016-02-05,10.14,10.22,10.05,10.08,5900,9.940691
2016-02-04,10.26,10.32,10.15,10.20,6800,10.059032
2016-02-03,10.26,10.30,10.22,10.24,5100,10.098479
2016-02-02,10.36,10.36,10.30,10.33,6000,10.187236
2016-02-01,10.33,10.45,10.26,10.36,2300,10.216821
2016-01-29,10.30,10.48,10.30,10.47,7300,10.325301
2016-01-28,10.39,10.48,10.38,10.38,1800,10.236545
2016-01-27,10.32,10.46,10.31,10.46,4700,10.177374
2016-01-26,10.31,10.41,10.23,10.26,3700,9.982778
2016-01-25,10.37,10.44,10.21,10.21,6000,9.934129
2016-01-22,10.25,10.46,10.21,10.45,8400,10.167644
2016-01-21,10.21,10.25,10.13,10.19,1900,9.914669
2016-01-20,10.23,10.24,10.00,10.24,28000,9.963318
2016-01-19,10.25,10.25,10.20,10.24,11800,9.963318
2016-01-15,10.40,10.46,10.21,10.25,14000,9.973048
2016-01-14,10.56,10.56,10.35,10.35,3300,10.070347
2016-01-13,10.64,10.71,10.41,10.45,26600,10.167644
2016-01-12,10.61,10.73,10.42,10.59,4300,10.303862
2016-01-11,10.64,10.76,10.52,10.57,16800,10.284402
2016-01-08,10.53,10.66,10.50,10.66,17300,10.37197
2016-01-07,10.42,10.75,10.40,10.50,13900,10.216293
2016-01-06,10.58,10.72,10.50,10.57,17900,10.284402
2016-01-05,10.54,10.57,10.39,10.55,12100,10.264943
2016-01-04,10.30,10.51,10.20,10.47,22600,10.187104
2015-12-31,10.48,10.57,10.30,10.40,14700,10.118995
2015-12-30,10.54,10.56,10.42,10.43,3100,10.148185
2015-12-29,10.72,10.75,10.37,10.55,15600,10.264943
2015-12-28,10.45,10.80,10.45,10.51,8100,10.226023
2015-12-24,10.65,10.76,10.51,10.51,2900,10.226023
2015-12-23,10.71,10.80,10.36,10.70,11100,10.410889
2015-12-22,10.60,10.79,10.30,10.70,6700,10.410889
2015-12-21,10.65,10.84,10.41,10.55,17900,10.264943
2015-12-18,10.50,10.64,10.38,10.64,57300,10.352511
2015-12-17,10.50,10.50,10.37,10.49,9200,10.206563
2015-12-16,10.49,10.50,10.30,10.50,13000,10.216293
2015-12-15,10.44,10.49,10.31,10.47,11100,10.187104
2015-12-14,10.43,10.49,10.35,10.37,25800,10.089806
2015-12-11,10.57,10.63,10.42,10.43,9000,10.148185
2015-12-10,10.69,10.70,10.59,10.66,17800,10.37197
2015-12-09,10.69,10.70,10.52,10.60,12000,10.313592
2015-12-08,10.65,10.92,10.60,10.70,10900,10.410889
2015-12-07,10.75,10.87,10.52,10.80,22800,10.508188
2015-12-04,10.89,10.89,10.75,10.85,12300,10.556837
2015-12-03,10.76,10.85,10.75,10.78,16100,10.488728
2015-12-02,10.95,11.00,10.65,10.81,25900,10.517918
2015-12-01,11.25,11.25,10.96,11.01,6200,10.712514
2015-11-30,11.22,11.22,10.92,11.18,23500,10.87792
2015-11-27,11.20,11.25,11.15,11.25,12500,10.946029
2015-11-25,11.08,11.20,10.97,11.20,23900,10.897379
2015-11-24,11.15,11.25,11.08,11.10,17400,10.800082
2015-11-23,10.99,11.33,10.98,11.33,49800,11.023867
2015-11-20,10.86,10.95,10.82,10.85,39300,10.556837
2015-11-19,10.64,11.00,10.64,10.79,85900,10.498458
2015-11-18,10.38,10.70,10.38,10.56,31600,10.274673
2015-11-17,10.39,10.40,10.33,10.40,31200,10.118995
2015-11-16,10.21,10.40,10.21,10.36,56900,10.080076
2015-11-13,10.40,10.45,10.13,10.13,82400,9.856291
2015-11-12,10.24,10.40,10.23,10.34,46400,10.060617
2015-11-11,10.31,10.39,10.17,10.25,36300,9.973048
2015-11-10,10.15,10.33,10.10,10.16,71600,9.88548
2015-11-09,10.11,10.20,10.09,10.14,84500,9.866021
2015-11-06,10.08,10.10,10.02,10.10,15800,9.827102
2015-11-05,10.09,10.10,10.03,10.06,18000,9.788182
2015-11-04,10.12,10.14,10.01,10.09,65000,9.817372
2015-11-03,10.08,10.13,10.05,10.06,22700,9.788182
2015-11-02,10.00,10.19,10.00,10.06,47400,9.788182
2015-10-30,9.75,10.12,9.70,10.01,382400,9.739533
2015-10-29,10.05,10.28,9.99,10.06,38200,9.788182
2015-10-28,10.34,10.41,10.00,10.18,24900,9.768723
2015-10-27,10.62,10.65,10.40,10.41,5700,9.98943
2015-10-26,10.48,10.70,10.48,10.55,9600,10.123774
2015-10-23,10.56,10.68,10.37,10.55,31000,10.123774
2015-10-22,10.39,10.39,10.25,10.39,10500,9.970238
2015-10-21,10.25,10.49,10.25,10.32,4400,9.903066
2015-10-20,10.26,10.41,10.20,10.20,2400,9.787914
2015-10-19,10.25,10.74,10.15,10.25,6900,9.835894
2015-10-16,10.09,10.29,10.01,10.17,41300,9.759126
2015-10-15,10.01,10.20,10.00,10.05,2900,9.643975
2015-10-14,10.00,10.19,10.00,10.03,2100,9.624782
2015-10-13,10.06,10.11,9.91,9.97,4800,9.567207
2015-10-12,10.15,10.29,10.03,10.03,3600,9.624782
2015-10-09,10.10,10.30,10.10,10.16,6000,9.74953
2015-10-08,10.10,10.20,10.10,10.13,5300,9.720742
2015-10-07,10.65,10.68,10.25,10.33,8800,9.912662
2015-10-06,10.05,10.46,10.03,10.46,3200,10.03741
2015-10-05,10.12,10.16,10.00,10.09,6900,9.682358
2015-10-02,9.93,10.04,9.93,9.97,2000,9.567207
2015-10-01,10.00,10.11,10.00,10.00,5000,9.595994
2015-09-30,9.90,10.03,9.86,10.00,3200,9.595994
2015-09-29,9.90,9.90,9.81,9.88,5800,9.480843
2015-09-28,10.30,10.37,9.74,9.89,18200,9.490439
2015-09-25,10.52,10.53,10.30,10.37,5700,9.951046
2015-09-24,10.28,10.55,10.20,10.20,9400,9.787914
2015-09-23,10.22,10.36,10.22,10.22,3600,9.807106
2015-09-22,10.44,10.44,10.27,10.28,6600,9.864682
2015-09-21,10.34,10.49,10.25,10.45,7800,10.027814
2015-09-18,10.25,10.54,10.20,10.41,17600,9.98943
2015-09-17,10.29,10.43,10.27,10.43,8800,10.008622
2015-09-16,10.29,10.32,10.27,10.29,12100,9.874278
2015-09-15,10.32,11.34,10.25,10.39,33500,9.970238
2015-09-14,10.79,10.79,10.30,10.41,35000,9.98943
2015-09-11,11.26,11.26,10.94,11.00,8600,10.555594
2015-09-10,11.49,11.49,11.28,11.28,1600,10.824281
2015-09-09,11.58,11.59,11.23,11.23,4800,10.776301
2015-09-08,11.57,11.57,11.57,11.57,600,11.102565
2015-09-04,11.40,11.40,11.40,11.40,400,10.939433
2015-09-03,11.62,11.62,11.40,11.43,1000,10.968222
2015-09-02,11.66,11.67,11.57,11.57,1500,11.102565
2015-09-01,11.43,11.56,11.43,11.54,1500,11.073777
2015-08-31,11.45,11.45,11.45,11.45,2100,10.987413
2015-08-28,11.68,11.68,11.51,11.51,2400,11.04499
2015-08-27,11.43,11.44,11.43,11.44,600,10.977817
2015-08-26,11.48,11.50,11.42,11.43,3200,10.968222
2015-08-25,11.47,11.68,11.47,11.50,7200,11.035394
2015-08-24,11.71,11.71,11.46,11.46,14900,10.99701
2015-08-21,11.63,11.74,11.56,11.74,8800,11.265697
2015-08-20,11.68,11.71,11.56,11.56,20300,11.09297
2015-08-19,11.71,11.71,11.65,11.65,4600,11.179333
2015-08-18,11.78,11.83,11.69,11.69,2700,11.217717
2015-08-17,11.72,11.75,11.63,11.68,5400,11.208122
2015-08-14,11.76,11.76,11.63,11.66,3400,11.188929
2015-08-13,11.71,11.94,11.70,11.88,3800,11.400041
2015-08-12,11.74,11.93,11.67,11.67,2600,11.198525
2015-08-11,11.70,11.80,11.62,11.63,2900,11.160142
2015-08-10,11.62,11.70,11.62,11.70,300,11.227313
2015-08-07,11.56,11.62,11.56,11.60,2500,11.131354
2015-08-06,11.62,11.70,11.52,11.66,87600,11.188929
2015-08-05,11.53,11.99,11.52,11.58,9700,11.112161
2015-08-04,11.52,11.53,11.50,11.52,10700,11.054586
2015-08-03,11.50,11.60,11.31,11.58,6400,11.112161
2015-07-31,11.58,11.78,11.56,11.56,7400,11.09297
2015-07-30,11.56,11.78,11.56,11.56,3400,11.09297
2015-07-29,11.60,11.61,11.56,11.56,7800,10.958626
2015-07-28,11.58,11.99,11.56,11.65,5400,11.043944
2015-07-27,11.66,11.72,11.56,11.56,7100,10.958626
2015-07-24,11.56,11.60,11.56,11.56,8400,10.958626
2015-07-23,11.56,11.67,11.56,11.56,5700,10.958626
2015-07-22,11.60,11.63,11.56,11.56,7600,10.958626
2015-07-21,11.40,11.66,11.40,11.63,4600,11.024984
2015-07-20,11.57,11.70,11.57,11.60,10100,10.996545
2015-07-17,11.45,11.74,11.40,11.60,15900,10.996545
2015-07-16,11.64,11.74,11.47,11.47,7800,10.873308
2015-07-15,11.60,11.69,11.36,11.45,4600,10.854348
2015-07-14,11.36,11.69,11.36,11.48,2900,10.882787
2015-07-13,11.54,11.54,11.36,11.49,7000,10.892267
2015-07-10,11.60,11.80,11.56,11.60,6200,10.996545
2015-07-09,11.87,12.04,11.75,11.75,10300,11.138742
