Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.55,15.55,15.54,15.55,500,15.55
2016-06-09,15.79,15.79,15.79,15.79,100,15.79
2016-06-08,16.040001,16.040001,15.56,15.75,400,15.75
2016-06-07,15.75,15.75,15.75,15.75,1200,15.75
2016-06-06,15.25,15.54,15.10,15.54,1700,15.54
2016-06-03,15.24,15.24,15.24,15.24,000,15.24
2016-06-02,15.24,15.24,15.24,15.24,000,15.24
2016-06-01,15.37,15.37,15.22,15.24,1700,15.24
2016-05-31,15.52,15.52,15.29,15.29,400,15.29
2016-05-27,15.32,15.40,15.32,15.40,300,15.40
2016-05-26,16.10,16.10,16.10,16.10,000,16.10
2016-05-25,16.10,16.10,16.10,16.10,400,16.10
2016-05-24,15.80,16.02,15.80,15.80,2100,15.80
2016-05-23,15.77,15.80,15.66,15.80,1200,15.80
2016-05-20,14.73,14.73,14.73,14.73,000,14.73
2016-05-19,14.73,14.73,14.73,14.73,000,14.73
2016-05-18,15.71,15.71,13.34,14.73,1300,14.73
2016-05-17,14.91,15.00,14.91,15.00,500,15.00
2016-05-16,15.51,15.80,15.46,15.79,2800,15.79
2016-05-13,14.96,15.80,14.96,15.79,800,15.79
2016-05-12,15.80,15.80,15.80,15.80,500,15.80
2016-05-11,14.37,15.80,14.37,15.80,1500,15.80
2016-05-10,15.59,15.59,15.59,15.59,200,15.59
2016-05-09,15.75,15.75,15.75,15.75,000,15.75
2016-05-06,15.00,15.80,15.00,15.75,1900,15.75
2016-05-05,15.84,15.84,15.84,15.84,000,15.84
2016-05-04,15.06,15.84,15.06,15.84,300,15.84
2016-05-03,14.90,16.01,14.90,16.01,1400,16.01
2016-05-02,15.65,15.65,14.78,15.13,800,15.13
2016-04-29,15.61,15.65,15.61,15.65,800,15.65
2016-04-28,15.01,15.01,14.94,14.94,3100,14.94
2016-04-27,14.82,15.54,14.82,15.54,1500,15.54
2016-04-26,15.30,15.30,14.54,14.73,3500,14.73
2016-04-25,15.58,15.58,15.58,15.58,000,15.58
2016-04-22,15.20,15.58,14.78,15.58,2000,15.58
2016-04-21,14.90,15.45,14.90,15.15,500,15.15
2016-04-20,15.60,15.60,15.21,15.25,1800,15.25
2016-04-19,14.83,15.02,14.59,14.72,1000,14.72
2016-04-18,14.59,15.04,14.58,15.04,700,15.04
2016-04-15,15.00,15.01,14.55,14.55,3400,14.55
2016-04-14,13.92,14.73,13.92,14.73,300,14.73
2016-04-13,13.08,13.08,13.08,13.08,000,13.08
2016-04-12,13.09,13.09,13.08,13.08,300,13.02
2016-04-11,12.96,12.96,12.96,12.96,100,12.90055
2016-04-08,12.80,12.80,12.80,12.80,000,12.741284
2016-04-07,12.81,12.81,12.80,12.80,400,12.741284
2016-04-06,13.40,13.40,13.40,13.40,1900,13.338531
2016-04-05,13.42,13.42,13.20,13.20,1300,13.139449
2016-04-04,14.05,14.05,13.37,13.37,2900,13.308669
2016-04-01,13.65,13.65,13.65,13.65,000,13.587385
2016-03-31,13.65,13.65,13.65,13.65,000,13.587385
2016-03-30,13.48,13.65,13.48,13.65,1900,13.587385
2016-03-29,13.39,13.55,13.39,13.55,500,13.487844
2016-03-28,13.15,13.50,13.12,13.37,1800,13.308669
2016-03-24,12.25,12.60,12.25,12.60,500,12.542202
2016-03-23,12.20,12.55,12.15,12.55,1600,12.492431
2016-03-22,12.60,12.60,12.35,12.60,2900,12.542202
2016-03-21,13.10,13.38,12.85,12.85,2300,12.791055
2016-03-18,13.25,13.25,12.91,13.10,2400,13.039908
2016-03-17,12.77,12.83,12.49,12.49,600,12.432706
2016-03-16,13.00,13.00,13.00,13.00,000,12.940367
2016-03-15,13.00,13.00,13.00,13.00,000,12.940367
2016-03-14,13.32,13.32,13.00,13.00,1700,12.940367
2016-03-11,13.42,13.42,13.09,13.09,1200,13.029954
2016-03-10,13.50,13.50,13.50,13.50,000,13.438073
2016-03-09,13.50,13.50,13.50,13.50,1300,13.438073
2016-03-08,13.30,13.30,13.30,13.30,400,13.238991
2016-03-07,12.87,12.87,12.87,12.87,000,12.810963
2016-03-04,12.87,12.87,12.87,12.87,300,12.810963
2016-03-03,14.10,14.10,14.00,14.00,1000,13.93578
2016-03-02,12.75,13.61,12.75,13.61,500,13.547568
2016-03-01,12.25,12.25,12.25,12.25,000,12.193807
2016-02-29,12.25,12.25,12.25,12.25,000,12.193807
2016-02-26,12.25,12.25,12.25,12.25,000,12.193807
2016-02-25,12.25,12.25,12.25,12.25,000,12.193807
2016-02-24,12.21,12.25,12.21,12.25,400,12.193807
2016-02-23,12.25,12.25,12.25,12.25,100,12.193807
2016-02-22,12.18,12.18,12.00,12.16,2100,12.10422
2016-02-19,11.83,12.02,11.83,11.92,2000,11.865321
2016-02-18,12.44,12.44,12.40,12.40,800,12.343119
2016-02-17,12.90,12.90,12.90,12.90,000,12.840825
2016-02-16,12.90,12.90,12.90,12.90,700,12.840825
2016-02-12,11.88,11.88,11.86,11.86,400,11.805596
2016-02-11,12.85,12.85,12.85,12.85,000,12.791055
2016-02-10,12.96,13.01,12.85,12.85,500,12.791055
2016-02-09,12.56,12.56,12.56,12.56,300,12.502386
2016-02-08,12.78,12.78,12.78,12.78,200,12.721376
2016-02-05,12.25,12.25,12.25,12.25,000,12.193807
2016-02-04,12.11,12.25,11.32,12.25,2200,12.193807
2016-02-03,13.15,13.15,13.15,13.15,000,13.089678
2016-02-02,13.15,13.15,13.15,13.15,000,13.089678
2016-02-01,13.15,13.15,13.15,13.15,300,13.089678
2016-01-29,14.08,14.08,13.12,13.19,500,13.129495
2016-01-28,13.00,13.00,13.00,13.00,000,12.940367
2016-01-27,13.00,13.00,13.00,13.00,000,12.940367
2016-01-26,13.00,13.00,13.00,13.00,500,12.940367
2016-01-25,13.81,13.81,13.15,13.15,2500,13.089678
2016-01-22,13.13,13.13,13.13,13.13,1500,13.069771
2016-01-21,13.21,13.22,12.90,12.90,1300,12.840825
2016-01-20,11.99,12.66,11.97,12.66,1600,12.601926
2016-01-19,12.55,12.55,12.55,12.55,000,12.492431
2016-01-15,12.55,12.55,12.55,12.55,500,12.492431
2016-01-14,9.69,13.64,9.69,13.41,1600,13.348486
2016-01-13,13.72,13.72,13.72,13.72,200,13.657064
2016-01-12,14.20,14.20,13.78,13.78,1600,13.657064
2016-01-11,15.87,15.87,14.17,14.17,1800,14.043585
2016-01-08,14.43,14.43,14.14,14.17,2200,14.043585
2016-01-07,14.50,14.50,14.10,14.12,1700,13.994031
2016-01-06,14.70,14.78,14.50,14.50,1500,14.370641
2016-01-05,15.13,15.13,14.64,14.64,800,14.509392
2016-01-04,15.87,15.87,15.32,15.39,3000,15.252701
2015-12-31,14.65,14.66,14.40,14.66,4000,14.529213
2015-12-30,15.47,15.47,14.95,14.97,1400,14.836448
2015-12-29,15.87,15.87,15.87,15.87,000,15.728418
2015-12-28,15.87,15.87,15.87,15.87,000,15.728418
2015-12-24,15.87,15.87,15.87,15.87,000,15.728418
2015-12-23,15.35,15.87,15.35,15.87,900,15.728418
2015-12-22,14.72,15.57,14.72,15.16,1200,15.024753
2015-12-21,14.92,14.92,14.92,14.92,100,14.786894
2015-12-18,15.24,15.24,14.80,15.00,800,14.86618
2015-12-17,14.70,14.70,14.70,14.70,000,14.568856
2015-12-16,15.00,15.00,14.29,14.70,800,14.568856
2015-12-15,14.39,14.40,14.39,14.40,200,14.271533
2015-12-14,14.80,14.80,14.80,14.80,000,14.667965
2015-12-11,15.45,15.45,14.80,14.80,600,14.667965
2015-12-10,15.30,15.30,15.30,15.30,400,15.163504
2015-12-09,15.75,15.75,15.32,15.32,1000,15.183325
2015-12-08,15.90,15.90,15.61,15.61,1100,15.470738
2015-12-07,16.049999,16.09,15.30,15.90,3900,15.758151
2015-12-04,16.32,16.50,16.32,16.50,400,16.352798
2015-12-03,16.700001,16.709999,16.24,16.24,700,16.095117
2015-12-02,16.77,17.17,16.77,17.17,500,17.016821
2015-12-01,18.08,18.08,17.75,17.75,400,17.591646
2015-11-30,17.450001,18.00,17.450001,18.00,3700,17.839416
2015-11-27,17.190001,17.190001,17.190001,17.190001,200,17.036643
2015-11-25,16.530001,17.18,16.530001,17.10,4700,16.947446
2015-11-24,16.620001,16.620001,16.620001,16.620001,000,16.471728
2015-11-23,16.620001,16.620001,16.620001,16.620001,000,16.471728
2015-11-20,17.00,17.00,16.620001,16.620001,300,16.471728
2015-11-19,16.65,16.65,16.65,16.65,000,16.50146
2015-11-18,16.610001,16.65,16.610001,16.65,500,16.50146
2015-11-17,16.469999,16.799999,16.469999,16.799999,200,16.650121
2015-11-16,16.110001,16.110001,16.110001,16.110001,100,15.966278
2015-11-13,15.67,16.40,15.67,15.98,1900,15.837437
2015-11-12,15.89,15.89,15.89,15.89,100,15.74824
2015-11-11,16.469999,16.469999,16.450001,16.450001,200,16.303245
2015-11-10,16.799999,16.799999,16.209999,16.209999,400,16.065384
2015-11-09,18.00,18.00,16.00,16.01,1100,15.86717
2015-11-06,16.65,16.65,16.65,16.65,000,16.50146
2015-11-05,16.65,16.65,16.65,16.65,000,16.50146
2015-11-04,16.90,17.00,16.65,16.65,3600,16.50146
2015-11-03,16.549999,17.120001,16.549999,16.799999,4200,16.650121
2015-11-02,16.459999,16.90,16.379999,16.90,1400,16.749229
2015-10-30,15.50,16.02,15.50,16.02,300,15.877081
2015-10-29,16.35,16.75,15.80,16.60,9900,16.451906
2015-10-28,18.76,19.040001,15.09,16.01,20900,15.86717
2015-10-27,19.889999,19.889999,19.889999,19.889999,000,19.712554
2015-10-26,19.889999,19.889999,19.889999,19.889999,000,19.712554
2015-10-23,19.780001,20.059999,18.799999,19.889999,4100,19.712554
2015-10-22,19.40,19.41,19.40,19.41,600,19.236837
2015-10-21,21.799999,21.799999,21.799999,21.799999,1200,21.605514
2015-10-20,18.620001,18.620001,18.620001,18.620001,300,18.453886
2015-10-19,18.34,18.34,18.34,18.34,200,18.176383
2015-10-16,18.15,18.15,17.59,17.59,300,17.433074
2015-10-15,17.639999,17.639999,17.639999,17.639999,000,17.482627
2015-10-14,17.639999,17.639999,17.610001,17.639999,1600,17.482627
2015-10-13,16.50,17.40,16.50,17.40,1500,17.244769
2015-10-12,17.43,17.469999,17.200001,17.469999,1900,17.254679
2015-10-09,17.540001,17.540001,17.10,17.200001,1400,16.988008
2015-10-08,17.24,17.24,17.24,17.24,300,17.027514
2015-10-07,17.190001,17.190001,16.82,16.879999,2400,16.67195
2015-10-06,16.98,17.459999,16.98,17.459999,700,17.244802
2015-10-05,16.129999,16.809999,16.129999,16.65,900,16.444786
2015-10-02,16.01,16.110001,15.62,16.030001,4300,15.832428
2015-10-01,15.90,16.09,15.87,16.09,1300,15.891688
2015-09-30,16.51,16.51,16.51,16.51,100,16.306512
2015-09-29,16.00,16.370001,15.87,16.18,3300,15.980579
2015-09-28,15.90,15.90,15.71,15.88,2600,15.684276
2015-09-25,16.049999,16.049999,16.049999,16.049999,000,15.85218
2015-09-24,16.049999,16.049999,16.049999,16.049999,000,15.85218
2015-09-23,15.95,16.129999,15.90,16.049999,800,15.85218
2015-09-22,16.01,16.33,15.72,16.00,9500,15.802797
2015-09-21,16.110001,16.389999,16.110001,16.379999,1700,16.178113
2015-09-18,15.95,16.540001,15.18,15.18,15700,14.992904
2015-09-17,16.00,16.299999,15.65,16.17,8900,15.970702
2015-09-16,17.32,17.32,15.83,15.83,7400,15.634893
2015-09-15,15.29,15.88,15.29,15.63,4300,15.437358
2015-09-14,15.29,15.35,15.04,15.18,8100,14.992904
2015-09-11,15.06,15.86,14.92,15.48,3500,15.289206
2015-09-10,15.42,15.65,14.99,15.25,28400,15.062041
2015-09-09,15.42,15.62,14.79,15.16,3700,14.97315
2015-09-08,15.96,16.01,15.24,15.52,6200,15.328714
2015-09-04,15.50,15.93,15.50,15.93,2700,15.73366
2015-09-03,15.76,17.309999,15.28,17.309999,2100,17.096651
2015-09-02,15.10,15.42,15.10,15.42,1900,15.229946
2015-09-01,14.87,14.87,14.87,14.87,400,14.686725
2015-08-31,15.10,15.10,14.87,14.87,500,14.686725
2015-08-28,15.34,15.34,15.34,15.34,500,15.150932
2015-08-27,15.03,15.03,15.03,15.03,400,14.844752
2015-08-26,14.83,15.21,14.68,14.81,14200,14.627465
2015-08-25,15.30,15.30,14.87,14.87,1000,14.686725
2015-08-24,14.19,14.19,14.19,14.19,600,14.015105
2015-08-21,15.90,15.95,15.40,15.40,2600,15.210192
2015-08-20,16.969999,16.969999,16.15,16.15,2200,15.950948
2015-08-19,17.01,17.24,16.799999,16.91,3100,16.701581
2015-08-18,17.209999,17.32,17.209999,17.27,1700,17.057145
2015-08-17,17.18,17.299999,17.18,17.18,1700,16.968254
2015-08-14,17.18,17.18,17.18,17.18,200,16.968254
2015-08-13,17.67,17.790001,17.440001,17.440001,1300,17.22505
2015-08-12,17.700001,17.700001,17.700001,17.700001,000,17.481845
2015-08-11,16.799999,17.700001,16.799999,17.700001,2400,17.481845
2015-08-10,19.43,19.43,19.209999,19.209999,2000,18.973233
2015-08-07,19.42,19.42,19.42,19.42,000,19.180645
2015-08-06,17.959999,19.780001,17.950001,19.42,1100,19.180645
2015-08-05,18.90,19.790001,18.90,19.370001,1700,19.131262
2015-08-04,19.65,19.90,19.27,19.299999,9000,19.062124
2015-08-03,19.02,19.51,19.02,19.459999,9700,19.220151
2015-07-31,19.50,19.50,19.17,19.25,1200,19.012741
2015-07-30,17.34,17.35,17.129999,17.35,1500,17.136159
2015-07-29,18.120001,18.58,17.120001,17.34,2600,17.126282
2015-07-28,17.440001,17.549999,16.879999,16.879999,2200,16.67195
2015-07-27,17.030001,17.34,17.030001,17.32,1000,17.106528
2015-07-24,17.25,17.450001,17.25,17.33,600,17.116405
2015-07-23,17.91,17.91,17.360001,17.360001,1200,17.146036
2015-07-22,18.200001,18.200001,17.90,17.90,1700,17.679379
2015-07-21,18.969999,18.969999,18.469999,18.469999,600,18.242353
2015-07-20,18.889999,18.889999,18.809999,18.889999,1100,18.657177
2015-07-17,20.00,20.00,20.00,20.00,000,19.753497
2015-07-16,19.90,20.00,19.809999,20.00,3600,19.753497
2015-07-15,19.85,20.00,19.66,19.940001,4000,19.694237
2015-07-14,20.200001,20.200001,19.85,19.85,8400,19.605346
2015-07-13,20.50,20.75,20.030001,20.030001,3000,19.783128
2015-07-10,20.309999,20.950001,20.10,20.15,2200,19.842387
2015-07-09,20.52,20.52,20.52,20.52,000,20.20674
2015-07-08,20.52,20.52,20.52,20.52,000,20.20674
2015-07-07,20.52,20.52,20.52,20.52,000,20.20674
2015-07-06,20.35,20.59,20.35,20.52,400,20.20674
2015-07-02,19.700001,19.700001,19.40,19.40,900,19.103837
2015-07-01,19.41,19.41,19.41,19.41,000,19.113684
2015-06-30,19.41,19.41,19.41,19.41,000,19.113684
2015-06-29,19.41,19.41,19.41,19.41,000,19.113684
2015-06-26,19.41,19.41,19.41,19.41,000,19.113684
2015-06-25,19.41,19.41,19.41,19.41,000,19.113684
2015-06-24,19.41,19.41,19.41,19.41,000,19.113684
2015-06-23,19.41,19.41,19.41,19.41,000,19.113684
2015-06-22,19.41,19.41,19.41,19.41,100,19.113684
2015-06-19,19.450001,19.450001,19.450001,19.450001,000,19.153075
2015-06-18,19.450001,19.450001,19.450001,19.450001,100,19.153075
2015-06-17,19.870001,19.870001,19.870001,19.870001,100,19.566663
2015-06-16,19.23,19.23,19.23,19.23,000,18.936432
2015-06-15,19.639999,19.639999,19.23,19.23,400,18.936432
2015-06-12,20.190001,20.190001,19.90,19.90,1900,19.596204
2015-06-11,20.26,20.26,19.90,19.90,1400,19.596204
2015-06-10,21.059999,21.200001,20.549999,21.10,800,20.777885
2015-06-09,20.799999,21.00,20.50,20.58,900,20.265823
2015-06-08,20.25,20.780001,20.120001,20.389999,1400,20.078723
2015-06-05,20.450001,20.530001,20.450001,20.530001,600,20.216587
2015-06-04,20.68,20.68,20.68,20.68,000,20.364297
2015-06-03,20.68,20.68,20.68,20.68,000,20.364297
2015-06-02,21.540001,21.540001,20.370001,20.68,800,20.364297
2015-06-01,21.860001,21.860001,21.370001,21.52,800,21.191474
2015-05-29,22.59,22.59,21.530001,21.559999,3100,21.230862
2015-05-28,22.950001,22.950001,22.620001,22.620001,1300,22.274681
