Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,17.68,18.27,17.26,17.790001,26200,17.790001
2016-06-09,18.27,18.43,17.82,17.92,21000,17.92
2016-06-08,18.139999,18.440001,18.049999,18.370001,45100,18.370001
2016-06-07,18.110001,18.40,18.110001,18.219999,29800,18.219999
2016-06-06,17.99,18.309999,17.450001,18.139999,50600,18.139999
2016-06-03,17.879999,18.200001,17.620001,18.040001,38400,18.040001
2016-06-02,17.68,18.00,17.27,17.969999,37100,17.969999
2016-06-01,18.059999,18.299999,17.690001,17.790001,30500,17.790001
2016-05-31,17.93,18.10,17.68,18.08,57300,18.08
2016-05-27,17.57,18.00,17.57,18.00,36200,18.00
2016-05-26,17.83,17.98,17.42,17.440001,37000,17.440001
2016-05-25,18.17,18.49,17.59,17.690001,28000,17.690001
2016-05-24,17.84,18.219999,17.799999,18.18,37300,18.18
2016-05-23,17.27,17.790001,17.27,17.65,40200,17.65
2016-05-20,16.93,17.299999,16.93,17.16,31100,17.16
2016-05-19,16.91,17.10,16.76,16.860001,49800,16.860001
2016-05-18,16.90,17.15,16.290001,16.99,23900,16.99
2016-05-17,17.360001,17.58,16.690001,17.110001,64300,17.110001
2016-05-16,17.67,17.67,17.33,17.41,66800,17.41
2016-05-13,17.440001,17.75,15.79,17.51,50000,17.51
2016-05-12,17.25,17.75,17.08,17.57,53700,17.57
2016-05-11,16.969999,17.450001,16.799999,17.43,38500,17.43
2016-05-10,16.809999,17.190001,16.450001,17.049999,74200,17.049999
2016-05-09,16.93,17.25,16.870001,16.92,93700,16.92
2016-05-06,16.549999,17.16,15.63,17.129999,158400,17.129999
2016-05-05,17.09,17.09,16.77,16.91,41900,16.91
2016-05-04,16.870001,17.25,16.77,16.879999,60100,16.879999
2016-05-03,16.629999,17.049999,16.530001,16.98,59100,16.98
2016-05-02,16.459999,16.92,16.32,16.860001,47000,16.860001
2016-04-29,16.33,16.75,16.299999,16.66,43300,16.66
2016-04-28,16.440001,16.77,16.200001,16.41,33600,16.41
2016-04-27,15.82,16.68,15.67,16.620001,33300,16.620001
2016-04-26,16.73,16.75,16.309999,16.60,39300,16.60
2016-04-25,16.219999,16.73,16.00,16.700001,39000,16.700001
2016-04-22,15.98,16.540001,14.38,16.43,38600,16.43
2016-04-21,15.83,16.00,15.71,15.93,67000,15.93
2016-04-20,15.56,16.07,15.56,15.88,18400,15.88
2016-04-19,15.92,15.97,15.78,15.87,38800,15.87
2016-04-18,15.41,15.92,15.36,15.77,36800,15.77
2016-04-15,15.34,15.80,15.34,15.64,17900,15.64
2016-04-14,14.79,15.54,14.53,15.42,57500,15.42
2016-04-13,13.88,14.96,13.88,14.82,67400,14.82
2016-04-12,13.98,14.19,13.72,13.78,72900,13.71
2016-04-11,14.31,15.00,13.91,13.96,55500,13.889086
2016-04-08,13.67,14.27,13.67,14.05,58100,13.978629
2016-04-07,14.12,14.12,13.31,13.44,317500,13.371727
2016-04-06,13.95,14.32,13.58,14.21,38600,14.137816
2016-04-05,14.82,14.83,13.85,13.88,53700,13.809492
2016-04-04,15.22,15.22,14.89,15.00,28500,14.923803
2016-04-01,14.50,15.16,14.50,15.06,26700,14.983499
2016-03-31,14.80,15.00,14.59,14.60,33400,14.525835
2016-03-30,14.66,14.90,14.54,14.80,43400,14.724819
2016-03-29,14.16,14.78,14.04,14.62,59100,14.545733
2016-03-28,14.68,14.68,14.18,14.26,31800,14.187562
2016-03-24,13.57,14.63,13.47,14.51,77100,14.436292
2016-03-23,13.63,13.81,13.50,13.69,36200,13.620457
2016-03-22,14.16,14.16,13.61,13.71,30000,13.640356
2016-03-21,14.57,14.85,14.20,14.22,30900,14.147765
