Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,26.52,26.52,25.690001,25.799999,3600,25.799999
2016-06-09,26.587999,26.587999,26.51,26.51,800,26.51
2016-06-08,26.77,26.77,26.15,26.15,3900,26.15
2016-06-07,26.33,26.65,26.200001,26.299999,1100,26.299999
2016-06-06,26.200001,26.440001,26.00,26.23,2000,26.23
2016-06-03,25.889999,26.33,25.889999,26.200001,700,26.200001
2016-06-02,25.700001,26.049999,25.700001,25.75,700,25.75
2016-06-01,25.700001,26.129999,25.549999,26.129999,3100,26.129999
2016-05-31,25.549999,25.73,25.549999,25.57,1100,25.57
2016-05-27,25.76,26.07,25.60,25.67,4600,25.67
2016-05-26,26.549999,26.549999,26.549999,26.549999,000,26.549999
2016-05-25,26.549999,26.549999,26.549999,26.549999,100,26.549999
2016-05-24,26.219999,26.65,26.219999,26.65,1100,26.65
2016-05-23,26.40,26.42,26.01,26.219999,600,26.219999
2016-05-20,26.43,26.43,26.43,26.43,000,26.43
2016-05-19,26.32,26.59,26.32,26.43,500,26.43
2016-05-18,27.139999,27.139999,27.139999,27.139999,000,27.139999
2016-05-17,26.40,27.139999,26.389999,27.139999,1700,27.139999
2016-05-16,26.51,26.73,26.450001,26.58,3600,26.58
2016-05-13,26.43,26.85,26.43,26.85,3300,26.85
2016-05-12,26.27,26.27,26.27,26.27,700,26.27
2016-05-11,25.629999,27.129999,25.629999,26.200001,13400,26.200001
2016-05-10,26.219999,26.219999,26.219999,26.219999,300,26.219999
2016-05-09,26.799999,26.799999,26.040001,26.48,5000,26.48
2016-05-06,26.860001,27.02,26.73,26.73,5700,26.73
2016-05-05,26.860001,27.24,26.73,26.73,3300,26.73
2016-05-04,27.00,27.190001,26.950001,26.959999,5800,26.959999
2016-05-03,26.950001,27.959999,26.879999,26.879999,17700,26.879999
2016-05-02,26.690001,26.690001,26.690001,26.690001,100,26.690001
2016-04-29,26.370001,26.620001,26.370001,26.620001,2400,26.620001
2016-04-28,26.389999,26.559999,26.33,26.549999,14300,26.549999
2016-04-27,26.389999,26.450001,26.27,26.309999,11600,26.309999
2016-04-26,26.299999,26.59,26.219999,26.360001,10100,26.360001
2016-04-25,26.370001,26.370001,26.23,26.35,800,26.35
2016-04-22,26.379999,26.48,26.26,26.48,3200,26.48
