Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,7.76,7.82,7.74,7.78,275300,7.78
2016-06-09,7.80,7.92,7.60,7.84,409300,7.84
2016-06-08,7.97,8.00,7.74,7.85,525300,7.85
2016-06-07,8.05,8.09,7.91,7.93,422300,7.93
2016-06-06,7.89,8.06,7.89,8.00,346800,8.00
2016-06-03,7.80,7.94,7.79,7.86,329100,7.86
2016-06-02,7.73,7.85,7.73,7.81,276000,7.81
2016-06-01,7.75,7.79,7.65,7.77,253700,7.77
2016-05-31,7.69,7.95,7.64,7.72,554200,7.72
2016-05-27,7.67,7.67,7.60,7.64,205300,7.64
2016-05-26,7.41,7.68,7.41,7.63,482000,7.63
2016-05-25,7.38,7.47,7.36,7.42,360600,7.42
2016-05-24,7.37,7.45,7.35,7.37,299200,7.37
2016-05-23,7.36,7.50,7.36,7.36,382500,7.36
2016-05-20,7.37,7.48,7.31,7.38,418300,7.38
2016-05-19,7.37,7.43,7.15,7.36,889400,7.36
2016-05-18,7.41,7.53,7.34,7.44,753100,7.44
2016-05-17,7.68,7.69,7.34,7.48,1181100,7.48
2016-05-16,7.78,7.82,7.71,7.71,434100,7.71
2016-05-13,7.65,7.80,7.60,7.78,493400,7.78
2016-05-12,7.84,7.84,7.72,7.74,472800,7.74
2016-05-11,7.81,7.89,7.80,7.83,296400,7.83
2016-05-10,7.90,7.99,7.80,7.87,404800,7.87
2016-05-09,7.96,8.08,7.90,7.90,354000,7.90
2016-05-06,7.88,8.10,7.88,8.01,569400,8.01
2016-05-05,8.00,8.06,7.90,7.91,422100,7.91
2016-05-04,7.91,8.04,7.88,8.00,429400,8.00
2016-05-03,8.10,8.23,7.85,7.88,1056300,7.88
2016-05-02,8.41,8.41,8.05,8.17,975200,8.17
2016-04-29,8.32,8.58,8.23,8.41,801600,8.41
2016-04-28,9.00,9.10,8.03,8.36,2749200,8.36
2016-04-27,9.51,9.55,9.48,9.50,319400,9.50
2016-04-26,9.58,9.60,9.53,9.55,248700,9.55
2016-04-25,9.54,9.58,9.50,9.56,196300,9.56
2016-04-22,9.50,9.58,9.45,9.50,187700,9.50
2016-04-21,9.47,9.92,9.47,9.54,557200,9.54
2016-04-20,9.48,9.53,9.45,9.49,159200,9.49
2016-04-19,9.55,9.56,9.48,9.50,225700,9.50
2016-04-18,9.50,9.55,9.47,9.51,152500,9.51
2016-04-15,9.50,9.52,9.45,9.50,152100,9.50
2016-04-14,9.56,9.58,9.49,9.54,198300,9.54
2016-04-13,9.53,9.60,9.48,9.56,393700,9.56
2016-04-12,9.50,9.55,9.43,9.50,258000,9.50
2016-04-11,9.43,9.52,9.43,9.50,251400,9.50
2016-04-08,9.42,9.54,9.40,9.43,206800,9.43
2016-04-07,9.45,9.50,9.33,9.41,280900,9.41
2016-04-06,9.47,9.56,9.42,9.48,200500,9.48
2016-04-05,9.35,9.54,9.30,9.46,348600,9.46
2016-04-04,9.56,9.59,9.39,9.40,362600,9.40
2016-04-01,9.56,9.63,9.44,9.56,656600,9.56
2016-03-31,9.54,9.60,9.38,9.41,500900,9.41
2016-03-30,9.56,9.61,9.40,9.54,463500,9.54
2016-03-29,9.31,9.52,9.25,9.52,315400,9.52
2016-03-28,9.35,9.44,9.26,9.31,315900,9.31
2016-03-24,9.30,9.38,9.18,9.31,155500,9.31
2016-03-23,9.39,9.47,9.30,9.33,207600,9.33
2016-03-22,9.42,9.46,9.36,9.39,341300,9.39
2016-03-21,9.17,9.46,9.13,9.46,619400,9.46
2016-03-18,9.26,9.29,9.11,9.13,292500,9.13
2016-03-17,9.09,9.35,9.06,9.22,390500,9.22
2016-03-16,8.92,9.09,8.91,9.06,317800,9.06
2016-03-15,9.22,9.24,9.11,9.20,365100,8.99
2016-03-14,9.08,9.25,8.98,9.21,397900,8.999772
2016-03-11,8.94,9.07,8.87,9.06,536000,8.853196
2016-03-10,8.72,8.94,8.57,8.85,493500,8.64799
2016-03-09,8.76,8.94,8.69,8.81,436900,8.608903
2016-03-08,8.93,8.99,8.67,8.70,693700,8.501413
2016-03-07,8.91,9.09,8.76,8.99,470600,8.784793
2016-03-04,8.95,9.08,8.89,8.89,336100,8.687077
2016-03-03,9.02,9.17,8.85,8.91,750100,8.70662
2016-03-02,9.11,9.14,8.95,9.02,516900,8.814109
2016-03-01,9.06,9.20,9.05,9.14,246700,8.93137
2016-02-29,8.85,9.09,8.83,9.05,265100,8.843424
2016-02-26,8.80,8.93,8.76,8.81,199700,8.608903
2016-02-25,8.65,8.78,8.56,8.75,163800,8.550272
2016-02-24,8.49,8.65,8.41,8.62,183700,8.423239
2016-02-23,8.57,8.68,8.54,8.58,217400,8.384152
2016-02-22,8.56,8.64,8.50,8.57,329500,8.37438
2016-02-19,8.50,8.71,8.41,8.56,427700,8.364609
2016-02-18,8.90,8.91,8.66,8.79,271600,8.589359
2016-02-17,8.74,8.89,8.68,8.84,263600,8.638218
2016-02-16,8.56,8.70,8.51,8.68,243600,8.48187
2016-02-12,8.48,8.61,8.38,8.51,406600,8.31575
2016-02-11,8.46,8.50,8.32,8.43,297500,8.237576
2016-02-10,8.54,8.60,8.50,8.51,306500,8.31575
2016-02-09,8.66,8.68,8.51,8.54,301000,8.345065
2016-02-08,8.70,8.73,8.55,8.70,299800,8.501413
2016-02-05,8.87,8.89,8.67,8.70,185600,8.501413
2016-02-04,8.70,8.92,8.70,8.86,220300,8.657761
2016-02-03,8.74,8.80,8.55,8.69,208300,8.491641
2016-02-02,8.78,8.78,8.65,8.71,194100,8.511185
2016-02-01,8.71,8.85,8.70,8.81,204700,8.608903
2016-01-29,8.80,8.89,8.74,8.74,370500,8.5405
2016-01-28,8.78,8.91,8.72,8.80,293600,8.599131
2016-01-27,8.72,8.80,8.70,8.75,257900,8.550272
2016-01-26,8.75,8.83,8.63,8.73,409900,8.530728
2016-01-25,8.74,8.86,8.67,8.76,356600,8.560044
2016-01-22,8.79,8.87,8.58,8.75,892700,8.550272
2016-01-21,8.58,8.81,8.55,8.65,457700,8.452554
2016-01-20,8.50,8.72,8.13,8.61,953600,8.413467
2016-01-19,8.71,8.82,8.60,8.62,472200,8.423239
2016-01-15,8.63,8.72,8.51,8.67,544300,8.472098
2016-01-14,8.95,8.98,8.59,8.87,749700,8.667533
2016-01-13,8.96,9.09,8.93,8.95,468700,8.745706
2016-01-12,9.14,9.16,8.81,8.95,583000,8.745706
2016-01-11,9.05,9.10,8.85,9.04,327800,8.833652
2016-01-08,9.24,9.27,8.97,8.98,456700,8.775021
2016-01-07,9.28,9.29,9.07,9.21,686000,8.999772
2016-01-06,9.30,9.35,9.25,9.29,279700,9.077946
2016-01-05,9.38,9.45,9.31,9.40,271400,9.185435
2016-01-04,9.27,9.43,9.24,9.41,307300,9.195206
2015-12-31,9.40,9.52,9.40,9.40,205000,9.185435
2015-12-30,9.51,9.56,9.40,9.42,211500,9.204978
2015-12-29,9.59,9.69,9.50,9.58,331700,9.361326
2015-12-28,9.58,9.65,9.43,9.47,409100,9.253837
2015-12-24,9.58,9.70,9.55,9.64,192800,9.419957
2015-12-23,9.30,9.53,9.29,9.53,338800,9.312467
2015-12-22,9.48,9.48,9.18,9.21,1251700,8.999772
2015-12-21,9.64,9.64,9.47,9.58,304200,9.15612
2015-12-18,9.57,9.78,9.46,9.51,471500,9.089217
2015-12-17,9.67,9.78,9.53,9.60,399700,9.175235
2015-12-16,9.48,9.76,9.34,9.74,258900,9.30904
2015-12-15,9.04,9.54,9.04,9.48,470700,9.060544
2015-12-14,9.39,9.44,9.05,9.06,631600,8.659128
2015-12-11,9.62,9.62,9.24,9.40,613200,8.984084
2015-12-10,9.67,9.78,9.65,9.72,226200,9.289925
2015-12-09,9.76,9.91,9.65,9.70,427200,9.27081
2015-12-08,9.71,9.86,9.67,9.83,283600,9.395058
2015-12-07,10.05,10.06,9.75,9.80,433500,9.366386
2015-12-04,10.12,10.13,10.03,10.06,480500,9.614882
2015-12-03,10.17,10.19,10.04,10.10,414600,9.653112
2015-12-02,10.14,10.15,10.04,10.15,503200,9.700899
2015-12-01,10.00,10.20,10.00,10.10,581700,9.653112
2015-11-30,9.82,10.02,9.81,10.02,500900,9.576652
2015-11-27,9.80,9.83,9.78,9.80,86000,9.366386
