Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,21.90,21.90,21.50,21.50,700,21.50
2016-06-09,21.389999,21.90,21.370001,21.75,16400,21.75
2016-06-08,21.26,21.50,21.17,21.25,2600,21.25
2016-06-07,21.59,22.00,21.50,21.50,6500,21.50
2016-06-06,21.73,21.73,21.50,21.50,7500,21.50
2016-06-03,21.870001,21.870001,21.50,21.50,10700,21.50
2016-06-02,21.860001,22.00,21.84,22.00,3900,22.00
2016-06-01,21.66,21.85,21.50,21.76,3000,21.76
2016-05-31,21.90,21.90,21.90,21.90,800,21.90
2016-05-27,22.00,22.00,21.940001,21.940001,5200,21.940001
2016-05-26,21.969999,21.99,21.120001,21.950001,5700,21.950001
2016-05-25,22.00,22.02,21.75,21.99,12000,21.99
2016-05-24,21.25,21.870001,21.25,21.83,20400,21.83
2016-05-23,20.879999,22.00,20.809999,21.74,43900,21.74
2016-05-20,20.85,21.01,20.540001,20.700001,51800,20.700001
2016-05-19,20.450001,20.700001,20.309999,20.700001,31500,20.700001
2016-05-18,20.50,20.60,20.200001,20.280001,30900,20.280001
2016-05-17,19.799999,20.50,19.799999,20.25,23500,20.25
2016-05-16,19.799999,19.799999,19.65,19.68,9600,19.68
2016-05-13,19.75,19.75,19.50,19.639999,19400,19.639999
2016-05-12,19.40,20.43,19.40,19.84,11300,19.84
2016-05-11,19.41,19.469999,19.25,19.370001,900,19.370001
2016-05-10,19.23,19.469999,19.23,19.33,6100,19.202
2016-05-09,19.01,19.33,18.85,19.00,14900,18.874185
2016-05-06,19.40,19.40,18.969999,19.00,4900,18.874185
2016-05-05,19.25,19.50,19.24,19.290001,6300,19.162266
2016-05-04,19.209999,19.35,19.209999,19.25,3600,19.12253
2016-05-03,19.59,19.59,19.129999,19.200001,14700,19.072861
2016-05-02,19.799999,19.799999,19.209999,19.469999,12900,19.341072
2016-04-29,19.92,19.940001,19.68,19.68,3400,19.549683
2016-04-28,19.60,19.940001,19.60,19.65,23000,19.519881
2016-04-27,19.60,19.60,19.57,19.58,5400,19.450344
2016-04-26,19.50,19.60,19.50,19.60,2900,19.470212
2016-04-25,19.50,19.68,19.26,19.549999,12300,19.420542
2016-04-22,19.25,19.50,19.200001,19.50,4800,19.370874
2016-04-21,19.00,19.469999,18.799999,19.40,36100,19.271536
2016-04-20,18.75,18.799999,18.68,18.799999,18700,18.675509
2016-04-19,18.49,18.75,18.49,18.65,11600,18.526502
2016-04-18,18.48,18.50,18.40,18.50,6100,18.377496
2016-04-15,18.50,18.50,18.42,18.50,1100,18.377496
2016-04-14,18.66,18.66,18.40,18.50,2600,18.377496
2016-04-13,18.50,18.50,18.290001,18.50,900,18.377496
2016-04-12,18.60,18.60,18.48,18.60,6700,18.349682
2016-04-11,18.50,18.50,18.49,18.50,8000,18.251028
2016-04-08,18.50,18.50,18.40,18.40,3100,18.152373
2016-04-07,18.35,18.35,18.35,18.35,000,18.103047
2016-04-06,18.50,18.50,18.35,18.35,1800,18.103047
2016-04-05,18.450001,18.450001,18.35,18.35,1800,18.103047
2016-04-04,18.50,18.50,18.49,18.50,2100,18.251028
2016-04-01,18.549999,18.60,18.25,18.299999,900,18.053719
2016-03-31,18.610001,18.67,18.389999,18.40,21000,18.152373
2016-03-30,18.59,18.59,18.440001,18.440001,5800,18.191836
2016-03-29,18.530001,18.59,18.450001,18.49,7600,18.241162
2016-03-28,18.50,18.50,18.50,18.50,1300,18.251028
2016-03-24,18.440001,18.66,18.440001,18.65,3100,18.399009
2016-03-23,18.959999,18.959999,18.32,18.32,6700,18.07345
2016-03-22,18.57,19.00,18.49,19.00,9500,18.744299
2016-03-21,19.00,19.00,19.00,19.00,000,18.744299
2016-03-18,19.00,19.00,19.00,19.00,000,18.744299
2016-03-17,18.99,19.00,18.99,19.00,1100,18.744299
2016-03-16,19.00,19.00,19.00,19.00,000,18.744299
2016-03-15,19.08,19.08,19.00,19.00,3200,18.744299
2016-03-14,19.50,19.50,19.43,19.50,1400,19.23757
2016-03-11,19.50,19.50,19.50,19.50,1300,19.23757
2016-03-10,19.60,19.950001,19.59,19.950001,500,19.555237
2016-03-09,19.530001,19.959999,19.50,19.959999,700,19.565037
2016-03-08,18.629999,19.440001,18.549999,19.440001,4800,19.055328
2016-03-07,19.00,19.00,18.450001,18.610001,16100,18.241752
2016-03-04,19.25,19.25,19.25,19.25,1500,18.869087
2016-03-03,18.98,18.98,18.969999,18.969999,300,18.594627
2016-03-02,18.50,18.50,18.50,18.50,300,18.133928
2016-03-01,18.40,18.40,18.40,18.40,000,18.035907
2016-02-29,18.530001,18.530001,18.40,18.40,2600,18.035907
2016-02-26,18.469999,18.85,18.450001,18.459999,5500,18.094719
2016-02-25,18.459999,18.459999,18.459999,18.459999,1400,18.094719
2016-02-24,18.280001,18.34,18.280001,18.34,2400,17.977094
2016-02-23,18.280001,18.280001,18.280001,18.280001,200,17.918282
2016-02-22,18.15,18.280001,18.049999,18.219999,2900,17.859468
2016-02-19,19.290001,19.290001,19.049999,19.049999,300,18.673044
2016-02-18,18.50,18.50,18.030001,18.040001,1200,17.683031
2016-02-17,18.15,18.15,18.15,18.15,000,17.790853
2016-02-16,18.15,18.15,18.15,18.15,000,17.790853
2016-02-12,18.15,18.15,18.15,18.15,000,17.790853
2016-02-11,18.85,18.85,18.15,18.15,600,17.790853
2016-02-10,18.370001,18.370001,18.040001,18.040001,1300,17.683031
2016-02-09,18.50,18.50,18.50,18.50,000,18.008461
2016-02-08,18.700001,18.709999,18.50,18.50,3300,18.008461
2016-02-05,19.00,19.00,19.00,19.00,100,18.495176
2016-02-04,18.68,18.68,18.68,18.68,000,18.183679
2016-02-03,18.68,18.68,18.68,18.68,000,18.183679
2016-02-02,18.68,18.68,18.68,18.68,000,18.183679
2016-02-01,18.68,18.68,18.68,18.68,000,18.183679
2016-01-29,18.68,18.68,18.68,18.68,000,18.183679
2016-01-28,18.68,18.68,18.68,18.68,000,18.183679
2016-01-27,18.68,18.68,18.68,18.68,2200,18.183679
2016-01-26,19.50,19.50,18.73,18.940001,700,18.436771
