Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,11.22,11.46,11.18,11.31,168300,11.31
2016-06-09,11.49,11.49,11.29,11.38,171300,11.38
2016-06-08,11.46,11.57,11.39,11.57,266500,11.57
2016-06-07,11.43,11.60,11.24,11.47,220300,11.47
2016-06-06,11.60,11.79,11.60,11.66,172200,11.66
2016-06-03,11.60,11.62,11.32,11.59,283400,11.59
2016-06-02,11.63,11.69,11.56,11.68,163800,11.68
2016-06-01,11.59,11.74,11.49,11.69,208400,11.69
2016-05-31,11.60,11.64,11.52,11.63,283700,11.63
2016-05-27,11.47,11.60,11.46,11.60,211300,11.60
2016-05-26,11.51,11.51,11.41,11.44,169900,11.44
2016-05-25,11.47,11.63,11.43,11.52,263200,11.52
2016-05-24,11.23,11.48,11.23,11.46,270400,11.46
2016-05-23,11.32,11.33,11.17,11.20,169100,11.20
2016-05-20,11.14,11.32,11.12,11.31,345400,11.31
2016-05-19,11.27,11.40,11.02,11.07,356700,11.07
2016-05-18,10.95,11.31,10.95,11.30,291600,11.30
2016-05-17,11.27,11.31,10.92,10.97,275500,10.97
2016-05-16,11.12,11.35,11.10,11.30,227900,11.30
2016-05-13,11.26,11.34,11.15,11.16,169300,11.16
2016-05-12,11.23,11.33,11.19,11.30,199100,11.30
2016-05-11,11.27,11.36,11.21,11.21,135400,11.21
2016-05-10,11.30,11.42,11.26,11.30,140100,11.30
2016-05-09,11.23,11.32,11.18,11.27,145100,11.27
2016-05-06,11.04,11.29,11.02,11.26,284200,11.26
2016-05-05,11.15,11.23,11.09,11.10,270300,11.10
2016-05-04,11.11,11.19,10.95,11.06,147700,11.06
2016-05-03,11.45,11.45,11.16,11.23,144900,11.139999
2016-05-02,11.40,11.52,11.30,11.51,252700,11.417756
2016-04-29,11.24,11.39,11.10,11.38,347900,11.288798
2016-04-28,11.50,11.55,11.28,11.28,212600,11.189599
2016-04-27,11.58,11.59,11.37,11.57,313600,11.477275
2016-04-26,11.50,11.61,11.36,11.56,249500,11.467356
2016-04-25,11.47,11.51,11.31,11.50,196700,11.407836
2016-04-22,11.30,11.60,11.25,11.55,526100,11.457435
2016-04-21,11.49,11.49,11.13,11.35,228300,11.259039
2016-04-20,11.32,11.42,11.24,11.39,193700,11.298718
2016-04-19,11.22,11.33,10.78,11.32,122500,11.229278
2016-04-18,11.06,11.27,11.06,11.25,139000,11.15984
2016-04-15,11.05,11.20,10.98,11.12,124400,11.030881
2016-04-14,11.07,11.19,11.00,11.09,140300,11.001122
2016-04-13,10.82,11.10,10.75,11.10,272200,11.011042
2016-04-12,10.59,10.82,10.59,10.78,130600,10.693606
2016-04-11,10.66,10.84,10.55,10.56,217000,10.47537
2016-04-08,10.65,10.76,10.58,10.63,117500,10.544809
2016-04-07,10.67,10.67,10.47,10.54,278700,10.45553
2016-04-06,10.69,10.79,10.58,10.76,170200,10.673767
2016-04-05,10.72,10.80,10.64,10.65,246700,10.564648
2016-04-04,10.99,10.99,10.82,10.82,186700,10.733285
2016-04-01,10.94,11.02,10.86,10.96,165600,10.872164
2016-03-31,11.07,11.13,10.98,11.01,169100,10.921763
2016-03-30,11.11,11.18,11.05,11.09,328100,11.001122
2016-03-29,10.88,11.08,10.77,11.08,315800,10.991202
2016-03-28,10.91,10.99,10.84,10.90,137600,10.812644
2016-03-24,10.85,10.95,10.72,10.92,154900,10.832484
2016-03-23,11.05,11.10,10.92,10.92,186800,10.832484
2016-03-22,11.03,11.08,10.93,11.06,205200,10.971363
2016-03-21,10.99,11.12,10.96,11.05,292800,10.961443
2016-03-18,11.07,11.14,10.99,10.99,758300,10.901923
2016-03-17,10.87,11.07,10.75,11.01,305800,10.921763
2016-03-16,10.96,11.06,10.83,10.89,205900,10.802725
2016-03-15,11.00,11.07,10.96,10.97,203200,10.882084
2016-03-14,11.10,11.16,11.02,11.05,295100,10.961443
2016-03-11,11.00,11.11,10.97,11.10,381300,11.011042
2016-03-10,10.87,11.02,10.87,10.99,256700,10.901923
2016-03-09,10.94,11.01,10.76,10.86,118000,10.772965
2016-03-08,10.92,11.00,10.87,10.88,232200,10.792805
2016-03-07,11.04,11.18,10.99,11.03,309400,10.941602
2016-03-04,11.04,11.13,10.95,11.11,223600,11.020961
2016-03-03,11.00,11.14,10.91,11.02,401000,10.931683
2016-03-02,10.80,11.00,10.76,11.00,278000,10.911843
2016-03-01,10.56,10.86,10.52,10.83,266000,10.743205
2016-02-29,10.67,10.73,10.48,10.51,197300,10.42577
2016-02-26,10.63,10.77,10.47,10.65,230100,10.564648
2016-02-25,10.33,10.55,10.31,10.54,193100,10.45553
2016-02-24,10.18,10.35,10.11,10.29,230000,10.207533
2016-02-23,10.36,10.36,10.21,10.30,316600,10.217453
2016-02-22,10.50,10.53,10.32,10.36,389400,10.276972
2016-02-19,10.35,10.48,10.34,10.39,291900,10.306732
2016-02-18,10.39,10.44,10.23,10.37,247900,10.286892
2016-02-17,10.59,10.65,10.40,10.40,311200,10.316651
2016-02-16,10.55,10.71,10.40,10.57,240700,10.485289
2016-02-12,10.37,10.49,10.35,10.46,191600,10.376171
2016-02-11,10.14,10.35,10.13,10.23,133200,10.148014
2016-02-10,10.60,10.88,10.34,10.35,185800,10.267053
2016-02-09,10.38,10.69,10.27,10.64,190700,10.46545
2016-02-08,10.29,10.58,10.11,10.53,279000,10.357254
2016-02-05,10.74,10.81,10.44,10.44,283500,10.26873
2016-02-04,10.56,10.79,10.51,10.57,123800,10.396598
2016-02-03,10.70,10.79,10.48,10.61,205800,10.435941
2016-02-02,10.89,11.16,10.50,10.60,459100,10.426106
2016-02-01,11.07,11.11,10.86,10.98,221100,10.799871
2016-01-29,10.93,11.16,10.79,11.16,697900,10.976919
2016-01-28,10.80,11.00,10.75,10.92,352700,10.740856
2016-01-27,10.76,10.91,10.63,10.68,182600,10.504794
2016-01-26,10.47,10.84,10.45,10.80,262300,10.622825
2016-01-25,10.55,10.86,10.40,10.45,225800,10.278566
2016-01-22,10.57,10.70,10.36,10.58,281900,10.406434
2016-01-21,10.67,10.73,9.91,10.47,246800,10.298239
2016-01-20,10.48,10.78,10.39,10.66,197500,10.485121
2016-01-19,10.73,10.73,10.56,10.63,185100,10.455614
2016-01-15,10.51,10.64,10.39,10.62,259200,10.445778
2016-01-14,10.90,11.50,10.77,10.78,202900,10.603153
2016-01-13,11.15,11.15,10.76,10.81,508800,10.632661
2016-01-12,11.10,11.10,10.94,11.05,274500,10.868724
2016-01-11,10.88,11.11,10.86,11.00,229900,10.819544
2016-01-08,11.00,11.11,10.81,10.83,295500,10.652333
2016-01-07,11.01,11.21,10.94,10.95,216600,10.770364
2016-01-06,11.03,11.29,10.68,11.21,330100,11.026099
2016-01-05,11.06,11.23,10.73,11.19,237800,11.006426
2016-01-04,11.31,11.62,11.04,11.05,346600,10.868724
2015-12-31,11.71,11.75,11.50,11.50,167600,11.311341
2015-12-30,11.74,11.82,11.71,11.71,120100,11.517896
2015-12-29,11.59,11.80,11.55,11.77,135100,11.576912
2015-12-28,11.57,11.66,11.42,11.58,147900,11.390029
2015-12-24,11.59,11.63,11.53,11.59,94400,11.399865
2015-12-23,11.63,11.67,11.49,11.59,172400,11.399865
2015-12-22,11.72,11.72,11.44,11.59,407900,11.399865
2015-12-21,11.59,11.69,11.54,11.69,257300,11.498224
2015-12-18,11.74,11.76,11.43,11.53,703400,11.340849
