Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,9.22,9.50,9.06,9.26,22200,9.26
2016-06-09,9.42,9.69,9.21,9.33,15800,9.33
2016-06-08,9.15,9.49,9.15,9.47,15000,9.47
2016-06-07,8.91,9.49,8.91,9.37,5500,9.37
2016-06-06,9.27,9.48,9.27,9.39,16600,9.39
2016-06-03,9.43,9.43,9.20,9.36,8100,9.36
2016-06-02,9.53,9.59,9.35,9.41,14500,9.41
2016-06-01,9.24,9.72,9.24,9.44,15500,9.44
2016-05-31,9.40,9.55,9.40,9.52,8800,9.52
2016-05-27,9.26,9.40,8.98,9.36,5500,9.36
2016-05-26,9.35,9.40,8.86,9.25,17900,9.25
2016-05-25,9.46,9.46,9.26,9.37,8700,9.37
2016-05-24,9.17,9.82,8.84,9.44,15400,9.44
2016-05-23,8.86,9.16,8.86,9.08,6300,9.08
2016-05-20,8.97,9.04,8.82,9.01,12700,9.01
2016-05-19,8.96,9.05,8.86,8.93,14300,8.93
2016-05-18,8.82,9.05,8.82,8.98,7700,8.98
2016-05-17,9.06,9.08,8.69,8.81,22800,8.81
2016-05-16,9.01,9.11,8.95,9.04,9900,9.04
2016-05-13,9.01,9.01,8.80,8.91,10200,8.91
2016-05-12,9.10,9.20,8.79,8.93,18900,8.93
2016-05-11,9.23,9.23,9.02,9.03,4500,9.03
2016-05-10,9.22,9.24,9.04,9.24,7800,9.24
2016-05-09,9.24,9.24,9.05,9.24,9000,9.24
2016-05-06,9.40,9.40,9.09,9.21,23000,9.21
2016-05-05,9.23,9.54,9.19,9.37,41300,9.37
2016-05-04,9.82,9.82,9.27,9.31,27200,9.31
2016-05-03,9.82,9.85,9.64,9.65,6100,9.65
2016-05-02,9.78,9.85,9.64,9.85,19100,9.85
2016-04-29,9.88,9.88,9.63,9.84,26800,9.84
2016-04-28,9.52,9.95,9.52,9.71,10800,9.71
2016-04-27,9.87,9.91,9.75,9.86,13300,9.834999
2016-04-26,9.95,10.00,9.76,9.84,18700,9.815051
2016-04-25,9.91,9.92,9.64,9.83,8000,9.805076
2016-04-22,9.88,9.99,9.84,9.87,12100,9.844974
2016-04-21,9.63,9.79,9.20,9.75,24100,9.725279
2016-04-20,9.46,9.62,9.31,9.48,4000,9.455963
2016-04-19,9.74,9.74,9.36,9.45,9300,9.426039
2016-04-18,9.69,9.96,9.63,9.69,7800,9.66543
2016-04-15,9.50,9.87,9.34,9.42,15600,9.396115
2016-04-14,9.83,10.90,9.45,9.56,43500,9.535761
2016-04-13,9.55,10.00,9.52,9.87,24100,9.844974
2016-04-12,9.07,9.55,9.02,9.55,25400,9.525786
2016-04-11,9.06,9.10,8.99,9.08,9400,9.056977
2016-04-08,8.96,9.03,8.92,8.98,11000,8.957231
2016-04-07,8.86,9.01,8.67,8.83,11900,8.807611
2016-04-06,9.00,9.10,8.92,8.94,6600,8.917332
2016-04-05,9.03,9.03,8.76,8.77,10300,8.747764
2016-04-04,8.93,9.07,8.85,8.96,6400,8.937282
2016-04-01,8.99,9.36,8.99,9.03,6500,9.007104
2016-03-31,9.48,9.49,9.26,9.27,13800,9.246496
