Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,17.120001,17.360001,16.60,17.00,31200,17.00
2016-06-09,16.940001,17.10,16.809999,17.049999,32600,17.049999
2016-06-08,16.950001,17.059999,16.83,16.959999,23200,16.959999
2016-06-07,17.26,17.26,16.92,16.950001,10400,16.950001
2016-06-06,16.99,17.360001,16.92,17.17,20700,17.17
2016-06-03,17.280001,17.280001,16.870001,16.92,19900,16.92
2016-06-02,16.809999,17.379999,16.809999,17.34,13400,17.34
2016-06-01,17.219999,17.92,17.209999,17.34,19300,17.34
2016-05-31,17.51,17.51,17.200001,17.27,12100,17.27
2016-05-27,17.48,17.48,17.33,17.389999,7500,17.389999
2016-05-26,17.299999,17.58,17.299999,17.41,12100,17.41
2016-05-25,17.59,17.780001,17.389999,17.40,10000,17.40
2016-05-24,17.16,17.700001,17.16,17.59,15400,17.59
2016-05-23,17.15,17.34,17.040001,17.24,35800,17.24
2016-05-20,17.209999,17.48,16.92,17.08,25900,17.08
2016-05-19,16.99,17.309999,16.719999,17.110001,35600,17.110001
2016-05-18,17.530001,17.940001,16.879999,16.91,65700,16.91
2016-05-17,16.950001,17.10,16.43,16.57,73000,16.57
2016-05-16,17.02,17.290001,16.940001,17.15,20400,17.15
2016-05-13,17.17,17.17,16.85,16.91,20200,16.91
2016-05-12,17.08,17.200001,16.799999,17.18,17900,17.18
2016-05-11,17.09,18.719999,16.92,17.01,28700,17.01
2016-05-10,16.889999,17.25,16.77,17.18,30400,17.18
2016-05-09,16.83,17.290001,16.690001,16.799999,31100,16.799999
2016-05-06,16.549999,16.99,16.43,16.75,42700,16.75
2016-05-05,16.52,16.84,16.50,16.65,47300,16.65
2016-05-04,16.50,16.790001,16.290001,16.50,115400,16.50
2016-05-03,17.049999,17.049999,16.549999,16.57,90500,16.57
2016-05-02,17.719999,17.90,16.90,17.129999,71100,17.009999
2016-04-29,17.51,17.84,17.25,17.610001,55000,17.486638
2016-04-28,17.73,17.75,17.110001,17.639999,66700,17.516426
2016-04-27,18.139999,18.209999,17.709999,17.790001,51900,17.665377
2016-04-26,18.27,18.27,17.92,18.18,42100,18.052644
2016-04-25,18.15,18.969999,18.15,18.40,20700,18.271103
2016-04-22,18.52,18.75,18.43,18.719999,35800,18.588861
2016-04-21,18.73,18.76,18.42,18.469999,80400,18.340612
2016-04-20,18.67,19.049999,18.60,18.65,50700,18.519351
2016-04-19,18.280001,18.49,18.110001,18.41,52900,18.281033
2016-04-18,18.049999,18.58,18.049999,18.389999,41900,18.261172
2016-04-15,17.860001,18.610001,17.700001,18.379999,31200,18.251242
2016-04-14,17.950001,18.219999,17.82,18.00,59100,17.873905
2016-04-13,17.530001,18.379999,17.00,18.10,29300,17.973205
2016-04-12,16.98,17.60,16.98,17.49,19600,17.367478
2016-04-11,16.99,17.530001,16.940001,17.01,26100,16.890841
2016-04-08,17.17,17.450001,16.90,17.059999,20800,16.940489
2016-04-07,17.24,17.68,16.950001,17.10,27900,16.98021
2016-04-06,17.67,17.67,17.219999,17.440001,22000,17.317829
2016-04-05,17.879999,18.00,17.66,17.67,18600,17.546217
2016-04-04,18.049999,18.33,17.77,17.940001,87900,17.814326
2016-04-01,18.110001,18.200001,17.90,17.950001,81600,17.824256
2016-03-31,18.24,18.40,18.120001,18.15,73400,18.022854
2016-03-30,17.82,18.32,17.82,18.24,62200,18.112224
2016-03-29,17.84,17.99,17.700001,17.85,98100,17.724956
2016-03-28,17.85,18.200001,17.629999,17.790001,72700,17.665377
2016-03-24,17.99,18.02,17.66,17.75,83800,17.625656
2016-03-23,18.52,18.84,18.040001,18.08,35700,17.953345
2016-03-22,18.700001,18.780001,18.57,18.620001,12800,18.489563
2016-03-21,19.15,19.17,18.700001,18.77,41000,18.638511
2016-03-18,18.90,19.40,18.51,19.08,60700,18.946339
2016-03-17,18.66,18.91,18.49,18.76,19500,18.628581
2016-03-16,18.690001,19.049999,18.309999,18.65,23300,18.519351
2016-03-15,18.85,19.08,18.809999,18.83,15200,18.698091
2016-03-14,19.01,19.139999,18.76,19.030001,25800,18.89669
2016-03-11,18.870001,19.299999,18.709999,19.25,24000,19.115148
2016-03-10,19.35,19.51,18.58,18.83,27000,18.698091
2016-03-09,19.50,19.549999,19.200001,19.379999,12800,19.244237
2016-03-08,19.450001,19.629999,19.27,19.35,46800,19.214448
2016-03-07,19.34,19.809999,18.84,19.50,46800,19.363397
2016-03-04,19.33,21.700001,19.33,19.42,49800,19.283958
2016-03-03,19.610001,20.40,19.059999,19.360001,41500,19.224378
2016-03-02,19.02,19.690001,18.98,19.67,65800,19.532206
2016-03-01,18.950001,19.17,18.33,19.17,75500,19.035709
2016-02-29,18.57,18.950001,17.860001,18.77,54900,18.638511
2016-02-26,18.459999,18.879999,18.459999,18.75,42100,18.618651
2016-02-25,18.360001,18.879999,18.299999,18.370001,112000,18.241314
2016-02-24,17.51,18.40,17.40,18.389999,29000,18.261172
2016-02-23,17.790001,18.379999,17.469999,17.610001,50700,17.486638
2016-02-22,17.58,19.049999,17.58,17.77,65400,17.645517
2016-02-19,17.25,17.77,17.25,17.299999,71400,17.178808
2016-02-18,17.360001,17.469999,17.18,17.25,21800,17.129159
2016-02-17,17.32,17.41,17.18,17.280001,47000,17.15895
2016-02-16,17.32,17.639999,17.15,17.25,66500,17.129159
2016-02-12,17.469999,17.52,17.190001,17.459999,26900,17.337687
2016-02-11,16.65,17.33,16.65,17.200001,14200,17.07951
2016-02-10,17.17,17.24,16.889999,16.93,32400,16.811401
2016-02-09,16.90,17.139999,16.77,16.98,27300,16.86105
2016-02-08,16.82,17.299999,16.52,17.16,85100,17.039789
2016-02-05,17.370001,17.450001,16.84,16.85,56100,16.731962
2016-02-04,17.50,17.790001,17.219999,17.34,32600,17.218529
2016-02-03,17.559999,17.73,17.049999,17.42,28700,17.297968
2016-02-02,17.690001,17.91,17.530001,17.59,35300,17.466777
2016-02-01,18.26,18.290001,17.790001,17.84,26800,17.595867
2016-01-29,18.00,18.41,18.00,18.200001,153200,17.950942
