Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,3.36,3.48,3.14,3.21,7600,3.21
2016-06-09,3.34,3.60,3.14,3.51,6600,3.51
2016-06-08,3.21,3.77,3.20,3.45,33700,3.45
2016-06-07,3.22,3.77,3.20,3.69,116200,3.69
2016-06-06,3.19,3.25,3.12,3.23,4600,3.23
2016-06-03,3.24,3.24,3.23,3.23,500,3.23
2016-06-02,3.16,3.27,3.12,3.12,3900,3.12
2016-06-01,3.22,3.22,3.10,3.11,5400,3.11
2016-05-31,3.11,3.19,2.98,3.19,22800,3.19
2016-05-27,3.13,3.24,3.13,3.24,400,3.24
2016-05-26,3.15,3.22,3.09,3.22,5800,3.22
2016-05-25,3.24,3.30,3.13,3.25,11600,3.25
2016-05-24,3.35,3.40,3.10,3.25,13900,3.25
2016-05-23,3.24,3.25,3.20,3.24,4100,3.24
2016-05-20,3.20,3.27,3.20,3.27,4400,3.27
2016-05-19,3.27,3.30,3.20,3.30,3000,3.30
2016-05-18,3.32,3.36,3.27,3.30,7700,3.30
2016-05-17,3.29,3.32,3.28,3.32,1500,3.32
2016-05-16,3.36,3.43,3.34,3.42,4900,3.42
2016-05-13,3.58,3.60,3.26,3.43,23900,3.43
2016-05-12,3.36,3.59,3.30,3.58,9800,3.58
2016-05-11,3.27,3.57,3.24,3.36,10000,3.36
2016-05-10,3.52,3.74,3.28,3.28,8300,3.28
2016-05-09,3.60,3.63,3.56,3.56,7800,3.56
2016-05-06,3.63,3.63,3.62,3.62,1100,3.62
2016-05-05,3.72,3.79,3.68,3.69,3900,3.69
2016-05-04,3.65,3.97,3.64,3.97,9900,3.97
2016-05-03,3.70,3.77,3.60,3.71,3200,3.71
2016-05-02,3.70,3.86,3.70,3.86,2000,3.86
2016-04-29,3.95,3.99,3.75,3.94,6000,3.94
2016-04-28,3.91,4.15,3.78,3.80,21100,3.80
2016-04-27,3.95,3.95,3.68,3.80,17200,3.80
2016-04-26,4.05,4.05,3.69,3.80,33100,3.80
2016-04-25,4.11,4.12,3.89,4.06,7800,4.06
2016-04-22,4.13,4.13,3.76,4.05,16700,4.05
2016-04-21,3.26,4.42,3.26,4.17,126100,4.17
2016-04-20,3.30,3.33,3.21,3.33,3000,3.33
2016-04-19,3.24,3.35,3.15,3.34,6000,3.34
2016-04-18,3.34,3.35,3.11,3.13,2700,3.13
2016-04-15,3.13,3.38,3.06,3.17,20800,3.17
2016-04-14,3.12,3.30,2.96,3.22,8200,3.22
2016-04-13,2.73,3.25,2.73,3.05,13900,3.05
2016-04-12,2.80,2.93,2.80,2.90,5100,2.90
2016-04-11,2.92,3.00,2.83,2.84,10100,2.84
2016-04-08,2.78,2.90,2.76,2.90,6000,2.90
2016-04-07,2.77,2.81,2.76,2.76,4100,2.76
2016-04-06,2.80,2.81,2.71,2.80,13000,2.80
2016-04-05,2.74,2.81,2.74,2.81,4700,2.81
2016-04-04,2.79,2.79,2.70,2.74,6800,2.74
2016-04-01,2.57,2.82,2.57,2.61,8000,2.61
2016-03-31,2.55,2.70,2.46,2.54,12100,2.54
2016-03-30,2.64,2.76,2.51,2.53,8100,2.53
2016-03-29,2.78,2.78,2.42,2.63,15100,2.63
2016-03-28,2.75,2.97,2.64,2.64,10300,2.64
2016-03-24,2.52,3.02,2.52,2.71,12300,2.71
2016-03-23,2.92,3.18,2.89,2.95,25700,2.95
2016-03-22,2.79,2.96,2.79,2.95,32000,2.95
2016-03-21,2.67,2.89,2.58,2.75,65500,2.75
2016-03-18,2.45,2.69,2.01,2.60,9500,2.60
2016-03-17,2.61,2.75,2.39,2.69,31000,2.69
2016-03-16,2.33,2.50,2.15,2.50,45800,2.50
2016-03-15,2.21,2.46,2.21,2.36,13300,2.36
2016-03-14,2.16,2.21,2.10,2.20,10300,2.20
2016-03-11,2.22,2.31,2.09,2.16,20000,2.16
2016-03-10,2.11,2.27,2.10,2.10,4900,2.10
2016-03-09,2.25,2.25,2.04,2.12,25400,2.12
2016-03-08,2.48,2.48,2.10,2.10,17000,2.10
2016-03-07,2.39,2.55,2.22,2.24,56700,2.24
2016-03-04,2.40,2.46,2.26,2.27,9200,2.27
2016-03-03,2.10,2.79,2.10,2.25,34700,2.25
2016-03-02,2.25,2.30,1.91,2.19,43200,2.19
2016-03-01,2.50,2.70,2.13,2.13,77400,2.13
2016-02-29,2.30,2.47,2.30,2.46,6500,2.46
2016-02-26,2.55,2.55,2.27,2.30,15600,2.30
2016-02-25,2.33,2.62,2.33,2.50,27900,2.50
2016-02-24,2.26,2.46,2.26,2.34,10400,2.34
2016-02-23,2.45,2.45,2.33,2.42,400,2.42
2016-02-22,2.44,2.48,2.29,2.43,18500,2.43
2016-02-19,2.42,2.43,2.31,2.43,3200,2.43
2016-02-18,2.41,2.41,2.33,2.40,1800,2.40
2016-02-17,2.31,2.52,2.31,2.36,12500,2.36
2016-02-16,2.52,2.52,2.22,2.24,26400,2.24
2016-02-12,2.45,2.57,2.45,2.54,9000,2.54
2016-02-11,2.63,2.65,2.43,2.55,22900,2.55
2016-02-10,2.49,2.83,2.48,2.63,24500,2.63
2016-02-09,2.76,2.76,2.50,2.50,5900,2.50
2016-02-08,2.84,2.85,2.43,2.44,17900,2.44
2016-02-05,2.84,2.84,2.45,2.77,17100,2.77
2016-02-04,2.66,2.80,2.49,2.71,9800,2.71
2016-02-03,2.46,2.82,2.39,2.46,15400,2.46
2016-02-02,2.74,2.83,2.50,2.59,6900,2.59
2016-02-01,2.65,2.89,2.60,2.67,7600,2.67
2016-01-29,2.50,2.89,2.38,2.67,34900,2.67
2016-01-28,2.70,2.70,2.16,2.52,36000,2.52
2016-01-27,2.15,2.45,2.15,2.33,28900,2.33
2016-01-26,2.09,2.26,2.05,2.26,7400,2.26
2016-01-25,2.30,2.30,2.22,2.28,4500,2.28
2016-01-22,2.13,2.36,2.05,2.22,25100,2.22
2016-01-21,2.07,2.12,2.00,2.12,8000,2.12
2016-01-20,2.00,2.14,1.88,2.14,47600,2.14
2016-01-19,2.09,2.23,2.01,2.03,10900,2.03
2016-01-15,2.00,2.12,2.00,2.10,6800,2.10
2016-01-14,2.10,2.13,1.98,2.01,18400,2.01
2016-01-13,2.19,2.36,2.05,2.05,26200,2.05
2016-01-12,2.25,2.29,2.15,2.16,7800,2.16
