Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,118.169998,119.93,118.040001,119.629997,338300,119.629997
2016-06-09,119.739998,119.919998,118.18,119.32,352700,119.32
2016-06-08,119.50,119.860001,117.620003,119.519997,513800,119.519997
2016-06-07,121.25,121.25,116.25,119.720001,1151500,119.720001
2016-06-06,125.32,125.709999,123.50,123.769997,665800,123.769997
2016-06-03,125.260002,126.209999,123.650002,125.00,348200,125.00
2016-06-02,123.760002,124.660004,122.75,124.599998,335600,124.599998
2016-06-01,120.330002,123.669998,120.050003,123.540001,473200,123.540001
2016-05-31,120.620003,120.620003,119.349998,120.209999,399600,120.209999
2016-05-27,119.949997,120.139999,119.040001,119.970001,211400,119.970001
2016-05-26,117.290001,119.779999,116.849998,119.629997,223000,119.629997
2016-05-25,119.580002,119.660004,117.57,117.660004,254100,117.660004
2016-05-24,115.949997,120.169998,115.50,119.970001,442500,119.970001
2016-05-23,116.910004,117.50,115.82,116.00,287400,116.00
2016-05-20,113.709999,116.43,113.169998,116.419998,336200,116.419998
2016-05-19,112.489998,114.599998,112.489998,113.900002,384700,113.900002
2016-05-18,114.639999,115.43,111.849998,112.260002,471100,112.260002
2016-05-17,115.360001,117.089996,114.610001,114.980003,637500,114.980003
2016-05-16,117.050003,117.050003,115.110001,115.849998,392200,115.849998
2016-05-13,115.75,117.089996,114.970001,116.150002,307600,116.150002
2016-05-12,114.860001,116.57,114.199997,116.410004,240500,116.410004
2016-05-11,117.089996,118.010002,114.360001,114.480003,244700,114.480003
2016-05-10,117.790001,118.190002,115.919998,118.18,427300,118.18
2016-05-09,111.989998,117.32,111.849998,117.25,456600,117.25
2016-05-06,112.040001,112.379997,109.82,111.519997,377900,111.519997
2016-05-05,113.370003,114.110001,110.629997,112.120003,411000,112.120003
2016-05-04,112.980003,113.93,112.339996,113.809998,351700,113.809998
2016-05-03,113.589996,114.529999,111.690002,113.419998,407600,113.419998
2016-05-02,111.839996,114.639999,111.839996,114.470001,450200,114.470001
2016-04-29,111.379997,112.230003,109.00,112.00,398900,112.00
2016-04-28,112.82,113.059998,111.309998,111.540001,310200,111.540001
2016-04-27,112.169998,112.919998,111.290001,112.599998,220900,112.379996
2016-04-26,112.870003,113.150002,111.389999,112.110001,277600,111.890956
2016-04-25,110.760002,113.169998,110.300003,112.440002,287000,112.220313
2016-04-22,112.220001,112.440002,109.419998,110.25,464700,110.034589
2016-04-21,113.050003,113.68,111.449997,112.57,500700,112.350056
2016-04-20,110.339996,113.349998,110.199997,112.75,493000,112.529705
2016-04-19,111.339996,111.540001,110.099998,110.639999,224800,110.423827
2016-04-18,111.980003,112.150002,110.889999,111.139999,292500,110.92285
2016-04-15,108.540001,112.800003,108.300003,112.139999,627500,111.920896
2016-04-14,108.879997,109.989998,108.169998,108.519997,309400,108.307966
2016-04-13,106.25,109.110001,105.650002,109.040001,509000,108.826954
2016-04-12,106.25,106.620003,105.169998,105.980003,509900,105.772935
2016-04-11,109.650002,109.650002,106.370003,106.419998,353100,106.21207
2016-04-08,110.769997,111.360001,107.809998,109.379997,433600,109.166286
2016-04-07,111.480003,112.470001,109.959999,110.309998,342700,110.094469
2016-04-06,110.720001,112.199997,109.480003,111.970001,320700,111.75123
2016-04-05,110.519997,111.110001,109.639999,110.50,253600,110.284101
2016-04-04,114.540001,114.540001,110.510002,111.169998,383800,110.95279
2016-04-01,113.089996,114.610001,112.75,114.209999,340900,113.986851
2016-03-31,113.779999,114.68,112.800003,113.32,531800,113.098591
2016-03-30,112.769997,114.949997,111.940002,114.029999,526000,113.807202
2016-03-29,107.779999,110.389999,107.779999,110.32,345600,110.104452
2016-03-28,109.110001,109.260002,107.480003,108.239998,313100,108.028514
2016-03-24,108.839996,109.82,108.370003,109.43,215400,109.216192
2016-03-23,111.849998,111.980003,109.050003,109.080002,369700,108.866877
2016-03-22,108.980003,112.370003,108.620003,112.00,737500,111.78117
2016-03-21,109.50,110.139999,108.50,109.360001,377800,109.146329
2016-03-18,108.589996,110.849998,108.309998,109.910004,561700,109.695257
2016-03-17,106.989998,108.709999,106.279999,108.199997,375800,107.988591
2016-03-16,107.309998,109.360001,107.230003,107.25,489700,107.040451
2016-03-15,105.650002,107.849998,105.50,107.199997,616200,106.990545
2016-03-14,105.25,107.790001,105.25,106.349998,547800,106.142208
2016-03-11,106.580002,106.660004,103.870003,105.040001,452300,104.83477
2016-03-10,105.900002,107.190002,104.57,105.620003,476000,105.413638
2016-03-09,107.150002,107.279999,102.120003,105.75,804000,105.543381
2016-03-08,100.00,105.660004,98.800003,104.610001,920800,104.405609
2016-03-07,106.019997,106.150002,101.940002,102.360001,791500,102.160006
2016-03-04,102.730003,106.559998,102.300003,105.809998,539200,105.603262
2016-03-03,105.089996,105.75,101.080002,102.489998,933900,102.289749
2016-03-02,105.00,107.260002,104.860001,105.889999,514100,105.683107
2016-03-01,106.120003,106.510002,104.230003,105.00,655200,104.794847
2016-02-29,106.830002,107.459999,105.349998,105.57,590200,105.363733
2016-02-26,110.220001,110.949997,106.790001,106.889999,422800,106.681153
2016-02-25,110.07,111.050003,109.459999,110.50,375100,110.284101
2016-02-24,107.910004,109.660004,107.080002,109.370003,348500,109.156311
2016-02-23,107.43,108.93,106.019997,108.330002,352200,108.118342
2016-02-22,107.190002,108.910004,106.50,106.709999,467800,106.501505
2016-02-19,104.839996,107.360001,104.529999,107.169998,386400,106.960605
2016-02-18,104.940002,106.760002,103.989998,104.949997,618900,104.744941
2016-02-17,116.279999,116.279999,104.290001,105.019997,1562500,104.814804
2016-02-16,114.980003,118.00,114.110001,116.830002,370300,116.601735
2016-02-12,113.050003,114.519997,112.129997,113.769997,318900,113.547708
2016-02-11,111.919998,113.129997,110.529999,112.059998,298800,111.84105
2016-02-10,113.330002,115.790001,113.110001,113.239998,293600,113.018745
2016-02-09,111.339996,113.650002,110.199997,112.32,402100,112.100544
2016-02-08,112.580002,112.989998,109.389999,112.239998,372500,112.020699
2016-02-05,119.18,119.470001,113.639999,113.690002,293900,113.46787
2016-02-04,119.830002,120.410004,118.730003,119.32,258400,119.086867
2016-02-03,123.300003,123.75,119.470001,120.260002,375400,120.025033
2016-02-02,121.209999,121.949997,119.07,121.800003,292200,121.562025
2016-02-01,120.029999,123.290001,119.599998,122.18,334900,121.94128
2016-01-29,117.040001,120.830002,116.720001,120.739998,445900,120.504091
2016-01-28,117.029999,117.540001,115.419998,116.830002,255300,116.601735
2016-01-27,117.419998,118.900002,115.980003,116.370003,272100,115.923069
2016-01-26,115.900002,118.940002,115.50,117.980003,344200,117.526886
2016-01-25,117.419998,117.900002,115.150002,115.550003,228700,115.106219
2016-01-22,115.949997,118.919998,115.209999,117.910004,375800,117.457156
2016-01-21,116.300003,116.879997,113.400002,115.220001,502200,114.777484
2016-01-20,114.669998,116.82,112.349998,115.529999,301700,115.086291
2016-01-19,117.959999,118.18,114.980003,115.93,291700,115.484757
2016-01-15,113.709999,116.860001,112.550003,116.730003,557700,116.281687
2016-01-14,115.269997,116.830002,114.50,115.870003,274700,115.424989
2016-01-13,119.879997,119.879997,115.739998,115.93,327700,115.484757
2016-01-12,118.43,119.400002,117.699997,119.18,389000,118.722275
2016-01-11,117.150002,118.089996,116.57,117.589996,355200,117.138377
2016-01-08,117.669998,117.970001,116.050003,116.199997,326300,115.753716
2016-01-07,116.279999,118.480003,116.190002,116.959999,392000,116.5108
2016-01-06,116.00,118.790001,116.00,117.93,353700,117.477075
2016-01-05,115.150002,117.849998,115.150002,116.940002,445400,116.49088
2016-01-04,118.290001,119.870003,114.419998,115.589996,492400,115.146058
2015-12-31,122.32,122.370003,120.419998,120.449997,374600,119.987394
2015-12-30,122.93,123.839996,122.760002,123.089996,218600,122.617254
2015-12-29,122.349998,123.739998,121.919998,122.910004,161500,122.437952
2015-12-28,121.00,121.769997,120.580002,121.480003,164700,121.013444
2015-12-24,120.900002,121.860001,120.550003,121.07,99900,120.605015
2015-12-23,120.93,121.489998,119.550003,120.510002,184300,120.047168
2015-12-22,118.730003,120.050003,117.550003,119.82,310200,119.359816
2015-12-21,118.699997,120.18,117.019997,118.029999,411100,117.57669
2015-12-18,123.57,125.120003,118.040001,118.139999,1052900,117.686268
2015-12-17,125.410004,125.889999,123.510002,124.300003,441800,123.822613
2015-12-16,124.489998,125.50,123.18,124.50,773500,124.021842
2015-12-15,128.25,129.529999,126.32,126.870003,498000,126.382743
2015-12-14,123.68,129.00,123.00,128.720001,611100,128.225636
2015-12-11,124.690002,126.790001,123.809998,125.32,527400,124.838693
2015-12-10,125.470001,127.910004,125.300003,126.349998,511100,125.864735
2015-12-09,124.68,127.07,124.010002,125.370003,506700,124.888504
2015-12-08,120.75,126.900002,118.290001,125.489998,1050800,125.008038
2015-12-07,120.330002,121.629997,118.75,120.010002,667300,119.549089
2015-12-04,118.129997,119.849998,117.620003,119.790001,435000,119.329932
2015-12-03,119.459999,121.050003,117.550003,117.620003,289300,117.168268
2015-12-02,117.360001,120.00,117.300003,119.589996,215800,119.130696
2015-12-01,117.019997,118.309998,116.279999,117.980003,281400,117.526886
2015-11-30,118.800003,119.110001,115.980003,116.269997,421300,115.823447
2015-11-27,117.300003,118.910004,116.82,118.379997,87800,117.925344
2015-11-25,116.510002,117.93,116.099998,117.790001,140300,117.337614
2015-11-24,115.00,116.230003,114.379997,116.080002,385600,115.634182
2015-11-23,116.139999,117.00,114.449997,115.769997,232700,115.325367
2015-11-20,115.309998,116.099998,113.900002,114.540001,293800,114.100096
2015-11-19,114.519997,116.669998,114.089996,114.629997,224400,114.189746
2015-11-18,113.989998,115.730003,112.800003,114.519997,325700,114.080168
2015-11-17,113.639999,114.709999,113.599998,114.00,310400,113.562169
2015-11-16,111.550003,113.099998,109.790001,112.879997,453800,112.446467
2015-11-13,111.379997,112.25,110.779999,110.809998,240700,110.384418
2015-11-12,113.68,115.309998,111.800003,112.059998,254000,111.629617
2015-11-11,115.610001,115.610001,113.760002,113.769997,295200,113.333049
2015-11-10,112.57,115.559998,112.419998,115.510002,332200,115.066372
2015-11-09,115.190002,115.50,111.629997,112.82,271000,112.3867
2015-11-06,111.980003,114.699997,111.610001,114.660004,322400,114.219638
2015-11-05,111.269997,112.779999,110.800003,112.470001,269000,112.038046
2015-11-04,111.739998,112.550003,110.910004,111.260002,291300,110.832694
2015-11-03,109.449997,111.68,108.760002,111.449997,365900,111.021959
2015-11-02,105.910004,109.400002,105.290001,109.290001,241800,108.870259
2015-10-30,106.599998,107.379997,105.910004,106.220001,241800,105.81205
2015-10-29,107.00,107.480003,106.419998,106.589996,220100,106.180624
2015-10-28,106.349998,107.790001,105.82,107.379997,427500,106.748437
2015-10-27,107.029999,108.019997,106.239998,107.00,337900,106.370674
2015-10-26,109.010002,110.209999,107.580002,107.82,207500,107.185851
2015-10-23,111.089996,111.089996,107.599998,108.830002,345100,108.189913
2015-10-22,109.720001,110.419998,108.760002,110.040001,294900,109.392795
