Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,18.25,18.59,18.25,18.549999,27700,18.549999
2016-06-09,18.41,18.41,18.41,18.41,000,18.41
2016-06-08,18.389999,18.41,18.389999,18.41,2000,18.41
2016-06-07,18.32,18.35,18.25,18.35,1100,18.35
2016-06-06,18.309999,18.40,18.26,18.299999,2200,18.299999
2016-06-03,18.219999,18.290001,18.219999,18.290001,2800,18.290001
2016-06-02,18.35,18.35,18.33,18.33,1100,18.33
2016-06-01,18.23,18.379999,18.219999,18.379999,4900,18.379999
2016-05-31,18.32,18.379999,18.27,18.379999,3600,18.379999
2016-05-27,18.290001,18.290001,18.290001,18.290001,000,18.290001
2016-05-26,18.35,18.35,18.290001,18.290001,1500,18.290001
2016-05-25,18.25,18.379999,18.25,18.379999,500,18.379999
2016-05-24,18.450001,18.450001,18.25,18.25,3400,18.25
2016-05-23,18.219999,18.34,18.139999,18.34,66000,18.34
2016-05-20,17.700001,17.700001,17.700001,17.700001,200,17.700001
2016-05-19,18.02,18.059999,18.00,18.040001,800,18.040001
2016-05-18,18.25,18.25,18.25,18.25,200,18.25
2016-05-17,17.99,18.02,17.860001,17.860001,2500,17.860001
2016-05-16,18.00,18.02,17.85,18.02,2700,18.02
2016-05-13,17.85,18.00,17.66,18.00,12100,18.00
2016-05-12,17.809999,17.809999,17.809999,17.809999,100,17.809999
2016-05-11,17.75,17.98,17.65,17.85,14800,17.85
2016-05-10,17.709999,18.00,17.65,17.66,16800,17.66
2016-05-09,17.799999,18.00,17.66,17.959999,14200,17.959999
2016-05-06,17.639999,17.639999,17.639999,17.639999,000,17.639999
2016-05-05,17.639999,17.639999,17.639999,17.639999,300,17.639999
2016-05-04,17.889999,17.959999,17.65,17.75,2500,17.75
2016-05-03,18.00,18.18,17.809999,18.18,16300,18.09
2016-05-02,18.16,18.17,18.049999,18.049999,400,17.960642
2016-04-29,18.18,18.18,18.18,18.18,200,18.09
2016-04-28,18.200001,18.200001,18.200001,18.200001,000,18.109901
2016-04-27,18.200001,18.200001,18.200001,18.200001,000,18.109901
2016-04-26,18.01,18.25,18.01,18.200001,4300,18.109901
2016-04-25,18.16,18.25,18.08,18.110001,4300,18.020347
2016-04-22,18.17,18.17,18.059999,18.059999,2300,17.970593
2016-04-21,18.129999,18.129999,18.00,18.00,2700,17.910891
2016-04-20,18.15,18.15,18.00,18.10,8900,18.010396
2016-04-19,18.07,18.200001,17.75,18.18,13600,18.09
2016-04-18,18.00,18.00,17.790001,17.91,4200,17.821336
2016-04-15,17.90,18.24,17.879999,18.01,5300,17.920841
2016-04-14,17.90,18.00,17.75,17.75,70900,17.662128
2016-04-13,17.90,17.90,17.90,17.90,2100,17.811385
2016-04-12,17.799999,17.90,17.58,17.90,8100,17.811385
2016-04-11,17.799999,17.799999,17.690001,17.799999,11100,17.71188
2016-04-08,17.75,17.799999,17.549999,17.68,13300,17.592475
2016-04-07,17.879999,17.90,17.60,17.74,21100,17.652177
2016-04-06,17.85,17.99,17.50,17.84,19400,17.751683
2016-04-05,18.620001,18.66,17.559999,17.90,47600,17.811385
