Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,8.48,8.58,8.16,8.29,249400,8.29
2016-06-09,8.46,8.61,8.28,8.60,113600,8.60
2016-06-08,8.38,8.55,8.33,8.47,74200,8.47
2016-06-07,8.40,8.50,8.34,8.40,70200,8.40
2016-06-06,8.34,8.47,8.32,8.44,89800,8.44
2016-06-03,8.54,8.55,8.30,8.33,53800,8.33
2016-06-02,8.25,8.60,8.25,8.54,184000,8.54
2016-06-01,8.08,8.35,8.04,8.31,195600,8.31
2016-05-31,8.02,8.30,7.77,8.15,336700,8.15
2016-05-27,8.09,8.14,7.87,8.03,73800,8.03
2016-05-26,8.06,8.32,8.05,8.11,102000,8.11
2016-05-25,7.92,8.27,7.90,8.06,103500,8.06
2016-05-24,7.80,7.90,7.71,7.90,128800,7.90
2016-05-23,7.77,7.80,7.68,7.77,78200,7.77
2016-05-20,7.73,7.86,7.70,7.79,67800,7.79
2016-05-19,7.79,7.82,7.61,7.68,132900,7.68
2016-05-18,7.72,7.97,7.64,7.83,116100,7.83
2016-05-17,7.59,8.00,7.59,7.73,193500,7.73
2016-05-16,7.66,7.83,7.62,7.66,131400,7.66
2016-05-13,7.89,7.99,7.66,7.71,146700,7.71
2016-05-12,7.89,8.02,7.74,7.93,294000,7.93
2016-05-11,8.00,8.19,7.66,7.85,239900,7.85
2016-05-10,7.15,8.03,7.00,7.82,864700,7.82
2016-05-09,6.45,6.55,6.34,6.53,117700,6.53
2016-05-06,6.33,6.47,6.33,6.42,72000,6.42
2016-05-05,6.46,6.47,6.27,6.36,108000,6.36
2016-05-04,6.41,6.52,6.32,6.42,123700,6.42
2016-05-03,6.47,6.57,6.37,6.46,144400,6.46
2016-05-02,6.64,6.64,6.40,6.53,93200,6.53
2016-04-29,6.48,6.67,6.45,6.60,98700,6.60
2016-04-28,6.63,6.68,6.51,6.54,96100,6.54
2016-04-27,6.53,6.75,6.43,6.65,175200,6.65
