Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,1.00,1.00,0.95,0.99,20000,0.99
2016-06-09,1.00,1.00,0.94,0.99,5100,0.99
2016-06-08,1.00,1.00,0.95,1.00,34700,1.00
2016-06-07,1.03,1.05,0.90,1.02,79300,1.02
2016-06-06,0.91,1.06,0.90,1.00,95000,1.00
2016-06-03,0.84,1.00,0.80,0.87,108700,0.87
2016-06-02,0.78,0.87,0.78,0.80,63700,0.80
2016-06-01,0.78,0.79,0.75,0.75,66800,0.75
2016-05-31,0.85,0.86,0.71,0.71,1259100,0.71
2016-05-27,0.79,0.84,0.79,0.80,570500,0.80
2016-05-26,0.78,0.80,0.76,0.79,27300,0.79
2016-05-25,0.80,0.83,0.72,0.79,58800,0.79
2016-05-24,0.90,0.90,0.74,0.79,262000,0.79
2016-05-23,0.91,0.91,0.84,0.85,25500,0.85
2016-05-20,0.88,0.91,0.84,0.90,35900,0.90
2016-05-19,0.89,0.92,0.85,0.90,52500,0.90
2016-05-18,0.89,0.92,0.84,0.89,14700,0.89
2016-05-17,0.87,0.93,0.84,0.90,57800,0.90
2016-05-16,0.94,0.94,0.85,0.86,27600,0.86
2016-05-13,0.94,0.96,0.91,0.94,22900,0.94
2016-05-12,0.98,0.98,0.85,0.88,37400,0.88
2016-05-11,0.92,0.98,0.92,0.92,19600,0.92
2016-05-10,1.00,1.00,0.92,0.92,12100,0.92
2016-05-09,0.99,1.03,0.95,0.95,18800,0.95
2016-05-06,1.02,1.04,0.97,0.98,54700,0.98
2016-05-05,1.10,1.10,1.01,1.05,132700,1.05
2016-05-04,1.03,1.13,1.02,1.13,40300,1.13
2016-05-03,1.04,1.06,1.00,1.05,18000,1.05
2016-05-02,1.00,1.07,1.00,1.03,13900,1.03
2016-04-29,1.04,1.05,1.01,1.05,43400,1.05
2016-04-28,1.00,1.07,1.00,1.05,33200,1.05
2016-04-27,1.03,1.09,1.00,1.02,20700,1.02
2016-04-26,1.04,1.07,1.01,1.05,22800,1.05
2016-04-25,1.11,1.11,1.01,1.01,22400,1.01
2016-04-22,1.05,1.12,1.01,1.01,28400,1.01
2016-04-21,1.09,1.10,1.06,1.07,9600,1.07
2016-04-20,1.06,1.06,1.02,1.06,8900,1.06
2016-04-19,1.05,1.08,1.05,1.06,29800,1.06
2016-04-18,1.07,1.08,1.05,1.05,17400,1.05
2016-04-15,1.08,1.09,1.07,1.07,11900,1.07
2016-04-14,1.05,1.09,1.05,1.07,49400,1.07
2016-04-13,1.09,1.09,1.06,1.06,35100,1.06
2016-04-12,1.11,1.11,1.08,1.09,12900,1.09
2016-04-11,1.05,1.10,1.05,1.08,20300,1.08
2016-04-08,1.09,1.10,1.08,1.08,6400,1.08
2016-04-07,1.05,1.10,1.05,1.09,33900,1.09
2016-04-06,1.10,1.12,1.08,1.08,39600,1.08
2016-04-05,1.09,1.11,1.08,1.08,18000,1.08
2016-04-04,1.06,1.13,1.06,1.07,49500,1.07
2016-04-01,1.12,1.13,1.06,1.06,5800,1.06
2016-03-31,1.07,1.13,0.98,1.10,153400,1.10
2016-03-30,1.10,1.15,1.04,1.05,16000,1.05
2016-03-29,1.02,1.18,1.02,1.09,90700,1.09
2016-03-28,1.06,1.07,1.02,1.03,42000,1.03
2016-03-24,1.06,1.09,1.01,1.02,32300,1.02
2016-03-23,1.12,1.13,1.01,1.01,18300,1.01
2016-03-22,1.07,1.15,1.07,1.10,16100,1.10
2016-03-21,1.08,1.17,1.08,1.09,52600,1.09
2016-03-18,1.10,1.13,1.04,1.07,10700,1.07
2016-03-17,1.05,1.17,1.00,1.10,73200,1.10
2016-03-16,1.11,1.11,1.03,1.03,37000,1.03
2016-03-15,1.17,1.17,1.03,1.03,21900,1.03
2016-03-14,1.12,1.13,1.10,1.13,8300,1.13
2016-03-11,1.14,1.18,1.11,1.11,3500,1.11
2016-03-10,1.15,1.16,1.11,1.13,16400,1.13
2016-03-09,1.19,1.23,1.16,1.16,8100,1.16
2016-03-08,1.18,1.18,1.10,1.15,27300,1.15
2016-03-07,1.16,1.20,1.10,1.17,22200,1.17
2016-03-04,1.09,1.18,1.09,1.13,35700,1.13
2016-03-03,1.14,1.24,1.14,1.14,82300,1.14
2016-03-02,1.12,1.17,1.12,1.16,1500,1.16
2016-03-01,1.13,1.17,1.13,1.13,3600,1.13
2016-02-29,1.16,1.16,1.11,1.11,6700,1.11
2016-02-26,1.13,1.16,1.09,1.16,134200,1.16
2016-02-25,1.07,1.07,1.04,1.05,1300,1.05
2016-02-24,1.07,1.13,1.06,1.10,30700,1.10
2016-02-23,1.06,1.09,1.06,1.08,20700,1.08
2016-02-22,1.07,1.10,1.02,1.09,29300,1.09
2016-02-19,1.12,1.12,1.01,1.02,7800,1.02
2016-02-18,1.14,1.17,1.05,1.06,22800,1.06
2016-02-17,1.22,1.27,1.15,1.27,51600,1.27
2016-02-16,1.09,1.20,1.09,1.16,23000,1.16
2016-02-12,0.96,1.09,0.96,1.04,24100,1.04
2016-02-11,1.22,1.22,0.95,0.97,33600,0.97
2016-02-10,1.14,1.18,1.04,1.04,76400,1.04
2016-02-09,1.20,1.24,0.98,1.08,45000,1.08
2016-02-08,1.18,1.30,1.18,1.27,32500,1.27
2016-02-05,1.08,1.20,1.08,1.18,10400,1.18
2016-02-04,1.15,1.21,0.98,1.21,110200,1.21
2016-02-03,1.22,1.22,1.10,1.15,7300,1.15
2016-02-02,1.15,1.29,1.13,1.19,40800,1.19
2016-02-01,0.99,1.08,0.98,1.07,46800,1.07
2016-01-29,1.11,1.14,0.99,1.03,54500,1.03
2016-01-28,1.09,1.13,1.08,1.08,20100,1.08
2016-01-27,1.14,1.15,1.14,1.14,21600,1.14
2016-01-26,1.10,1.14,1.10,1.10,3600,1.10
2016-01-25,1.13,1.14,1.08,1.08,25000,1.08
2016-01-22,1.15,1.16,1.13,1.15,30100,1.15
