Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,10.93,10.98,10.85,10.85,21700,10.85
2016-06-09,11.06,11.10,10.99,11.06,26000,11.06
2016-06-08,11.13,11.15,11.04,11.08,27500,11.08
2016-06-07,11.14,11.19,11.11,11.19,15300,11.09
2016-06-06,11.04,11.18,10.92,11.09,15500,10.990894
2016-06-03,11.01,11.06,10.95,11.03,14900,10.93143
2016-06-02,11.08,11.08,11.00,11.05,15000,10.951252
2016-06-01,11.13,11.13,11.02,11.06,17200,10.961162
2016-05-31,11.10,11.12,11.06,11.09,13000,10.990894
2016-05-27,11.04,11.14,11.00,11.08,14700,10.980983
2016-05-26,10.96,11.11,10.90,10.99,43900,10.891787
2016-05-25,10.87,10.97,10.87,10.92,19000,10.822413
2016-05-24,10.75,10.88,10.75,10.85,25000,10.753039
2016-05-23,10.74,10.81,10.74,10.74,16300,10.644022
2016-05-20,10.78,10.81,10.72,10.76,6800,10.663843
2016-05-19,10.76,10.76,10.62,10.69,16500,10.594468
2016-05-18,10.76,10.82,10.73,10.75,15400,10.653932
2016-05-17,10.84,10.85,10.74,10.80,26800,10.703486
2016-05-16,10.76,10.85,10.72,10.79,19000,10.693575
2016-05-13,10.76,10.79,10.70,10.71,9600,10.61429
2016-05-12,10.84,10.88,10.70,10.78,32400,10.683664
2016-05-11,10.77,10.86,10.76,10.81,18300,10.713397
2016-05-10,10.77,10.86,10.74,10.84,14400,10.743128
2016-05-09,10.75,10.76,10.68,10.69,16400,10.594468
2016-05-06,10.75,10.85,10.73,10.84,14700,10.644021
2016-05-05,10.80,10.86,10.77,10.79,16500,10.594925
2016-05-04,10.82,10.85,10.77,10.80,21100,10.604745
2016-05-03,11.02,11.06,10.84,10.89,30200,10.693118
2016-05-02,11.13,11.17,10.99,11.13,28000,10.928778
2016-04-29,11.08,11.08,10.95,11.01,36400,10.810948
2016-04-28,11.15,11.17,11.06,11.06,12100,10.860044
2016-04-27,11.13,11.26,11.07,11.20,7300,10.997513
2016-04-26,11.13,11.15,11.05,11.11,27600,10.90914
2016-04-25,11.14,11.15,11.05,11.15,13300,10.948416
2016-04-22,11.18,11.31,11.13,11.13,21000,10.928778
2016-04-21,11.22,11.30,11.18,11.24,25400,11.036789
2016-04-20,11.15,11.24,11.11,11.17,34400,10.968055
2016-04-19,11.10,11.17,11.10,11.15,9400,10.948416
2016-04-18,11.05,11.13,10.98,11.11,14100,10.90914
2016-04-15,11.06,11.08,10.97,11.00,31600,10.801129
2016-04-14,11.00,11.08,11.00,11.05,19200,10.850225
2016-04-13,11.01,11.07,10.95,11.01,30200,10.810948
2016-04-12,10.86,10.98,10.86,10.97,20200,10.771671
2016-04-11,10.86,10.99,10.84,10.86,46200,10.663659
2016-04-08,10.91,10.91,10.75,10.85,20200,10.653841
2016-04-07,10.90,10.95,10.87,10.89,20900,10.594926
2016-04-06,10.81,10.97,10.81,10.96,31100,10.663029
2016-04-05,10.98,10.98,10.81,10.84,21500,10.54628
2016-04-04,11.03,11.10,10.97,10.98,31200,10.682486
2016-04-01,10.95,11.10,10.90,11.09,57900,10.789506
2016-03-31,11.06,11.13,10.99,11.07,17700,10.770048
2016-03-30,11.07,11.15,11.04,11.05,23500,10.75059
2016-03-29,10.86,10.99,10.82,10.99,18100,10.692216
2016-03-28,10.86,10.99,10.86,10.91,12600,10.614383
2016-03-24,10.92,10.92,10.87,10.88,15200,10.585197
2016-03-23,11.08,11.08,10.96,11.02,16600,10.721403
2016-03-22,10.96,11.13,10.94,11.05,26300,10.75059
2016-03-21,11.00,11.10,10.94,11.07,36500,10.770048
2016-03-18,10.95,10.98,10.91,10.97,8000,10.672758
2016-03-17,10.88,10.99,10.84,10.98,23400,10.682486
2016-03-16,10.77,10.88,10.75,10.88,19100,10.585197
2016-03-15,10.69,10.87,10.66,10.87,14300,10.575467
2016-03-14,10.77,10.79,10.68,10.79,11900,10.497635
2016-03-11,10.68,10.79,10.66,10.78,17700,10.487906
2016-03-10,10.64,10.64,10.52,10.58,10100,10.293325
2016-03-09,10.59,10.59,10.50,10.57,7700,10.283596
2016-03-08,10.58,10.59,10.48,10.52,14800,10.234951
2016-03-07,10.61,10.74,10.53,10.68,35700,10.293325
2016-03-04,10.56,10.67,10.50,10.63,13000,10.245135
2016-03-03,10.42,10.54,10.40,10.50,21700,10.119842
2016-03-02,10.26,10.39,10.26,10.39,12000,10.013825
2016-03-01,10.16,10.32,10.10,10.32,15500,9.946359
2016-02-29,10.13,10.19,10.08,10.09,15200,9.724686
2016-02-26,10.11,10.17,10.08,10.12,12000,9.7536
2016-02-25,10.04,10.18,9.99,10.08,31900,9.715048
2016-02-24,10.07,10.07,9.87,10.04,32400,9.676496
2016-02-23,10.14,10.24,10.07,10.08,17400,9.715048
2016-02-22,10.02,10.16,9.99,10.15,40700,9.782514
2016-02-19,9.98,10.00,9.87,10.00,6500,9.637945
2016-02-18,10.06,10.06,9.92,9.95,9100,9.589755
2016-02-17,9.99,10.04,9.90,10.01,24400,9.647583
2016-02-16,9.76,9.93,9.70,9.86,24200,9.503013
2016-02-12,9.57,9.69,9.47,9.64,23800,9.290979
2016-02-11,9.57,9.62,9.30,9.48,59500,9.136771
2016-02-10,9.74,9.88,9.63,9.70,28700,9.348806
2016-02-09,9.81,9.86,9.53,9.61,32700,9.262065
2016-02-08,10.06,10.06,9.73,9.85,16900,9.493376
2016-02-05,10.32,10.32,10.16,10.18,17500,9.715049
2016-02-04,10.36,10.46,10.31,10.38,9600,9.905914
2016-02-03,10.45,10.45,10.22,10.39,9500,9.915458
2016-02-02,10.45,10.47,10.33,10.33,29100,9.858198
2016-02-01,10.41,10.58,10.39,10.56,24600,10.077693
2016-01-29,10.26,10.54,10.26,10.54,19900,10.058606
2016-01-28,10.19,10.26,10.11,10.26,10200,9.791395
2016-01-27,10.19,10.25,10.08,10.10,27800,9.638703
2016-01-26,10.03,10.20,10.00,10.20,20300,9.734135
2016-01-25,10.03,10.10,9.93,9.97,27400,9.51464
2016-01-22,9.98,10.16,9.97,10.06,26700,9.60053
2016-01-21,9.75,9.94,9.75,9.81,25200,9.361948
2016-01-20,9.76,9.82,9.37,9.74,43300,9.295145
2016-01-19,10.09,10.21,9.80,9.83,39500,9.381034
2016-01-15,10.19,10.20,9.90,10.02,39000,9.562357
2016-01-14,10.46,10.47,10.11,10.45,39000,9.972717
2016-01-13,10.73,10.77,10.37,10.37,36700,9.896371
2016-01-12,10.75,10.79,10.60,10.68,34000,10.192213
2016-01-11,10.78,10.82,10.64,10.67,19100,10.182669
2016-01-08,10.88,10.99,10.79,10.79,29800,10.297188
2016-01-07,11.03,11.09,10.88,10.88,34800,10.383078
2016-01-06,11.29,11.29,11.18,11.19,23500,10.678919
2016-01-05,11.26,11.35,11.21,11.30,83700,10.783895
2016-01-04,11.25,11.27,11.15,11.24,27100,10.726635
2015-12-31,11.41,11.50,11.30,11.42,37700,10.898414
2015-12-30,11.53,11.57,11.40,11.47,32000,10.946131
2015-12-29,11.43,11.59,11.43,11.57,36000,11.041563
2015-12-28,11.50,11.53,11.41,11.50,44300,10.879327
2015-12-24,11.45,11.54,11.42,11.42,21300,10.803645
2015-12-23,11.44,11.54,11.38,11.51,64600,10.888788
2015-12-22,11.32,11.39,11.24,11.37,68200,10.756344
2015-12-21,11.34,11.42,11.18,11.29,47600,10.680661
2015-12-18,11.29,11.36,11.28,11.28,37200,10.671201
2015-12-17,11.37,11.51,11.32,11.36,40100,10.746883
2015-12-16,11.19,11.43,11.18,11.40,48800,10.784724
2015-12-15,10.99,11.16,10.99,11.15,43100,10.548217
2015-12-14,10.95,11.10,10.95,10.95,63400,10.359012
2015-12-11,11.19,11.25,11.07,11.08,45300,10.481995
2015-12-10,11.31,11.35,11.20,11.20,48700,10.595519
2015-12-09,11.40,11.49,11.23,11.36,29000,10.746883
2015-12-08,11.36,11.47,11.35,11.38,21400,10.765804
2015-12-07,11.49,11.63,11.45,11.49,32700,10.775264
2015-12-04,11.49,11.75,11.44,11.44,28100,10.728374
2015-12-03,11.65,11.74,11.50,11.53,62100,10.812776
2015-12-02,11.65,11.82,11.65,11.66,38300,10.934689
2015-12-01,11.68,11.81,11.64,11.70,98700,10.972201
2015-11-30,11.69,11.72,11.68,11.69,27000,10.962823
2015-11-27,11.73,11.75,11.65,11.71,15100,10.981579
2015-11-25,11.75,11.81,11.72,11.73,20000,11.000335
2015-11-24,11.67,11.78,11.64,11.74,48700,11.009713
2015-11-23,11.83,11.94,11.75,11.79,33800,11.056603
2015-11-20,11.79,11.94,11.79,11.88,34400,11.141005
2015-11-19,11.83,11.83,11.76,11.82,15000,11.084736
2015-11-18,11.56,11.84,11.56,11.78,79800,11.047225
2015-11-17,11.61,11.66,11.52,11.63,28900,10.906556
2015-11-16,11.47,11.57,11.39,11.57,41100,10.850288
