Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,30.43,31.18,30.41,30.57,4300,30.57
2016-06-09,30.74,31.41,30.50,30.75,5000,30.75
2016-06-08,30.35,31.00,30.35,30.75,7300,30.75
2016-06-07,30.530001,31.110001,30.00,30.59,19100,30.59
2016-06-06,31.299999,31.68,29.84,30.530001,31300,30.530001
2016-06-03,31.129999,31.870001,31.00,31.719999,6200,31.719999
2016-06-02,31.00,31.950001,30.629999,31.459999,13900,31.459999
2016-06-01,31.41,31.50,30.969999,31.00,17100,31.00
2016-05-31,32.200001,32.279999,31.00,31.76,4800,31.76
2016-05-27,32.169998,32.889999,31.35,32.200001,11900,32.200001
2016-05-26,32.689999,32.75,31.18,31.82,31400,31.82
2016-05-25,32.459999,32.950001,31.799999,32.950001,7600,32.950001
2016-05-24,30.85,32.639999,30.809999,32.50,17800,32.50
2016-05-23,30.549999,31.50,30.549999,31.40,19800,31.40
2016-05-20,30.07,31.00,30.07,30.799999,5300,30.799999
2016-05-19,31.67,31.67,29.370001,30.01,23600,30.01
2016-05-18,28.76,30.75,28.290001,30.75,32000,30.75
2016-05-17,28.57,28.90,28.23,28.68,2400,28.68
2016-05-16,27.450001,28.34,27.41,28.34,16600,28.34
2016-05-13,27.50,27.700001,27.26,27.68,7700,27.68
2016-05-12,27.48,27.65,27.26,27.26,7200,27.26
2016-05-11,27.280001,27.700001,27.280001,27.620001,2600,27.620001
2016-05-10,26.77,27.48,26.77,27.43,1900,27.43
2016-05-09,27.040001,27.10,26.82,26.98,6500,26.98
2016-05-06,26.809999,27.280001,26.799999,26.950001,32000,26.950001
2016-05-05,27.549999,27.65,27.00,27.049999,9900,27.049999
2016-05-04,26.76,27.60,26.549999,27.549999,28500,27.549999
2016-05-03,26.540001,26.889999,26.50,26.889999,2200,26.889999
2016-05-02,26.68,26.719999,26.52,26.559999,3400,26.559999
2016-04-29,26.879999,26.92,26.610001,26.610001,900,26.610001
2016-04-28,26.889999,26.90,26.83,26.83,700,26.83
2016-04-27,26.92,26.92,26.75,26.77,1000,26.77
2016-04-26,27.030001,27.15,26.99,26.99,5300,26.99
2016-04-25,26.799999,27.030001,26.799999,26.85,3400,26.85
2016-04-22,26.85,26.85,26.85,26.85,600,26.85
2016-04-21,26.85,27.00,26.50,26.83,3400,26.83
2016-04-20,26.73,26.73,26.73,26.73,200,26.73
2016-04-19,26.780001,27.030001,26.51,26.51,4600,26.51
2016-04-18,27.10,27.10,26.809999,26.809999,3000,26.809999
2016-04-15,27.10,27.25,26.780001,26.780001,2200,26.780001
2016-04-14,27.07,27.10,26.700001,26.98,1800,26.98
2016-04-13,26.85,27.08,26.559999,26.98,3300,26.98
2016-04-12,26.57,27.52,26.27,27.00,41100,27.00
2016-04-11,26.67,27.07,26.35,26.43,6000,26.43
2016-04-08,26.66,26.84,26.51,26.51,3200,26.51
2016-04-07,27.469999,27.469999,26.469999,26.639999,8300,26.639999
2016-04-06,26.26,26.549999,26.26,26.459999,5000,26.459999
2016-04-05,26.50,26.50,26.299999,26.41,3400,26.41
2016-04-04,26.34,26.40,26.209999,26.23,3300,26.23
2016-04-01,26.379999,26.43,26.049999,26.200001,8800,26.200001
2016-03-31,26.60,26.629999,26.35,26.35,3800,26.35
2016-03-30,26.360001,26.68,26.360001,26.549999,4000,26.549999
2016-03-29,26.629999,26.629999,26.299999,26.299999,1400,26.299999
2016-03-28,26.549999,26.860001,26.50,26.50,4200,26.50
2016-03-24,26.50,26.59,26.26,26.26,5600,26.26
2016-03-23,26.549999,26.889999,26.50,26.50,11400,26.50
2016-03-22,26.98,27.139999,26.49,26.59,11900,26.59
2016-03-21,27.50,27.50,26.610001,26.799999,12400,26.799999
2016-03-18,27.440001,27.75,26.66,27.34,83600,27.34
2016-03-17,26.809999,27.450001,26.77,27.200001,13000,27.200001
2016-03-16,26.82,27.35,26.799999,26.85,13000,26.85
2016-03-15,27.50,27.50,26.809999,26.91,15900,26.649999
2016-03-14,27.01,27.459999,26.52,27.360001,16500,27.095652
2016-03-11,27.200001,27.200001,26.50,26.799999,10200,26.541062
2016-03-10,26.85,27.389999,26.27,26.50,12200,26.243961
2016-03-09,27.00,27.43,26.52,26.65,12200,26.392511
2016-03-08,27.08,27.43,26.76,26.799999,9400,26.541062
2016-03-07,26.76,27.50,26.66,27.32,11200,27.056038
2016-03-04,27.26,27.50,27.09,27.09,9300,26.828261
2016-03-03,27.50,27.50,27.01,27.01,2800,26.749034
2016-03-02,27.35,27.450001,27.200001,27.42,2800,27.155072
2016-03-01,27.139999,27.50,27.139999,27.34,1400,27.075845
2016-02-29,27.50,27.700001,27.030001,27.030001,5200,26.768841
2016-02-26,27.42,27.700001,26.799999,27.469999,5100,27.204588
2016-02-25,27.549999,27.700001,27.50,27.67,11400,27.402657
2016-02-24,27.35,27.549999,26.65,27.549999,31600,27.283815
2016-02-23,27.41,27.42,27.00,27.049999,2400,26.788646
2016-02-22,26.75,27.00,26.75,27.00,2500,26.73913
2016-02-19,26.700001,27.00,26.32,26.34,2200,26.085507
2016-02-18,26.85,26.85,26.25,26.25,1400,25.996376
2016-02-17,26.10,27.00,26.10,26.75,1400,26.491545
2016-02-16,26.50,27.00,26.32,26.540001,4500,26.283575
2016-02-12,26.799999,27.00,26.50,26.50,3400,26.243961
2016-02-11,27.00,27.00,26.549999,26.870001,9000,26.610387
2016-02-10,27.24,27.24,26.99,27.129999,1700,26.867873
