Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,28.25,28.309999,27.99,28.309999,40900,28.309999
2016-06-09,28.57,28.57,28.25,28.32,52800,28.32
2016-06-08,28.610001,28.639999,28.42,28.549999,46700,28.549999
2016-06-07,28.610001,28.610001,28.469999,28.530001,24200,28.530001
2016-06-06,28.559999,28.559999,28.389999,28.469999,30600,28.469999
2016-06-03,28.57,28.57,28.381001,28.48,24000,28.48
2016-06-02,28.459999,28.575001,28.40,28.50,22400,28.50
2016-06-01,28.379999,28.48,28.290001,28.40,71400,28.40
2016-05-31,28.440001,28.440001,28.233999,28.370001,57300,28.370001
2016-05-27,28.52,28.597,28.261,28.40,34600,28.40
2016-05-26,28.309999,28.73,28.24,28.440001,62400,28.440001
2016-05-25,28.24,28.32,28.07,28.24,68600,28.24
2016-05-24,27.98,28.17,27.98,28.15,61000,28.15
2016-05-23,28.09,28.15,28.00,28.049999,39300,28.049999
2016-05-20,28.18,28.18,27.882,28.00,52600,28.00
2016-05-19,28.08,28.08,27.83,28.030001,16600,28.030001
2016-05-18,28.190001,28.23,27.950001,28.00,36300,28.00
2016-05-17,28.110001,28.110001,27.799999,28.00,28400,28.00
2016-05-16,28.00,28.18,27.85,28.00,76000,28.00
2016-05-13,27.83,27.969999,27.83,27.92,18700,27.92
2016-05-12,27.940001,27.940001,27.719999,27.77,35000,27.77
2016-05-11,27.85,27.93,27.82,27.92,17000,27.92
2016-05-10,27.940001,27.950001,27.809999,27.82,40800,27.82
2016-05-09,27.940001,27.950001,27.860001,27.940001,36400,27.940001
2016-05-06,27.75,27.93,27.648001,27.90,22000,27.90
2016-05-05,27.74,27.74,27.58,27.700001,12000,27.700001
2016-05-04,27.74,27.74,27.60,27.639999,13600,27.639999
2016-05-03,27.559999,27.700001,27.559999,27.67,10100,27.67
2016-05-02,27.719999,27.75,27.559999,27.65,70400,27.65
2016-04-29,27.50,27.662001,27.49,27.662001,25300,27.662001
2016-04-28,27.75,27.77,27.49,27.59,30600,27.59
2016-04-27,27.74,27.790001,27.591999,27.75,21200,27.75
2016-04-26,27.780001,27.780001,27.469999,27.74,26900,27.74
2016-04-25,27.799999,27.799999,27.504999,27.610001,21600,27.610001
2016-04-22,27.77,27.826,27.67,27.790001,20500,27.790001
2016-04-21,27.790001,27.83,27.530001,27.67,26400,27.67
2016-04-20,27.76,27.809999,27.48,27.67,23600,27.67
2016-04-19,27.780001,27.84,27.48,27.68,17500,27.68
2016-04-18,27.459999,27.84,27.43,27.73,26000,27.73
2016-04-15,27.370001,27.797001,27.290001,27.43,96800,27.43
2016-04-14,27.870001,27.889999,27.50,27.65,117800,27.65
2016-04-13,27.90,27.90,27.73,27.84,41100,27.84
2016-04-12,27.83,27.83,27.58,27.73,31300,27.73
2016-04-11,27.559999,27.790001,27.559999,27.75,16200,27.75
2016-04-08,27.67,27.67,27.32,27.530001,19100,27.530001
2016-04-07,27.65,27.74,27.285,27.40,32000,27.40
2016-04-06,27.32,27.780001,27.26,27.74,22500,27.74
2016-04-05,27.57,27.57,27.32,27.450001,18900,27.450001
2016-04-04,27.799999,27.799999,27.299999,27.360001,18400,27.360001
2016-04-01,27.90,27.90,27.65,27.66,21500,27.66
2016-03-31,27.85,27.85,27.724001,27.83,58600,27.83
2016-03-30,27.73,27.780001,27.559999,27.709999,41600,27.709999
2016-03-29,27.700001,27.76,27.527,27.66,30700,27.66
2016-03-28,27.60,27.68,27.51,27.68,28200,27.68
2016-03-24,27.60,27.60,27.40,27.455,26300,27.455
2016-03-23,27.60,27.60,27.518999,27.559999,22900,27.559999
2016-03-22,27.620001,27.686001,27.469999,27.60,15200,27.60
2016-03-21,27.67,27.700001,27.440001,27.50,38300,27.50
2016-03-18,27.67,27.67,27.475,27.60,29800,27.60
2016-03-17,27.639999,27.67,27.455,27.629999,23300,27.629999
2016-03-16,27.40,27.559999,27.25,27.530001,41100,27.530001
2016-03-15,27.120001,27.445999,27.120001,27.42,13700,27.42
