Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,28.879999,28.937,28.726,28.879999,21900,28.879999
2016-06-09,29.040001,29.040001,28.51,28.879999,19800,28.879999
2016-06-08,29.16,30.040001,28.629999,29.00,63300,29.00
2016-06-07,28.68,29.27,28.68,28.93,47400,28.93
2016-06-06,29.02,29.02,28.66,28.700001,12800,28.700001
2016-06-03,28.780001,29.120001,28.65,29.08,25600,29.08
2016-06-02,28.799999,28.889999,28.59,28.809999,10900,28.809999
2016-06-01,28.639999,28.959999,28.329,28.82,68300,28.82
2016-05-31,28.620001,28.950001,28.360001,28.950001,24500,28.950001
2016-05-27,28.549999,28.98,28.16,28.48,39800,28.48
2016-05-26,28.40,28.719999,28.24,28.440001,25300,28.440001
2016-05-25,28.40,28.459999,28.125,28.440001,21200,28.440001
2016-05-24,28.389999,28.42,28.049999,28.280001,27200,28.280001
2016-05-23,28.16,28.459999,27.85,28.309999,42600,28.309999
2016-05-20,27.700001,28.16,27.700001,28.16,18200,28.16
2016-05-19,27.799999,28.110001,27.59,27.629999,60200,27.629999
2016-05-18,27.969999,28.219999,27.698999,27.82,38600,27.82
2016-05-17,28.049999,28.209999,27.940001,28.200001,19200,28.200001
2016-05-16,27.860001,28.42,27.860001,28.02,32000,28.02
2016-05-13,27.860001,28.040001,27.774,28.040001,13000,28.040001
2016-05-12,27.799999,28.280001,27.65,27.870001,39500,27.870001
2016-05-11,27.709999,27.799999,27.51,27.77,10600,27.77
2016-05-10,27.790001,27.790001,27.610001,27.684999,19500,27.684999
2016-05-09,27.75,27.799999,27.700001,27.709999,14900,27.709999
2016-05-06,27.59,27.785,27.59,27.75,16300,27.75
2016-05-05,27.60,27.73,27.57,27.610001,6900,27.610001
2016-05-04,27.540001,27.65,27.540001,27.610001,13900,27.610001
2016-05-03,27.549999,27.73,27.549999,27.65,14000,27.65
2016-05-02,27.700001,27.73,27.66,27.719999,18100,27.719999
2016-04-29,27.66,27.780001,27.639999,27.74,19200,27.74
2016-04-28,27.60,27.719999,27.60,27.709999,11400,27.709999
2016-04-27,27.530001,27.73,27.52,27.67,15600,27.67
2016-04-26,27.690001,27.700001,27.51,27.690001,19900,27.690001
2016-04-25,27.58,27.667,27.51,27.549999,16100,27.549999
2016-04-22,27.690001,27.75,27.594,27.690001,21700,27.690001
2016-04-21,27.719999,27.74,27.51,27.700001,22000,27.700001
2016-04-20,27.77,27.77,27.58,27.719999,13200,27.719999
2016-04-19,27.389999,27.780001,27.389999,27.780001,14800,27.780001
2016-04-18,27.27,27.690001,27.200001,27.51,19200,27.51
2016-04-15,27.700001,27.700001,27.27,27.27,69000,27.27
2016-04-14,27.68,27.799999,27.58,27.75,12600,27.75
2016-04-13,27.700001,27.75,27.40,27.75,23400,27.75
2016-04-12,27.540001,27.709999,27.40,27.629999,19600,27.629999
2016-04-11,27.49,27.719999,27.49,27.65,10800,27.65
2016-04-08,27.35,27.629999,27.17,27.49,18700,27.49
2016-04-07,27.370001,27.379999,27.139999,27.15,11900,27.15
2016-04-06,27.25,27.620001,27.25,27.459999,25000,27.459999
2016-04-05,27.209999,27.58,27.209999,27.52,11000,27.52
2016-04-04,27.59,27.59,27.23,27.290001,7100,27.290001
2016-04-01,27.59,27.785999,27.43,27.57,17700,27.57
2016-03-31,27.440001,27.77,27.15,27.690001,27000,27.690001
2016-03-30,27.50,27.549,27.09,27.09,20100,27.09
2016-03-29,27.27,27.48,26.93,27.48,17000,27.48
2016-03-28,27.35,27.450001,27.00,27.15,40000,27.15
2016-03-24,27.35,27.459999,27.290001,27.309999,10200,27.309999
2016-03-23,27.209999,27.370001,26.91,27.209999,17900,27.209999
2016-03-22,27.049999,27.41,27.030001,27.030001,32900,27.030001
2016-03-21,27.10,27.34,27.08,27.26,13300,27.26
2016-03-18,27.24,27.25,27.075001,27.17,23100,27.17
2016-03-17,27.15,27.200001,27.027,27.129999,19200,27.129999
2016-03-16,26.809999,27.15,26.712999,27.00,13400,27.00
2016-03-15,26.780001,27.01,26.67,27.00,5500,27.00
2016-03-14,27.15,27.25,27.15,27.25,30700,26.806
