Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,33.27,33.419998,33.02,33.419998,7900,33.419998
2016-06-09,33.18,33.34,33.00,33.200001,21400,33.200001
2016-06-08,32.990002,33.209999,32.779999,33.200001,15500,33.200001
2016-06-07,32.869999,32.959999,32.73,32.849998,13800,32.849998
2016-06-06,33.02,33.02,32.400002,32.720001,16700,32.720001
2016-06-03,32.25,33.310001,32.119999,32.84,16400,32.84
2016-06-02,32.25,32.25,32.169998,32.220001,5700,32.220001
2016-06-01,32.189999,32.200001,32.09,32.200001,5200,32.200001
2016-05-31,31.75,32.200001,31.75,32.200001,23200,32.200001
2016-05-27,32.139999,32.139999,31.99,31.99,8100,31.99
2016-05-26,31.85,32.150002,31.85,31.98,5800,31.98
2016-05-25,32.119999,32.240002,31.809999,31.85,12500,31.85
2016-05-24,32.200001,32.240002,32.009998,32.150002,18300,32.150002
2016-05-23,32.310001,32.32,32.029999,32.200001,16500,32.200001
2016-05-20,32.119999,32.259998,31.99,32.259998,2300,32.259998
2016-05-19,32.119999,32.290001,31.879999,31.950001,7200,31.950001
2016-05-18,31.91,32.200001,31.91,32.189999,7300,32.189999
2016-05-17,32.169998,32.290001,31.91,32.099998,11500,32.099998
2016-05-16,32.299999,32.299999,31.85,31.870001,8100,31.870001
2016-05-13,31.799999,32.18,31.799999,32.049999,15700,32.049999
2016-05-12,31.879999,32.130001,31.74,31.959999,9600,31.959999
2016-05-11,32.00,32.00,31.67,31.889999,9000,31.889999
2016-05-10,32.23,32.400002,31.74,31.82,20000,31.82
2016-05-09,32.130001,32.240002,31.870001,32.169998,12200,32.169998
2016-05-06,31.75,32.25,31.610001,32.029999,39300,32.029999
2016-05-05,31.59,31.889999,31.57,31.76,11600,31.76
2016-05-04,31.82,31.82,31.559999,31.58,6000,31.58
2016-05-03,31.67,31.84,31.51,31.84,5200,31.84
2016-05-02,31.790001,31.790001,31.530001,31.639999,5800,31.639999
2016-04-29,31.41,31.77,31.33,31.75,11300,31.75
2016-04-28,31.52,31.74,31.52,31.74,9800,31.74
2016-04-27,31.60,31.719999,31.540001,31.59,8400,31.59
2016-04-26,31.719999,31.719999,31.389999,31.59,9900,31.59
2016-04-25,31.57,31.74,31.299999,31.620001,6400,31.620001
2016-04-22,31.25,31.68,31.25,31.49,13100,31.49
2016-04-21,31.43,31.690001,31.33,31.67,15900,31.67
2016-04-20,31.23,31.49,31.16,31.41,10100,31.41
2016-04-19,31.01,31.459999,31.01,31.43,10800,31.43
2016-04-18,31.049999,31.50,30.950001,31.09,33300,31.09
2016-04-15,31.52,31.719999,30.940001,30.940001,55000,30.940001
2016-04-14,31.530001,31.790001,31.52,31.75,6500,31.75
2016-04-13,31.59,31.74,31.469999,31.65,9600,31.65
2016-04-12,31.450001,31.73,31.450001,31.709999,15700,31.709999
2016-04-11,31.76,31.959999,31.370001,31.60,23800,31.60
2016-04-08,31.690001,32.07,31.450001,31.85,12200,31.85
2016-04-07,31.76,32.009998,31.17,31.639999,29900,31.639999
2016-04-06,30.809999,31.76,30.809999,31.76,42300,31.76
2016-04-05,30.75,31.41,30.75,31.389999,16300,31.389999
2016-04-04,30.620001,31.110001,30.559999,31.110001,21700,31.110001
2016-04-01,30.950001,31.360001,30.620001,30.620001,21900,30.620001
2016-03-31,31.50,31.60,30.799999,30.90,25000,30.90
2016-03-30,31.209999,31.49,30.99,31.07,15400,31.07
2016-03-29,31.540001,31.59,31.190001,31.200001,15200,31.200001
2016-03-28,31.25,31.540001,31.049999,31.540001,16800,31.540001
2016-03-24,30.959999,31.290001,30.959999,30.969999,4500,30.969999
2016-03-23,31.27,31.290001,30.83,31.219999,16000,31.219999
2016-03-22,31.27,31.299999,31.10,31.290001,19000,31.290001
2016-03-21,31.200001,31.40,31.120001,31.27,12700,31.27
2016-03-18,31.40,31.40,31.110001,31.190001,12600,31.190001
2016-03-17,31.40,31.50,31.09,31.309999,10700,31.309999
2016-03-16,31.40,31.440001,31.10,31.389999,29700,31.389999
2016-03-15,31.58,31.700001,31.299999,31.629999,13300,31.629999
2016-03-14,31.620001,31.76,31.52,31.73,20000,31.229999
2016-03-11,31.559999,31.700001,31.26,31.620001,15900,31.121734
2016-03-10,31.450001,31.59,31.01,31.49,16100,30.993781
2016-03-09,31.49,31.49,31.42,31.469999,10000,30.974096
2016-03-08,31.18,31.459999,31.18,31.459999,4500,30.964253
2016-03-07,31.200001,31.469999,31.18,31.440001,14500,30.94457
2016-03-04,30.790001,31.49,30.790001,31.18,56900,30.688667
2016-03-03,30.77,30.959999,30.620001,30.940001,5800,30.452449
2016-03-02,30.77,30.879999,30.59,30.82,12900,30.334339
2016-03-01,30.559999,30.99,30.540001,30.93,17900,30.442606
2016-02-29,30.629999,30.73,30.32,30.450001,21900,29.97017
2016-02-26,30.57,30.879999,30.459999,30.459999,6600,29.980011
2016-02-25,30.65,30.719999,30.51,30.67,9000,30.186703
2016-02-24,30.75,30.860001,30.32,30.49,72800,30.009539
2016-02-23,30.700001,30.90,30.700001,30.76,10700,30.275285
2016-02-22,30.950001,30.950001,30.690001,30.73,19600,30.245757
2016-02-19,30.709999,30.940001,30.709999,30.92,8100,30.432763
2016-02-18,30.73,30.799999,30.51,30.790001,12000,30.304813
2016-02-17,30.66,30.799999,30.66,30.709999,11900,30.226072
2016-02-16,30.459999,30.799999,30.440001,30.77,8500,30.285127
2016-02-12,30.530001,30.799999,30.309999,30.360001,9200,29.881588
2016-02-11,30.40,30.700001,30.08,30.33,30600,29.85206
2016-02-10,30.66,30.860001,30.42,30.59,10200,30.107964
2016-02-09,30.40,30.83,30.40,30.469999,18600,29.989854
2016-02-08,30.92,30.92,30.280001,30.50,32300,30.019382
2016-02-05,31.00,31.00,30.67,30.67,7900,30.186703
2016-02-04,30.940001,30.950001,30.870001,30.879999,5200,30.393393
2016-02-03,31.00,31.00,30.790001,30.950001,8900,30.462291
2016-02-02,30.950001,31.00,30.690001,30.690001,17100,30.206388
2016-02-01,30.83,31.00,30.60,30.940001,36300,30.452449
2016-01-29,30.870001,30.959999,30.309999,30.690001,14900,30.206388
2016-01-28,30.48,30.870001,30.389999,30.870001,4500,30.383552
2016-01-27,30.450001,30.48,30.209999,30.48,7400,29.999696
2016-01-26,30.24,30.48,30.00,30.440001,9200,29.960328
2016-01-25,30.60,30.60,29.950001,30.139999,10400,29.665054
2016-01-22,30.040001,30.540001,30.030001,30.290001,16900,29.812692
2016-01-21,29.290001,30.60,29.23,30.129999,207200,29.655211
2016-01-20,29.92,29.98,28.60,29.84,368800,29.369782
2016-01-19,30.290001,30.290001,29.92,30.02,7600,29.546946
2016-01-15,30.01,30.15,29.92,30.15,17100,29.674897
2016-01-14,30.139999,30.16,30.00,30.08,28000,29.606
2016-01-13,30.18,30.290001,30.00,30.17,186600,29.694582
2016-01-12,30.450001,30.450001,30.02,30.26,19000,29.783164
2016-01-11,30.40,30.540001,30.16,30.290001,19200,29.812692
2016-01-08,30.60,30.82,30.530001,30.68,10800,30.196546
2016-01-07,30.719999,30.91,30.540001,30.73,4000,30.245757
2016-01-06,30.549999,30.91,30.549999,30.889999,7400,30.403235
2016-01-05,30.799999,30.870001,30.52,30.52,8400,30.039067
2016-01-04,30.43,30.91,30.40,30.719999,15000,30.235914
2015-12-31,30.92,30.959999,30.709999,30.950001,10700,30.462291
2015-12-30,30.450001,30.950001,30.450001,30.68,4600,30.196546
2015-12-29,30.76,31.110001,30.389999,30.50,6000,30.019382
2015-12-28,30.75,30.76,30.26,30.76,3500,30.275285
2015-12-24,30.48,30.74,30.35,30.74,4000,30.2556
2015-12-23,30.73,30.73,30.43,30.68,8700,30.196546
2015-12-22,30.23,30.74,30.209999,30.73,15700,30.245757
2015-12-21,30.73,30.76,30.219999,30.26,10300,29.783164
2015-12-18,30.16,30.50,30.16,30.450001,7600,29.97017
2015-12-17,30.16,30.799999,30.16,30.530001,8500,30.04891
2015-12-16,30.66,31.26,30.08,30.870001,22000,30.383552
2015-12-15,30.00,30.950001,30.00,30.719999,9300,30.235914
2015-12-14,31.120001,31.120001,29.719999,29.870001,29300,29.39931
2015-12-11,31.25,31.299999,31.040001,31.290001,2900,30.304814
2015-12-10,31.23,31.33,31.10,31.10,8500,30.120796
2015-12-09,31.290001,31.40,31.219999,31.34,8000,30.353239
2015-12-08,31.209999,31.40,31.209999,31.35,11900,30.362924
2015-12-07,31.25,31.34,31.129999,31.290001,8400,30.304814
2015-12-04,31.07,31.200001,31.040001,31.18,12500,30.198277
2015-12-03,31.040001,31.120001,30.969999,31.07,5100,30.09174
2015-12-02,31.040001,31.040001,31.00,31.040001,4400,30.062685
2015-12-01,31.02,31.040001,30.77,31.030001,8200,30.053
2015-11-30,30.99,31.00,30.75,30.75,9700,29.781815
2015-11-27,30.85,30.940001,30.85,30.940001,5100,29.965834
2015-11-25,30.709999,30.93,30.709999,30.93,10500,29.956148
2015-11-24,30.889999,30.90,30.790001,30.90,11000,29.927092
2015-11-23,30.75,30.889999,30.75,30.870001,8600,29.898038
2015-11-20,30.860001,30.90,30.75,30.85,4900,29.878667
2015-11-19,30.719999,30.889999,30.719999,30.780001,2700,29.810872
2015-11-18,30.879999,30.90,30.74,30.860001,10400,29.888353
2015-11-17,30.870001,30.870001,30.77,30.780001,3000,29.810872
2015-11-16,30.879999,30.90,30.75,30.879999,5600,29.907721
2015-11-13,30.92,30.92,30.700001,30.709999,9600,29.743074
2015-11-12,30.799999,30.93,30.690001,30.93,7100,29.956148
2015-11-11,30.879999,30.93,30.610001,30.90,9400,29.927092
2015-11-10,30.700001,30.91,30.60,30.889999,10600,29.917407
2015-11-09,30.049999,30.700001,30.049999,30.65,16200,29.684964
2015-11-06,30.25,30.709999,30.129999,30.26,7700,29.307244
2015-11-05,30.82,30.870001,30.35,30.860001,12200,29.888353
2015-11-04,30.60,30.879999,30.450001,30.879999,7500,29.907721
2015-11-03,30.60,30.60,30.360001,30.530001,10100,29.568743
2015-11-02,30.50,30.57,30.40,30.51,9700,29.549372
2015-10-30,30.219999,30.459999,30.120001,30.280001,7900,29.326614
2015-10-29,30.17,30.26,30.040001,30.25,3600,29.297558
2015-10-28,30.09,30.17,30.01,30.07,7000,29.123225
2015-10-27,30.049999,30.10,29.92,30.00,8200,29.05543
2015-10-26,30.200001,30.23,30.00,30.129999,8000,29.181336
2015-10-23,30.15,30.299999,30.040001,30.15,10200,29.200706
2015-10-22,30.200001,30.200001,30.08,30.110001,9900,29.161967
2015-10-21,30.25,30.25,30.02,30.040001,5400,29.094171
2015-10-20,30.200001,30.290001,30.049999,30.15,5500,29.200706
2015-10-19,30.09,30.280001,30.02,30.280001,4000,29.326614
2015-10-16,29.85,30.17,29.85,30.17,16000,29.220077
2015-10-15,29.889999,30.059999,29.85,29.860001,5400,28.919838
2015-10-14,29.92,29.92,29.809999,29.85,5800,28.910153
2015-10-13,30.01,30.01,29.799999,29.90,4900,28.958578
2015-10-12,30.030001,30.030001,29.85,29.90,15700,28.958578
2015-10-09,30.02,30.02,29.85,29.950001,16800,29.007005
2015-10-08,29.92,29.99,29.91,29.969999,12300,29.026374
2015-10-07,29.870001,30.120001,29.870001,30.00,20200,29.05543
2015-10-06,29.940001,30.139999,29.93,29.950001,6500,29.007005
2015-10-05,29.98,30.09,29.879999,30.00,21100,29.05543
2015-10-02,29.85,30.049999,29.82,30.00,16600,29.05543
2015-10-01,30.08,30.08,29.84,29.860001,6600,28.919838
2015-09-30,30.700001,30.700001,29.879999,29.879999,15300,28.939207
2015-09-29,29.91,30.08,29.91,29.92,10000,28.977949
2015-09-28,30.16,30.17,30.030001,30.07,6000,29.123225
2015-09-25,30.32,30.32,29.98,30.24,7100,29.287873
2015-09-24,30.07,30.15,29.93,30.15,8400,29.200706
2015-09-23,29.959999,29.99,29.83,29.99,13100,29.045744
2015-09-22,30.10,30.110001,29.959999,29.959999,4000,29.016688
2015-09-21,30.15,30.549999,29.959999,29.98,6500,29.036059
2015-09-18,29.959999,30.60,29.959999,29.99,25000,29.045744
2015-09-17,30.10,30.10,29.889999,30.059999,6800,29.11354
2015-09-16,30.00,30.059999,29.85,29.85,5400,28.910153
2015-09-15,29.84,30.02,29.84,30.00,5700,29.05543
2015-09-14,30.15,30.15,29.85,30.00,21100,29.05543
2015-09-11,30.290001,30.43,30.200001,30.309999,24100,28.87141
2015-09-10,30.299999,30.440001,30.17,30.33,6700,28.890462
