Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,7.15,7.15,7.03,7.03,174200,7.03
2016-06-09,7.14,7.21,7.10,7.18,169000,7.18
2016-06-08,7.23,7.24,7.13,7.17,215600,7.17
2016-06-07,7.20,7.27,7.18,7.24,274100,7.17
2016-06-06,7.14,7.21,7.12,7.21,98400,7.14029
2016-06-03,7.09,7.15,7.05,7.14,141000,7.070967
2016-06-02,7.05,7.12,7.03,7.12,127300,7.05116
2016-06-01,7.02,7.08,6.99,7.07,78200,7.001644
2016-05-31,7.08,7.11,7.02,7.05,192800,6.981837
2016-05-27,7.07,7.10,7.06,7.07,69600,7.001644
2016-05-26,7.08,7.11,7.03,7.08,177600,7.011547
2016-05-25,7.03,7.11,7.01,7.08,202400,7.011547
2016-05-24,6.92,7.02,6.92,7.02,144900,6.952127
2016-05-23,6.93,6.95,6.90,6.92,167100,6.853094
2016-05-20,6.93,6.98,6.93,6.94,151300,6.8729
2016-05-19,6.94,6.94,6.85,6.90,179600,6.833287
2016-05-18,6.96,7.00,6.91,6.96,159700,6.892707
2016-05-17,6.98,7.01,6.94,6.98,195500,6.912514
2016-05-16,6.94,7.00,6.90,7.00,230900,6.93232
2016-05-13,6.92,6.97,6.89,6.90,171800,6.833287
2016-05-12,7.03,7.05,6.93,6.94,184900,6.8729
2016-05-11,7.02,7.03,6.97,6.99,184700,6.922417
2016-05-10,6.93,7.05,6.91,7.04,251800,6.971934
2016-05-09,6.96,6.96,6.89,6.92,198700,6.853094
2016-05-06,7.02,7.02,6.98,7.01,196600,6.872901
2016-05-05,7.03,7.05,7.00,7.05,160800,6.912118
2016-05-04,7.07,7.07,7.00,7.03,153800,6.892509
2016-05-03,7.14,7.14,7.03,7.09,184800,6.951336
2016-05-02,7.10,7.20,7.08,7.15,203800,7.010162
2016-04-29,7.11,7.13,7.05,7.13,164800,6.990554
2016-04-28,7.15,7.20,7.12,7.13,107900,6.990554
2016-04-27,7.15,7.20,7.12,7.19,154000,7.04938
