Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,10.39,10.42,10.30,10.34,185100,10.34
2016-06-09,10.47,10.51,10.41,10.46,234400,10.46
2016-06-08,10.45,10.51,10.43,10.50,293500,10.50
2016-06-07,10.41,10.50,10.40,10.48,238200,10.38
2016-06-06,10.39,10.45,10.35,10.42,200500,10.320573
2016-06-03,10.27,10.43,10.27,10.39,211400,10.290859
2016-06-02,10.33,10.36,10.31,10.31,211400,10.211623
2016-06-01,10.35,10.43,10.29,10.36,252600,10.261145
2016-05-31,10.30,10.36,10.30,10.35,129800,10.251241
2016-05-27,10.32,10.33,10.23,10.31,161200,10.211623
2016-05-26,10.27,10.33,10.24,10.29,158200,10.191813
2016-05-25,10.20,10.27,10.20,10.23,236400,10.132385
2016-05-24,10.15,10.22,10.13,10.20,247000,10.102672
2016-05-23,10.08,10.16,10.08,10.12,175100,10.023435
2016-05-20,10.12,10.17,10.10,10.10,188500,10.003626
2016-05-19,10.18,10.20,10.10,10.14,141900,10.043245
2016-05-18,10.20,10.27,10.11,10.21,176700,10.112576
2016-05-17,10.18,10.28,10.18,10.21,225900,10.112576
2016-05-16,10.19,10.28,10.17,10.20,224100,10.102672
2016-05-13,10.20,10.20,10.08,10.16,237100,10.063053
2016-05-12,10.16,10.18,10.11,10.18,136300,10.082863
2016-05-11,10.13,10.18,10.10,10.11,115400,10.01353
2016-05-10,10.15,10.18,10.10,10.16,170200,10.063053
2016-05-09,10.09,10.18,10.08,10.14,173800,10.043245
2016-05-06,10.22,10.25,10.20,10.21,164900,10.013531
2016-05-05,10.20,10.29,10.18,10.25,177100,10.052761
2016-05-04,10.26,10.27,10.20,10.20,261900,10.003723
2016-05-03,10.32,10.34,10.27,10.28,211500,10.082184
2016-05-02,10.33,10.38,10.29,10.33,227600,10.131222
2016-04-29,10.39,10.41,10.26,10.28,255000,10.082184
2016-04-28,10.42,10.50,10.36,10.38,305200,10.18026
2016-04-27,10.58,10.58,10.43,10.46,255900,10.25872
2016-04-26,10.48,10.54,10.41,10.54,199400,10.337181
2016-04-25,10.41,10.48,10.41,10.45,127600,10.248912
2016-04-22,10.39,10.46,10.37,10.46,128300,10.25872
2016-04-21,10.37,10.44,10.34,10.38,205500,10.18026
2016-04-20,10.25,10.38,10.25,10.34,204400,10.141029
2016-04-19,10.23,10.31,10.23,10.27,279500,10.072377
2016-04-18,10.27,10.34,10.21,10.26,596400,10.062569
2016-04-15,10.49,10.53,10.35,10.36,371500,10.160644
2016-04-14,10.39,10.47,10.34,10.46,164200,10.25872
2016-04-13,10.29,10.40,10.26,10.37,201500,10.170452
2016-04-12,10.22,10.30,10.17,10.29,137300,10.091991
2016-04-11,10.16,10.23,10.12,10.20,185400,10.003723
2016-04-08,10.12,10.19,10.10,10.15,115300,9.954685
2016-04-07,10.21,10.29,10.15,10.20,214600,9.905647
2016-04-06,10.15,10.32,10.15,10.29,165600,9.99305
2016-04-05,10.28,10.30,10.15,10.17,170600,9.876513
2016-04-04,10.38,10.38,10.28,10.32,117700,10.022184
2016-04-01,10.33,10.40,10.30,10.34,128300,10.041607
2016-03-31,10.32,10.43,10.31,10.39,125200,10.090164
