Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,38.16,38.48,37.389999,37.700001,11600,37.700001
2016-06-09,38.279999,38.779999,37.57,38.610001,23800,38.610001
2016-06-08,38.610001,38.889999,38.610001,38.66,10300,38.66
2016-06-07,39.689999,39.689999,38.389999,38.77,39700,38.77
2016-06-06,39.540001,39.700001,39.259998,39.509998,14000,39.509998
2016-06-03,38.830002,39.709999,38.830002,39.509998,13500,39.509998
2016-06-02,39.189999,39.52,39.189999,39.34,11800,39.34
2016-06-01,39.279999,39.669998,36.93,39.52,18700,39.52
2016-05-31,39.439999,39.580002,39.139999,39.23,15700,39.23
2016-05-27,39.48,40.16,39.459999,39.880001,18200,39.880001
2016-05-26,39.619999,39.900002,39.43,39.50,22600,39.50
2016-05-25,39.369999,39.880001,39.240002,39.59,25600,39.59
2016-05-24,38.740002,39.380001,38.740002,39.110001,46300,39.110001
2016-05-23,38.77,38.77,38.23,38.310001,13800,38.310001
2016-05-20,38.349998,39.07,37.880001,38.639999,21800,38.639999
2016-05-19,37.970001,38.16,37.080002,37.970001,21700,37.970001
2016-05-18,38.34,38.580002,37.880001,38.200001,24900,38.200001
2016-05-17,39.060001,39.060001,38.07,38.650002,29400,38.650002
2016-05-16,38.740002,39.630001,37.049999,39.259998,34700,39.259998
2016-05-13,39.150002,39.150002,38.41,38.740002,42900,38.740002
2016-05-12,39.650002,39.919998,38.82,39.549999,55900,39.549999
2016-05-11,39.529999,39.669998,38.950001,39.34,38500,39.34
2016-05-10,39.639999,39.900002,39.259998,39.630001,19800,39.630001
2016-05-09,40.029999,40.029999,39.380001,39.48,36400,39.48
2016-05-06,39.43,40.27,39.080002,39.84,44700,39.84
2016-05-05,39.830002,39.830002,39.18,39.630001,92800,39.630001
2016-05-04,40.189999,40.189999,38.950001,39.360001,67400,39.360001
2016-05-03,41.110001,41.110001,39.75,40.32,42900,40.32
2016-05-02,41.34,42.990002,40.759998,41.299999,58300,41.299999
2016-04-29,41.66,41.900002,41.349998,41.419998,78200,41.419998
2016-04-28,41.349998,42.490002,41.349998,41.580002,128600,41.580002
2016-04-27,39.849998,41.900002,39.369999,41.459999,98300,41.459999
2016-04-26,36.23,40.630001,36.23,39.700001,64200,39.700001
2016-04-25,37.959999,38.139999,36.82,37.23,71700,37.23
2016-04-22,37.73,38.34,37.709999,37.900002,256600,37.900002
2016-04-21,38.380001,38.439999,37.52,37.91,79400,37.91
2016-04-20,38.580002,38.709999,38.23,38.540001,101900,38.540001
2016-04-19,39.009998,39.220001,38.599998,38.709999,81100,38.709999
2016-04-18,38.959999,39.439999,38.759998,38.900002,76800,38.900002
2016-04-15,38.380001,39.18,38.380001,39.009998,130600,39.009998
2016-04-14,38.860001,39.68,38.009998,38.509998,89100,38.509998
2016-04-13,38.029999,39.080002,36.869999,38.849998,122200,38.849998
2016-04-12,37.82,38.119999,37.700001,37.880001,47300,37.880001
2016-04-11,37.540001,38.220001,37.419998,37.779999,84600,37.779999
2016-04-08,37.360001,37.689999,36.82,37.43,119100,37.43
2016-04-07,36.939999,37.189999,36.650002,37.099998,51300,37.099998
2016-04-06,36.939999,37.27,36.470001,37.07,178800,37.07
2016-04-05,36.450001,37.349998,36.029999,37.00,97600,37.00
2016-04-04,37.200001,37.200001,36.310001,36.689999,35600,36.689999
2016-04-01,37.73,37.759998,37.00,37.040001,109300,37.040001
2016-03-31,36.759998,38.139999,36.669998,37.860001,64400,37.860001
2016-03-30,36.189999,37.209999,35.950001,36.709999,57200,36.709999
2016-03-29,35.18,36.169998,35.18,35.959999,96600,35.959999
2016-03-28,35.43,35.439999,34.880001,35.25,61000,35.25
2016-03-24,35.040001,35.650002,34.459999,35.259998,46000,35.259998
2016-03-23,34.84,35.50,34.709999,35.220001,47100,35.220001
2016-03-22,34.580002,35.540001,34.34,35.02,65300,35.02
2016-03-21,34.48,34.98,34.439999,34.889999,12800,34.889999
2016-03-18,34.57,35.110001,34.48,34.68,22000,34.68
2016-03-17,34.369999,34.939999,34.049999,34.639999,22600,34.639999
2016-03-16,34.509998,34.599998,33.599998,34.169998,29200,34.169998
2016-03-15,36.07,36.130001,34.09,34.240002,50700,34.240002
2016-03-14,36.240002,36.349998,36.00,36.259998,35600,36.259998
2016-03-11,35.91,36.400002,35.700001,36.150002,46100,36.150002
2016-03-10,35.490002,35.790001,35.110001,35.68,43200,35.68
2016-03-09,36.099998,36.200001,35.02,35.560001,32900,35.560001
2016-03-08,36.490002,36.689999,36.18,36.259998,60300,36.259998
2016-03-07,35.810001,36.610001,35.810001,36.580002,55700,36.580002
2016-03-04,36.299999,36.740002,35.700001,36.009998,45400,36.009998
2016-03-03,35.560001,36.43,35.560001,36.360001,49900,36.360001
