Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,70.370003,70.730003,70.00,70.470001,524500,70.470001
2016-06-09,70.190002,70.809998,69.949997,70.739998,601300,70.739998
2016-06-08,69.739998,70.150002,69.459999,70.150002,554900,70.150002
2016-06-07,69.379997,69.629997,69.330002,69.57,579100,69.57
2016-06-06,69.489998,69.809998,69.129997,69.389999,363300,69.389999
2016-06-03,69.260002,69.639999,68.559998,69.489998,516200,69.489998
2016-06-02,69.25,69.629997,69.029999,69.620003,450800,69.620003
2016-06-01,68.949997,69.459999,68.660004,69.360001,442900,69.360001
2016-05-31,69.510002,69.730003,68.540001,69.099998,972100,69.099998
2016-05-27,68.699997,69.279999,68.550003,69.279999,529300,69.279999
2016-05-26,68.720001,68.889999,68.389999,68.639999,422900,68.639999
2016-05-25,69.019997,69.150002,68.50,68.699997,489500,68.699997
2016-05-24,67.980003,68.949997,67.970001,68.910004,640300,68.910004
2016-05-23,68.120003,68.169998,67.419998,67.720001,518600,67.720001
2016-05-20,67.93,68.309998,67.139999,68.160004,562200,68.160004
2016-05-19,67.419998,67.739998,67.120003,67.650002,373800,67.650002
2016-05-18,66.68,67.940002,66.32,67.760002,980500,67.760002
2016-05-17,67.68,67.980003,66.559998,66.709999,599300,66.709999
2016-05-16,67.699997,68.190002,67.610001,67.93,462900,67.93
2016-05-13,68.199997,68.269997,67.50,67.690002,383600,67.690002
2016-05-12,67.480003,68.129997,67.339996,68.129997,659400,68.129997
2016-05-11,67.919998,68.050003,67.18,67.239998,420000,67.239998
2016-05-10,67.510002,68.040001,67.470001,67.93,539500,67.93
2016-05-09,66.690002,67.389999,66.519997,67.260002,515400,67.260002
2016-05-06,66.449997,66.769997,65.620003,66.769997,382100,66.769997
2016-05-05,66.25,66.769997,66.25,66.650002,426000,66.650002
2016-05-04,66.010002,66.629997,65.629997,66.110001,509900,66.110001
2016-05-03,65.980003,66.540001,65.889999,66.470001,431300,66.470001
2016-05-02,65.82,66.68,65.800003,66.519997,485500,66.519997
2016-04-29,65.989998,66.230003,65.519997,66.010002,674700,66.010002
2016-04-28,65.760002,66.980003,65.760002,66.110001,599300,66.110001
2016-04-27,66.00,66.589996,65.419998,66.290001,1275500,66.290001
2016-04-26,64.660004,64.980003,64.440002,64.50,843500,64.50
2016-04-25,64.470001,64.690002,63.869999,64.559998,383100,64.559998
2016-04-22,64.110001,64.75,64.110001,64.589996,498200,64.589996
2016-04-21,65.330002,65.720001,63.959999,64.010002,616900,64.010002
2016-04-20,65.989998,66.07,65.370003,65.650002,334000,65.650002
2016-04-19,66.00,66.139999,65.839996,66.019997,381500,66.019997
2016-04-18,65.809998,65.959999,65.449997,65.949997,412500,65.949997
2016-04-15,65.709999,66.010002,65.599998,65.879997,532900,65.879997
2016-04-14,66.00,66.089996,65.550003,65.800003,362800,65.800003
2016-04-13,65.839996,66.089996,65.300003,66.07,593700,66.07
2016-04-12,64.889999,65.739998,64.82,65.660004,519100,65.660004
2016-04-11,64.910004,65.309998,64.660004,64.760002,405200,64.760002
2016-04-08,64.699997,65.040001,64.419998,64.650002,405500,64.650002
2016-04-07,64.93,65.010002,64.099998,64.309998,784400,64.309998
2016-04-06,64.529999,65.290001,64.519997,65.239998,573300,65.239998
2016-04-05,65.010002,65.32,64.550003,64.639999,431400,64.639999
2016-04-04,66.010002,66.010002,65.139999,65.470001,412300,65.470001
2016-04-01,65.279999,66.019997,65.160004,65.959999,888100,65.959999
2016-03-31,65.870003,65.989998,65.269997,65.360001,942000,65.360001
2016-03-30,65.919998,65.970001,65.639999,65.870003,682200,65.870003
2016-03-29,65.199997,65.779999,65.160004,65.760002,497100,65.760002
2016-03-28,64.949997,65.330002,64.800003,65.230003,443300,65.230003
2016-03-24,64.970001,65.110001,64.650002,64.739998,575600,64.739998
2016-03-23,65.18,65.279999,64.879997,65.089996,496300,65.089996
2016-03-22,65.050003,65.419998,64.900002,65.150002,446500,65.150002
2016-03-21,64.989998,65.519997,64.519997,65.220001,688000,65.220001
2016-03-18,65.839996,65.860001,65.330002,65.779999,2942100,65.30
2016-03-17,65.349998,65.949997,65.120003,65.800003,884600,65.319858
2016-03-16,65.059998,65.519997,64.870003,65.330002,605700,64.853286
2016-03-15,64.860001,65.300003,64.669998,65.110001,650200,64.63489
2016-03-14,65.889999,65.910004,64.910004,65.18,613800,64.704379
2016-03-11,64.620003,65.900002,64.169998,65.900002,785800,65.419127
2016-03-10,64.300003,64.410004,63.630001,64.110001,1667600,63.642187
2016-03-09,64.269997,64.339996,63.57,63.990002,587200,63.523064
2016-03-08,64.00,64.32,63.75,64.029999,918100,63.562769
2016-03-07,64.220001,64.589996,63.889999,64.199997,490400,63.731527
2016-03-04,64.379997,64.580002,63.950001,64.519997,606800,64.049192
2016-03-03,64.089996,64.519997,63.799999,64.50,566100,64.029341
2016-03-02,64.07,64.269997,63.75,64.260002,1122700,63.791094
2016-03-01,63.610001,64.099998,63.34,64.07,1086100,63.602478
2016-02-29,63.650002,63.650002,62.799999,63.139999,1122200,62.679264
2016-02-26,64.139999,64.220001,63.43,63.57,741600,63.106127
2016-02-25,63.27,63.860001,62.959999,63.75,1060800,63.284814
2016-02-24,62.43,63.07,61.959999,62.919998,886800,62.460868
2016-02-23,62.810001,63.119999,62.630001,62.740002,1037100,62.282185
2016-02-22,63.169998,63.48,62.84,63.080002,690700,62.619705
2016-02-19,62.380001,62.75,62.130001,62.57,768500,62.113424
2016-02-18,62.48,62.540001,62.040001,62.48,651100,62.024081
