Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,12.10,12.10,12.00,12.05,4100,12.05
2016-06-09,12.05,12.12,12.05,12.10,2000,12.10
2016-06-08,12.02,12.05,12.00,12.04,5100,12.04
2016-06-07,11.91,12.04,11.91,12.02,4400,12.02
2016-06-06,11.86,11.99,11.86,11.91,3300,11.91
2016-06-03,11.99,11.99,11.71,11.85,11600,11.85
2016-06-02,11.91,12.09,11.91,12.03,7400,12.03
2016-06-01,11.70,11.98,11.70,11.92,12000,11.92
2016-05-31,11.50,11.71,11.50,11.62,4000,11.62
2016-05-27,11.99,11.99,11.62,11.62,2400,11.62
2016-05-26,11.92,11.92,11.90,11.90,600,11.90
2016-05-25,11.80,11.90,11.80,11.89,1500,11.89
2016-05-24,11.52,11.75,11.45,11.72,6400,11.72
2016-05-23,11.73,11.73,11.54,11.55,1900,11.55
2016-05-20,11.60,11.97,11.60,11.60,1400,11.60
2016-05-19,11.55,11.55,11.55,11.55,200,11.55
2016-05-18,11.34,11.59,11.34,11.58,5100,11.58
2016-05-17,11.59,11.59,11.37,11.37,7100,11.37
2016-05-16,11.38,11.54,11.38,11.54,3800,11.54
2016-05-13,11.41,11.51,11.40,11.44,3400,11.44
2016-05-12,11.54,11.54,11.40,11.40,800,11.40
2016-05-11,11.53,11.59,11.53,11.59,500,11.59
2016-05-10,11.35,11.69,11.34,11.68,8600,11.68
2016-05-09,11.44,11.82,11.34,11.35,13000,11.35
2016-05-06,11.56,11.56,11.10,11.35,14100,11.35
2016-05-05,11.89,11.89,11.53,11.55,12700,11.55
2016-05-04,11.70,12.17,11.59,12.17,11300,12.17
2016-05-03,11.53,11.69,11.51,11.69,2400,11.69
2016-05-02,11.61,11.72,11.48,11.48,8800,11.48
2016-04-29,11.61,11.61,11.54,11.54,400,11.54
2016-04-28,11.65,11.65,11.30,11.46,2000,11.46
2016-04-27,11.49,11.66,11.30,11.65,19900,11.65
2016-04-26,11.18,11.50,11.11,11.50,30400,11.50
2016-04-25,11.18,11.18,11.00,11.18,11000,11.18
2016-04-22,10.88,11.18,10.60,10.90,45500,10.90
2016-04-21,10.50,10.88,10.50,10.84,3500,10.84
2016-04-20,10.58,10.58,10.58,10.58,000,10.58
2016-04-19,10.59,10.63,10.58,10.58,2000,10.58
2016-04-18,10.53,10.77,10.51,10.52,4000,10.52
2016-04-15,10.50,10.88,10.50,10.80,4700,10.80
2016-04-14,10.75,10.86,10.75,10.86,2100,10.81
2016-04-13,10.64,10.64,10.64,10.64,600,10.591013
2016-04-12,10.52,10.70,10.50,10.70,1300,10.650737
2016-04-11,10.66,10.82,10.50,10.70,7400,10.650737
2016-04-08,10.66,10.66,10.66,10.66,000,10.610921
2016-04-07,10.70,10.80,10.60,10.66,2400,10.610921
2016-04-06,10.63,10.75,10.63,10.70,3400,10.650737
2016-04-05,10.52,10.72,10.50,10.60,3700,10.551198
