Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,20.299999,20.49,19.75,20.040001,226400,20.040001
2016-06-09,22.74,22.74,19.77,20.299999,354600,20.299999
2016-06-08,22.82,22.870001,22.370001,22.440001,155200,22.440001
2016-06-07,23.110001,23.18,22.59,22.75,93900,22.75
2016-06-06,23.15,23.299999,23.030001,23.18,101500,23.18
2016-06-03,23.24,23.969999,22.92,23.24,85000,23.24
2016-06-02,23.280001,23.42,22.82,23.25,92600,23.25
2016-06-01,23.219999,23.280001,22.700001,23.27,82700,23.27
2016-05-31,23.459999,23.459999,22.889999,23.040001,66000,23.040001
2016-05-27,23.299999,23.540001,23.15,23.290001,44500,23.290001
2016-05-26,23.190001,23.450001,23.030001,23.309999,45800,23.309999
2016-05-25,23.60,23.60,23.15,23.190001,37800,23.190001
2016-05-24,22.91,23.540001,22.82,23.469999,47700,23.469999
2016-05-23,23.00,23.76,22.799999,22.799999,49100,22.799999
2016-05-20,22.719999,23.18,22.719999,22.91,47200,22.91
2016-05-19,22.700001,22.950001,22.559999,22.610001,75500,22.610001
2016-05-18,22.33,23.440001,22.33,22.77,34000,22.77
2016-05-17,22.629999,23.389999,22.110001,22.370001,84400,22.370001
2016-05-16,22.549999,22.90,22.15,22.610001,56500,22.610001
2016-05-13,22.690001,22.719999,22.379999,22.459999,32900,22.459999
2016-05-12,22.83,23.120001,22.50,22.68,75300,22.68
2016-05-11,22.84,23.15,22.73,22.799999,68100,22.799999
2016-05-10,22.66,23.00,22.49,22.85,68300,22.85
2016-05-09,22.77,23.01,22.50,22.540001,113200,22.540001
2016-05-06,23.02,23.57,22.610001,22.799999,156800,22.799999
2016-05-05,23.969999,24.73,22.969999,22.99,65400,22.99
2016-05-04,23.90,24.93,23.780001,23.799999,81600,23.799999
2016-05-03,23.91,24.35,23.77,23.940001,45600,23.940001
2016-05-02,24.35,24.43,23.92,24.129999,60300,24.129999
2016-04-29,24.299999,24.610001,23.85,24.200001,43800,24.200001
2016-04-28,24.48,24.83,24.32,24.379999,43900,24.379999
2016-04-27,24.200001,24.690001,24.030001,24.639999,91200,24.639999
2016-04-26,22.98,24.280001,22.969999,24.219999,89800,24.219999
2016-04-25,23.120001,23.370001,22.709999,22.879999,68100,22.879999
2016-04-22,22.66,23.25,22.66,23.120001,78200,23.120001
2016-04-21,22.43,22.690001,22.43,22.60,46200,22.60
2016-04-20,22.559999,22.67,22.32,22.459999,52300,22.459999
2016-04-19,22.60,22.809999,22.49,22.51,40800,22.51
2016-04-18,22.51,22.540001,22.219999,22.459999,61600,22.459999
2016-04-15,22.790001,22.98,22.530001,22.709999,131000,22.409999
2016-04-14,22.950001,22.950001,22.76,22.92,54000,22.617226
2016-04-13,22.879999,23.10,22.76,22.879999,83300,22.577753
2016-04-12,22.959999,23.040001,22.700001,22.709999,80800,22.409999
2016-04-11,22.58,23.16,22.379999,22.889999,70600,22.587621
2016-04-08,22.309999,22.780001,22.040001,22.48,83900,22.183037
2016-04-07,22.67,22.67,21.950001,22.030001,296400,21.738983
2016-04-06,22.66,22.85,22.299999,22.799999,83400,22.49881
2016-04-05,22.65,23.02,22.530001,22.58,62000,22.281717
2016-04-04,23.41,23.41,22.85,22.879999,83000,22.577753
2016-04-01,23.16,23.59,22.93,23.50,64700,23.189564
2016-03-31,23.58,23.700001,22.50,23.370001,95300,23.061282
2016-03-30,23.57,23.90,23.139999,23.620001,66700,23.307979
2016-03-29,22.73,23.700001,22.549999,23.41,95000,23.100752
2016-03-28,23.030001,23.10,22.58,22.809999,66000,22.508678
2016-03-24,22.870001,23.02,22.60,23.02,56100,22.715905
2016-03-23,23.76,23.76,22.940001,22.940001,85500,22.636962
2016-03-22,24.290001,24.77,23.440001,23.73,72700,23.416525
2016-03-21,24.870001,24.950001,24.469999,24.50,63900,24.176354
2016-03-18,24.219999,25.09,24.01,25.01,177900,24.679617
2016-03-17,23.549999,24.280001,23.549999,24.00,161500,23.682959
2016-03-16,23.77,23.77,22.969999,23.57,92000,23.258639
2016-03-15,23.129999,23.98,23.09,23.889999,128200,23.574411
2016-03-14,23.08,23.26,22.700001,23.209999,87600,22.903394
2016-03-11,21.25,23.27,21.00,23.16,123100,22.854055
2016-03-10,21.65,21.870001,21.049999,21.540001,56500,21.255456
2016-03-09,21.540001,21.950001,21.35,21.50,58500,21.215984
2016-03-08,21.85,22.26,21.50,21.530001,121100,21.245588
2016-03-07,21.540001,22.10,21.43,22.01,127500,21.719247
2016-03-04,21.65,21.870001,21.27,21.58,50700,21.294927
2016-03-03,21.32,21.74,21.32,21.58,81700,21.294927
2016-03-02,21.110001,21.59,20.93,21.389999,99500,21.107436
2016-03-01,20.67,21.389999,20.66,21.200001,76100,20.919948
2016-02-29,20.50,20.799999,20.360001,20.549999,125900,20.278533
2016-02-26,20.370001,20.59,20.290001,20.49,75800,20.219326
2016-02-25,20.25,20.34,20.040001,20.219999,78300,19.952892
2016-02-24,19.799999,20.290001,19.799999,20.23,74000,19.96276
2016-02-23,19.57,20.49,19.209999,19.860001,113300,19.597649
2016-02-22,20.08,20.530001,19.459999,19.559999,60700,19.301611
2016-02-19,19.389999,20.08,19.32,20.00,84400,19.735799
2016-02-18,19.719999,19.889999,19.10,19.43,60900,19.173329
2016-02-17,20.43,20.77,19.49,19.59,199000,19.331215
2016-02-16,19.450001,20.42,19.049999,20.24,103400,19.972628
2016-02-12,18.93,19.299999,18.700001,19.18,75900,18.926631
2016-02-11,18.209999,18.799999,18.209999,18.780001,61000,18.531916
2016-02-10,18.49,18.799999,18.459999,18.58,84300,18.334557
2016-02-09,18.209999,18.65,18.01,18.440001,51500,18.196407
2016-02-08,18.139999,18.549999,18.139999,18.48,67800,18.235878
2016-02-05,18.610001,18.85,18.18,18.209999,77600,17.969444
2016-02-04,18.58,19.15,18.549999,18.620001,44500,18.37403
2016-02-03,18.610001,18.76,18.110001,18.639999,99000,18.393764
2016-02-02,18.92,19.01,18.42,18.51,62700,18.265482
2016-02-01,19.34,19.48,18.92,19.07,65500,18.818084
2016-01-29,18.889999,19.549999,18.889999,19.52,109500,19.26214
2016-01-28,18.709999,18.870001,18.49,18.74,61300,18.492443
2016-01-27,18.700001,18.92,18.51,18.59,52700,18.344425
2016-01-26,18.32,18.92,18.190001,18.73,70400,18.482575
2016-01-25,18.73,18.73,18.24,18.25,65600,18.008916
2016-01-22,18.60,19.190001,18.459999,18.73,161800,18.482575
2016-01-21,18.34,19.16,18.200001,18.35,130300,18.107596
2016-01-20,18.01,18.48,17.27,18.24,112800,17.999048
2016-01-19,18.690001,18.969999,18.17,18.24,101000,17.999048
2016-01-15,18.76,18.969999,18.030001,18.620001,126500,18.37403
2016-01-14,19.190001,19.75,19.02,19.24,103000,18.985838
2016-01-13,18.59,19.48,18.59,19.120001,111400,18.867425
