Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.81,16.00,15.75,15.85,34100,15.85
2016-06-09,15.92,16.01,15.76,15.96,36400,15.96
2016-06-08,15.98,16.15,15.88,15.99,104000,15.99
2016-06-07,15.99,16.030001,15.95,15.98,75400,15.98
2016-06-06,16.00,16.18,15.82,15.95,140700,15.95
2016-06-03,16.440001,16.440001,15.94,15.99,42500,15.99
2016-06-02,16.16,16.50,16.09,16.48,64200,16.48
2016-06-01,15.69,16.129999,15.63,16.00,36700,16.00
2016-05-31,16.32,16.32,15.76,15.84,51900,15.84
2016-05-27,16.27,16.379999,16.049999,16.26,31300,16.26
2016-05-26,16.389999,16.459999,16.17,16.25,34500,16.25
2016-05-25,16.280001,16.459999,16.23,16.370001,31600,16.370001
2016-05-24,15.93,16.459999,15.93,16.309999,53400,16.309999
2016-05-23,15.87,15.97,15.74,15.82,29300,15.82
2016-05-20,15.80,16.059999,15.71,15.85,41700,15.85
2016-05-19,16.33,16.35,15.66,15.69,31100,15.69
2016-05-18,15.38,16.49,15.38,16.459999,137600,16.459999
2016-05-17,16.00,16.09,15.30,15.48,116200,15.48
2016-05-16,16.07,16.07,15.92,15.98,71900,15.98
2016-05-13,16.32,16.459999,15.97,16.01,78900,16.01
2016-05-12,16.34,16.610001,16.09,16.34,65100,16.34
2016-05-11,16.66,16.700001,16.389999,16.389999,24400,16.389999
2016-05-10,16.68,16.799999,16.549999,16.68,31700,16.68
2016-05-09,16.60,16.860001,16.57,16.59,37800,16.59
2016-05-06,16.530001,16.58,16.33,16.51,49400,16.51
2016-05-05,16.75,16.969999,16.50,16.530001,39900,16.530001
2016-05-04,16.90,17.00,16.209999,16.59,73600,16.59
2016-05-03,17.219999,17.219999,16.860001,16.940001,57800,16.940001
2016-05-02,17.290001,17.50,17.219999,17.299999,101000,17.299999
2016-04-29,16.92,17.209999,16.889999,17.209999,149800,17.209999
2016-04-28,17.01,17.190001,16.85,16.92,87400,16.92
2016-04-27,17.18,17.27,17.01,17.07,64900,17.07
2016-04-26,16.860001,17.200001,16.200001,17.190001,65300,17.190001
2016-04-25,16.790001,16.790001,16.370001,16.75,53300,16.75
2016-04-22,16.76,16.90,16.67,16.879999,31800,16.879999
2016-04-21,16.51,16.780001,16.299999,16.700001,81300,16.700001
2016-04-20,16.700001,16.75,16.549999,16.559999,31300,16.559999
2016-04-19,16.25,16.75,16.23,16.65,95000,16.65
2016-04-18,16.629999,16.75,16.51,16.629999,24600,16.629999
2016-04-15,16.58,16.75,16.450001,16.530001,35000,16.530001
2016-04-14,16.59,16.85,16.35,16.620001,81500,16.620001
2016-04-13,15.66,16.709999,15.66,16.65,80600,16.575
2016-04-12,15.37,15.62,15.27,15.59,72000,15.519775
2016-04-11,15.54,15.59,15.32,15.40,60300,15.33063
2016-04-08,15.69,15.77,15.40,15.51,220300,15.440135
2016-04-07,15.60,15.77,15.42,15.54,108700,15.47
2016-04-06,15.71,15.77,15.58,15.71,247000,15.639234
2016-04-05,15.75,15.80,15.60,15.63,132700,15.559595
2016-04-04,16.49,16.49,15.93,15.98,38000,15.908018
2016-04-01,16.25,16.49,15.95,16.42,25300,16.346036
2016-03-31,16.450001,16.450001,16.24,16.35,40300,16.276352
2016-03-30,16.379999,16.68,16.360001,16.459999,37900,16.385855
2016-03-29,15.81,16.43,15.68,16.379999,58600,16.306215
2016-03-28,15.88,16.110001,15.61,15.71,41300,15.639234
2016-03-24,15.55,15.81,15.48,15.79,30900,15.718874
2016-03-23,15.67,15.77,15.54,15.60,154700,15.52973
2016-03-22,15.93,15.93,15.63,15.72,45700,15.649189
2016-03-21,16.129999,16.34,15.96,16.040001,47200,15.967749
2016-03-18,16.200001,16.290001,15.62,16.190001,157000,16.117073
2016-03-17,15.55,16.209999,15.40,16.049999,54600,15.977702
2016-03-16,15.60,15.82,15.53,15.61,62200,15.539684
2016-03-15,16.27,16.27,15.55,15.61,47900,15.539684
2016-03-14,16.26,16.530001,16.26,16.370001,63400,16.296262
2016-03-11,15.89,16.299999,15.84,16.290001,38900,16.216623
2016-03-10,15.62,15.86,15.54,15.79,45900,15.718874
2016-03-09,15.80,15.94,15.53,15.58,36700,15.50982
2016-03-08,16.09,16.18,15.76,15.78,51700,15.708919
2016-03-07,16.030001,16.309999,16.01,16.219999,42000,16.146936
2016-03-04,15.73,16.25,15.73,15.98,109400,15.908018
2016-03-03,15.73,15.94,15.71,15.78,45100,15.708919
2016-03-02,15.86,15.96,15.62,15.73,43300,15.659144
2016-03-01,15.46,15.92,15.32,15.91,65600,15.838333
2016-02-29,15.62,15.81,15.40,15.42,64100,15.350541
2016-02-26,15.54,15.76,15.30,15.64,58200,15.56955
2016-02-25,15.32,15.51,15.24,15.40,24200,15.33063
2016-02-24,15.01,15.29,14.86,15.28,41700,15.211171
2016-02-23,15.35,15.51,15.15,15.17,58100,15.101667
2016-02-22,15.49,15.55,15.28,15.33,44800,15.260946
2016-02-19,15.32,15.58,15.29,15.36,67800,15.290811
2016-02-18,15.38,15.53,15.13,15.33,56000,15.260946
2016-02-17,15.95,15.95,15.28,15.37,79200,15.300766
2016-02-16,15.81,15.96,15.67,15.86,41500,15.788558
2016-02-12,15.42,15.73,15.30,15.66,93100,15.589459
2016-02-11,15.27,15.34,14.99,15.27,110500,15.201217
2016-02-10,15.68,15.90,15.48,15.51,50300,15.440135
2016-02-09,15.47,15.78,15.31,15.61,66900,15.539684
2016-02-08,15.70,15.88,15.18,15.63,172200,15.559595
2016-02-05,16.23,16.25,15.82,15.82,116600,15.748738
2016-02-04,16.440001,16.610001,16.23,16.27,74200,16.196712
2016-02-03,16.620001,16.66,16.370001,16.469999,336400,16.39581
2016-02-02,16.540001,16.65,16.440001,16.549999,94000,16.47545
2016-02-01,16.60,16.82,16.40,16.639999,104700,16.565044
