Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,24.67,24.959999,24.559999,24.92,153100,24.92
2016-06-09,24.969999,25.040001,24.469999,24.92,177300,24.92
2016-06-08,25.00,25.17,24.610001,25.07,168900,25.07
2016-06-07,24.58,24.969999,24.57,24.940001,158900,24.940001
2016-06-06,24.50,24.639999,24.24,24.549999,148700,24.549999
2016-06-03,24.440001,24.709999,24.290001,24.459999,130600,24.459999
2016-06-02,24.129999,24.52,23.860001,24.40,196800,24.40
2016-06-01,24.58,24.65,23.85,24.24,292000,24.24
2016-05-31,24.540001,24.719999,24.27,24.58,372400,24.58
2016-05-27,24.629999,24.65,24.09,24.58,224400,24.58
2016-05-26,24.49,24.76,24.09,24.549999,100900,24.549999
2016-05-25,24.65,24.65,24.24,24.48,118100,24.48
2016-05-24,24.389999,24.700001,24.200001,24.690001,202200,24.690001
2016-05-23,24.52,24.52,24.17,24.190001,196400,24.190001
2016-05-20,24.35,24.48,24.17,24.459999,201000,24.459999
2016-05-19,24.52,24.59,23.91,24.23,220500,24.23
2016-05-18,24.809999,25.23,24.41,24.559999,297000,24.559999
2016-05-17,25.67,25.67,24.68,24.82,316300,24.82
2016-05-16,25.76,26.00,25.57,25.709999,192500,25.709999
2016-05-13,26.040001,26.219999,25.75,25.799999,253700,25.799999
2016-05-12,25.879999,26.110001,25.68,25.98,264500,25.98
2016-05-11,25.700001,26.02,25.52,25.700001,354000,25.700001
2016-05-10,25.08,25.639999,25.049999,25.629999,188700,25.629999
2016-05-09,25.00,25.10,24.52,24.959999,234400,24.959999
2016-05-06,24.780001,24.969999,24.42,24.950001,349300,24.950001
2016-05-05,24.35,24.85,23.65,24.60,569200,24.60
2016-05-04,23.75,24.02,23.610001,23.85,300500,23.85
2016-05-03,24.200001,24.200001,23.450001,23.75,235100,23.75
2016-05-02,23.870001,24.50,23.65,24.43,298100,24.43
2016-04-29,23.82,23.98,23.51,23.639999,147400,23.639999
2016-04-28,23.879999,24.07,23.719999,23.790001,142300,23.790001
2016-04-27,23.860001,24.059999,23.559999,23.870001,128700,23.870001
2016-04-26,23.700001,23.879999,23.32,23.790001,201800,23.790001
2016-04-25,23.709999,23.74,23.42,23.540001,160400,23.540001
2016-04-22,23.50,23.809999,23.41,23.709999,207900,23.709999
2016-04-21,24.10,24.16,23.43,23.530001,197400,23.530001
2016-04-20,24.299999,24.389999,24.059999,24.10,122100,24.10
2016-04-19,24.27,24.440001,24.129999,24.26,119300,24.26
2016-04-18,24.120001,24.209999,23.879999,24.18,139400,24.18
2016-04-15,23.629999,24.120001,23.60,24.110001,172300,24.110001
2016-04-14,23.93,23.969999,23.620001,23.76,167100,23.76
2016-04-13,24.200001,24.48,23.74,23.90,244500,23.90
2016-04-12,24.309999,24.52,24.07,24.40,315200,24.012999
2016-04-11,24.040001,24.280001,23.92,24.219999,352400,23.835854
2016-04-08,24.280001,24.40,24.030001,24.23,199000,23.845695
2016-04-07,24.190001,24.40,23.91,24.129999,209100,23.747281
2016-04-06,24.540001,24.68,24.120001,24.42,130500,24.032682
2016-04-05,24.76,24.969999,24.129999,24.440001,331600,24.052366
2016-04-04,25.34,25.700001,24.73,25.09,370600,24.692056
2016-04-01,25.469999,26.09,24.99,25.92,266000,25.508891
2016-03-31,25.559999,25.90,25.43,25.76,549100,25.351429
2016-03-30,25.68,25.91,25.200001,25.66,230700,25.253015
2016-03-29,24.389999,25.51,24.299999,25.469999,301100,25.066028
2016-03-28,23.99,24.50,23.91,24.299999,246500,23.914585
2016-03-24,23.51,23.83,23.299999,23.83,150700,23.45204
