Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,12.06,12.31,11.95,12.26,31900,12.26
2016-06-09,12.12,12.26,11.88,12.25,58600,12.25
2016-06-08,12.10,12.28,12.05,12.20,40300,12.20
2016-06-07,12.14,12.29,12.10,12.11,26600,12.11
2016-06-06,12.09,12.25,11.99,12.20,57400,12.20
2016-06-03,12.10,12.25,12.00,12.12,43600,12.12
2016-06-02,11.88,12.13,11.82,12.12,98500,12.12
2016-06-01,11.74,12.00,11.64,11.96,101300,11.96
2016-05-31,11.93,12.00,11.76,11.80,74900,11.80
2016-05-27,11.84,11.95,11.82,11.94,47500,11.94
2016-05-26,11.94,11.98,11.68,11.80,28300,11.80
2016-05-25,11.99,12.03,11.77,11.84,56400,11.84
2016-05-24,11.50,12.05,11.50,12.03,61500,12.03
2016-05-23,11.32,11.48,11.29,11.47,55800,11.47
2016-05-20,11.05,11.39,11.05,11.34,69000,11.34
2016-05-19,10.97,11.04,10.81,10.97,29700,10.97
2016-05-18,10.97,11.23,10.97,11.09,26100,11.09
2016-05-17,11.33,11.46,10.91,11.00,126800,11.00
2016-05-16,11.30,11.50,11.26,11.40,45100,11.40
2016-05-13,11.28,11.31,11.25,11.25,65000,11.25
2016-05-12,11.27,11.46,11.24,11.31,101600,11.31
2016-05-11,11.28,11.31,11.23,11.25,53300,11.25
2016-05-10,11.27,11.47,11.25,11.33,32800,11.33
2016-05-09,11.29,11.35,11.25,11.26,50100,11.26
2016-05-06,11.25,11.39,11.25,11.36,78100,11.36
2016-05-05,11.25,11.52,11.24,11.25,42300,11.25
2016-05-04,11.24,11.31,11.22,11.23,58200,11.23
2016-05-03,11.58,11.63,11.26,11.30,42100,11.30
2016-05-02,11.61,11.97,11.51,11.71,104800,11.71
2016-04-29,11.36,11.62,11.30,11.56,68700,11.56
2016-04-28,11.61,11.63,11.27,11.39,92200,11.39
2016-04-27,11.53,11.72,11.48,11.69,38300,11.69
2016-04-26,11.25,11.57,11.21,11.54,84000,11.54
2016-04-25,11.48,11.59,11.12,11.18,75800,11.18
2016-04-22,11.28,11.70,11.28,11.55,87200,11.55
2016-04-21,11.22,11.45,11.20,11.31,74100,11.31
2016-04-20,11.37,11.46,11.21,11.25,58400,11.25
2016-04-19,10.90,11.39,10.90,11.38,48800,11.38
2016-04-18,11.12,11.14,10.79,10.86,78400,10.86
2016-04-15,11.20,11.33,11.10,11.10,45300,11.10
2016-04-14,11.30,11.35,11.14,11.27,58500,11.27
2016-04-13,11.15,11.50,11.04,11.40,92800,11.40
2016-04-12,11.28,11.45,11.03,11.15,71300,11.15
2016-04-11,11.53,11.74,11.28,11.28,53400,11.28
2016-04-08,11.33,11.51,11.32,11.49,51700,11.49
2016-04-07,11.27,11.36,11.16,11.22,256700,11.22
2016-04-06,11.44,11.48,11.04,11.45,52400,11.45
2016-04-05,11.50,11.69,11.27,11.38,71800,11.38
2016-04-04,12.00,12.00,11.63,11.64,55600,11.64
2016-04-01,11.77,12.12,11.77,12.02,38700,12.02
2016-03-31,12.07,12.24,11.87,11.88,69700,11.88
2016-03-30,12.20,12.60,11.97,12.11,98000,12.11
2016-03-29,11.52,12.20,11.48,12.17,95000,12.17
2016-03-28,11.56,11.64,11.37,11.59,53400,11.59
2016-03-24,11.61,11.61,11.31,11.50,57100,11.50
2016-03-23,12.14,12.16,11.61,11.64,43800,11.64
2016-03-22,12.11,12.25,11.95,12.18,62500,12.18
2016-03-21,11.95,12.17,11.95,12.13,80500,12.13
2016-03-18,11.74,12.04,11.73,12.01,212000,12.01
2016-03-17,11.35,11.67,11.31,11.62,78300,11.62
2016-03-16,11.29,11.46,11.20,11.41,57600,11.41
2016-03-15,11.60,11.60,11.24,11.33,69600,11.33
2016-03-14,11.48,11.74,11.30,11.61,77000,11.61
2016-03-11,11.37,11.51,11.26,11.48,92100,11.48
