Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,3.10,3.14,3.01,3.04,932600,3.04
2016-06-09,3.01,3.11,3.00,3.10,1145800,3.10
2016-06-08,3.04,3.15,3.00,3.02,719800,3.02
2016-06-07,3.10,3.12,3.01,3.04,484000,3.04
2016-06-06,2.98,3.12,2.97,3.08,910400,3.08
2016-06-03,3.16,3.17,2.97,2.99,843400,2.99
2016-06-02,3.02,3.15,3.00,3.14,660100,3.14
2016-06-01,2.98,3.05,2.95,3.02,682100,3.02
2016-05-31,2.78,3.06,2.77,2.94,1728800,2.94
2016-05-27,2.60,2.79,2.60,2.78,913900,2.78
2016-05-26,2.64,2.69,2.60,2.60,549200,2.60
2016-05-25,2.57,2.65,2.55,2.64,658500,2.64
2016-05-24,2.60,2.62,2.55,2.56,447100,2.56
2016-05-23,2.62,2.63,2.56,2.58,491700,2.58
2016-05-20,2.64,2.67,2.58,2.63,531900,2.63
2016-05-19,2.66,2.67,2.55,2.63,892400,2.63
2016-05-18,2.60,2.63,2.53,2.56,1000400,2.56
2016-05-17,2.64,2.73,2.61,2.61,601100,2.61
2016-05-16,2.58,2.68,2.58,2.62,428400,2.62
2016-05-13,2.61,2.63,2.56,2.58,359100,2.58
2016-05-12,2.69,2.71,2.58,2.61,638500,2.61
2016-05-11,2.65,2.74,2.60,2.65,606500,2.65
2016-05-10,2.64,2.72,2.58,2.66,939100,2.66
2016-05-09,2.59,2.63,2.54,2.60,951200,2.60
2016-05-06,2.60,2.65,2.53,2.59,788300,2.59
2016-05-05,2.68,2.75,2.58,2.59,534500,2.59
2016-05-04,2.56,2.69,2.54,2.65,1415800,2.65
2016-05-03,2.74,2.75,2.61,2.63,1263400,2.555
2016-05-02,2.84,2.84,2.67,2.73,1010700,2.652148
2016-04-29,2.68,2.84,2.68,2.80,1733100,2.720152
2016-04-28,2.69,2.76,2.58,2.73,1859200,2.652148
2016-04-27,2.71,2.85,2.65,2.69,3204200,2.613289
2016-04-26,2.49,3.08,2.41,2.74,10857400,2.661863
2016-04-25,3.87,3.90,3.70,3.83,1466000,3.720779
2016-04-22,3.86,3.96,3.71,3.76,1275500,3.652776
2016-04-21,3.83,3.88,3.70,3.77,1580000,3.66249
2016-04-20,3.50,3.79,3.41,3.58,1191800,3.477909
2016-04-19,3.49,3.54,3.36,3.44,1008600,3.341901
2016-04-18,3.40,3.64,3.34,3.46,1017300,3.361331
2016-04-15,3.61,3.61,3.45,3.45,728100,3.351616
2016-04-14,3.66,3.68,3.53,3.59,669100,3.487623
2016-04-13,3.56,3.70,3.49,3.60,884700,3.497338
2016-04-12,3.43,3.52,3.33,3.52,1055300,3.41962
2016-04-11,3.29,3.58,3.28,3.41,965900,3.312757
2016-04-08,3.26,3.38,3.23,3.26,913000,3.167034
2016-04-07,3.30,3.34,3.21,3.25,499300,3.157319
2016-04-06,3.21,3.35,3.18,3.29,688600,3.196179
2016-04-05,3.22,3.25,3.15,3.18,423000,3.089316
2016-04-04,3.28,3.37,3.20,3.23,664600,3.13789
2016-04-01,3.19,3.30,3.06,3.23,825800,3.13789
2016-03-31,3.14,3.19,3.08,3.16,968700,3.069886
2016-03-30,3.00,3.19,3.00,3.12,620700,3.031026
2016-03-29,2.93,3.02,2.89,2.99,976300,2.904734
2016-03-28,3.09,3.13,2.89,2.91,994800,2.827015
2016-03-24,2.96,3.09,2.81,3.06,782800,2.972738
2016-03-23,3.15,3.17,2.96,2.99,868100,2.904734
2016-03-22,3.00,3.16,2.92,3.14,894400,3.050456
2016-03-21,2.99,3.06,2.90,3.00,1508000,2.914449
2016-03-18,2.89,3.12,2.85,2.97,4925000,2.885304
2016-03-17,2.66,2.91,2.61,2.81,1576900,2.729867
2016-03-16,2.58,2.67,2.55,2.64,1266600,2.564715
2016-03-15,2.52,2.67,2.50,2.52,1856300,2.448137
2016-03-14,2.95,2.96,2.51,2.51,4160600,2.438422
2016-03-11,3.05,3.19,2.91,2.94,2159100,2.85616
2016-03-10,3.17,3.24,2.90,3.02,1954800,2.933878
2016-03-09,3.17,3.22,3.10,3.17,1269500,3.079601
2016-03-08,3.22,3.24,3.09,3.09,1325200,3.001882
2016-03-07,3.22,3.34,3.11,3.13,2268200,3.040742
