Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,13.89,14.00,13.74,13.78,72900,13.78
2016-06-09,13.86,14.00,13.85,14.00,42700,14.00
2016-06-08,13.86,13.87,13.81,13.87,22300,13.87
2016-06-07,13.76,13.92,13.71,13.86,41400,13.86
2016-06-06,13.69,13.78,13.57,13.78,60700,13.78
2016-06-03,13.66,13.78,13.62,13.71,28400,13.71
2016-06-02,13.61,13.86,13.61,13.70,75300,13.70
2016-06-01,13.49,13.74,13.48,13.66,22900,13.66
2016-05-31,13.62,13.62,13.41,13.44,57000,13.44
2016-05-27,13.49,13.65,13.36,13.61,58100,13.61
2016-05-26,13.67,13.75,13.45,13.47,49000,13.47
2016-05-25,13.80,13.80,13.65,13.72,34000,13.72
2016-05-24,13.90,13.90,13.597,13.75,54200,13.75
2016-05-23,13.38,13.86,13.38,13.83,158500,13.83
2016-05-20,13.35,13.54,13.33,13.39,107000,13.39
2016-05-19,13.15,13.34,12.97,13.24,72700,13.24
2016-05-18,13.34,13.41,13.25,13.41,100300,13.253
2016-05-17,13.34,13.44,13.21,13.26,64400,13.104757
2016-05-16,13.20,13.41,13.01,13.35,57500,13.193703
2016-05-13,13.01,13.26,12.968,13.10,102400,12.94663
2016-05-12,13.42,13.49,12.96,13.02,91900,12.867567
2016-05-11,13.31,13.50,13.12,13.33,128200,13.173937
2016-05-10,13.62,13.62,13.31,13.58,47700,13.42101
2016-05-09,13.53,13.59,13.35,13.40,48700,13.243117
2016-05-06,13.53,13.58,13.42,13.45,44100,13.292532
2016-05-05,13.42,13.58,13.399,13.48,42300,13.32218
2016-05-04,13.48,13.55,13.43,13.48,34200,13.32218
2016-05-03,13.38,13.62,13.38,13.48,57700,13.32218
2016-05-02,13.47,13.60,13.31,13.46,59500,13.302415
2016-04-29,13.40,13.61,13.319,13.53,71200,13.371595
2016-04-28,13.79,13.81,13.28,13.38,69400,13.223352
2016-04-27,13.53,13.65,13.53,13.65,36300,13.49019
2016-04-26,13.39,13.67,13.39,13.59,26300,13.430893
2016-04-25,13.78,13.78,13.301,13.42,119500,13.262883
2016-04-22,13.80,13.82,13.69,13.78,56900,13.618668
2016-04-21,13.93,13.94,13.70,13.72,69900,13.559371
2016-04-20,13.72,13.94,13.61,13.86,55400,13.697731
