Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,2.61,2.67,2.50,2.60,23600,2.60
2016-06-09,2.70,2.70,2.57,2.60,41100,2.60
2016-06-08,2.65,2.76,2.50,2.70,16500,2.70
2016-06-07,2.76,2.82,2.60,2.65,23600,2.65
2016-06-06,2.66,2.84,2.66,2.77,12400,2.77
2016-06-03,2.77,3.23,2.72,2.73,8700,2.73
2016-06-02,2.64,2.92,2.64,2.75,25100,2.75
2016-06-01,2.69,2.69,2.63,2.69,3700,2.69
2016-05-31,2.60,2.73,2.51,2.59,36100,2.59
2016-05-27,2.56,2.71,2.54,2.64,18000,2.64
2016-05-26,2.65,2.70,2.51,2.57,12500,2.57
2016-05-25,2.53,2.85,2.47,2.62,87600,2.62
2016-05-24,2.64,2.64,2.45,2.56,25000,2.56
2016-05-23,2.65,2.66,2.56,2.62,25400,2.62
2016-05-20,2.67,2.77,2.57,2.66,5500,2.66
2016-05-19,2.52,2.82,2.52,2.67,14500,2.67
2016-05-18,2.85,2.88,2.62,2.80,51000,2.80
2016-05-17,2.56,3.19,2.56,2.83,139800,2.83
2016-05-16,2.61,2.66,2.51,2.61,28300,2.61
2016-05-13,2.81,2.81,2.55,2.64,38200,2.64
2016-05-12,2.80,2.86,2.76,2.79,22600,2.79
2016-05-11,2.67,2.95,2.67,2.78,32500,2.78
2016-05-10,3.16,3.18,2.26,2.65,129300,2.65
2016-05-09,3.00,3.21,2.98,3.01,14700,3.01
2016-05-06,3.40,3.59,2.86,3.00,62100,3.00
2016-05-05,3.58,3.73,3.24,3.60,67400,3.60
2016-05-04,3.33,3.75,3.10,3.73,92700,3.73
2016-05-03,3.30,3.39,3.27,3.36,21200,3.36
2016-05-02,3.35,3.43,3.32,3.32,14100,3.32
2016-04-29,3.42,3.49,3.33,3.40,13000,3.40
2016-04-28,3.31,3.41,3.30,3.40,6200,3.40
2016-04-27,3.42,3.44,3.30,3.37,10500,3.37
2016-04-26,3.38,3.47,3.17,3.40,5800,3.40
2016-04-25,3.22,3.39,3.22,3.33,16700,3.33
2016-04-22,3.30,3.41,3.25,3.25,16900,3.25
2016-04-21,3.33,3.39,3.21,3.39,15200,3.39
2016-04-20,3.33,3.40,3.31,3.40,8600,3.40
2016-04-19,3.39,3.39,3.28,3.38,5600,3.38
2016-04-18,3.25,3.41,3.25,3.31,4900,3.31
2016-04-15,3.34,3.45,3.19,3.27,12200,3.27
2016-04-14,3.44,3.55,3.25,3.34,45800,3.34
2016-04-13,3.41,3.47,3.27,3.47,28300,3.47
2016-04-12,3.37,3.41,3.34,3.41,6300,3.41
2016-04-11,3.32,3.41,3.29,3.40,7900,3.40
2016-04-08,3.27,3.35,3.26,3.35,9700,3.35
2016-04-07,3.28,3.32,3.16,3.29,12600,3.29
2016-04-06,3.15,3.36,3.05,3.26,38100,3.26
2016-04-05,3.65,3.65,3.11,3.15,74500,3.15
2016-04-04,3.50,3.64,3.37,3.43,29300,3.43
2016-04-01,3.56,3.68,3.40,3.53,22600,3.53
2016-03-31,3.57,3.69,3.50,3.56,21200,3.56
2016-03-30,3.82,3.82,3.58,3.60,19900,3.60
