Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.60,15.95,15.60,15.76,113000,15.76
2016-06-09,15.79,15.89,15.49,15.80,111800,15.80
2016-06-08,15.72,15.91,15.56,15.86,140500,15.86
2016-06-07,15.87,15.92,15.71,15.73,73200,15.73
2016-06-06,15.68,16.00,15.67,15.87,84500,15.87
2016-06-03,15.67,15.79,15.41,15.76,156900,15.76
2016-06-02,15.67,15.82,15.54,15.82,169200,15.82
2016-06-01,15.77,15.77,15.60,15.68,255000,15.68
2016-05-31,15.87,15.94,15.72,15.82,170600,15.82
2016-05-27,15.77,15.86,15.66,15.80,291000,15.80
2016-05-26,15.92,15.98,15.74,15.76,199400,15.76
2016-05-25,16.01,16.15,15.92,15.97,165200,15.97
2016-05-24,15.69,16.15,15.69,15.99,302900,15.99
2016-05-23,15.64,15.72,15.58,15.67,107100,15.67
2016-05-20,15.61,15.79,15.53,15.58,200500,15.58
2016-05-19,15.61,15.88,15.46,15.52,116000,15.52
2016-05-18,15.12,15.79,15.12,15.71,163500,15.71
2016-05-17,15.46,15.79,15.04,15.13,215500,15.13
2016-05-16,15.21,16.120001,15.19,15.53,240300,15.53
2016-05-13,15.42,15.55,15.14,15.19,98900,15.19
2016-05-12,15.60,15.73,15.28,15.44,88600,15.44
2016-05-11,15.64,15.75,15.54,15.56,71800,15.56
2016-05-10,15.67,15.87,15.61,15.63,145500,15.63
2016-05-09,15.53,15.78,15.53,15.64,283900,15.64
2016-05-06,15.57,15.73,15.47,15.53,150100,15.53
2016-05-05,15.83,15.89,15.60,15.61,157400,15.61
2016-05-04,15.90,16.110001,15.76,15.82,195800,15.82
2016-05-03,16.389999,16.389999,15.99,15.99,259900,15.99
2016-05-02,16.26,16.50,16.209999,16.469999,110000,16.469999
2016-04-29,16.18,16.35,15.93,16.290001,128900,16.290001
2016-04-28,16.08,16.32,16.08,16.290001,189600,16.290001
2016-04-27,15.91,16.59,15.50,16.200001,278200,16.200001
2016-04-26,15.15,16.209999,14.50,15.98,225000,15.98
2016-04-25,15.98,16.200001,15.62,16.01,78800,16.01
2016-04-22,16.01,16.209999,16.01,16.10,77000,16.10
2016-04-21,16.030001,16.16,15.98,16.02,108600,16.02
2016-04-20,16.16,16.200001,15.71,16.07,202400,16.07
2016-04-19,16.040001,16.24,15.91,16.129999,189200,16.129999
2016-04-18,15.51,16.059999,15.51,16.059999,214200,16.059999
2016-04-15,15.41,15.79,15.41,15.63,179900,15.63
2016-04-14,15.33,15.66,15.33,15.47,93800,15.47
2016-04-13,15.06,15.40,14.96,15.35,130400,15.35
2016-04-12,14.92,15.14,14.86,14.99,89100,14.99
2016-04-11,14.70,15.05,14.64,14.91,143900,14.91
2016-04-08,14.72,14.98,14.57,14.74,108300,14.74
2016-04-07,14.67,14.72,14.49,14.58,136400,14.58
2016-04-06,14.66,14.80,14.51,14.74,94400,14.74
2016-04-05,14.73,14.89,14.62,14.62,134400,14.62
2016-04-04,14.94,15.14,14.77,14.89,105600,14.89
2016-04-01,14.82,15.06,14.71,15.00,92800,15.00
2016-03-31,14.96,15.10,14.82,14.89,100100,14.89
2016-03-30,15.07,15.07,14.89,14.99,122900,14.99
2016-03-29,14.69,15.49,14.15,14.98,129800,14.98
2016-03-28,14.92,15.33,14.67,14.76,79800,14.76
2016-03-24,14.73,15.21,14.56,14.88,107900,14.88
2016-03-23,14.88,15.45,14.67,14.79,239600,14.79
2016-03-22,15.03,15.16,14.86,14.97,100200,14.97
2016-03-21,15.08,15.23,14.82,15.17,93400,15.17
2016-03-18,15.08,15.21,14.88,15.06,699300,15.06
2016-03-17,14.82,15.01,14.58,14.98,125300,14.98
2016-03-16,14.88,15.07,14.70,14.85,171100,14.85
2016-03-15,14.98,15.45,14.85,14.97,146000,14.97
2016-03-14,15.05,15.17,14.88,15.11,174100,15.11
2016-03-11,14.92,15.19,14.82,15.05,167500,15.05
2016-03-10,14.83,14.99,14.70,14.85,85800,14.810001
2016-03-09,14.81,14.96,14.54,14.79,125400,14.750162
2016-03-08,14.80,14.92,14.69,14.75,123500,14.710269
2016-03-07,14.75,14.94,14.60,14.89,119300,14.849893
2016-03-04,14.65,14.86,14.45,14.76,137400,14.720243
2016-03-03,14.44,14.65,14.17,14.61,132500,14.570646
2016-03-02,14.43,14.53,14.32,14.46,102800,14.421051
2016-03-01,14.07,14.55,14.02,14.43,183700,14.391132
2016-02-29,14.35,14.54,13.99,14.00,249600,13.96229
2016-02-26,14.34,14.61,14.25,14.33,207300,14.291401
2016-02-25,13.98,14.27,13.96,14.26,221700,14.22159
2016-02-24,13.80,14.13,13.54,13.97,173200,13.932371
2016-02-23,14.19,14.53,13.04,13.97,226600,13.932371
2016-02-22,14.39,14.48,13.70,14.25,264700,14.211616
2016-02-19,14.13,14.54,14.13,14.29,202400,14.251509
2016-02-18,14.32,14.35,14.05,14.17,128000,14.131832
2016-02-17,14.45,14.61,14.22,14.30,178800,14.261482
2016-02-16,14.55,14.63,14.29,14.37,302000,14.331293
2016-02-12,14.07,14.53,14.07,14.43,259500,14.391132
2016-02-11,13.99,13.99,13.57,13.81,178700,13.772802
2016-02-10,14.24,14.58,14.18,14.19,158200,14.151777
2016-02-09,14.02,15.00,14.00,14.18,237300,14.141805
2016-02-08,13.64,14.27,13.56,14.21,309700,14.171724
2016-02-05,13.69,13.90,13.41,13.50,244300,13.463636
2016-02-04,13.61,13.99,13.50,13.65,138000,13.613232
2016-02-03,13.83,15.00,13.58,13.66,200800,13.623205
2016-02-02,13.99,14.07,13.70,13.76,123600,13.722936
2016-02-01,14.12,14.28,13.97,14.14,206800,14.101913
2016-01-29,14.16,14.52,13.96,14.19,224400,14.151777
2016-01-28,13.96,14.22,13.91,14.12,186700,14.081966
2016-01-27,13.51,13.98,13.32,13.80,329500,13.762829
2016-01-26,13.02,13.31,12.57,13.30,142000,13.264175
2016-01-25,13.34,13.39,12.97,12.98,156200,12.945037
2016-01-22,13.69,13.82,13.32,13.39,263500,13.353933
2016-01-21,14.19,14.19,13.46,13.54,229400,13.503529
2016-01-20,13.61,14.20,13.61,14.06,235900,14.022128
2016-01-19,13.96,14.15,13.63,13.80,300200,13.762829
2016-01-15,13.67,13.90,13.41,13.81,214700,13.772802
2016-01-14,13.96,14.30,13.89,14.07,161500,14.032101
2016-01-13,14.62,14.62,13.72,13.94,278100,13.902451
2016-01-12,14.67,14.67,14.32,14.55,241400,14.510808
2016-01-11,14.57,14.80,14.49,14.57,146700,14.530754
2016-01-08,15.48,15.56,14.52,14.57,352100,14.530754
2016-01-07,15.49,15.58,15.36,15.39,328200,15.348546
2016-01-06,15.42,15.69,15.38,15.68,222100,15.637765
2016-01-05,15.51,15.72,15.45,15.62,234700,15.577926
2016-01-04,15.41,15.51,15.06,15.51,527000,15.468223
2015-12-31,15.70,15.82,15.56,15.65,296300,15.607845
2015-12-30,15.85,15.85,15.60,15.71,147000,15.667684
2015-12-29,15.60,15.94,15.49,15.91,161400,15.867145
2015-12-28,15.48,15.57,15.24,15.54,109800,15.498142
2015-12-24,15.52,15.59,15.44,15.56,109300,15.518088
2015-12-23,15.50,15.53,15.38,15.43,93100,15.388438
2015-12-22,15.49,15.51,15.09,15.40,186800,15.358518
2015-12-21,15.56,15.74,15.22,15.38,149100,15.338573
2015-12-18,15.75,15.77,15.32,15.46,405200,15.418357
