Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,42.759998,42.759998,42.099998,42.189999,137800,42.189999
2016-06-09,43.139999,43.27,42.790001,43.09,88000,43.09
2016-06-08,43.009998,43.34,42.450001,43.25,107700,43.25
2016-06-07,42.509998,43.09,42.32,42.93,107900,42.93
2016-06-06,42.50,42.720001,42.189999,42.50,113900,42.50
2016-06-03,42.720001,42.720001,42.220001,42.48,84400,42.48
2016-06-02,42.439999,42.700001,41.950001,42.689999,187600,42.689999
2016-06-01,42.27,42.799999,42.02,42.57,175100,42.57
2016-05-31,42.689999,42.990002,42.16,42.509998,207300,42.509998
2016-05-27,42.57,42.959999,41.860001,42.639999,125100,42.639999
2016-05-26,42.470001,42.889999,42.23,42.43,60700,42.43
2016-05-25,42.41,42.470001,41.889999,42.27,249200,42.27
2016-05-24,41.790001,42.66,41.790001,42.439999,189400,42.439999
2016-05-23,41.709999,41.98,41.439999,41.470001,130100,41.470001
2016-05-20,41.049999,41.639999,40.689999,41.619999,190000,41.619999
2016-05-19,40.939999,41.130001,39.880001,40.779999,204400,40.779999
2016-05-18,40.84,41.459999,40.639999,41.00,156000,41.00
2016-05-17,42.25,42.25,40.810001,40.990002,415500,40.990002
2016-05-16,41.939999,42.349998,41.73,42.32,270900,42.32
2016-05-13,42.150002,42.209999,41.619999,41.709999,140100,41.709999
2016-05-12,42.349998,42.470001,41.700001,42.060001,189300,42.060001
2016-05-11,42.720001,43.299999,41.970001,42.110001,193300,42.110001
2016-05-10,42.34,42.740002,42.220001,42.720001,159000,42.720001
2016-05-09,41.869999,42.59,41.849998,42.119999,192600,42.119999
2016-05-06,41.130001,42.080002,41.130001,42.040001,318400,42.040001
2016-05-05,42.919998,44.610001,41.009998,41.240002,381400,41.240002
2016-05-04,44.049999,44.400002,43.950001,44.02,160900,44.02
2016-05-03,44.700001,45.23,44.25,44.27,157300,44.27
2016-05-02,44.50,45.34,44.459999,45.080002,234800,45.080002
2016-04-29,44.93,44.93,43.400002,44.380001,217800,44.380001
2016-04-28,45.34,45.689999,44.939999,45.02,221100,45.02
2016-04-27,45.299999,45.77,44.880001,45.279999,285400,45.279999
2016-04-26,45.389999,45.869999,44.939999,45.200001,251400,45.200001
2016-04-25,45.150002,45.50,45.02,45.209999,144500,45.209999
2016-04-22,44.959999,45.450001,44.349998,45.34,316300,45.34
2016-04-21,45.610001,45.740002,45.060001,45.139999,170800,45.139999
2016-04-20,45.869999,46.169998,45.450001,45.450001,163000,45.450001
2016-04-19,45.73,46.080002,45.470001,45.82,198800,45.82
2016-04-18,45.169998,45.639999,45.169998,45.630001,212700,45.630001
2016-04-15,45.560001,45.720001,45.240002,45.299999,183200,45.299999
2016-04-14,45.799999,45.849998,45.349998,45.560001,81000,45.560001
2016-04-13,45.209999,45.84,44.919998,45.830002,308500,45.830002
2016-04-12,45.389999,45.419998,44.450001,44.759998,309900,44.759998
2016-04-11,45.830002,45.830002,44.849998,44.919998,539100,44.919998
2016-04-08,45.950001,46.169998,44.900002,45.389999,276000,45.389999
2016-04-07,45.380001,46.540001,45.380001,45.639999,558900,45.639999
2016-04-06,45.240002,45.709999,45.09,45.700001,491000,45.700001
2016-04-05,45.240002,45.779999,44.880001,45.169998,387000,45.169998
2016-04-04,45.75,45.990002,44.889999,45.330002,525000,45.330002
2016-04-01,45.16,45.93,44.970001,45.84,437600,45.84
2016-03-31,44.779999,45.959999,44.779999,45.16,479700,45.16
2016-03-30,44.41,45.09,44.380001,44.970001,448000,44.970001
2016-03-29,43.43,44.529999,42.23,44.310001,560900,44.310001
2016-03-28,42.209999,43.580002,42.130001,43.400002,385600,43.400002
2016-03-24,41.91,42.32,41.91,42.240002,513300,42.240002
2016-03-23,42.439999,42.529999,42.07,42.240002,468900,42.240002
2016-03-22,42.18,42.400002,42.009998,42.310001,420600,42.310001
2016-03-21,42.52,42.599998,42.119999,42.209999,394700,42.209999
2016-03-18,42.549999,42.59,42.23,42.389999,498200,42.389999
2016-03-17,40.860001,42.540001,40.860001,42.290001,487700,42.290001
2016-03-16,39.549999,40.50,39.32,40.419998,387400,40.419998
2016-03-15,39.00,39.759998,39.00,39.439999,566700,39.439999
