Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,9.96,10.00,9.86,9.88,374900,9.88
2016-06-09,10.04,10.08,9.95,10.06,333200,10.06
2016-06-08,10.08,10.10,10.01,10.03,275300,10.03
2016-06-07,10.06,10.12,10.04,10.12,276900,10.037
2016-06-06,10.04,10.11,10.01,10.07,325800,9.98741
2016-06-03,10.00,10.05,9.90,10.03,326000,9.947738
2016-06-02,9.99,10.07,9.98,10.03,220700,9.947738
2016-06-01,9.90,10.05,9.90,10.05,338400,9.967574
2016-05-31,9.95,9.97,9.93,9.94,235700,9.858476
2016-05-27,9.91,9.97,9.81,9.95,286000,9.868394
2016-05-26,9.85,9.93,9.84,9.93,278300,9.848558
2016-05-25,9.76,9.88,9.75,9.87,303900,9.78905
2016-05-24,9.65,9.77,9.63,9.76,342700,9.679953
2016-05-23,9.64,9.72,9.60,9.63,291400,9.551019
2016-05-20,9.74,9.79,9.62,9.64,449900,9.560937
2016-05-19,9.74,9.77,9.66,9.73,256900,9.650198
2016-05-18,9.71,9.78,9.70,9.76,208600,9.679953
2016-05-17,9.77,9.79,9.68,9.72,431700,9.640281
2016-05-16,9.73,9.86,9.72,9.77,580600,9.689871
2016-05-13,9.73,9.74,9.67,9.70,350500,9.620444
2016-05-12,9.76,9.79,9.70,9.71,247300,9.630363
2016-05-11,9.71,9.79,9.70,9.73,260200,9.650198
2016-05-10,9.68,9.81,9.66,9.74,404300,9.660116
2016-05-09,9.63,9.72,9.63,9.68,234800,9.600609
2016-05-06,9.66,9.78,9.62,9.75,291500,9.587715
2016-05-05,9.77,9.81,9.66,9.72,407600,9.558215
2016-05-04,9.73,9.80,9.71,9.77,322600,9.607383
2016-05-03,9.78,9.84,9.69,9.78,297200,9.617216
2016-05-02,9.86,9.88,9.77,9.87,368000,9.705718
2016-04-29,9.85,9.89,9.76,9.87,262400,9.705718
2016-04-28,9.89,9.93,9.85,9.89,378700,9.725385
2016-04-27,9.85,9.95,9.82,9.93,316300,9.764719
2016-04-26,9.90,9.95,9.84,9.90,378100,9.735218
2016-04-25,9.86,9.88,9.82,9.88,284400,9.715551
2016-04-22,9.84,9.90,9.81,9.90,387800,9.735218
2016-04-21,9.88,9.89,9.79,9.84,375500,9.676217
2016-04-20,9.79,9.89,9.77,9.85,203100,9.686051
2016-04-19,9.83,9.84,9.75,9.81,289900,9.646717
2016-04-18,9.64,9.84,9.64,9.83,498000,9.666384
2016-04-15,9.70,9.78,9.65,9.69,433600,9.528713
2016-04-14,9.62,9.69,9.56,9.69,276600,9.528713
2016-04-13,9.48,9.61,9.48,9.61,263700,9.450045
2016-04-12,9.42,9.48,9.40,9.48,218200,9.322209
2016-04-11,9.42,9.48,9.38,9.42,265400,9.263208
2016-04-08,9.45,9.45,9.34,9.38,192500,9.223874
