Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,5.28,5.30,5.26,5.27,12700,5.27
2016-06-09,5.31,5.31,5.26,5.29,9800,5.29
2016-06-08,5.44,5.44,5.27,5.32,14800,5.32
2016-06-07,5.34,5.38,5.26,5.30,14100,5.30
2016-06-06,5.39,5.49,5.29,5.37,11600,5.37
2016-06-03,5.27,5.45,5.27,5.44,12000,5.44
2016-06-02,5.30,5.43,5.19,5.40,19600,5.40
2016-06-01,5.28,5.30,5.19,5.30,11200,5.30
2016-05-31,5.32,5.33,5.21,5.29,11300,5.29
2016-05-27,5.36,5.46,5.31,5.32,16600,5.32
2016-05-26,5.16,5.36,5.16,5.35,34600,5.35
2016-05-25,5.25,5.26,5.15,5.21,9900,5.21
2016-05-24,4.99,5.19,4.99,5.17,49900,5.17
2016-05-23,4.97,5.01,4.92,4.97,68300,4.97
2016-05-20,4.96,5.00,4.93,4.93,19900,4.93
2016-05-19,4.95,4.98,4.95,4.98,11600,4.98
2016-05-18,4.96,4.98,4.95,4.96,10500,4.96
2016-05-17,4.95,4.97,4.95,4.97,32200,4.97
2016-05-16,4.99,4.99,4.95,4.97,10500,4.97
2016-05-13,5.00,5.00,4.95,4.97,21800,4.97
2016-05-12,5.01,5.01,4.95,4.95,45000,4.95
2016-05-11,5.00,5.02,5.00,5.01,21300,5.01
2016-05-10,5.03,5.03,5.00,5.02,11300,5.02
2016-05-09,5.00,5.02,5.00,5.00,30000,5.00
2016-05-06,5.01,5.02,5.00,5.00,14700,5.00
2016-05-05,5.06,5.08,5.00,5.00,37600,5.00
2016-05-04,5.12,5.13,5.06,5.07,48300,5.07
2016-05-03,5.15,5.15,5.12,5.12,13500,5.12
2016-05-02,5.12,5.16,5.12,5.13,20700,5.13
2016-04-29,5.14,5.20,5.12,5.14,22800,5.14
2016-04-28,5.12,5.15,5.12,5.14,18900,5.14
2016-04-27,5.11,5.14,5.08,5.14,27200,5.14
2016-04-26,5.25,5.29,5.12,5.14,37300,5.14
2016-04-25,5.27,5.32,5.25,5.31,28600,5.31
2016-04-22,5.32,5.40,5.28,5.32,20300,5.32
2016-04-21,5.42,5.42,5.33,5.36,23400,5.36
2016-04-20,5.45,5.46,5.41,5.44,17400,5.44
2016-04-19,5.65,5.69,5.44,5.48,29800,5.48
2016-04-18,5.50,5.63,5.50,5.61,29800,5.61
2016-04-15,5.53,5.63,5.51,5.55,22400,5.55
2016-04-14,5.48,5.54,5.38,5.52,20500,5.52
2016-04-13,5.44,5.54,5.44,5.50,27600,5.50
2016-04-12,5.46,5.46,5.40,5.42,12000,5.42
2016-04-11,5.35,5.44,5.33,5.41,30100,5.41
2016-04-08,5.28,5.36,5.28,5.32,21200,5.32
2016-04-07,5.19,5.34,5.16,5.27,79600,5.27
2016-04-06,5.19,5.22,5.08,5.19,78000,5.19
2016-04-05,5.09,5.18,5.07,5.16,19000,5.16
2016-04-04,5.04,5.22,5.01,5.11,43300,5.11
2016-04-01,5.11,5.18,5.04,5.10,30100,5.10
2016-03-31,5.05,5.21,5.05,5.11,26900,5.11
2016-03-30,5.04,5.16,5.04,5.09,56000,5.09
2016-03-29,4.91,5.06,4.91,5.00,114300,5.00
2016-03-28,4.97,5.13,4.92,4.94,41800,4.94
2016-03-24,4.91,4.95,4.91,4.93,30300,4.93
2016-03-23,5.04,5.07,4.91,4.91,122200,4.91
2016-03-22,4.95,5.10,4.94,5.07,114900,5.07
2016-03-21,5.05,5.08,4.95,4.95,58700,4.95
2016-03-18,5.25,5.29,5.01,5.09,126800,5.03
2016-03-17,5.16,5.31,5.11,5.23,56100,5.16835
2016-03-16,5.04,5.18,5.04,5.16,33000,5.099175
2016-03-15,5.03,5.10,5.01,5.09,31700,5.03
2016-03-14,5.20,5.24,5.10,5.11,26500,5.049764
2016-03-11,5.11,5.22,5.03,5.17,28200,5.109057
2016-03-10,5.25,5.25,4.99,5.06,57900,5.000354
2016-03-09,5.17,5.33,5.06,5.20,40900,5.138703
2016-03-08,5.10,5.29,4.95,5.16,218500,5.099175
2016-03-07,4.97,5.26,4.95,5.09,198400,5.03
2016-03-04,5.14,5.18,4.97,4.97,186300,4.911414
2016-03-03,4.91,5.26,4.90,5.11,55400,5.049764
2016-03-02,4.80,4.97,4.80,4.93,284300,4.871886
2016-03-01,4.75,4.85,4.75,4.82,196600,4.763183
2016-02-29,4.71,4.83,4.71,4.73,219600,4.674244
2016-02-26,4.76,4.85,4.70,4.71,224400,4.654479
2016-02-25,4.92,4.95,4.75,4.76,260800,4.70389
2016-02-24,4.90,4.99,4.90,4.92,116500,4.862004
