Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,17.190001,17.290001,17.10,17.16,447000,17.16
2016-06-09,17.549999,17.549999,17.25,17.469999,458200,17.469999
2016-06-08,17.540001,17.73,17.48,17.67,290900,17.67
2016-06-07,17.639999,17.68,17.49,17.57,344400,17.57
2016-06-06,17.379999,17.700001,16.940001,17.610001,479800,17.610001
2016-06-03,17.42,17.42,17.030001,17.34,364300,17.34
2016-06-02,17.58,17.68,17.450001,17.639999,389400,17.639999
2016-06-01,17.48,17.690001,17.34,17.65,392800,17.65
2016-05-31,17.450001,17.639999,17.440001,17.549999,456800,17.549999
2016-05-27,17.34,17.43,17.219999,17.43,373300,17.43
2016-05-26,17.379999,17.440001,17.17,17.290001,391500,17.290001
2016-05-25,17.389999,17.540001,16.860001,17.370001,699900,17.370001
2016-05-24,16.85,17.309999,16.76,17.26,604900,17.26
2016-05-23,16.84,16.870001,16.700001,16.780001,359700,16.780001
2016-05-20,16.73,16.98,16.709999,16.85,497900,16.85
2016-05-19,16.83,16.969999,16.41,16.620001,540300,16.620001
2016-05-18,16.209999,16.92,16.190001,16.90,539100,16.90
2016-05-17,16.42,16.57,16.120001,16.190001,585100,16.190001
2016-05-16,16.32,16.629999,16.23,16.50,348900,16.50
2016-05-13,16.48,16.639999,16.190001,16.26,595600,16.26
2016-05-12,16.59,16.709999,16.34,16.49,440900,16.49
2016-05-11,16.610001,16.73,16.469999,16.469999,343900,16.469999
2016-05-10,16.51,16.77,16.459999,16.68,264100,16.68
2016-05-09,16.549999,16.60,16.32,16.41,345100,16.41
2016-05-06,16.26,16.50,16.200001,16.50,531600,16.50
2016-05-05,16.540001,16.690001,16.389999,16.389999,322700,16.389999
2016-05-04,16.709999,16.879999,16.41,16.540001,341500,16.540001
2016-05-03,17.059999,17.059999,16.68,16.84,421400,16.84
2016-05-02,17.209999,17.309999,17.10,17.27,552200,17.27
2016-04-29,17.219999,17.280001,17.030001,17.18,577400,17.18
2016-04-28,17.440001,17.50,17.16,17.219999,374700,17.219999
2016-04-27,17.58,17.709999,17.35,17.469999,454500,17.469999
2016-04-26,17.34,17.52,17.23,17.51,445200,17.51
2016-04-25,17.389999,17.40,16.82,17.32,569800,17.32
2016-04-22,17.459999,17.59,17.32,17.530001,632700,17.530001
2016-04-21,17.90,17.92,17.280001,17.52,946500,17.52
2016-04-20,17.85,17.92,17.639999,17.889999,364600,17.889999
2016-04-19,17.559999,17.76,17.51,17.75,244900,17.75
2016-04-18,17.299999,17.60,17.24,17.57,277600,17.57
2016-04-15,17.42,17.639999,17.27,17.40,317100,17.40
2016-04-14,17.370001,17.629999,17.23,17.459999,714200,17.459999
2016-04-13,16.889999,17.40,16.889999,17.40,788300,17.40
2016-04-12,16.59,16.76,16.469999,16.74,1149700,16.74
2016-04-11,16.51,16.83,16.51,16.59,641200,16.59
2016-04-08,16.629999,16.809999,16.41,16.459999,549500,16.459999
2016-04-07,16.82,16.82,16.360001,16.469999,679300,16.469999
2016-04-06,16.84,17.02,16.73,16.92,847600,16.92
2016-04-05,17.219999,17.24,16.84,16.84,661900,16.84
2016-04-04,17.41,17.450001,17.25,17.379999,805200,17.379999
2016-04-01,17.34,17.58,17.209999,17.549999,593400,17.429999
2016-03-31,17.389999,17.50,17.24,17.450001,546500,17.330685
2016-03-30,17.48,17.700001,17.33,17.440001,721700,17.320753
2016-03-29,17.059999,17.389999,16.860001,17.379999,846600,17.261162
2016-03-28,17.129999,17.27,17.040001,17.200001,522700,17.082394
2016-03-24,16.85,17.139999,16.67,17.120001,956300,17.002941
2016-03-23,17.15,17.280001,17.02,17.02,623900,16.903624
2016-03-22,17.129999,17.33,16.77,17.27,598200,17.151915
2016-03-21,17.360001,17.379999,17.049999,17.200001,366500,17.082394
2016-03-18,17.059999,17.35,16.92,17.33,1135900,17.211504
2016-03-17,16.65,17.00,16.34,16.969999,779700,16.853965
2016-03-16,17.07,17.16,16.610001,16.66,835000,16.546085
2016-03-15,17.00,17.17,16.940001,17.10,787900,16.983077
2016-03-14,17.08,17.16,16.90,17.08,808100,16.963214
2016-03-11,16.610001,17.120001,16.459999,17.09,787300,16.973145
2016-03-10,16.41,16.549999,16.16,16.50,662500,16.387179
2016-03-09,16.540001,16.639999,16.280001,16.32,523300,16.20841
2016-03-08,16.74,16.83,16.360001,16.440001,576600,16.32759
2016-03-07,16.799999,16.99,16.379999,16.91,731700,16.794376
2016-03-04,16.51,16.809999,16.440001,16.809999,702200,16.695059
2016-03-03,16.290001,16.639999,16.290001,16.52,811700,16.407043
2016-03-02,15.96,16.379999,15.96,16.35,764100,16.238206
2016-03-01,15.68,16.059999,15.60,16.030001,479000,15.920394
2016-02-29,15.84,15.95,15.52,15.53,987800,15.423812
2016-02-26,15.66,15.94,15.37,15.91,675200,15.801214
2016-02-25,15.25,15.55,15.19,15.55,466300,15.443675
2016-02-24,14.89,15.27,14.76,15.24,653600,15.135795
2016-02-23,15.43,15.45,15.03,15.11,509900,15.006683
2016-02-22,15.49,15.64,15.32,15.45,597700,15.344359
2016-02-19,15.32,15.51,15.27,15.36,536400,15.254974
