Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,12.91,13.43,12.50,13.11,26700,13.11
2016-06-09,13.41,13.41,12.91,12.91,32900,12.91
2016-06-08,13.58,13.70,12.49,13.44,25300,13.44
2016-06-07,13.40,13.85,13.33,13.67,32600,13.67
2016-06-06,13.31,13.60,13.20,13.47,29600,13.47
2016-06-03,13.75,13.75,13.48,13.55,16500,13.55
2016-06-02,13.73,13.95,13.65,13.89,8400,13.89
2016-06-01,13.75,13.91,13.61,13.83,24600,13.83
2016-05-31,14.10,14.10,13.55,13.74,11900,13.74
2016-05-27,13.80,14.00,13.37,13.98,12200,13.98
2016-05-26,13.97,13.97,13.72,13.81,14200,13.81
2016-05-25,14.10,14.10,13.89,14.00,24700,14.00
2016-05-24,13.90,14.00,13.90,13.95,36500,13.95
2016-05-23,13.85,13.95,13.77,13.90,54900,13.90
2016-05-20,13.80,13.94,13.70,13.72,85600,13.72
2016-05-19,13.97,13.97,13.80,13.91,17500,13.91
2016-05-18,13.72,14.00,13.65,13.92,45200,13.92
2016-05-17,13.94,14.00,13.60,13.60,20000,13.60
2016-05-16,13.55,13.94,13.44,13.84,59800,13.84
2016-05-13,13.45,13.55,13.01,13.47,51700,13.47
2016-05-12,13.48,13.60,13.37,13.43,14700,13.43
2016-05-11,13.06,13.88,13.06,13.46,23500,13.46
2016-05-10,13.57,13.57,13.49,13.55,12600,13.55
2016-05-09,12.87,13.70,12.30,13.55,52500,13.55
2016-05-06,12.91,13.35,12.90,13.01,30700,13.01
2016-05-05,12.93,13.50,12.88,13.05,18000,13.05
2016-05-04,12.43,13.00,12.43,13.00,35400,13.00
2016-05-03,12.30,12.46,12.30,12.40,42300,12.40
2016-05-02,12.07,12.44,12.01,12.23,23900,12.169999
2016-04-29,12.30,12.50,12.00,12.19,42100,12.130195
2016-04-28,12.58,12.62,12.07,12.07,13900,12.010784
2016-04-27,12.39,12.73,12.33,12.45,13500,12.38892
2016-04-26,12.48,12.58,12.29,12.37,28900,12.309313
2016-04-25,11.75,12.98,11.64,12.79,47500,12.727252
2016-04-22,11.48,11.75,11.48,11.58,13200,11.523188
2016-04-21,11.52,11.75,11.23,11.48,50800,11.423679
2016-04-20,11.08,11.13,10.91,11.13,4800,11.075396
2016-04-19,11.06,11.06,10.99,10.99,2500,10.936083
2016-04-18,10.89,11.06,10.88,10.99,6200,10.936083
2016-04-15,10.99,11.14,10.99,11.01,3200,10.955985
2016-04-14,10.87,11.02,10.87,11.02,4700,10.965936
2016-04-13,10.86,10.87,10.78,10.78,2700,10.727113
2016-04-12,10.83,10.95,10.81,10.95,4200,10.896279
2016-04-11,10.89,11.03,10.89,10.95,2800,10.896279
2016-04-08,10.85,10.94,10.82,10.93,6400,10.876378
2016-04-07,10.91,10.93,10.90,10.90,4400,10.846524
2016-04-06,11.08,11.08,10.95,10.95,5900,10.896279
2016-04-05,11.15,11.18,10.81,10.88,9700,10.826623
2016-04-04,10.93,11.29,10.85,11.08,15100,11.025641
2016-04-01,11.05,11.20,11.00,11.00,10500,10.946034
2016-03-31,11.48,11.49,11.13,11.13,4500,11.075396
2016-03-30,11.22,11.23,11.12,11.12,2000,11.065445
2016-03-29,11.29,11.75,11.24,11.24,5300,11.184856
2016-03-28,11.25,11.34,11.24,11.31,6700,11.254514
2016-03-24,11.30,11.33,11.25,11.30,6300,11.244562
2016-03-23,11.25,11.48,11.25,11.41,3600,11.354022
2016-03-22,11.33,11.54,11.24,11.27,13300,11.21471
2016-03-21,11.27,11.37,11.26,11.30,6600,11.244562
2016-03-18,11.43,11.49,11.27,11.27,12300,11.21471
2016-03-17,11.44,11.50,11.21,11.25,15000,11.194808
2016-03-16,11.25,11.43,11.25,11.25,1700,11.194808
2016-03-15,11.22,11.31,11.22,11.22,14600,11.164955
2016-03-14,11.32,11.60,11.32,11.40,19000,11.344071
2016-03-11,11.67,11.71,11.60,11.60,2000,11.543091
2016-03-10,11.64,11.72,11.48,11.51,3500,11.453532
2016-03-09,11.75,11.75,11.54,11.54,6600,11.483385
2016-03-08,11.46,11.75,11.46,11.63,2500,11.572943
2016-03-07,11.30,11.83,11.30,11.74,8800,11.682403
2016-03-04,12.00,12.00,11.20,11.75,10200,11.692355
2016-03-03,12.05,12.25,11.78,11.78,11500,11.722207
2016-03-02,12.21,12.22,12.12,12.17,2200,12.110294
2016-03-01,12.17,12.48,12.00,12.19,17700,12.130195
2016-02-29,12.00,12.25,11.95,12.07,18500,12.010784
2016-02-26,12.10,12.10,11.77,12.03,4400,11.970981
2016-02-25,12.10,12.25,11.92,12.00,4400,11.941128
2016-02-24,12.00,12.00,11.60,11.95,9100,11.891373
2016-02-23,12.00,12.10,11.50,12.06,15500,12.000834
2016-02-22,12.20,12.20,11.68,11.92,6100,11.861521
2016-02-19,12.10,12.17,11.97,11.98,2700,11.921226
2016-02-18,12.24,12.25,12.03,12.18,1900,12.120245
2016-02-17,10.60,12.30,10.60,12.15,4900,12.090392
2016-02-16,11.77,12.49,11.77,12.13,10200,12.07049
2016-02-12,11.83,12.37,11.63,11.74,2200,11.682403
2016-02-11,11.02,11.17,10.96,11.17,1000,11.1152
2016-02-10,11.36,11.39,11.20,11.29,12900,11.234611
2016-02-09,11.50,11.50,11.13,11.32,10700,11.264464
2016-02-08,10.91,11.74,10.85,11.56,19800,11.503287
2016-02-05,10.60,10.95,10.60,10.95,3400,10.896279
2016-02-04,10.71,10.81,10.60,10.81,99600,10.756967
2016-02-03,10.80,10.93,10.80,10.80,1100,10.747015
2016-02-02,10.86,10.98,10.86,10.98,900,10.866426
2016-02-01,10.45,10.99,10.45,10.90,18000,10.787254
2016-01-29,11.17,11.21,10.44,10.65,7100,10.53984
2016-01-28,10.58,10.99,10.58,10.97,2900,10.85653
2016-01-27,10.13,10.74,10.12,10.51,1300,10.401288
2016-01-26,10.41,10.71,10.41,10.49,1100,10.381495
2016-01-25,10.98,10.98,10.65,10.65,300,10.53984
2016-01-22,10.45,10.93,10.45,10.93,3000,10.816944
