Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,13.85,13.86,13.44,13.53,72300,13.53
2016-06-09,13.85,14.25,13.83,13.90,77500,13.90
2016-06-08,13.48,13.92,13.26,13.89,77100,13.89
2016-06-07,13.52,13.74,13.36,13.39,42500,13.39
2016-06-06,13.51,13.70,13.50,13.52,39000,13.52
2016-06-03,13.60,13.67,13.31,13.56,34000,13.56
2016-06-02,13.67,13.75,13.40,13.55,28300,13.55
2016-06-01,13.38,13.72,13.33,13.69,35800,13.69
2016-05-31,13.60,13.60,13.30,13.41,36100,13.41
2016-05-27,13.62,13.71,13.57,13.61,15600,13.61
2016-05-26,13.23,13.67,13.20,13.62,36600,13.62
2016-05-25,13.52,13.61,13.13,13.19,56800,13.19
2016-05-24,13.22,13.56,13.22,13.54,64300,13.54
2016-05-23,13.28,13.40,13.15,13.17,41900,13.17
2016-05-20,13.50,13.50,13.25,13.32,43100,13.32
2016-05-19,13.84,13.84,13.31,13.47,69200,13.47
2016-05-18,13.72,14.04,13.45,13.81,58500,13.81
2016-05-17,14.24,14.40,13.70,13.83,83300,13.83
2016-05-16,14.15,14.45,13.93,14.35,70600,14.35
2016-05-13,14.01,14.30,13.96,14.23,62700,14.23
2016-05-12,14.18,14.27,13.86,14.08,80800,14.08
2016-05-11,14.37,14.59,13.51,14.20,148700,14.20
2016-05-10,14.38,14.69,14.33,14.62,80100,14.62
2016-05-09,14.62,14.62,14.32,14.45,72600,14.45
2016-05-06,14.26,14.69,14.05,14.53,88400,14.53
2016-05-05,14.50,14.65,14.14,14.19,100600,14.19
2016-05-04,13.89,14.60,13.77,14.42,160000,14.42
2016-05-03,14.06,14.09,13.67,13.93,67500,13.93
2016-05-02,13.93,14.13,13.76,14.09,103000,14.09
2016-04-29,13.71,13.89,13.59,13.89,87700,13.89
2016-04-28,13.42,13.79,13.05,13.65,84700,13.65
2016-04-27,13.68,13.88,13.53,13.62,56600,13.62
2016-04-26,13.14,13.77,13.10,13.68,136300,13.68
2016-04-25,13.20,13.20,13.00,13.15,49800,13.15
