Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,6.97,6.97,6.97,6.97,000,6.97
2016-06-09,6.97,6.97,6.97,6.97,000,6.97
2016-06-08,6.88,6.97,5.24,6.97,3400,6.97
2016-06-07,6.10,7.00,6.10,7.00,800,7.00
2016-06-06,5.11,5.72,5.11,5.70,2300,5.70
2016-06-03,4.45,4.45,4.45,4.45,000,4.45
2016-06-02,4.45,4.45,4.45,4.45,000,4.45
2016-06-01,4.40,4.45,4.30,4.45,1400,4.45
2016-05-31,4.60,4.60,4.60,4.60,000,4.60
2016-05-27,4.60,4.60,4.60,4.60,000,4.60
2016-05-26,4.60,4.60,4.60,4.60,000,4.60
2016-05-25,4.60,4.60,4.60,4.60,000,4.60
2016-05-24,4.60,4.60,4.60,4.60,000,4.60
2016-05-23,4.60,4.60,4.60,4.60,000,4.60
2016-05-20,4.60,4.60,4.60,4.60,000,4.60
2016-05-19,4.60,4.60,4.60,4.60,000,4.60
2016-05-18,4.60,4.60,4.60,4.60,300,4.60
2016-05-17,4.40,4.40,4.40,4.40,000,4.40
2016-05-16,4.40,4.40,4.40,4.40,000,4.40
2016-05-13,4.40,4.40,4.40,4.40,000,4.40
2016-05-12,4.40,4.40,4.40,4.40,000,4.40
2016-05-11,4.40,4.40,4.40,4.40,000,4.40
2016-05-10,4.40,4.40,4.40,4.40,200,4.40
2016-05-09,4.42,4.42,4.42,4.42,100,4.42
2016-05-06,4.82,4.82,4.82,4.82,000,4.82
2016-05-05,4.82,4.82,4.82,4.82,300,4.82
2016-05-04,4.70,5.24,4.60,4.60,2700,4.60
2016-05-03,4.36,4.83,4.36,4.65,2000,4.65
2016-05-02,5.00,5.00,5.00,5.00,500,5.00
2016-04-29,4.43,4.43,4.21,4.21,400,4.21
2016-04-28,4.40,4.40,4.40,4.40,000,4.40
2016-04-27,4.40,4.40,4.40,4.40,000,4.40
2016-04-26,4.40,4.40,4.40,4.40,300,4.40
2016-04-25,4.30,4.30,4.30,4.30,000,4.30
2016-04-22,4.30,4.30,4.30,4.30,000,4.30
2016-04-21,4.30,4.30,4.30,4.30,000,4.30
2016-04-20,4.30,4.30,4.30,4.30,000,4.30
2016-04-19,4.30,4.30,4.30,4.30,000,4.30
2016-04-18,4.30,4.30,4.30,4.30,000,4.30
2016-04-15,4.30,4.30,4.30,4.30,000,4.30
2016-04-14,4.30,4.30,4.30,4.30,100,4.30
2016-04-13,4.50,4.50,4.50,4.50,000,4.35
2016-04-12,4.50,4.50,4.50,4.50,000,4.35
2016-04-11,4.50,4.50,4.50,4.50,000,4.35
2016-04-08,4.50,4.50,4.50,4.50,000,4.35
2016-04-07,4.50,4.50,4.50,4.50,000,4.35
2016-04-06,4.50,4.50,4.50,4.50,000,4.35
2016-04-05,4.51,4.51,4.50,4.50,600,4.35
2016-04-04,5.10,5.10,5.10,5.10,000,4.93
2016-04-01,5.00,5.10,4.86,5.10,2900,4.93
2016-03-31,5.71,5.71,5.71,5.71,000,5.519667
2016-03-30,5.71,5.71,5.71,5.71,000,5.519667
2016-03-29,5.71,5.71,5.71,5.71,300,5.519667
2016-03-28,5.25,5.25,5.25,5.25,000,5.075
2016-03-24,5.25,5.25,5.25,5.25,000,5.075
2016-03-23,5.25,5.25,5.25,5.25,000,5.075
2016-03-22,5.25,5.25,5.25,5.25,000,5.075
2016-03-21,5.25,5.25,5.25,5.25,000,5.075
2016-03-18,5.25,5.25,5.25,5.25,300,5.075
2016-03-17,5.25,5.25,5.25,5.25,000,5.075
2016-03-16,5.25,5.25,5.25,5.25,000,5.075
2016-03-15,5.25,5.25,5.25,5.25,000,5.075
2016-03-14,5.25,5.25,5.25,5.25,000,5.075
2016-03-11,5.16,5.25,5.00,5.25,1300,5.075
2016-03-10,6.00,6.00,6.00,6.00,000,5.80
2016-03-09,5.99,6.00,5.99,6.00,300,5.80
2016-03-08,6.25,6.25,6.00,6.00,600,5.80
2016-03-07,5.70,5.70,5.69,5.69,600,5.500333
2016-03-04,6.05,6.05,6.05,6.05,000,5.848333
2016-03-03,6.05,6.05,6.05,6.05,000,5.848333
2016-03-02,6.05,6.05,6.05,6.05,000,5.848333
2016-03-01,6.05,6.05,6.05,6.05,000,5.848333
2016-02-29,6.05,6.05,6.05,6.05,000,5.848333
2016-02-26,6.05,6.05,6.05,6.05,300,5.848333
2016-02-25,6.00,6.00,6.00,6.00,000,5.80
2016-02-24,6.00,6.00,6.00,6.00,000,5.80
2016-02-23,6.00,6.00,6.00,6.00,000,5.80
2016-02-22,6.04,6.04,6.00,6.00,500,5.80
2016-02-19,6.04,6.04,6.04,6.04,000,5.838666
2016-02-18,6.04,6.04,6.04,6.04,600,5.838666
2016-02-17,5.95,5.96,5.95,5.95,2300,5.751666
2016-02-16,5.27,5.80,5.27,5.80,1500,5.606667
2016-02-12,5.36,5.36,5.36,5.36,100,5.181333
