Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,6.50,6.56,6.45,6.47,373800,6.47
2016-06-09,6.60,6.67,6.50,6.57,326600,6.57
2016-06-08,6.43,6.63,6.43,6.60,567400,6.60
2016-06-07,6.20,6.45,6.07,6.43,708200,6.43
2016-06-06,6.10,6.23,5.92,6.11,2127200,6.11
2016-06-03,6.21,6.33,5.96,6.00,1376900,6.00
2016-06-02,6.49,6.55,6.16,6.22,1644900,6.22
2016-06-01,7.27,7.36,6.36,6.41,2399100,6.41
2016-05-31,8.00,8.15,7.89,7.97,241100,7.97
2016-05-27,7.83,7.98,7.79,7.98,175600,7.98
2016-05-26,7.79,7.90,7.77,7.84,175000,7.84
2016-05-25,7.69,7.87,7.69,7.81,285500,7.81
2016-05-24,7.60,7.75,7.56,7.66,219300,7.66
2016-05-23,7.34,7.69,7.34,7.52,181400,7.52
2016-05-20,7.34,7.68,7.34,7.51,247800,7.51
2016-05-19,7.93,7.97,7.09,7.28,501300,7.28
2016-05-18,8.01,8.20,7.92,7.97,172400,7.97
2016-05-17,8.17,8.31,7.95,8.03,116600,8.03
2016-05-16,8.03,8.30,8.00,8.18,115100,8.18
2016-05-13,8.24,8.29,7.99,8.04,92200,8.04
2016-05-12,8.27,8.39,8.10,8.25,132200,8.25
2016-05-11,8.36,8.40,8.24,8.26,76500,8.26
2016-05-10,8.25,8.42,8.19,8.41,64500,8.41
2016-05-09,8.16,8.30,8.00,8.22,79800,8.22
2016-05-06,8.16,8.22,8.05,8.20,158900,8.20
2016-05-05,8.27,8.34,8.11,8.18,89700,8.18
2016-05-04,8.33,8.43,8.21,8.25,101700,8.25
2016-05-03,8.47,8.57,8.32,8.37,67100,8.37
2016-05-02,8.69,8.69,8.46,8.55,153100,8.55
2016-04-29,8.62,8.76,8.54,8.70,154300,8.70
2016-04-28,8.71,8.77,8.58,8.63,121200,8.63
2016-04-27,8.62,8.75,8.48,8.72,95500,8.72
2016-04-26,8.32,8.70,8.29,8.65,119500,8.65
2016-04-25,8.53,8.79,8.17,8.30,172200,8.30
2016-04-22,8.45,8.80,8.42,8.67,197400,8.67
2016-04-21,8.52,8.55,8.34,8.48,121100,8.48
2016-04-20,8.55,8.61,8.43,8.54,121600,8.54
2016-04-19,8.60,8.67,8.53,8.56,115200,8.56
2016-04-18,8.32,8.54,8.25,8.53,154700,8.53
2016-04-15,8.36,8.46,8.02,8.34,86300,8.34
2016-04-14,8.30,8.48,8.30,8.42,121700,8.42
2016-04-13,8.10,8.35,8.05,8.32,158100,8.32
2016-04-12,7.95,8.15,7.95,8.07,107800,8.07
2016-04-11,8.18,8.27,7.95,7.96,107300,7.96
2016-04-08,7.98,8.19,7.88,8.16,241700,8.16
2016-04-07,7.88,7.98,7.75,7.89,192100,7.89
2016-04-06,7.78,7.96,7.72,7.95,91000,7.95
2016-04-05,7.81,7.85,7.69,7.78,123700,7.78
2016-04-04,8.00,8.02,7.85,7.86,94300,7.86
2016-04-01,7.82,8.06,7.75,8.03,129400,8.03
2016-03-31,8.06,8.10,7.85,7.90,326600,7.90
2016-03-30,8.22,8.23,8.07,8.09,134300,8.09
2016-03-29,7.95,8.27,7.85,8.18,241100,8.18
2016-03-28,7.80,7.95,7.66,7.94,125400,7.94
2016-03-24,7.73,7.79,7.61,7.74,111600,7.74
2016-03-23,7.93,7.93,7.75,7.79,158700,7.79
2016-03-22,7.95,8.08,7.87,7.91,107900,7.91
2016-03-21,7.89,8.01,7.81,7.96,172300,7.96
2016-03-18,8.10,8.10,7.82,7.88,288400,7.88
2016-03-17,7.77,8.19,7.77,8.03,288900,8.03
2016-03-16,7.64,7.90,7.58,7.74,137700,7.74
2016-03-15,7.86,7.95,7.57,7.69,137500,7.69
2016-03-14,7.64,7.99,7.59,7.82,230000,7.82
2016-03-11,7.52,7.62,7.44,7.61,129800,7.61
2016-03-10,7.39,7.48,7.33,7.43,188400,7.43
2016-03-09,7.37,7.45,7.18,7.38,145900,7.38
2016-03-08,7.69,7.69,7.36,7.46,404800,7.36
2016-03-07,7.56,7.80,7.49,7.69,330100,7.586917
2016-03-04,7.45,7.61,7.32,7.57,398500,7.468525
2016-03-03,7.37,7.60,7.29,7.45,274300,7.350134
2016-03-02,7.27,7.48,7.00,7.37,250600,7.271206
2016-03-01,7.10,7.35,7.08,7.31,242000,7.212011
2016-02-29,6.90,7.10,6.80,7.07,444700,6.975228
2016-02-26,6.90,6.93,6.67,6.91,369700,6.817372
2016-02-25,7.07,7.18,6.76,6.90,363800,6.807507
2016-02-24,7.57,7.65,6.80,7.08,473400,6.985094
2016-02-23,7.32,7.79,6.56,7.71,1181000,7.606649
2016-02-22,8.44,8.74,8.38,8.62,415200,8.50445
2016-02-19,8.20,8.43,8.01,8.37,130400,8.257801
2016-02-18,8.21,8.30,8.11,8.21,121200,8.099946
2016-02-17,8.24,8.30,7.96,8.21,166100,8.099946
2016-02-16,7.81,8.24,7.58,8.21,145900,8.099946
2016-02-12,7.67,7.83,7.48,7.73,226700,7.626381
2016-02-11,7.32,7.60,7.31,7.58,106200,7.478391
2016-02-10,7.56,7.67,7.38,7.51,85100,7.40933
2016-02-09,7.38,7.62,7.38,7.49,91300,7.389597
2016-02-08,7.39,7.54,7.23,7.52,119500,7.419196
2016-02-05,7.61,7.70,7.42,7.44,142300,7.340268
2016-02-04,7.63,7.77,7.56,7.67,176900,7.567185
2016-02-03,7.60,7.68,7.42,7.62,108000,7.517855
2016-02-02,7.77,7.88,7.50,7.52,96600,7.419196
2016-02-01,7.98,8.08,7.77,7.88,148800,7.77437
2016-01-29,7.62,8.05,7.62,8.03,218400,7.922359
2016-01-28,7.45,7.64,7.41,7.58,97100,7.478391
2016-01-27,7.49,7.57,7.36,7.38,85800,7.281072
2016-01-26,7.43,7.61,7.38,7.53,107400,7.429062
2016-01-25,7.69,7.70,7.36,7.37,96600,7.271206
2016-01-22,7.64,7.77,7.57,7.72,113200,7.616514
2016-01-21,7.53,7.66,7.43,7.52,148400,7.419196
2016-01-20,7.38,7.47,7.06,7.44,280800,7.340268
2016-01-19,7.77,7.77,7.33,7.45,199100,7.350134
2016-01-15,7.41,7.77,7.35,7.65,303600,7.547453
2016-01-14,7.46,7.70,7.42,7.65,148800,7.547453
2016-01-13,7.70,7.77,7.39,7.42,192300,7.320536
2016-01-12,7.52,7.69,7.40,7.64,202000,7.537587
2016-01-11,7.47,7.60,7.34,7.43,207000,7.330402
2016-01-08,7.69,7.74,7.43,7.43,321800,7.330402
2016-01-07,7.90,7.90,7.51,7.67,238300,7.567185
2016-01-06,8.19,8.23,7.95,8.03,172000,7.922359
2016-01-05,8.21,8.35,8.08,8.34,210500,8.228204
2016-01-04,8.60,8.60,8.16,8.17,214100,8.060482
2015-12-31,9.00,9.08,8.72,8.72,155800,8.60311
2015-12-30,9.15,9.20,9.00,9.02,158400,8.899089
2015-12-29,9.06,9.15,8.85,9.13,210700,9.007614
2015-12-28,9.02,9.15,8.90,9.03,170500,8.908954
2015-12-24,8.87,9.24,8.71,9.14,93100,9.01748
2015-12-23,8.88,8.96,8.70,8.90,226000,8.780696
2015-12-22,8.78,8.87,8.65,8.86,159700,8.741233
2015-12-21,8.79,8.88,8.56,8.76,177400,8.642574
2015-12-18,8.88,9.00,8.59,8.71,500600,8.593244
2015-12-17,9.11,9.18,8.79,8.86,358700,8.741233
2015-12-16,8.94,9.24,8.74,9.21,193300,8.987882
2015-12-15,8.78,8.95,8.69,8.90,205500,8.685358
2015-12-14,8.92,9.03,8.69,8.74,194600,8.529217
2015-12-11,8.96,9.02,8.79,8.91,245700,8.695117
2015-12-10,9.07,9.24,8.90,9.14,243000,8.91957
2015-12-09,9.05,9.31,9.01,9.07,202000,8.851258
2015-12-08,9.14,9.18,8.96,9.12,214100,8.900052
2015-12-07,9.06,9.27,8.82,9.23,313600,9.007399
2015-12-04,8.95,9.24,8.72,9.11,273500,8.890293
2015-12-03,8.90,9.02,8.66,8.96,270800,8.743911
2015-12-02,8.73,9.04,8.72,8.87,240600,8.656082
2015-12-01,8.66,8.89,8.59,8.78,262000,8.568252
2015-11-30,8.26,8.70,8.26,8.67,340900,8.460905
2015-11-27,8.51,8.68,8.19,8.25,251100,8.051034
2015-11-25,8.24,8.72,8.24,8.58,504600,8.373076
2015-11-24,8.16,8.50,7.16,8.21,1322600,8.011999
2015-11-23,9.97,10.19,9.95,10.08,250600,9.8369
2015-11-20,10.06,10.07,9.90,9.95,192000,9.710035
2015-11-19,9.96,10.10,9.78,10.01,167000,9.768589
2015-11-18,9.84,10.05,9.71,10.01,269500,9.768589
2015-11-17,9.73,10.00,9.70,9.80,234300,9.563653
2015-11-16,9.75,9.75,9.47,9.70,360500,9.466064
2015-11-13,9.64,9.87,9.55,9.74,264900,9.5051
2015-11-12,9.83,9.84,9.70,9.71,90100,9.475823
