Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,16.01,16.18,16.00,16.15,24900,16.15
2016-06-09,15.95,16.049999,15.90,16.01,28600,16.01
2016-06-08,16.00,16.10,15.90,15.99,12000,15.99
2016-06-07,16.049999,16.09,15.86,15.88,22400,15.88
2016-06-06,15.83,16.15,15.77,16.139999,29900,16.139999
2016-06-03,15.91,15.93,15.74,15.86,31800,15.86
2016-06-02,16.26,16.26,15.92,16.00,28000,16.00
2016-06-01,16.24,16.33,16.01,16.280001,60900,16.280001
2016-05-31,16.16,16.24,16.00,16.190001,58400,16.190001
2016-05-27,16.059999,16.059999,15.95,16.059999,42100,16.059999
2016-05-26,16.049999,16.209999,15.95,16.059999,38100,16.059999
2016-05-25,15.98,16.09,15.89,16.09,68000,16.09
2016-05-24,15.50,15.97,15.50,15.87,74100,15.87
2016-05-23,15.55,15.55,15.40,15.47,14300,15.47
2016-05-20,15.21,15.55,15.21,15.52,37900,15.52
2016-05-19,15.19,15.19,14.95,15.13,29500,15.13
2016-05-18,15.11,15.35,14.89,15.25,76900,15.25
2016-05-17,15.52,15.52,15.04,15.20,23800,15.20
2016-05-16,15.48,15.55,15.45,15.54,47500,15.54
2016-05-13,15.32,15.45,15.31,15.43,31700,15.43
2016-05-12,15.36,15.40,15.17,15.28,16700,15.28
2016-05-11,15.49,15.49,15.24,15.30,16300,15.30
2016-05-10,15.48,15.50,15.45,15.47,17700,15.47
2016-05-09,15.44,15.61,15.38,15.48,18300,15.48
2016-05-06,15.28,15.50,15.14,15.44,31500,15.44
2016-05-05,15.00,15.40,14.93,15.28,68400,15.28
2016-05-04,15.00,15.25,14.89,15.18,33000,15.18
2016-05-03,15.21,15.43,15.00,15.08,18600,15.08
2016-05-02,15.36,15.49,15.12,15.23,34000,15.23
2016-04-29,15.25,15.45,15.15,15.31,16600,15.31
2016-04-28,15.42,15.45,15.25,15.30,13100,15.30
2016-04-27,15.34,15.74,15.31,15.61,46000,15.471999
2016-04-26,15.40,15.40,15.24,15.38,20600,15.244033
2016-04-25,15.58,15.58,15.19,15.32,32700,15.184563
2016-04-22,15.04,15.54,15.04,15.51,33300,15.372884
2016-04-21,15.00,15.10,14.90,15.05,24800,14.916951
2016-04-20,14.55,15.00,14.35,14.97,47800,14.837658
2016-04-19,14.50,14.58,14.35,14.48,11600,14.351989
2016-04-18,14.37,14.49,14.28,14.49,12800,14.361901
2016-04-15,14.20,14.48,14.20,14.43,15700,14.302432
2016-04-14,14.41,14.50,14.19,14.25,8900,14.124023
2016-04-13,14.46,14.46,14.26,14.40,15100,14.272696
2016-04-12,14.36,14.61,14.32,14.37,24000,14.242962
2016-04-11,14.28,14.40,14.28,14.33,9600,14.203316
2016-04-08,14.20,14.34,14.17,14.28,21400,14.153757
2016-04-07,13.73,14.16,13.62,14.15,43400,14.024907
2016-04-06,13.45,13.80,13.45,13.76,28900,13.638355
