Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,4.77,4.90,4.68,4.79,9900,4.79
2016-06-09,5.071,5.42,4.89,5.00,11200,5.00
2016-06-08,5.12,5.17,5.10,5.11,1100,5.11
2016-06-07,5.162,5.162,5.06,5.10,1400,5.10
2016-06-06,5.20,5.514,5.09,5.12,10600,5.12
2016-06-03,5.222,5.52,5.08,5.12,20800,5.12
2016-06-02,5.33,5.63,5.33,5.63,2600,5.63
2016-06-01,4.98,4.98,4.98,4.98,000,4.98
2016-05-31,5.41,5.41,4.92,4.98,700,4.98
2016-05-27,5.48,5.48,5.03,5.03,700,5.03
2016-05-26,5.17,5.17,5.17,5.17,000,5.17
2016-05-25,5.479,5.546,5.17,5.17,900,5.17
2016-05-24,4.99,5.12,4.99,5.12,2000,5.108
2016-05-23,5.08,5.08,5.08,5.08,500,5.068094
2016-05-20,5.206,5.206,4.78,4.89,10700,4.878539
2016-05-19,5.43,5.47,5.12,5.37,2700,5.357414
2016-05-18,5.31,5.315,5.31,5.315,1200,5.302543
2016-05-17,5.67,5.67,5.67,5.67,000,5.656711
2016-05-16,5.73,5.75,5.47,5.67,1800,5.656711
2016-05-13,5.92,5.92,5.76,5.76,500,5.7465
2016-05-12,5.85,5.85,5.85,5.85,000,5.836289
2016-05-11,5.70,5.93,5.53,5.85,8000,5.836289
2016-05-10,5.50,5.70,5.50,5.70,400,5.68664
2016-05-09,5.45,5.71,5.45,5.69,8000,5.676664
2016-05-06,5.75,5.75,5.75,5.75,300,5.736523
2016-05-05,5.74,5.74,5.49,5.50,4400,5.487109
2016-05-04,7.11,7.11,5.73,5.74,8700,5.726547
2016-05-03,5.90,5.90,5.90,5.90,1700,5.886172
2016-05-02,5.99,5.99,5.98,5.99,1300,5.975961
2016-04-29,6.00,6.00,6.00,6.00,1000,5.985937
2016-04-28,6.10,6.10,6.00,6.00,1200,5.985937
2016-04-27,6.00,6.013,5.58,6.013,600,5.998907
2016-04-26,6.24,6.24,6.24,6.24,000,6.225375
2016-04-25,6.93,6.93,6.24,6.24,600,6.225375
2016-04-22,5.83,5.83,5.83,5.83,000,5.816336
2016-04-21,5.83,5.83,5.829,5.83,4300,5.816336
2016-04-20,7.40,7.40,5.80,5.80,700,5.786406
