Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,14.37,14.60,14.00,14.10,37900,14.10
2016-06-09,14.23,14.50,14.02,14.43,14900,14.43
2016-06-08,14.26,14.88,14.26,14.43,58500,14.43
2016-06-07,13.96,14.25,13.68,14.10,20100,14.10
2016-06-06,13.62,14.17,13.59,13.96,45200,13.96
2016-06-03,13.23,13.73,13.23,13.50,49600,13.50
2016-06-02,12.81,13.38,12.67,13.30,39600,13.30
2016-06-01,12.95,13.18,12.80,12.87,17000,12.87
2016-05-31,13.18,13.45,12.73,12.99,67900,12.99
2016-05-27,13.10,13.50,12.63,12.80,21600,12.80
2016-05-26,12.82,13.36,12.64,13.26,39800,13.26
2016-05-25,12.40,13.09,12.40,12.79,41000,12.79
2016-05-24,12.31,12.57,12.20,12.43,56600,12.43
2016-05-23,12.35,12.60,12.02,12.28,135200,12.28
2016-05-20,12.66,12.87,12.37,12.42,48300,12.42
2016-05-19,12.51,12.87,12.31,12.38,75100,12.38
2016-05-18,13.05,13.18,12.54,12.60,44500,12.60
2016-05-17,13.15,13.50,12.89,12.89,63400,12.89
2016-05-16,13.00,13.42,12.90,13.10,74200,13.10
2016-05-13,13.23,13.41,12.82,12.85,47400,12.85
2016-05-12,13.41,13.50,12.93,13.19,25500,13.19
2016-05-11,12.40,13.50,12.37,13.20,37200,13.20
2016-05-10,13.18,13.44,12.62,12.80,42000,12.80
2016-05-09,13.29,13.55,12.95,13.19,15900,13.19
2016-05-06,12.18,13.43,12.18,13.25,56600,13.25
2016-05-05,12.76,13.39,12.39,12.61,36200,12.61
2016-05-04,12.26,12.78,12.06,12.44,77700,12.44
2016-05-03,12.86,13.96,12.18,12.21,93900,12.21
2016-05-02,14.05,14.05,12.91,13.09,167100,13.09
2016-04-29,14.30,14.30,13.83,14.21,16300,14.21
2016-04-28,13.77,14.31,13.77,14.15,35300,14.15
2016-04-27,14.09,14.09,13.75,14.06,31100,13.913
2016-04-26,13.75,14.02,13.69,13.90,29300,13.754672
2016-04-25,13.73,13.75,13.16,13.72,41600,13.576555
2016-04-22,13.83,14.00,13.10,13.75,45500,13.606241
2016-04-21,13.89,14.01,13.52,13.85,59100,13.705196
2016-04-20,13.27,14.09,13.27,13.85,53700,13.705196
2016-04-19,13.03,13.63,13.00,13.25,54400,13.111469
2016-04-18,12.70,13.50,12.32,13.05,40900,12.91356
2016-04-15,13.00,13.28,12.83,13.10,40100,12.963037
2016-04-14,12.75,13.10,12.52,13.01,32500,12.873978
2016-04-13,12.91,13.50,12.67,12.85,65800,12.715651
2016-04-12,12.56,13.72,12.56,13.07,52800,12.93335
2016-04-11,11.75,12.82,11.75,12.75,77400,12.616696
2016-04-08,11.41,11.68,11.35,11.67,29500,11.547988
2016-04-07,11.18,11.57,11.07,11.17,54000,11.053216
2016-04-06,11.27,11.42,10.88,11.24,25700,11.122483
2016-04-05,10.80,11.39,10.71,11.30,38400,11.181857
2016-04-04,10.91,11.37,10.77,10.96,48700,10.845411
2016-04-01,11.23,11.69,10.78,11.00,35300,10.884993
2016-03-31,11.72,11.98,11.12,11.39,11100,11.270916
2016-03-30,11.45,11.99,11.45,11.63,44100,11.508406
2016-03-29,11.21,11.50,11.21,11.46,21000,11.340184
2016-03-28,11.08,11.44,11.03,11.31,33700,11.191752
2016-03-24,11.00,11.20,10.57,11.19,46700,11.073006
2016-03-23,11.21,11.39,11.05,11.05,13600,10.93447
2016-03-22,11.26,11.36,11.06,11.33,20900,11.211543
2016-03-21,10.87,11.63,10.87,11.43,52500,11.310497
2016-03-18,11.50,11.70,10.58,10.70,87700,10.588129
2016-03-17,11.12,11.50,11.12,11.49,65500,11.36987
2016-03-16,10.71,11.19,10.67,11.00,93700,10.884993
2016-03-15,11.05,11.05,10.55,10.67,58100,10.558443
2016-03-14,11.13,11.19,10.88,11.08,32500,10.964156
2016-03-11,10.87,11.17,10.80,10.93,74000,10.815725
2016-03-10,11.08,11.08,10.48,10.80,58300,10.687084
2016-03-09,10.97,11.20,10.71,11.20,22000,11.082902
2016-03-08,11.64,11.64,10.62,10.87,73700,10.756352
2016-03-07,10.76,11.85,10.75,11.61,49600,11.488615
2016-03-04,10.20,10.75,10.14,10.66,61900,10.548548
2016-03-03,10.08,10.19,9.94,10.19,33700,10.083461
2016-03-02,9.79,10.01,9.58,10.00,26100,9.895448
2016-03-01,9.48,9.77,9.43,9.77,60400,9.667853
2016-02-29,9.70,9.99,9.48,9.49,27300,9.39078
2016-02-26,9.80,9.92,9.44,9.60,31500,9.499631
2016-02-25,9.59,9.93,9.36,9.79,104300,9.687644
2016-02-24,9.64,9.65,9.45,9.56,38600,9.460049
2016-02-23,9.97,10.01,9.43,9.83,66300,9.727225
2016-02-22,10.16,10.32,9.90,9.96,46100,9.855866
2016-02-19,10.06,10.08,9.70,10.08,24800,9.974612
2016-02-18,10.10,10.19,9.90,10.15,28500,10.043879
2016-02-17,10.03,10.40,9.85,10.00,156900,9.895448
2016-02-16,9.97,10.18,9.75,10.04,34300,9.93503
2016-02-12,9.85,10.20,9.78,9.93,37600,9.82618
2016-02-11,9.85,10.29,9.60,9.79,60600,9.687644
2016-02-10,9.89,9.89,9.56,9.74,30900,9.638166
2016-02-09,10.20,10.25,9.62,9.67,48600,9.568898
2016-02-08,10.01,10.46,10.00,10.35,60800,10.241789
2016-02-05,10.33,10.42,10.04,10.04,27600,9.93503
2016-02-04,10.50,10.62,10.27,10.47,32300,10.360534
2016-02-03,10.38,10.50,10.04,10.30,32600,10.192312
2016-02-02,10.06,10.56,9.99,10.20,36800,10.093357
2016-02-01,10.69,10.69,10.05,10.26,43800,10.15273
2016-01-29,10.21,10.79,9.76,10.72,64800,10.607921
2016-01-28,9.90,10.59,9.77,10.11,32900,10.004298
2016-01-27,10.05,10.19,9.76,9.76,22600,9.461038
2016-01-26,9.57,10.37,9.41,10.04,25800,9.732461
2016-01-25,10.09,10.40,9.35,9.43,48300,9.141147
2016-01-22,10.27,10.80,10.05,10.13,49700,9.819704
2016-01-21,8.99,10.04,8.99,9.93,41600,9.625831
2016-01-20,8.90,9.14,8.64,9.10,55700,8.821255
2016-01-19,9.27,9.67,8.57,9.02,111300,8.743706
2016-01-15,9.32,9.40,9.01,9.27,32100,8.986048
2016-01-14,9.17,9.50,9.01,9.17,38400,8.88911
2016-01-13,9.34,10.24,9.04,9.20,49100,8.918191
2016-01-12,9.59,9.86,9.11,9.30,58100,9.015129
2016-01-11,9.74,10.16,9.25,9.45,38100,9.160533
2016-01-08,9.74,9.99,9.44,9.70,20600,9.402876
2016-01-07,9.89,10.11,9.50,9.66,64100,9.364101
2016-01-06,10.02,10.02,9.83,9.87,33800,9.567668
2016-01-05,9.84,10.21,9.37,10.07,30400,9.761542
