Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,56.93,57.419998,56.560001,57.380001,463700,57.380001
2016-06-09,57.68,57.68,57.259998,57.459999,341600,57.459999
2016-06-08,57.650002,57.880001,57.380001,57.66,472000,57.66
2016-06-07,57.75,57.990002,57.310001,57.50,501900,57.50
2016-06-06,57.669998,57.91,57.110001,57.560001,313000,57.560001
2016-06-03,57.77,58.189999,57.41,57.779999,565200,57.779999
2016-06-02,57.450001,58.00,57.439999,57.869999,607900,57.869999
2016-06-01,57.77,58.259998,57.549999,57.689999,476500,57.689999
2016-05-31,57.959999,58.16,57.830002,57.990002,893500,57.990002
2016-05-27,57.389999,58.07,56.869999,58.009998,447200,58.009998
2016-05-26,57.139999,57.68,56.810001,57.450001,569500,57.450001
2016-05-25,57.50,57.50,56.880001,57.139999,769500,57.139999
2016-05-24,56.619999,57.279999,56.389999,57.23,513300,57.23
2016-05-23,56.650002,56.860001,56.330002,56.380001,480600,56.380001
2016-05-20,56.50,57.040001,56.41,56.759998,1098200,56.759998
2016-05-19,56.380001,56.799999,56.09,56.41,837200,56.41
2016-05-18,56.68,57.110001,56.330002,56.580002,463600,56.580002
2016-05-17,57.43,57.580002,56.779999,56.849998,510400,56.849998
2016-05-16,57.330002,57.810001,56.98,57.439999,609700,57.439999
2016-05-13,57.73,58.00,57.09,57.310001,1062400,57.310001
2016-05-12,57.630001,58.200001,57.380001,57.93,509700,57.93
2016-05-11,58.060001,58.610001,57.27,57.290001,650300,57.290001
2016-05-10,58.34,58.50,57.889999,58.349998,542300,58.349998
2016-05-09,57.349998,58.50,57.25,58.16,892500,58.16
2016-05-06,55.299999,57.41,55.18,57.41,863100,57.41
2016-05-05,57.830002,57.830002,55.66,55.759998,883100,55.759998
2016-05-04,56.470001,57.200001,56.25,56.990002,692900,56.990002
2016-05-03,56.580002,57.060001,56.290001,56.75,677700,56.75
2016-05-02,56.75,57.389999,56.59,57.009998,627400,57.009998
2016-04-29,56.93,56.98,56.09,56.540001,580100,56.540001
2016-04-28,57.310001,57.66,56.939999,57.02,537700,57.02
2016-04-27,56.50,57.389999,56.470001,57.279999,535500,57.279999
2016-04-26,56.68,57.110001,56.400002,56.57,719900,56.57
2016-04-25,56.650002,56.849998,56.23,56.68,487200,56.68
2016-04-22,56.740002,57.040001,56.02,56.59,953200,56.59
2016-04-21,58.950001,59.50,56.939999,56.990002,1277000,56.990002
2016-04-20,58.720001,59.209999,58.610001,58.91,454100,58.91
2016-04-19,58.529999,58.950001,58.220001,58.77,341800,58.77
2016-04-18,58.450001,58.919998,57.990002,58.619999,328700,58.619999
2016-04-15,58.099998,58.790001,57.880001,58.700001,429800,58.700001
2016-04-14,58.419998,58.419998,57.849998,57.990002,469800,57.990002
2016-04-13,58.049999,58.580002,57.580002,58.25,344800,58.25
2016-04-12,57.799999,57.91,57.32,57.650002,511900,57.650002
2016-04-11,58.099998,58.439999,57.709999,57.720001,449500,57.720001
2016-04-08,58.279999,58.689999,57.77,58.07,530800,58.07
2016-04-07,58.950001,59.18,57.700001,57.900002,748800,57.900002
2016-04-06,59.099998,59.34,58.740002,59.049999,621500,59.049999
2016-04-05,59.740002,60.009998,58.799999,58.82,518800,58.82
2016-04-04,60.380001,60.470001,59.900002,60.110001,304900,60.110001
2016-04-01,60.060001,60.419998,59.509998,60.41,495900,60.41
2016-03-31,60.00,60.619999,59.900002,60.419998,495300,60.419998
2016-03-30,60.099998,60.470001,59.779999,60.07,381900,60.07
2016-03-29,59.07,60.049999,58.82,59.93,502800,59.93
2016-03-28,59.00,59.66,58.849998,59.630001,469700,59.435002
2016-03-24,59.02,59.279999,58.57,58.93,493800,58.73729
2016-03-23,59.580002,59.790001,58.75,59.360001,506900,59.165885
2016-03-22,59.580002,60.619999,58.759998,59.830002,688200,59.634349
2016-03-21,59.34,59.849998,57.279999,59.779999,693400,59.584509
2016-03-18,59.400002,59.889999,57.50,59.720001,956700,59.524708
2016-03-17,59.099998,59.849998,58.939999,59.59,634900,59.395132
2016-03-16,58.23,59.060001,57.529999,58.889999,782700,58.69742
2016-03-15,57.880001,58.639999,56.73,58.490002,889800,58.298731
2016-03-14,57.599998,58.549999,57.029999,58.43,700700,58.238925
2016-03-11,57.759998,58.169998,57.380001,57.970001,640200,57.780431
2016-03-10,56.700001,57.380001,56.509998,57.299999,867300,57.11262
2016-03-09,56.549999,56.84,56.099998,56.709999,476400,56.524549
2016-03-08,56.279999,56.98,55.889999,56.279999,436500,56.095955
2016-03-07,56.34,56.77,56.099998,56.599998,556100,56.414908
2016-03-04,57.23,57.23,56.52,56.580002,630100,56.394977
2016-03-03,57.009998,57.18,56.290001,57.07,977400,56.883372
2016-03-02,57.560001,57.709999,56.279999,57.040001,1013200,56.853472
2016-03-01,56.880001,57.650002,56.880001,57.599998,769100,57.411638
2016-02-29,57.330002,57.610001,56.50,56.759998,1192000,56.574385
2016-02-26,58.419998,58.740002,57.259998,57.540001,705500,57.351837
2016-02-25,57.950001,58.419998,56.639999,58.419998,658000,58.228956
2016-02-24,57.41,58.169998,56.860001,58.00,628200,57.810331
