Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,8.50,8.60,8.21,8.42,1100,8.42
2016-06-09,8.35,8.50,8.17,8.50,9300,8.50
2016-06-08,8.13,8.60,8.11,8.60,1300,8.60
2016-06-07,8.10,8.15,8.10,8.15,600,8.15
2016-06-06,8.11,8.25,8.11,8.25,900,8.25
2016-06-03,8.35,8.35,8.35,8.35,200,8.35
2016-06-02,8.34,8.51,8.18,8.19,6200,8.19
2016-06-01,8.14,8.35,8.10,8.35,1000,8.35
2016-05-31,8.10,8.10,8.10,8.10,4100,8.10
2016-05-27,8.35,8.35,8.35,8.35,300,8.35
2016-05-26,8.29,8.30,8.29,8.29,2200,8.29
2016-05-25,8.13,8.13,8.13,8.13,000,8.13
2016-05-24,8.10,8.13,8.10,8.13,7100,8.13
2016-05-23,8.01,8.04,8.00,8.04,1500,8.04
2016-05-20,8.01,8.01,8.01,8.01,200,8.01
2016-05-19,8.02,8.02,8.01,8.01,700,8.01
2016-05-18,8.01,8.01,8.01,8.01,700,8.01
2016-05-17,8.08,8.08,8.01,8.01,1200,8.01
2016-05-16,8.00,8.04,8.00,8.04,2400,8.04
2016-05-13,8.01,8.01,8.01,8.01,1000,8.01
2016-05-12,8.07,8.12,7.95,8.02,6400,8.02
2016-05-11,8.09,8.09,8.09,8.09,000,8.09
2016-05-10,8.20,8.20,8.00,8.09,700,8.09
2016-05-09,8.00,8.32,8.00,8.32,7400,8.32
2016-05-06,8.27,8.65,8.25,8.25,1500,8.25
2016-05-05,8.25,8.83,8.05,8.51,7900,8.51
2016-05-04,8.26,8.26,8.26,8.26,000,8.26
2016-05-03,8.26,8.26,8.26,8.26,000,8.26
2016-05-02,8.40,8.53,8.26,8.26,1000,8.26
2016-04-29,8.31,8.49,8.31,8.47,1700,8.47
2016-04-28,8.45,8.58,8.45,8.58,200,8.58
2016-04-27,8.45,8.46,8.45,8.45,700,8.45
2016-04-26,8.61,8.61,8.02,8.59,800,8.59
2016-04-25,8.47,8.60,8.47,8.60,500,8.60
2016-04-22,8.64,8.64,8.43,8.44,2300,8.44
2016-04-21,8.43,8.49,8.39,8.48,2500,8.48
2016-04-20,8.18,8.44,8.18,8.36,3100,8.36
2016-04-19,8.34,8.34,8.15,8.16,900,8.16
2016-04-18,8.86,8.86,8.06,8.25,18500,8.25
2016-04-15,8.37,8.85,8.37,8.40,2400,8.40
2016-04-14,8.85,8.85,8.12,8.50,18800,8.50
2016-04-13,8.71,8.71,8.71,8.71,300,8.71
2016-04-12,8.65,8.82,8.65,8.81,1900,8.81
2016-04-11,8.74,8.76,8.06,8.65,2500,8.65
2016-04-08,8.25,8.70,8.00,8.70,5300,8.70
2016-04-07,8.37,8.37,8.37,8.37,000,8.37
2016-04-06,8.37,8.37,8.37,8.37,000,8.37
2016-04-05,8.41,8.60,8.20,8.37,2600,8.37
2016-04-04,8.66,8.90,8.65,8.90,1100,8.90
2016-04-01,8.70,8.78,8.56,8.56,1500,8.56
2016-03-31,9.00,9.13,8.50,8.50,1700,8.50
2016-03-30,9.22,9.22,8.50,8.98,2000,8.98
2016-03-29,9.23,9.23,8.77,8.77,4200,8.77
2016-03-28,8.82,8.82,8.82,8.82,000,8.765
2016-03-24,9.04,9.04,8.80,8.82,1100,8.765
2016-03-23,9.20,9.20,9.01,9.19,800,9.132692
2016-03-22,9.06,9.20,8.53,9.20,7000,9.14263
2016-03-21,8.74,9.06,8.63,9.06,2500,9.003504
2016-03-18,9.10,9.20,8.52,8.52,600,8.466871
2016-03-17,9.00,9.07,9.00,9.07,1200,9.013441
2016-03-16,8.81,8.81,8.81,8.81,200,8.755063
2016-03-15,9.45,9.45,9.03,9.03,500,8.97369
2016-03-14,9.00,9.23,8.95,9.23,5600,9.172443
2016-03-11,7.55,8.89,7.55,8.87,2700,8.814688
2016-03-10,8.45,8.45,8.45,8.45,200,8.397307
2016-03-09,8.59,8.59,8.25,8.25,400,8.198554
2016-03-08,8.19,8.91,8.19,8.73,2500,8.675561
2016-03-07,9.00,9.00,9.00,9.00,900,8.943877
2016-03-04,9.00,9.00,8.51,8.51,800,8.456933
2016-03-03,8.47,8.47,8.10,8.10,700,8.04949
2016-03-02,8.00,8.82,8.00,8.15,1400,8.099178
2016-03-01,8.00,8.00,8.00,8.00,100,7.950113
2016-02-29,7.74,7.74,7.32,7.74,800,7.691734
2016-02-26,7.17,7.17,7.17,7.17,000,7.125289
2016-02-25,7.07,7.18,6.98,7.17,4800,7.125289
2016-02-24,6.90,7.32,6.80,6.80,900,6.757596
2016-02-23,6.80,7.10,6.80,7.10,1000,7.055725
2016-02-22,6.78,6.85,6.75,6.80,1000,6.757596
2016-02-19,6.77,7.24,6.77,6.89,1700,6.847035
2016-02-18,7.05,7.29,6.82,6.82,2200,6.777472
2016-02-17,7.20,7.20,7.00,7.17,13200,7.125289
2016-02-16,7.89,7.89,7.29,7.30,1400,7.254479
2016-02-12,7.51,8.09,7.20,7.58,3700,7.532732
2016-02-11,7.29,7.98,7.29,7.97,27200,7.9203
2016-02-10,8.20,8.20,8.10,8.10,200,8.04949
2016-02-09,7.94,8.20,7.65,7.65,7300,7.602296
2016-02-08,8.12,8.12,7.65,7.74,900,7.691734
2016-02-05,7.75,7.75,7.70,7.70,400,7.651984
2016-02-04,8.06,8.31,8.06,8.23,500,8.178679
2016-02-03,7.83,7.83,7.80,7.80,600,7.751361
2016-02-02,8.00,8.00,7.83,7.83,400,7.781173
2016-02-01,7.71,8.15,7.71,7.81,1900,7.761298
2016-01-29,8.41,8.41,7.87,7.87,700,7.820924
2016-01-28,8.00,8.00,8.00,8.00,000,7.950113
2016-01-27,8.08,8.08,8.00,8.00,4800,7.950113
2016-01-26,8.15,8.15,8.15,8.15,000,8.099178
2016-01-25,7.60,8.43,7.60,8.15,2400,8.099178
2016-01-22,7.80,8.43,7.80,8.43,500,8.377432
2016-01-21,7.94,7.94,7.94,7.94,200,7.890488
2016-01-20,7.66,8.32,7.61,7.72,3000,7.671859
2016-01-19,7.59,7.79,7.40,7.78,2000,7.731485
2016-01-15,8.35,8.38,7.74,7.74,15800,7.691734
2016-01-14,8.49,8.49,8.27,8.27,600,8.21843
2016-01-13,8.93,8.93,8.41,8.41,2500,8.357556
2016-01-12,8.67,8.73,8.31,8.42,2500,8.367494
2016-01-11,8.96,9.00,8.49,8.58,5000,8.526496
2016-01-08,8.80,8.98,8.64,8.94,7500,8.884251
2016-01-07,8.65,9.46,8.65,9.20,6800,9.14263
2016-01-06,9.95,9.95,9.00,9.11,1300,9.053191
2016-01-05,9.79,9.79,8.16,9.38,9000,9.321508
2016-01-04,8.16,8.39,8.16,8.39,2000,8.337682
2015-12-31,8.14,8.41,7.70,8.15,6600,8.099178
2015-12-30,7.80,8.20,7.61,8.18,3400,8.128991
2015-12-29,8.30,8.34,7.78,8.16,7200,8.109115
2015-12-28,7.38,8.45,7.38,7.89,4000,7.786142
2015-12-24,7.35,7.84,7.35,7.84,1700,7.736801
2015-12-23,7.31,8.00,7.21,7.99,14500,7.884826
2015-12-22,7.25,7.65,7.25,7.63,800,7.529565
2015-12-21,7.55,7.56,7.01,7.22,16000,7.124961
2015-12-18,6.75,7.50,6.75,7.16,6800,7.065751
2015-12-17,7.62,7.68,7.01,7.68,8600,7.578906
2015-12-16,7.50,7.73,7.50,7.62,3700,7.519696
2015-12-15,7.50,7.75,7.50,7.55,6900,7.450618
2015-12-14,7.72,7.72,7.50,7.52,2100,7.421013
2015-12-11,7.69,7.73,7.55,7.73,2600,7.628248
2015-12-10,7.55,7.75,7.50,7.72,16700,7.61838
2015-12-09,8.20,8.20,7.55,7.55,1100,7.450618
2015-12-08,6.45,8.50,6.45,8.25,5200,8.141404
2015-12-07,8.31,8.55,7.88,8.28,11000,8.171008
2015-12-04,8.45,8.60,8.18,8.48,2800,8.368376
2015-12-03,8.54,8.62,8.25,8.60,3400,8.486797
2015-12-02,8.66,8.70,8.23,8.50,8100,8.388113
2015-12-01,8.70,8.70,8.66,8.70,3400,8.58548
2015-11-30,8.72,8.76,8.66,8.69,2200,8.575611
2015-11-27,8.74,8.74,8.59,8.59,1600,8.476928
2015-11-25,8.73,8.81,8.41,8.42,5200,8.309166
2015-11-24,8.70,9.00,8.70,8.77,7700,8.654559
2015-11-23,8.77,8.99,8.65,8.77,3000,8.654559
2015-11-20,8.76,8.98,8.72,8.94,4900,8.82232
2015-11-19,8.85,9.00,8.65,8.94,2300,8.82232
2015-11-18,9.01,9.01,8.86,8.86,7000,8.743374
2015-11-17,8.94,8.94,8.94,8.94,000,8.82232
2015-11-16,8.50,9.12,8.50,8.94,1900,8.82232
2015-11-13,8.86,9.16,8.83,9.07,2200,8.950609
2015-11-12,9.40,9.55,8.85,9.24,4700,9.118372
2015-11-11,9.30,9.55,9.12,9.47,3300,9.345345
2015-11-10,9.35,9.84,9.10,9.54,2700,9.414423
2015-11-09,9.10,9.62,8.76,9.53,7200,9.404554
2015-11-06,8.41,9.61,8.41,9.49,3800,9.365081
2015-11-05,9.21,9.81,8.40,9.78,3300,9.651264
2015-11-04,9.45,9.52,9.27,9.52,2200,9.394687
2015-11-03,9.39,9.80,9.24,9.64,5800,9.513107
2015-11-02,9.45,9.90,8.97,9.35,15800,9.226924
2015-10-30,9.39,9.60,9.20,9.55,10900,9.424292
2015-10-29,9.35,9.88,9.12,9.39,16100,9.266398
2015-10-28,9.44,9.85,9.11,9.59,10200,9.463765
2015-10-27,9.55,9.89,9.16,9.45,9200,9.325607
2015-10-26,9.34,9.46,9.12,9.14,2400,9.019689
2015-10-23,9.38,9.40,9.15,9.35,3800,9.226924
2015-10-22,9.55,9.55,9.55,9.55,400,9.424292
2015-10-21,9.58,9.58,9.58,9.58,600,9.453896
2015-10-20,9.66,9.66,9.56,9.56,700,9.43416
2015-10-19,9.57,9.92,9.56,9.60,3200,9.473634
2015-10-16,9.85,10.08,9.52,9.53,3400,9.404554
2015-10-15,9.79,9.95,9.63,9.95,4100,9.819026
2015-10-14,10.05,10.05,10.05,10.05,400,9.91771
2015-10-13,9.83,9.83,9.82,9.82,500,9.690737
2015-10-12,10.00,10.00,9.97,9.97,700,9.838763
