Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,27.950001,27.950001,26.639999,27.559999,117000,27.559999
2016-06-09,28.40,28.40,27.68,28.07,47900,28.07
2016-06-08,28.559999,28.66,28.42,28.459999,49100,28.459999
2016-06-07,28.790001,28.860001,28.32,28.530001,20900,28.530001
2016-06-06,28.67,29.059999,28.629999,28.77,36000,28.77
2016-06-03,28.860001,28.950001,28.27,28.75,40300,28.75
2016-06-02,28.860001,28.98,28.620001,28.950001,39100,28.950001
2016-06-01,28.60,29.00,28.60,28.98,40900,28.98
2016-05-31,28.879999,28.950001,28.459999,28.60,40500,28.60
2016-05-27,28.40,28.879999,28.32,28.879999,25600,28.879999
2016-05-26,28.280001,28.690001,27.93,28.459999,45300,28.459999
2016-05-25,27.950001,28.469999,27.73,28.25,53900,28.25
2016-05-24,27.49,27.959999,27.280001,27.870001,72900,27.870001
2016-05-23,27.48,27.66,27.02,27.43,30200,27.43
2016-05-20,27.16,27.57,27.16,27.49,35000,27.49
2016-05-19,27.389999,27.58,26.76,27.00,24200,27.00
2016-05-18,26.48,27.92,26.48,27.59,41200,27.59
2016-05-17,27.52,27.559999,26.440001,26.58,51600,26.58
2016-05-16,27.549999,28.09,27.43,27.65,82300,27.65
2016-05-13,27.290001,27.790001,26.51,27.469999,92600,27.469999
2016-05-12,26.90,27.360001,26.809999,27.309999,36200,27.309999
2016-05-11,26.50,27.190001,26.219999,27.09,34100,27.09
2016-05-10,26.60,26.639999,26.389999,26.620001,75300,26.620001
2016-05-09,26.690001,26.719999,26.450001,26.58,58700,26.58
2016-05-06,26.85,27.690001,26.49,26.610001,59700,26.610001
2016-05-05,27.059999,27.799999,26.98,27.040001,27500,27.040001
2016-05-04,26.99,27.25,26.799999,27.10,29800,27.10
2016-05-03,27.33,28.01,26.969999,27.25,35300,27.25
2016-05-02,27.370001,28.200001,26.110001,27.58,62800,27.58
2016-04-29,26.98,27.43,26.790001,27.370001,90700,27.370001
2016-04-28,27.40,27.799999,26.82,26.90,48800,26.90
2016-04-27,26.860001,27.280001,26.60,27.23,39000,27.23
2016-04-26,26.85,27.23,26.67,27.08,44900,27.08
2016-04-25,26.50,26.780001,26.16,26.76,25700,26.76
2016-04-22,26.35,26.83,26.35,26.799999,25200,26.799999
2016-04-21,26.52,26.860001,26.389999,26.43,28700,26.43
2016-04-20,26.950001,27.129999,26.75,26.879999,22100,26.879999
2016-04-19,26.91,27.09,26.42,26.91,19600,26.91
2016-04-18,26.51,26.870001,26.51,26.700001,35400,26.700001
2016-04-15,26.16,26.60,26.16,26.57,36200,26.57
2016-04-14,25.040001,26.83,25.040001,26.290001,40500,26.290001
2016-04-13,25.60,26.549999,25.60,26.459999,34000,26.459999
2016-04-12,25.35,25.85,25.35,25.68,39400,25.68
2016-04-11,25.50,25.969999,25.07,25.299999,40000,25.299999
2016-04-08,27.68,27.68,25.290001,25.50,29900,25.50
2016-04-07,25.90,25.93,25.08,25.190001,80400,25.190001
2016-04-06,26.27,26.27,25.93,26.00,63200,26.00
2016-04-05,26.639999,26.65,26.32,26.370001,53800,26.370001
2016-04-04,27.40,27.549999,26.83,26.950001,34200,26.950001
2016-04-01,26.950001,27.690001,26.77,27.469999,42900,27.469999
2016-03-31,27.360001,27.58,26.860001,27.040001,55200,27.040001
2016-03-30,27.10,27.450001,26.98,27.309999,29100,27.309999
2016-03-29,26.790001,27.280001,26.549999,27.18,36500,27.18
2016-03-28,26.799999,27.15,26.59,26.92,27200,26.92
2016-03-24,27.07,27.07,26.76,26.879999,21700,26.879999
2016-03-23,27.57,27.57,27.120001,27.23,30700,27.23
2016-03-22,27.889999,27.98,27.440001,27.559999,26700,27.559999
2016-03-21,27.58,28.049999,27.360001,27.92,37700,27.92
2016-03-18,27.85,28.42,27.52,27.58,95100,27.58
2016-03-17,27.299999,27.85,26.92,27.709999,26600,27.709999
2016-03-16,27.82,27.889999,27.190001,27.379999,28200,27.379999
2016-03-15,28.02,28.030001,27.559999,27.629999,26500,27.629999
2016-03-14,28.309999,28.309999,27.90,28.059999,26500,28.059999
2016-03-11,28.07,28.33,27.790001,28.280001,34700,28.280001
2016-03-10,28.129999,28.190001,27.91,27.98,24000,27.89
2016-03-09,28.16,28.379999,28.02,28.129999,28300,28.039517
2016-03-08,28.26,28.50,28.030001,28.120001,49600,28.029551
2016-03-07,28.00,28.690001,28.00,28.50,33500,28.408328
2016-03-04,28.25,28.25,27.85,28.129999,31200,28.039517
2016-03-03,27.91,28.25,27.74,28.15,56700,28.059453
2016-03-02,28.08,28.200001,27.77,28.00,61700,27.909936
2016-03-01,27.92,28.32,27.92,28.15,63000,28.059453
2016-02-29,28.00,28.280001,27.540001,27.73,105900,27.640804
2016-02-26,27.93,28.00,27.75,27.879999,45200,27.790321
